---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.FileName = "LLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
 8.500000000000000e-001  -1.443180785030599e+000  -1.381031693122193e-001   7.170677273576089e-001
 8.521787709497206e-001  -1.418198214233232e+000  -1.417479583374185e-001   7.255423494983675e-001
 8.543575418994412e-001  -1.393596406776000e+000  -1.453266081406128e-001   7.338770707095953e-001
 8.565363128491619e-001  -1.369365588909566e+000  -1.488265408318203e-001   7.420505133104829e-001
 8.587150837988825e-001  -1.345493009464575e+000  -1.522353223842035e-001   7.500418162447742e-001
 8.608938547486031e-001  -1.321963212469215e+000  -1.555407565580087e-001   7.578308808270090e-001
 8.630726256983238e-001  -1.298758835393621e+000  -1.587309078112106e-001   7.653984125437948e-001
 8.652513966480444e-001  -1.275860885707812e+000  -1.617941501197190e-001   7.727260422691514e-001
 8.674301675977650e-001  -1.253249217790179e+000  -1.647192575609839e-001   7.797965167232406e-001
 8.696089385474857e-001  -1.230903031830835e+000  -1.674954405317090e-001   7.865936334517167e-001
 8.717877094972063e-001  -1.208801096499911e+000  -1.701124579496036e-001   7.931023559951110e-001
 8.739664804469269e-001  -1.186922014930450e+000  -1.725608178203985e-001   7.993088881040319e-001
 8.761452513966476e-001  -1.165244337438554e+000  -1.748318372126923e-001   8.052005298461460e-001
 8.783240223463682e-001  -1.143746650385492e+000  -1.769178540804960e-001   8.107657678053156e-001
 8.805027932960888e-001  -1.122407801836227e+000  -1.788124171866884e-001   8.159942572910648e-001
 8.826815642458095e-001  -1.101207163763373e+000  -1.805102271998603e-001   8.208766649720490e-001
 8.848603351955301e-001  -1.080125044877692e+000  -1.820073146031729e-001   8.254047331158818e-001
 8.870391061452507e-001  -1.059143167809193e+000  -1.833010072254887e-001   8.295712044046205e-001
 8.892178770949714e-001  -1.038244757380970e+000  -1.843897994007455e-001   8.333697407049130e-001
 8.913966480446920e-001  -1.017414947456650e+000  -1.852734618498045e-001   8.367950559582206e-001
