---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.FileName = "RFTM2.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.pz
 8.500000000000000e-001  -1.995116975203162e+000  -3.433812973516675e-001   5.759038476805015e-002
 8.521787709497206e-001  -1.994739535821388e+000  -3.436248025519548e-001   5.703856649289666e-002
 8.543575418994412e-001  -1.994249992110638e+000  -3.439024156482252e-001   5.648444628312118e-002
 8.565363128491619e-001  -1.993631474113356e+000  -3.442170708462500e-001   5.593469231579703e-002
 8.587150837988825e-001  -1.992866259168213e+000  -3.445716608539929e-001   5.539778261275719e-002
 8.608938547486031e-001  -1.991935908323124e+000  -3.449689087901757e-001   5.488441907193702e-002
 8.630726256983238e-001  -1.990821566556319e+000  -3.454112719145879e-001   5.440743720801483e-002
 8.652513966480444e-001  -1.989504113544834e+000  -3.459008431364574e-001   5.398200599801095e-002
 8.674301675977650e-001  -1.987964448217996e+000  -3.464391739148506e-001   5.362594225844774e-002
 8.696089385474857e-001  -1.986183689851470e+000  -3.470272359799315e-001   5.335945309622726e-002
 8.717877094972063e-001  -1.984143352020449e+000  -3.476652958452521e-001   5.320532811183896e-002
 8.739664804469269e-001  -1.981825568469634e+000  -3.483527423342379e-001   5.318904267821867e-002
 8.761452513966476e-001  -1.979213159514300e+000  -3.490880634085111e-001   5.333840348792633e-002
 8.783240223463682e-001  -1.976289824582010e+000  -3.498686446265246e-001   5.368368146716562e-002
 8.805027932960888e-001  -1.973040337490868e+000  -3.506905890639672e-001   5.425738480587982e-002
 8.826815642458095e-001  -1.969450469311268e+000  -3.515488055458110e-001   5.509374315364389e-002
 8.848603351955301e-001  -1.965507085112709e+000  -3.524368667631639e-001   5.622851644861450e-002
 8.870391061452507e-001  -1.961197863128847e+000  -3.533471992629717e-001   5.769821563201368e-002
 8.892178770949714e-001  -1.956511040245125e+000  -3.542713673807071e-001   5.953939111768963e-002
 8.913966480446920e-001  -1.951435266503415e+000  -3.552002399425441e-001   6.178769933508112e-002
 8.935754189944126e-001  -1.945959692614895e+000  -3.561243709339698e-001   6.447641173811565e-002
 8.957541899441333e-001  -1.940074267716347e+000  -3.570341653846872e-001   6.763554306854532e-002
 8.979329608938539e-001  -1.933770488909055e+000  -3.579200242372427e-001   7.128991145528893e-002
 9.001117318435745e-001  -1.927042186600020e+000  -3.587723433512823e-001   7.545829924201447e-002
 9.022905027932952e-001  -1.919885786233580e+000  -3.595814800679772e-001   8.015335913273147e-002
 9.044692737430158e-001  -1.912300978665344e+000  -3.603376698061259e-001   8.538073442624991e-002
 9.066480446927364e-001  -1.904289946430265e+000  -3.610310531014466e-001   9.114037707226698e-002
 9.088268156424570e-001  -1.895856858041148e+000  -3.616517211173254e-001   9.742710057647981e-002
 9.110055865921777e-001  -1.887007026401704e+000  -3.621898329463231e-001   1.042309156750719e-001
 9.131843575418983e-001  -1.877745885734597e+000  -3.626356591469722e-001   1.115382592889853e-001
 9.153631284916189e-001  -1.868078437033779e+000  -3.629795907332604e-001   1.193323752543754e-001
 9.175418994413396e-001  -1.858008358704188e+000  -3.632121048883957e-001   1.275937133289292e-001
 9.197206703910602e-001  -1.847537622243482e+000  -3.633237389127363e-001   1.363007483497508e-001
 9.218994413407808e-001  -1.836666114790351e+000  -3.633051007810434e-001   1.454302301325410e-001
 9.240782122905015e-001  -1.825391325478014e+000  -3.631469509887722e-001   1.549575479905562e-001
 9.262569832402221e-001  -1.813708835885819e+000  -3.628403545443705e-001   1.648571341411208e-001
 9.284357541899427e-001  -1.801612399262907e+000  -3.623768946759580e-001   1.751025822193830e-001
 9.306145251396634e-001  -1.789094266044892e+000  -3.617491707765688e-001   1.856668490468954e-001
 9.327932960893840e-001  -1.776145586442591e+000  -3.609510630879492e-001   1.965224913900600e-001
 9.349720670391046e-001  -1.762756547788332e+000  -3.599782181675824e-001   2.076417954983950e-001
 9.371508379888253e-001  -1.748916793898747e+000  -3.588284966805923e-001   2.189970313547953e-001
 9.393296089385459e-001  -1.734615788026408e+000  -3.575019068595947e-001   2.305605790750950e-001
 9.415083798882665e-001  -1.719843150664569e+000  -3.560009628567089e-001   2.423050652510028e-001
 9.436871508379872e-001  -1.704589094811932e+000  -3.543305323801237e-001   2.542034339039075e-001
 9.458659217877078e-001  -1.688844574922879e+000  -3.524974784380324e-001   2.662289369468743e-001
 9.480446927374284e-001  -1.672601596183901e+000  -3.505106408170209e-001   2.783551795308711e-001
 9.502234636871491e-001  -1.655853241084523e+000  -3.483803271839827e-001   2.905560743759226e-001
 9.524022346368697e-001  -1.638593585517413e+000  -3.461179713059933e-001   3.028057900475064e-001
 9.545810055865903e-001  -1.620817753134535e+000  -3.437358973061129e-001   3.150787228754755e-001
 9.567597765363110e-001  -1.602521695388978e+000  -3.412468516011940e-001   3.273493915630260e-001
 9.589385474860316e-001  -1.583702079466781e+000  -3.386637570175582e-001   3.395923831281653e-001
 9.611173184357522e-001  -1.564356246579981e+000  -3.359993735266464e-001   3.517822866053119e-001
 9.632960893854728e-001  -1.544482050322820e+000  -3.332660249807463e-001   3.638936655123010e-001
 9.654748603351935e-001  -1.524077806156483e+000  -3.304754517544543e-001   3.759010652499255e-001
 9.676536312849141e-001  -1.503142286466252e+000  -3.276385402320391e-001   3.877790633771522e-001
 9.698324022346347e-001  -1.481674671877734e+000  -3.247653206294535e-001   3.995023759884709e-001
 9.720111731843554e-001  -1.459674580890319e+000  -3.218649010266668e-001   4.110459522033758e-001
 9.741899441340760e-001  -1.437142190008963e+000  -3.189453427527146e-001   4.223851880608858e-001
 9.763687150837966e-001  -1.414078299228241e+000  -3.160137948191994e-001   4.334960489107807e-001
 9.785474860335173e-001  -1.390484520869796e+000  -3.130764794999655e-001   4.443552421177001e-001
 9.807262569832379e-001  -1.366363787194707e+000  -3.101387543950801e-001   4.549405395261173e-001
 9.829050279329585e-001  -1.341720787331364e+000  -3.072053793838579e-001   4.652308825296055e-001
 9.850837988826792e-001  -1.316562611195232e+000  -3.042806259016253e-001   4.752066538331914e-001
 9.872625698323998e-001  -1.290899506030863e+000  -3.013685147015978e-001   4.848499223704691e-001
 9.894413407821204e-001  -1.264744506157806e+000  -2.984729242624362e-001   4.941442549332488e-001
 9.916201117318411e-001  -1.238113546909060e+000  -2.955976252140427e-001   5.030748291552984e-001
 9.937988826815617e-001  -1.211024815204709e+000  -2.927462121938937e-001   5.116283244713884e-001
 9.959776536312823e-001  -1.183498155675578e+000  -2.899220612598793e-001   5.197927286380977e-001
 9.981564245810030e-001  -1.155554845043009e+000  -2.871282377658062e-001   5.275574339727597e-001
 1.000335195530724e+000  -1.127217139543735e+000  -2.843674731680208e-001   5.349131064198290e-001
 1.002513966480444e+000  -1.098507948425733e+000  -2.816421968965299e-001   5.418514927542811e-001
 1.004692737430165e+000  -1.069450582682175e+000  -2.789545168428231e-001   5.483654155319073e-001
 1.006871508379886e+000  -1.040068343021614e+000  -2.763062710206831e-001   5.544485210153788e-001
 1.009050279329607e+000  -1.010384335386761e+000  -2.736990626205526e-001   5.600951363713504e-001
 1.011229050279327e+000  -9.804212100040110e-001  -2.711342601238828e-001   5.653002298024170e-001
 1.013407821229048e+000  -9.502011086226330e-001  -2.686130648255014e-001   5.700592857475396e-001
 1.015586592178769e+000  -9.197456639187545e-001  -2.661365652519937e-001   5.743682566933553e-001
 1.017765363128490e+000  -8.890759477136654e-001  -2.637058270882444e-001   5.782235818314764e-001
 1.019944134078210e+000  -8.582125248507025e-001  -2.613220415503409e-001   5.816221091924690e-001
 1.022122905027931e+000  -8.271754299631984e-001  -2.589866230038924e-001   5.845610821504149e-001
 1.024301675977652e+000  -7.959840252374790e-001  -2.567014073712929e-001   5.870381730082707e-001
 1.026480446927373e+000  -7.646569419488806e-001  -2.544687253116533e-001   5.890514384496487e-001
 1.028659217877093e+000  -7.332119699598434e-001  -2.522914892375068e-001   5.905993192986814e-001
 1.030837988826814e+000  -7.016658359107159e-001  -2.501733504579441e-001   5.916806230185254e-001
 1.033016759776535e+000  -6.700342634376587e-001  -2.481186999239140e-001   5.922944086370520e-001
 1.035195530726256e+000  -6.383318649524503e-001  -2.461327780118111e-001   5.924399602948540e-001
 1.037374301675976e+000  -6.065719599968626e-001  -2.442218476500346e-001   5.921167997065353e-001
 1.039553072625697e+000  -5.747666033140217e-001  -2.423931401067023e-001   5.913247271115956e-001
 1.041731843575418e+000  -5.429263840173472e-001  -2.406549762010901e-001   5.900639079291250e-001
 1.043910614525138e+000  -5.110602790351201e-001  -2.390168161824740e-001   5.883349721167613e-001
 1.046089385474859e+000  -4.791757791691274e-001  -2.374891058875900e-001   5.861390093149852e-001
 1.048268156424580e+000  -4.472786845903925e-001  -2.360833280907679e-001   5.834776639315648e-001
 1.050446927374301e+000  -4.153729647916860e-001  -2.348118716239714e-001   5.803532338208660e-001
