---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.FileName = "RICST.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
 8.500000000000000e-001  -1.876412725849374e+000  -4.173475404387929e-001   9.948513518404676e-001
 8.521787709497206e-001  -1.854061097867925e+000  -4.174819489758970e-001   9.944789736687838e-001
 8.543575418994412e-001  -1.831490550301744e+000  -4.176680563471383e-001   9.942164686611718e-001
 8.565363128491619e-001  -1.808713225869540e+000  -4.179047337363017e-001   9.940556171046675e-001
 8.587150837988825e-001  -1.785743686413692e+000  -4.181901230998825e-001   9.939874322437051e-001
 8.608938547486031e-001  -1.762599210204995e+000  -4.185216693434705e-001   9.940023560524782e-001
 8.630726256983238e-001  -1.739299407050834e+000  -4.188963157535258e-001   9.940905730822723e-001
 8.652513966480444e-001  -1.715866231320297e+000  -4.193105734116083e-001   9.942421889662145e-001
 8.674301675977650e-001  -1.692323917238780e+000  -4.197606573677920e-001   9.944475613324280e-001
 8.696089385474857e-001  -1.668698458850217e+000  -4.202426437207014e-001   9.946975139878441e-001
 8.717877094972063e-001  -1.645017494591941e+000  -4.207525593190393e-001   9.949835654840108e-001
 8.739664804469269e-001  -1.621309919853281e+000  -4.212865233368583e-001   9.952982400580621e-001
 8.761452513966476e-001  -1.597605381620823e+000  -4.218408159261700e-001   9.956351038523504e-001
 8.783240223463682e-001  -1.573933979729931e+000  -4.224119618431068e-001   9.959889877763957e-001
 8.805027932960888e-001  -1.550325678348713e+000  -4.229968032546886e-001   9.963561217811582e-001
 8.826815642458095e-001  -1.526809917966642e+000  -4.235924892073422e-001   9.967340247914072e-001
 8.848603351955301e-001  -1.503415103735775e+000  -4.241965247210215e-001   9.971216622518130e-001
 8.870391061452507e-001  -1.480168020587979e+000  -4.248067521981090e-001   9.975193599531642e-001
 8.892178770949714e-001  -1.457093639250092e+000  -4.254213028595320e-001   9.979286021568915e-001
 8.913966480446920e-001  -1.434214494285848e+000  -4.260386014550810e-001   9.983520359279754e-001
 8.935754189944126e-001  -1.411550466719316e+000  -4.266573097116421e-001   9.987931605321653e-001
