---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.FileName = "RMME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
 8.500000000000000e-001  -2.097450891414113e+000  -2.345544629554593e-001   1.580902211926742e-001
 8.521787709497206e-001  -2.091813661657955e+000  -2.362734384635073e-001   1.609928155699536e-001
 8.543575418994412e-001  -2.085830923332873e+000  -2.381812650822620e-001   1.639651684765955e-001
 8.565363128491619e-001  -2.079486338011294e+000  -2.402670293587484e-001   1.669998100805803e-001
 8.587150837988825e-001  -2.072766772694938e+000  -2.425191665796953e-001   1.700911323069936e-001
 8.608938547486031e-001  -2.065663073502571e+000  -2.449253745610870e-001   1.732361450359945e-001
 8.630726256983238e-001  -2.058169832179115e+000  -2.474726654188199e-001   1.764345117674986e-001
 8.652513966480444e-001  -2.050285635008049e+000  -2.501473155400169e-001   1.796888555969446e-001
 8.674301675977650e-001  -2.042013280904585e+000  -2.529347905459450e-001   1.830051395532754e-001
 8.696089385474857e-001  -2.033359011919508e+000  -2.558198466641036e-001   1.863922122856800e-001
 8.717877094972063e-001  -2.024332457677153e+000  -2.587864971581567e-001   1.898618870953520e-001
 8.739664804469269e-001  -2.014946118673547e+000  -2.618180405317531e-001   1.934286455076794e-001
 8.761452513966476e-001  -2.005214486842600e+000  -2.648972235802292e-001   1.971088660412554e-001
 8.783240223463682e-001  -1.995153671275540e+000  -2.680062839542290e-001   2.009204905701769e-001
 8.805027932960888e-001  -1.984780571547846e+000  -2.711271279955715e-001   2.048821241046546e-001
 8.826815642458095e-001  -1.974112318241979e+000  -2.742414938997803e-001   2.090123525369396e-001
 8.848603351955301e-001  -1.963165789266872e+000  -2.773310822999913e-001   2.133290592984593e-001
 8.870391061452507e-001  -1.951957060068486e+000  -2.803777669975106e-001   2.178486365515343e-001
 8.892178770949714e-001  -1.940501185236709e+000  -2.833637196734232e-001   2.225857373942898e-001
