---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.FileName = "RTH1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
 8.500000000000000e-001  -1.894567749488044e+000  -4.335505495986026e-001   6.532497036555343e-001
 8.521787709497206e-001  -1.877057742130704e+000  -4.333444957392872e-001   6.535565657032119e-001
 8.543575418994412e-001  -1.859453168722104e+000  -4.332391532270778e-001   6.540564236061083e-001
 8.565363128491619e-001  -1.841763398335974e+000  -4.332295792677601e-001   6.547452675804837e-001
 8.587150837988825e-001  -1.823997844750917e+000  -4.333100198240101e-001   6.556182096422241e-001
 8.608938547486031e-001  -1.806165917603387e+000  -4.334740073466324e-001   6.566692737040266e-001
 8.630726256983238e-001  -1.788276962904509e+000  -4.337146065325138e-001   6.578914851438441e-001
 8.652513966480444e-001  -1.770340209076744e+000  -4.340245144968431e-001   6.592768279078933e-001
 8.674301675977650e-001  -1.752364651540647e+000  -4.343962322527961e-001   6.608162416792448e-001
 8.696089385474857e-001  -1.734358972822410e+000  -4.348222111733879e-001   6.624998393044388e-001
 8.717877094972063e-001  -1.716331423819862e+000  -4.352949488927801e-001   6.643169339151387e-001
 8.739664804469269e-001  -1.698289625933155e+000  -4.358071383479803e-001   6.662561434236548e-001
 8.761452513966476e-001  -1.680240510760221e+000  -4.363517591007701e-001   6.683055505222412e-001
 8.783240223463682e-001  -1.662190129393501e+000  -4.369222175471211e-001   6.704527289665589e-001
 8.805027932960888e-001  -1.644143453974914e+000  -4.375125374496702e-001   6.726848324736673e-001
 8.826815642458095e-001  -1.626104371626069e+000  -4.381174089321770e-001   6.749886916947844e-001
 8.848603351955301e-001  -1.608075441296890e+000  -4.387323802043147e-001   6.773508392211760e-001
 8.870391061452507e-001  -1.590057784685065e+000  -4.393539615493198e-001   6.797576014819365e-001
 8.892178770949714e-001  -1.572051144109342e+000  -4.399795951223205e-001   6.821951768338498e-001
