---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.FileName = "RTROC.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.pz
 8.500000000000000e-001  -1.911548876671048e+000  -4.166266997840737e-001   8.418818632947670e-001
 8.521787709497206e-001  -1.890093813235201e+000  -4.162407923952533e-001   8.417101291526722e-001
 8.543575418994412e-001  -1.868462114726970e+000  -4.159642701800037e-001   8.416436058558309e-001
 8.565363128491619e-001  -1.846671465538731e+000  -4.157961845537524e-001   8.416740648790598e-001
 8.587150837988825e-001  -1.824741240245428e+000  -4.157343819470994e-001   8.417930896999135e-001
 8.608938547486031e-001  -1.802692487963305e+000  -4.157755460315733e-001   8.419923019042220e-001
 8.630726256983238e-001  -1.780547535239398e+000  -4.159154459843746e-001   8.422635604586959e-001
 8.652513966480444e-001  -1.758329876966944e+000  -4.161489761651108e-001   8.425991171226621e-001
 8.674301675977650e-001  -1.736063951729688e+000  -4.164702094035233e-001   8.429918738144611e-001
 8.696089385474857e-001  -1.713774767944241e+000  -4.168725719841753e-001   8.434354396202698e-001
 8.717877094972063e-001  -1.691487710074024e+000  -4.173488671839852e-001   8.439242771065129e-001
 8.739664804469269e-001  -1.669228140491742e+000  -4.178913672623191e-001   8.444538451095990e-001
 8.761452513966476e-001  -1.647021092489923e+000  -4.184919716181295e-001   8.450205173755326e-001
 8.783240223463682e-001  -1.624890932257573e+000  -4.191422738213643e-001   8.456216801760272e-001
 8.805027932960888e-001  -1.602860865116105e+000  -4.198337287056728e-001   8.462557024748593e-001
 8.826815642458095e-001  -1.580952726221415e+000  -4.205577840183400e-001   8.469217702737789e-001
 8.848603351955301e-001  -1.559186464051514e+000  -4.213060147301011e-001   8.476198877361223e-001
 8.870391061452507e-001  -1.537579711631830e+000  -4.220703141093701e-001   8.483506930039636e-001
 8.892178770949714e-001  -1.516147730962098e+000  -4.228429936405693e-001   8.491152801246369e-001
