---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.FileName = "TRNK1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
 8.500000000000000e-001  -1.907579269462390e+000  -2.093906719700321e-001   1.230809353381608e+000
 8.521787709497206e-001  -1.887459954531885e+000  -2.104646335594017e-001   1.230704788457459e+000
 8.543575418994412e-001  -1.867318459038719e+000  -2.115681867249987e-001   1.230708203754535e+000
 8.565363128491619e-001  -1.847158386831600e+000  -2.127055728653749e-001   1.230812028960464e+000
 8.587150837988825e-001  -1.826982596038825e+000  -2.138803255520962e-001   1.231008349911206e+000
 8.608938547486031e-001  -1.806793279071849e+000  -2.150950526997774e-001   1.231288995527833e+000
 8.630726256983238e-001  -1.786592146765337e+000  -2.163514703744129e-001   1.231645653740092e+000
 8.652513966480444e-001  -1.766380482413462e+000  -2.176503232606599e-001   1.232069926155398e+000
 8.674301675977650e-001  -1.746159223869316e+000  -2.189912759998334e-001   1.232553416236625e+000
 8.696089385474857e-001  -1.725929078396640e+000  -2.203730295808844e-001   1.233087791227420e+000
 8.717877094972063e-001  -1.705690567801059e+000  -2.217932502824586e-001   1.233664836902800e+000
 8.739664804469269e-001  -1.685444114184464e+000  -2.232485270172494e-001   1.234276537828409e+000
 8.761452513966476e-001  -1.665190111718103e+000  -2.247344961272341e-001   1.234915105282942e+000
 8.783240223463682e-001  -1.644928980328093e+000  -2.262457600139659e-001   1.235573046738580e+000
 8.805027932960888e-001  -1.624661236923179e+000  -2.277758925097270e-001   1.236243243028234e+000
 8.826815642458095e-001  -1.604387518410838e+000  -2.293175635575183e-001   1.236918961349944e+000
 8.848603351955301e-001  -1.584108632170807e+000  -2.308624698497783e-001   1.237593957299587e+000
 8.870391061452507e-001  -1.563825627461818e+000  -2.324014315998708e-001   1.238262561518415e+000
 8.892178770949714e-001  -1.543539867086810e+000  -2.339245486729872e-001   1.238919706972433e+000
 8.913966480446920e-001  -1.523253198194429e+000  -2.354212342160946e-001   1.239561105963448e+000
