---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.FileName = "lfbk.txt"
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Search = 
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.px
col2  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.py
col3  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.px  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.py  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.pz
 8.500000000000000e-001  -1.807649543616861e+000  -2.180128254814822e-001   5.872635821387476e-001
 8.511174785100286e-001  -1.794249839080916e+000  -2.185886131219288e-001   5.825352679620482e-001
 8.522349570200573e-001  -1.780647484215899e+000  -2.192046739972751e-001   5.777542645408195e-001
 8.533524355300859e-001  -1.766776032675522e+000  -2.198618568789563e-001   5.729203506294192e-001
 8.544699140401145e-001  -1.752617464263289e+000  -2.205518920464469e-001   5.680390339980410e-001
 8.555873925501432e-001  -1.738217677224452e+000  -2.212554388085902e-001   5.631227465933445e-001
 8.567048710601718e-001  -1.723667121773706e+000  -2.219460766205519e-001   5.581883266723362e-001
 8.578223495702004e-001  -1.709057996963077e+000  -2.225985161868801e-001   5.532522148094208e-001
 8.589398280802291e-001  -1.694440912922818e+000  -2.231974006658087e-001   5.483260519694454e-001
 8.600573065902577e-001  -1.679799611114567e+000  -2.237433114220286e-001   5.434147037644573e-001
 8.611747851002863e-001  -1.665051736547545e+000  -2.242534344682841e-001   5.385171988749495e-001
 8.622922636103150e-001  -1.650077745113630e+000  -2.247550393356339e-001   5.336302779117503e-001
 8.634097421203436e-001  -1.634771077472293e+000  -2.252726855185777e-001   5.287535408560686e-001
 8.645272206303722e-001  -1.619086764877981e+000  -2.258152037962339e-001   5.238939767092933e-001
 8.656446991404009e-001  -1.603060223387607e+000  -2.263703344999322e-001   5.190672888950970e-001
 8.667621776504295e-001  -1.586784060013635e+000  -2.269105841267100e-001   5.142949759160997e-001
 8.678796561604582e-001  -1.570361472543803e+000  -2.274055256885804e-001   5.095990608025679e-001
 8.689971346704868e-001  -1.553867031443572e+000  -2.278324393579372e-001   5.049975293010689e-001
 8.701146131805154e-001  -1.537333754129174e+000  -2.281802338243957e-001   5.005024212103494e-001
 8.712320916905441e-001  -1.520761890374289e+000  -2.284476410258812e-001   4.961203096150766e-001
 8.723495702005727e-001  -1.504135159459445e+000  -2.286391854830337e-001   4.918539734934775e-001
 8.734670487106013e-001  -1.487433936860701e+000  -2.287615867219511e-001   4.877042654615984e-001
 8.745845272206300e-001  -1.470643004305056e+000  -2.288213814673069e-001   4.836716648283398e-001
 8.757020057306586e-001  -1.453754907884567e+000  -2.288237480785473e-001   4.797572274969806e-001
 8.768194842406872e-001  -1.436770095420717e+000  -2.287723826702167e-001   4.759627712165575e-001
 8.779369627507159e-001  -1.419694734533199e+000  -2.286701606518491e-001   4.722903234729427e-001
 8.790544412607445e-001  -1.402537242292068e+000  -2.285201840722905e-001   4.687410265192412e-001
