Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  1.000000000000000e-02,  1.934757584595404e-01,  1.176167482570971e-01,  2.045670489462650e-01,  1.246971606516323e-01, -9.197358130883075e-02,  1.241097164385361e-01
  2.000000000000000e-02,  1.887779239484466e-01,  1.167098245122582e-01,  2.034820082199377e-01,  1.208596625222185e-01, -8.470933039244757e-02,  1.285991834285401e-01
  3.000000000000001e-02,  1.839402287510263e-01,  1.156690780621403e-01,  2.024439518863053e-01,  1.168652403718076e-01, -7.696330950652661e-02,  1.332324971945506e-01
  4.000000000000000e-02,  1.789545817123204e-01,  1.144409665064308e-01,  2.014741194691135e-01,  1.126989272419132e-01, -6.864647917243079e-02,  1.380111821902392e-01
  5.000000000000001e-02,  1.738476662491042e-01,  1.129963495114912e-01,  2.005927454538671e-01,  1.083812593084808e-01, -5.976705542088204e-02,  1.429009261702520e-01
  6.000000000000000e-02,  1.686575177976818e-01,  1.113268918443955e-01,  1.998120816814128e-01,  1.039488041929027e-01, -5.039106317130623e-02,  1.478558772545979e-01
  7.000000000000001e-02,  1.634191870012776e-01,  1.094189171177713e-01,  1.991436425010464e-01,  9.943996779278742e-02, -4.058922161266876e-02,  1.528285302321926e-01
  8.000000000000000e-02,  1.581678844399981e-01,  1.072612819442864e-01,  1.985958284887626e-01,  9.489861470868398e-02, -3.045258746847175e-02,  1.577680722300550e-01
  9.000000000000001e-02,  1.529377077257818e-01,  1.048458246870887e-01,  1.981737711012993e-01,  9.037278255141779e-02, -2.009104324635061e-02,  1.626222146301404e-01
  1.000000000000000e-01,  1.477602292018244e-01,  1.021677398611991e-01,  1.978794131134588e-01,  8.591284577541174e-02, -9.630377076231546e-03,  1.673393552307937e-01
  1.100000000000000e-01,  1.426630604156851e-01,  9.922587272524730e-02,  1.977118156101959e-01,  8.156927409058395e-02,  7.918817424543130e-04,  1.718708611667577e-01
  1.200000000000000e-01,  1.376685259390430e-01,  9.602292834732640e-02,  1.976676548637655e-01,  7.739019117240996e-02,  1.103158132320512e-02,  1.761732403391909e-01
  1.300000000000000e-01,  1.327925797514630e-01,  9.256558658916481e-02,  1.977418488931814e-01,  7.341897348254324e-02,  2.094363082173896e-02,  1.802099796512479e-01
  1.400000000000000e-01,  1.280440807956305e-01,  8.886451035941145e-02,  1.979282370249456e-01,  6.969213018749212e-02,  3.038780339530766e-02,  1.839528716020008e-01
  1.500000000000000e-01,  1.234245119541318e-01,  8.493423129997524e-02,  1.982202293895895e-01,  6.623767332927812e-02,  3.923420735153313e-02,  1.873827189903372e-01
  1.600000000000000e-01,  1.189281828879416e-01,  8.079289711855542e-02,  1.986113489285359e-01,  6.307412856531922e-02,  4.736802078214179e-02,  1.904893877449871e-01
  1.700000000000000e-01,  1.145429081185713e-01,  7.646186971417857e-02,  1.990956059548256e-01,  6.021026130861269e-02,  5.469317548755746e-02,  1.932712558281086e-01
  1.800000000000000e-01,  1.102511043114510e-01,  7.196517350188181e-02,  1.996676719262381e-01,  5.764551313031076e-02,  6.113479584930775e-02,  1.957341692298691e-01
  1.900000000000000e-01,  1.060312110359621e-01,  6.732880786822082e-02,  2.003228500670868e-01,  5.537107013951737e-02,  6.664032933720970e-02,  1.978900563894681e-01
  2.000000000000000e-01,  1.018593119244265e-01,  6.257995436088337e-02,  2.010568698772206e-01,  5.337142754473194e-02,  7.117942923789798e-02,  1.997553676102551e-01
  2.100000000000000e-01,  9.771082039149678e-02,  5.774612515227839e-02,  2.018655548378136e-01,  5.162627796247565e-02,  7.474275210117000e-02,  2.013494987376264e-01
  2.200000000000000e-01,  9.356209605086797e-02,  5.285431168269450e-02,  2.027444240237947e-01,  5.011253690786889e-02,  7.733990271084847e-02,  2.026933341605735e-01
  2.300000000000000e-01,  8.939187286760489e-02,  4.793019879012617e-02,  2.036882878029526e-01,  4.880632569361106e-02,  7.899679473954307e-02,  2.038080100455957e-01
  2.400000000000000e-01,  8.518240482901740e-02,  4.299750869848618e-02,  2.046908871503914e-01,  4.768475583745187e-02,  7.975269758940888e-02,  2.047139610789157e-01
  2.500000000000000e-01,  8.092026574051994e-02,  3.807753060518815e-02,  2.057446093035481e-01,  4.672739477732953e-02,  7.965721524635884e-02,  2.054302778812652e-01
  2.600000000000000e-01,  7.659677295067076e-02,  3.318887598751630e-02,  2.068402943292078e-01,  4.591733455009124e-02,  7.876739945763313e-02,  2.059743709089339e-01
  2.700000000000000e-01,  7.220803725288465e-02,  2.834747870731791e-02,  2.079671320161066e-01,  4.524182784859121e-02,  7.714514583068616e-02,  2.063619116866047e-01
  2.800000000000000e-01,  6.775467027895067e-02,  2.356683461000886e-02,  2.091126393000343e-01,  4.469249521909565e-02,  7.485496539702827e-02,  2.066070040557235e-01
  2.900000000000000e-01,  6.324120432195338e-02,  1.885845003542075e-02,  2.102627061371068e-01,  4.426514002676835e-02,  7.196217205438757e-02,  2.067225264463809e-01
