Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos[0],Main.HumanModel.BodyModel.Left.ShoulderArm.Joints.RadioCarpalJointDeviation.Pos[0]
  1.000000000000000e-02,  2.468873310491360e+00,  2.136516849769700e-01,  1.772346012917853e+00,  2.026195653440764e-02,  7.100412419791181e-01,  2.054155180149521e-01,  1.682582662024323e-01,  5.092765952314504e-01, -1.997390904423629e-01,  6.042852913690893e-01,  9.970793758045203e-01,  1.703281014214923e-01,  1.163167814509855e-01
  2.000000000000000e-02,  2.467989663112450e+00,  2.134627737429036e-01,  1.773621763314059e+00,  2.027403502405882e-02,  7.101287859190941e-01,  2.053681553329067e-01,  1.693821515441743e-01,  5.104743577513270e-01, -2.000284484396726e-01,  6.050518388622400e-01,  9.958920750713908e-01,  1.700783812520896e-01,  1.162821682504862e-01
  3.000000000000001e-02,  2.467089478050837e+00,  2.131855251247508e-01,  1.775021067021243e+00,  2.030080927934287e-02,  7.102105624061750e-01,  2.053229597989749e-01,  1.704852702104018e-01,  5.116841173216201e-01, -2.002893753737506e-01,  6.057708799910682e-01,  9.947539292835780e-01,  1.698588796030401e-01,  1.162020991299201e-01
  4.000000000000000e-02,  2.466159489771165e+00,  2.128068025154738e-01,  1.776575285942583e+00,  2.034423692477864e-02,  7.102869919730183e-01,  2.052795930097937e-01,  1.715778535238467e-01,  5.129045543250496e-01, -2.004984490610923e-01,  6.064178206060670e-01,  9.937004199670204e-01,  1.696919484292612e-01,  1.160640605615985e-01
  5.000000000000001e-02,  2.465202316206946e+00,  2.123158866747013e-01,  1.778294062957815e+00,  2.040624663959979e-02,  7.103568481427613e-01,  2.052385962808948e-01,  1.726549378881984e-01,  5.141191795680675e-01, -2.006378085156728e-01,  6.069760950632428e-01,  9.927543204157943e-01,  1.695890658212665e-01,  1.158611874077027e-01
  6.000000000000000e-02,  2.464230046732684e+00,  2.117050246618805e-01,  1.780172373595213e+00,  2.048850599810912e-02,  7.104180618829948e-01,  2.052009768034749e-01,  1.737034508577749e-01,  5.153081319848333e-01, -2.006964134695573e-01,  6.074410155305705e-01,  9.919287462758195e-01,  1.695559531038611e-01,  1.155932796530152e-01
  7.000000000000001e-02,  2.463254274308286e+00,  2.109665465883927e-01,  1.782205816842719e+00,  2.059269307405083e-02,  7.104686478318580e-01,  2.051676972352744e-01,  1.747134783748913e-01,  5.164491882113864e-01, -2.006598470295198e-01,  6.078086612489098e-01,  9.912362654829276e-01,  1.695987774300072e-01,  1.152603416211317e-01
  8.000000000000000e-02,  2.462288813364491e+00,  2.100940222048777e-01,  1.784386037800936e+00,  2.072036809702543e-02,  7.105064889529669e-01,  2.051397977779745e-01,  1.756752419414369e-01,  5.175178759074230e-01, -2.005136921675377e-01,  6.080797139178583e-01,  9.906855767798081e-01,  1.697219762842399e-01,  1.148647449179608e-01
  9.000000000000001e-02,  2.461349294622347e+00,  2.090826286439016e-01,  1.786700788859622e+00,  2.087290705217648e-02,  7.105294200527965e-01,  2.051183549818878e-01,  1.765794031919370e-01,  5.184881953891145e-01, -2.002441501195314e-01,  6.082599541634984e-01,  9.902807238810585e-01,  1.699277823712837e-01,  1.144114490095668e-01
  1.000000000000000e-01,  2.460452545427852e+00,  2.079295332881578e-01,  1.789134213857865e+00,  2.105142527150647e-02,  7.105353371809126e-01,  2.051044271422680e-01,  1.774174568893052e-01,  5.193335655552911e-01, -1.998386884282544e-01,  6.083605712184921e-01,  9.900204482574578e-01,  1.702157817804451e-01,  1.139081464194942e-01
  1.100000000000000e-01,  2.459615810655535e+00,  2.066342520980115e-01,  1.791667333034868e+00,  2.125669780601621e-02,  7.105223222275049e-01,  2.050989916579502e-01,  1.781821767384099e-01,  5.200279163943518e-01, -1.992866573932541e-01,  6.083982404342009e-01,  9.898977298130682e-01,  1.705825337276122e-01,  1.133653014405635e-01
  1.200000000000000e-01,  2.458855883350077e+00,  2.051989425101514e-01,  1.794278693378754e+00,  2.148908407379993e-02,  7.104887701990218e-01,  2.051028807168188e-01,  1.788680697222410e-01,  5.205468480073001e-01, -1.985798164558767e-01,  6.083949360926721e-01,  9.898995753390698e-01,  1.710212948760797e-01,  1.127960552284878e-01
  1.300000000000000e-01,  2.458188220692036e+00,  2.036285941095665e-01,  1.796945139239534e+00,  2.174846415659893e-02,  7.104335063505200e-01,  2.051167218790125e-01,  1.794717923725783e-01,  5.208687729044780e-01, -1.977127214048928e-01,  6.083774629658460e-01,  9.900070996779043e-01,  1.715218891830310e-01,  1.122159759623479e-01
  1.400000000000000e-01,  2.457626119168264e+00,  2.019310887728606e-01,  1.799642652920749e+00,  2.203419326912629e-02,  7.103558815740736e-01,  2.051408895310614e-01,  1.799924857306802e-01,  5.209759632918366e-01, -1.966829371860035e-01,  6.083767093207192e-01,  9.901959242180068e-01,  1.720707569319621e-01,  1.116426436950617e-01
  1.500000000000000e-01,  2.457180014090763e+00,  2.001171134238954e-01,  1.802347214253297e+00,  2.234507955624885e-02,  7.102558369074444e-01,  2.051754719155424e-01,  1.804319936653752e-01,  5.208554365484661e-01, -1.954910577180009e-01,  6.084266444567263e-01,  9.904368931163777e-01,  1.726512040807038e-01,  1.110950743431923e-01
  1.600000000000000e-01,  2.456856954652859e+00,  1.981999212630148e-01,  1.805035631286020e+00,  2.267938866856573e-02,  7.101339313153908e-01,  2.052202567151806e-01,  1.807949399920697e-01,  5.204996281443635e-01, -1.941405316031342e-01,  6.085631034048014e-01,  9.906970817309536e-01,  1.732438565054644e-01,  1.105930039067673e-01
