Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos[0],Main.HumanModel.BodyModel.Right.ShoulderArm.Joints.RadioCarpalJointDeviation.Pos[0]
  1.000000000000000e-02,  1.845608235284461e-01, -1.758691374529714e+00, -1.515371323672624e-01,  1.226297153522865e-02,  7.324277634860528e-01,  1.933048505596360e-01,  2.729426733030061e-01,  5.437537557960703e-01, -1.695758257814523e-01,  6.553975708458712e-01,  8.827256266232929e-01,  1.805074006884110e-01,  4.030271620602200e-02
  2.000000000000000e-02,  1.863228292548490e-01, -1.759566076474064e+00, -1.531966955209376e-01,  1.196487079764057e-02,  7.327196723879372e-01,  1.931490478977790e-01,  2.738092337926278e-01,  5.418889448547007e-01, -1.701162379721743e-01,  6.543953378062273e-01,  8.809496099844079e-01,  1.796183230705887e-01,  4.020471775813303e-02
  3.000000000000001e-02,  1.880803819742267e-01, -1.760444761958118e+00, -1.548424116436132e-01,  1.167103343051788e-02,  7.330110727153252e-01,  1.929930485667073e-01,  2.745761907279477e-01,  5.400740926901958e-01, -1.707265396987878e-01,  6.533229867975999e-01,  8.792162484525226e-01,  1.787526562502876e-01,  4.008128198821109e-02
  4.000000000000000e-02,  1.898364384079964e-01, -1.761323110741533e+00, -1.564780498470564e-01,  1.138075490482978e-02,  7.333033136246772e-01,  1.928360918978241e-01,  2.752249902624536e-01,  5.383474704989900e-01, -1.714204054242565e-01,  6.521519467268484e-01,  8.775628563577083e-01,  1.779157635426970e-01,  3.992840303260333e-02
  5.000000000000001e-02,  1.915793712610223e-01, -1.762191762739435e+00, -1.580935006761667e-01,  1.109579096965454e-02,  7.335949761577271e-01,  1.926789196367696e-01,  2.757379746721305e-01,  5.367440062931566e-01, -1.722038539234874e-01,  6.508753645809076e-01,  8.760194307548825e-01,  1.771213271324937e-01,  3.974281110478345e-02
  6.000000000000000e-02,  1.932919924144264e-01, -1.763041618796161e+00, -1.596732852531789e-01,  1.081879211755147e-02,  7.338832192532314e-01,  1.925230752433688e-01,  2.761017202355278e-01,  5.352872739666420e-01, -1.730764489073516e-01,  6.494996670833409e-01,  8.746070512670941e-01,  1.763806859534787e-01,  3.952441696271521e-02
  7.000000000000001e-02,  1.949601474723548e-01, -1.763863395585311e+00, -1.612052900511069e-01,  1.055176443394327e-02,  7.341659315126166e-01,  1.923697130995678e-01,  2.763053307424296e-01,  5.340014947160815e-01, -1.740393707047403e-01,  6.480302131357618e-01,  8.733463075416816e-01,  1.757060678795735e-01,  3.927317199006741e-02
  8.000000000000000e-02,  1.965705435240253e-01, -1.764648014824076e+00, -1.626784668786254e-01,  1.029648627801454e-02,  7.344411525450429e-01,  1.922199172753472e-01,  2.763414798515852e-01,  5.329070425161248e-01, -1.750930124366160e-01,  6.464756456329978e-01,  8.722540899984745e-01,  1.751093269528035e-01,  3.899016153459858e-02
  9.000000000000001e-02,  1.981110862504352e-01, -1.765386919132773e+00, -1.640830736738962e-01,  1.005447545577554e-02,  7.347071131025843e-01,  1.920746783748354e-01,  2.762068984117616e-01,  5.320193995585195e-01, -1.762368169572078e-01,  6.448479661959275e-01,  8.713427586119342e-01,  1.746014334555022e-01,  3.867774599178497e-02
  1.000000000000000e-01,  1.995712120390896e-01, -1.766072368650737e+00, -1.654109031936598e-01,  9.826959716635886e-03,  7.349622778316420e-01,  1.919348683816473e-01,  2.759027525320926e-01,  5.313483394226256e-01, -1.774690946459643e-01,  6.431624971990901e-01,  8.706194884757020e-01,  1.741919465743631e-01,  3.833967201160911e-02
