Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.000000000000000e-02,  1.098008452190999e+00,  3.672008872799742e-01,  8.780154481109406e-01,  2.897128281926977e-01,  2.282469777134828e+00,  2.296437062282944e+00,  3.019978934986578e-04, -3.413941880015378e-15, -6.530408081777358e-03,  9.676520966010122e-04,  4.840805180013735e-03, -2.092452698521528e-02,  1.708764631823382e-03,  1.066995182109169e-02, -3.695035826981806e-02,  2.458580157560426e-03,  1.672029491453629e-02, -5.316438318365663e-02,  3.171494357493812e-03,  2.268895436185726e-02, -6.858045314005279e-02,  3.881088781146846e-03,  2.814778591106008e-02, -8.392473619218861e-02,  4.250129665026117e-03,  3.406323857969428e-02, -9.190488314844600e-02, -4.440892098500626e-16,  1.249000902703301e-15, -1.526556658859590e-16,  1.110223024625157e-16,  4.371503159461554e-15,  4.003741782554471e-15,  4.440892098500626e-16, -7.452372052796363e-15, -6.758482662405640e-15, -8.881784197001254e-16,  8.465450562766820e-15,  5.835609773185980e-15,  4.440892098500627e-16, -3.871902798380234e-15, -3.518019209280965e-15, -5.551115123125783e-16,  1.318389841742373e-15,  5.093148125467906e-15, -2.553512956637860e-15,  6.571132527000146e-15
  2.000000000000000e-02,  1.093515400938488e+00,  3.661137630384104e-01,  8.771438291766247e-01,  2.903108365126872e-01,  2.276043138280265e+00,  2.296620418078739e+00,  3.195808030934630e-04,  3.858031755563326e-15, -6.469702677064640e-03,  1.023990699283240e-03,  4.862296415020274e-03, -2.073001664787847e-02,  1.808252259666891e-03,  1.071732213110499e-02, -3.660687491859736e-02,  2.601723515743247e-03,  1.679452632318092e-02, -5.267017740710763e-02,  3.356144978459661e-03,  2.278968422644287e-02, -6.794294257245891e-02,  4.107053381008752e-03,  2.827275080001678e-02, -8.314458815069135e-02,  4.497580548851861e-03,  3.421446570792334e-02, -9.105055321124589e-02,  5.551115123125783e-16,  6.245004513516506e-16,  6.314393452555578e-16,  0.000000000000000e+00, -4.343747583845926e-15, -4.059252933785729e-15, -8.881784197001252e-16,  1.344757638577221e-14,  1.074140776324839e-14,  1.443289932012704e-15, -1.178224184883447e-14, -1.193489751472043e-14,  1.110223024625157e-16,  1.207367539279858e-15,  2.706168622523819e-15, -4.440892098500626e-16, -3.663735981263017e-15, -1.713906794265085e-15,  3.025357742103552e-15,  7.334410856429940e-15
  3.000000000000001e-02,  1.088927326301149e+00,  3.649969740069279e-01,  8.762696701848420e-01,  2.910978444896532e-01,  2.269587698163690e+00,  2.296443486665501e+00,  3.321562055070242e-04, -1.137980551509005e-15, -6.406397061802451e-03,  1.064284405878240e-03,  4.886824166405195e-03, -2.052717479812254e-02,  1.879406407895054e-03,  1.077138543583398e-02, -3.624867905468141e-02,  2.704100504182296e-03,  1.687924595584201e-02, -5.215480318464576e-02,  3.488208210229830e-03,  2.290464630635498e-02, -6.727812534709197e-02,  4.268664618317367e-03,  2.841537209323894e-02, -8.233102382295895e-02,  4.674558905346270e-03,  3.438705985623941e-02, -9.015962953531359e-02,  2.220446049250313e-16, -2.844946500601964e-15, -5.336009412104659e-15, -5.551115123125783e-16,  8.729128531115293e-15,  5.856426454897701e-15,  1.110223024625156e-16, -5.495603971894523e-15, -4.232725281383409e-15, -3.330669073875469e-16,  3.316791286067654e-15,  6.168676680573524e-15,  1.665334536937735e-15, -1.305899832715340e-14, -1.481453848484193e-14, -1.221245327087672e-15,  6.633582572135310e-15,  7.716050021144838e-15, -8.090750291955828e-15,  1.482147737874584e-14
  4.000000000000000e-02,  1.084221773504346e+00,  3.638398091308874e-01,  8.754122876405374e-01,  2.921669022002090e-01,  2.263212084653074e+00,  2.295755660598926e+00,  3.366936985576179e-04, -6.383793118091546e-16, -6.341383194696826e-03,  1.078823297561477e-03,  4.915938952107264e-03, -2.031885942186855e-02,  1.905080453334741e-03,  1.083555933858591e-02, -3.588081755933487e-02,  2.741040465076578e-03,  1.697980935084383e-02, -5.162552199732929e-02,  3.535859647253599e-03,  2.304110791129960e-02, -6.659536855600516e-02,  4.326977652105482e-03,  2.858466557325191e-02, -8.149550610684009e-02,  4.738416747499540e-03,  3.459193153663771e-02, -8.924466499029245e-02,  1.110223024625157e-16,  1.290634266126744e-15,  1.811051308919787e-15,  1.110223024625157e-16, -7.216449660063518e-16,  1.595945597898663e-15,  0.000000000000000e+00, -4.427014310692812e-15, -5.641320743876577e-15, -1.110223024625157e-16,  8.520961713998076e-15,  8.180955912706622e-15,  5.551115123125783e-16, -4.898859096158503e-15, -4.538036613155327e-15, -1.110223024625157e-16,  2.775557561562891e-16, -4.649058915617843e-16, -3.136380044566066e-15,  6.036837696399289e-16
  5.000000000000001e-02,  1.079399152472950e+00,  3.626364737895410e-01,  8.745982527999100e-01,  2.935590445741770e-01,  2.257073489546668e+00,  2.294472568875589e+00,  3.309413046999548e-04,  8.049130176910046e-15, -6.276387058811575e-03,  1.060391659138964e-03,  4.951037848455946e-03, -2.011060085945299e-02,  1.872532255531525e-03,  1.091292323135242e-02, -3.551305639088094e-02,  2.694209935121108e-03,  1.710104205412448e-02, -5.109638516086334e-02,  3.475449674018035e-03,  2.320561716702555e-02, -6.591279797313351e-02,  4.253051470009462e-03,  2.878875480700904e-02, -8.066021626146062e-02,  4.657461150430311e-03,  3.483891154006693e-02, -8.832994998350771e-02, -3.330669073875470e-16, -2.498001805406602e-16,  1.734723475976807e-16,  6.661338147750939e-16, -2.567390744445674e-15, -6.661338147750939e-16, -1.110223024625157e-16,  1.637578961322106e-15, -6.453171330633722e-16, -1.443289932012704e-15,  8.049116928532385e-15,  6.827871601444713e-15,  1.887379141862766e-15, -1.157407503171726e-14, -9.603429163007604e-15, -5.551115123125783e-16,  5.134781488891349e-15,  7.029099524658022e-15, -3.219646771412954e-15,  1.283695372222837e-15
  6.000000000000000e-02,  1.074471391584575e+00,  3.613842101033981e-01,  8.738499845770287e-01,  2.952304805790026e-01,  2.251303404990546e+00,  2.292592459936740e+00,  3.140344496775545e-04, -2.636783934806785e-15, -6.212642141730085e-03,  1.006219249132837e-03,  4.992452702436483e-03, -1.990635141266761e-02,  1.776869880008701e-03,  1.100420856100415e-02, -3.515237486912340e-02,  2.556570371481154e-03,  1.724409027576079e-02, -5.057743455992689e-02,  3.297898782250669e-03,  2.339972944725498e-02, -6.524336732730909e-02,  4.035775102328769e-03,  2.902956938223503e-02, -7.984100630033893e-02,  4.419524636254508e-03,  3.513033497050499e-02, -8.743284384809688e-02,  4.440892098500626e-16, -1.831867990631508e-15,  1.047772979489991e-15, -1.110223024625157e-16,  3.747002708109903e-16, -8.465450562766819e-16, -3.330669073875469e-16,  2.803313137178519e-15,  4.142519660632615e-15,  2.220446049250313e-16, -1.887379141862766e-15, -2.761679773755077e-15,  4.440892098500626e-16,  2.345346139520643e-15,  1.582067810090848e-15,  0.000000000000000e+00, -5.426215032855453e-15, -4.697631172945194e-15, -4.218847493575595e-15,  1.187938636348917e-14
  7.000000000000001e-02,  1.069447079240517e+00,  3.600777114297882e-01,  8.731893097256033e-01,  2.970860815732095e-01,  2.246027322496723e+00,  2.290127295813450e+00,  2.852649627022373e-04, -2.498005751558332e-16, -6.150767585558557e-03,  9.140369690917471e-04,  5.039810524940224e-03, -1.970809491722535e-02,  1.614086354435568e-03,  1.110859319657160e-02, -3.480227622452881e-02,  2.322356519848850e-03,  1.740766569956889e-02, -5.007371066211477e-02,  2.995769967531519e-03,  2.362169654440024e-02, -6.459357866993683e-02,  3.666047579245657e-03,  2.930494048263376e-02, -7.904583305266145e-02,  4.014640851716395e-03,  3.546357721985565e-02, -8.656206000381300e-02,  3.330669073875471e-16, -3.816391647148976e-15, -6.800116025829086e-16, -4.440892098500626e-16,  4.746203430272544e-15,  2.380040609040179e-15,  9.992007221626411e-16, -5.953570969552403e-15, -6.494804694057167e-15, -5.551115123125783e-16, -1.582067810090848e-15,  3.677613769070831e-16,  0.000000000000000e+00,  4.218847493575594e-15, -3.330669073875469e-16,  4.440892098500625e-16, -8.049116928532383e-16,  2.157996004115148e-15, -1.262878690511116e-15,  4.253541963095131e-15
  8.000000000000000e-02,  1.064335258143245e+00,  3.587106941801226e-01,  8.726344959707394e-01,  2.989734739289633e-01,  2.241348224213204e+00,  2.287122729311880e+00,  2.445483272765127e-04, -4.607432685354686e-15, -6.090703111290273e-03,  7.835740139409381e-04,  5.091805954958144e-03, -1.951563822889036e-02,  1.383703467540076e-03,  1.122319990199231e-02, -3.446241938616081e-02,  1.990880327158954e-03,  1.758725956708914e-02, -4.958472273268527e-02,  2.568175662121947e-03,  2.386540020418982e-02, -6.396279896794982e-02,  3.142782747420851e-03,  2.960727783730188e-02, -7.827392184967746e-02,  3.441620364476210e-03,  3.582945286902245e-02, -8.571675012107462e-02,  3.330669073875470e-16,  3.996802888650564e-15,  6.425415755018093e-15, -4.440892098500626e-16,  6.661338147750939e-16, -3.129441150662160e-15, -1.110223024625157e-16,  7.077671781985373e-16,  1.991462550421375e-15,  0.000000000000000e+00, -1.804112415015879e-16,  1.262878690511116e-15,  0.000000000000000e+00, -1.082467449009528e-15, -7.355227538141662e-16,  2.220446049250313e-16,  5.606626274357041e-15,  6.952771691715043e-15, -7.729927808952652e-15,  1.824929096727601e-15
  9.000000000000001e-02,  1.059145081854962e+00,  3.572760654531258e-01,  8.721991206365023e-01,  3.006960108587192e-01,  2.237341141794881e+00,  2.283652729508778e+00,  1.924172233433895e-04,  4.912744338861820e-15, -6.031753003385638e-03,  6.165371798928089e-04,  5.146303565268089e-03, -1.932675215804957e-02,  1.088735229221742e-03,  1.134332183509667e-02, -3.412886785625810e-02,  1.566478367798205e-03,  1.777549604478558e-02, -4.910480691643717e-02,  2.020709916382729e-03,  2.412083163489621e-02, -6.334372201876050e-02,  2.472826277583799e-03,  2.992416459688335e-02, -7.751633178918496e-02,  2.707959779188650e-03,  3.621293558160769e-02, -8.488712313452440e-02, -2.220446049250313e-16,  1.720845688168993e-15,  5.828670879282072e-16,  2.220446049250313e-16, -3.136380044566066e-15, -1.151856388048600e-15,  3.330669073875470e-16,  5.245803791353865e-15,  4.767020111984266e-15, -3.330669073875469e-16, -1.817990202823693e-15, -1.616762279610384e-15,  3.330669073875469e-16,  7.910339050454238e-16, -1.276756478318930e-15,  4.440892098500625e-16, -7.771561172376094e-16, -1.582067810090848e-15, -1.568190022283033e-15,  1.748601263784622e-15
  1.000000000000000e-01,  1.053885443158624e+00,  3.557662139402016e-01,  8.718915629968834e-01,  3.020334387778220e-01,  2.234053552301500e+00,  2.279809527365935e+00,  1.298987479757765e-04, -2.053915649933890e-15, -5.972732631265512e-03,  4.162174588981357e-04,  5.200484666643691e-03, -1.913764094883063e-02,  7.349931606714239e-04,  1.146274612919412e-02, -3.379491875722743e-02,  1.057512291113618e-03,  1.796263929062570e-02, -4.862431907560479e-02,  1.364159006136979e-03,  2.437477958174618e-02, -6.272390717505896e-02,  1.669377781454522e-03,  3.023921095495277e-02, -7.675783873667194e-02,  1.828113818357198e-03,  3.659419111956245e-02, -8.405650729317597e-02,  2.220446049250313e-16, -9.159339953157541e-16,  2.498001805406602e-16,  9.992007221626409e-16, -9.020562075079397e-15, -1.009609063018502e-14, -1.332267629550188e-15,  1.038058528024521e-14,  1.306593722105731e-14,  4.440892098500626e-16, -5.231926003546050e-15, -6.522560269672795e-15,  3.330669073875469e-16, -7.382983113757289e-15, -4.760081218080358e-15, -3.330669073875470e-16,  1.405819904931604e-14,  1.160876950123679e-14, -1.153244166829381e-14,  1.146305272925474e-14
