Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristAbduction
 7.500600000000000e+000,-6.371557425538111e-001, 1.832231124193422e-001,-4.586402006829662e-001, 5.756183406910287e-002,-7.930475073719186e-002, 2.705097293510670e-001, 4.578451003775233e-001, 5.812715188572741e-001, 4.997421784398428e-001, 1.719165670975448e-001
 7.504766999999999e+000,-6.371213893667463e-001, 1.824663682715473e-001,-4.585242111187897e-001, 5.787486718394952e-002,-7.998047724622318e-002, 2.682811575350781e-001, 4.618479699556468e-001, 5.835935607123411e-001, 4.968619427200882e-001, 1.711299918785393e-001
 7.508933999999999e+000,-6.371047957757837e-001, 1.817271931963362e-001,-4.584092498683504e-001, 5.817248124329266e-002,-8.063016972181082e-002, 2.660406316297225e-001, 4.657138787776375e-001, 5.858684270918597e-001, 4.940990996904802e-001, 1.704089223087715e-001
 7.513101000000000e+000,-6.371087335819510e-001, 1.810101571194502e-001,-4.582949116681675e-001, 5.845203204454541e-002,-8.125200835275361e-002, 2.637906651388472e-001, 4.694367501845026e-001, 5.880871800579595e-001, 4.914680536902316e-001, 1.697518151900615e-001
 7.517268000000000e+000,-6.371339326326936e-001, 1.803191080886466e-001,-4.581811813284253e-001, 5.871115179242237e-002,-8.184658111278505e-002, 2.615325227449301e-001, 4.730125643647629e-001, 5.902409815894948e-001, 4.889824125118789e-001, 1.691565311838101e-001
 7.521434999999999e+000,-6.371837655051078e-001, 1.796593554807917e-001,-4.580673002348136e-001, 5.894672753415442e-002,-8.241272192153391e-002, 2.592688622475524e-001, 4.764361368327660e-001, 5.923192279974606e-001, 4.866577312654536e-001, 1.686218410574726e-001
 7.525601999999999e+000,-6.372588595710221e-001, 1.790354665331917e-001,-4.579529457526068e-001, 5.915580404951726e-002,-8.295205646883214e-002, 2.570017865168551e-001, 4.797028606347676e-001, 5.943102200092271e-001, 4.845096021313999e-001, 1.681464104151964e-001
 7.529768999999999e+000,-6.373606586213800e-001, 1.784523117821362e-001,-4.578373127567051e-001, 5.933507920670866e-002,-8.346636519516762e-002, 2.547328639935282e-001, 4.828093344017641e-001, 5.962016464306764e-001, 4.825535448813989e-001, 1.677294113426880e-001
 7.533936000000000e+000,-6.374904331359179e-001, 1.779151101665508e-001,-4.577194004898884e-001, 5.948091128747746e-002,-8.395794621570457e-002, 2.524644647791053e-001, 4.857511928426444e-001, 5.979791967886279e-001, 4.808061583608105e-001, 1.673707582480810e-001
 7.538103000000000e+000,-6.376492882914240e-001, 1.774289519208845e-001,-4.575979313124520e-001, 5.958946344105387e-002,-8.442995155609127e-002, 2.501982278069483e-001, 4.885251881089803e-001, 5.996278470920453e-001, 4.792835747082194e-001, 1.670708581312867e-001
 7.542269999999999e+000,-6.378380189568803e-001, 1.769990064995251e-001,-4.574714290767598e-001, 5.965665989006186e-002,-8.488604955491591e-002, 2.479363917350657e-001, 4.911274433364239e-001, 6.011308938524800e-001, 4.780021938474404e-001, 1.668308215855368e-001
 7.546436999999999e+000,-6.380571410695416e-001, 1.766300772437797e-001,-4.573381601607175e-001, 5.967831482805841e-002,-8.533065245236024e-002, 2.456803052988738e-001, 4.935552650218523e-001, 6.024711818620611e-001, 4.769773393477390e-001, 1.666522213307569e-001
 7.550604000000000e+000,-6.383067104342892e-001, 1.763266952532698e-001,-4.571962420749171e-001, 5.965017365321756e-002,-8.576853433228468e-002, 2.434316989337420e-001, 4.958056778945164e-001, 6.036304982654983e-001, 4.762235740073324e-001, 1.665371331018669e-001
 7.554771000000000e+000,-6.385862619573832e-001, 1.760928051189925e-001,-4.570436802899736e-001, 5.956807104833062e-002,-8.620476197028910e-002, 2.411922084257121e-001, 4.978761433701586e-001, 6.045903886295679e-001, 4.757537271855941e-001, 1.664878844840885e-001
 7.558938000000000e+000,-6.388948734487736e-001, 1.759314826685610e-001,-4.568783681572433e-001, 5.942801232038941e-002,-8.664469995357554e-002, 2.389623560852019e-001, 4.997655818035055e-001, 6.053330433151187e-001, 4.755781489010218e-001, 1.665068344681770e-001
 7.563104999999999e+000,-6.392309303644853e-001, 1.758449388490864e-001,-4.566982596638288e-001, 5.922635332263337e-002,-8.709354971540455e-002, 2.367431009836303e-001, 5.014731561299655e-001, 6.058411491740355e-001, 4.757044490664457e-001, 1.665961461167177e-001
 7.567271999999999e+000,-6.395923302104869e-001, 1.758343055846019e-001,-4.565013113466372e-001, 5.895980734203454e-002,-8.755655072198090e-002, 2.345343335789714e-001, 5.029998924251539e-001, 6.060989031316233e-001, 4.761368273896491e-001, 1.667574933555578e-001
 7.571439000000000e+000,-6.399762146079080e-001, 1.758996592586304e-001,-4.562857640629266e-001, 5.862579493458431e-002,-8.803887150811737e-002, 2.323361553984716e-001, 5.043480198088463e-001, 6.060921983151313e-001, 4.768755889472485e-001, 1.669917276962251e-001
 7.575606000000000e+000,-6.403795161602239e-001, 1.760399008037519e-001,-4.560496760785866e-001, 5.822186474150115e-002,-8.854474572231891e-002, 2.301486406734847e-001, 5.055216134750087e-001, 6.058093002963613e-001, 4.779165871958888e-001, 1.672986950556097e-001
