Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
 7.500600000000000e+000,-1.106518345329823e-001, 7.252479539696521e-002, 2.708472225142935e-001, 2.580515147624215e-001,-8.207526664465584e-002,-5.114404456702118e-002
 7.504766999999999e+000,-1.097423809771232e-001, 7.278234920825399e-002, 2.582879886197673e-001, 2.681224262499259e-001,-7.950302041632318e-002,-3.840796641461120e-002
 7.508933999999999e+000,-1.085516943913405e-001, 7.308753034037974e-002, 2.453896658711756e-001, 2.787164964268485e-001,-7.662716084123328e-002,-2.550017031059054e-002
 7.513101000000000e+000,-1.070711400314038e-001, 7.343596730547741e-002, 2.322031086504880e-001, 2.898349913280410e-001,-7.343630506860466e-002,-1.248715066330641e-002
 7.517268000000000e+000,-1.052931538744886e-001, 7.382345458085271e-002, 2.187792807890169e-001, 3.014803274325275e-001,-6.991895632619546e-002, 5.664844686456355e-004
 7.521434999999999e+000,-1.032119913186665e-001, 7.424540259705958e-002, 2.051738205053757e-001, 3.136491598257897e-001,-6.606489158659906e-002, 1.359237921206066e-002
 7.525601999999999e+000,-1.008238287733451e-001, 7.469748650129415e-002, 1.914456280272583e-001, 3.263342721680962e-001,-6.186503002015999e-002, 2.652146992509136e-002
 7.529768999999999e+000,-9.812558738954709e-002, 7.517556729231867e-002, 1.776480947975727e-001, 3.395298263688250e-001,-5.730915506101589e-002, 3.929131362989979e-002
 7.533936000000000e+000,-9.511666080438255e-002, 7.567549321537204e-002, 1.638379324808930e-001, 3.532223051103643e-001,-5.238883560406234e-002, 5.183792203238076e-002
 7.538103000000000e+000,-9.179715870194163e-002, 7.619341790537337e-002, 1.500648655004269e-001, 3.673991082338480e-001,-4.709434749166342e-002, 6.410517879310988e-002
 7.542269999999999e+000,-8.816970733092361e-002, 7.672547865147639e-002, 1.363789195572061e-001, 3.820402327449083e-001,-4.141759411068363e-002, 7.603802581728260e-002
 7.546436999999999e+000,-8.423729097441919e-002, 7.726808119888928e-002, 1.228208283107051e-001, 3.971273114471082e-001,-3.534871236558299e-002, 8.759074906996775e-002
