Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 7.500600000000000e+000, 1.912111211440401e+000, 1.067953908631738e+000,-9.377065395182829e+000,-6.192957812903943e-002, 2.893188392465187e+000, 3.170581239604475e-002,-2.670153021124809e-001, 4.369767958465974e-002, 3.380630251793886e-001,-1.273774155689045e-001, 2.774954142731021e-001,-2.612441472653072e-001
 7.504766999999999e+000, 1.909258666846471e+000, 1.067468491446751e+000,-9.376382058826213e+000,-6.358121236738556e-002, 2.896784720101760e+000, 3.079420546020639e-002,-2.666220672020414e-001, 4.249084034585982e-002, 3.376930048182659e-001,-1.285165504084482e-001, 2.767918537916365e-001,-2.620484070477459e-001
 7.508933999999999e+000, 1.906390214119802e+000, 1.066993001236674e+000,-9.375672075502575e+000,-6.518220264655472e-002, 2.900452600434123e+000, 2.988196857604875e-002,-2.662211038863117e-001, 4.123662156905325e-002, 3.372580323933076e-001,-1.296357838473538e-001, 2.761013881353326e-001,-2.628471249471644e-001
 7.513101000000000e+000, 1.903509668239256e+000, 1.066528811130298e+000,-9.374935650066956e+000,-6.672851697634741e-002, 2.904195089998021e+000, 2.897087613666693e-002,-2.658135697031525e-001, 3.993611845829739e-002, 3.367572492641078e-001,-1.307333700957898e-001, 2.754273976423745e-001,-2.636374824063635e-001
 7.517268000000000e+000, 1.900619835058897e+000, 1.066077102146356e+000,-9.374172783099230e+000,-6.821672236232645e-002, 2.908017010001628e+000, 2.806227148913854e-002,-2.654007381875761e-001, 3.858910932814990e-002, 3.361880996843074e-001,-1.318085942591734e-001, 2.747715920777675e-001,-2.644184071750286e-001
 7.521434999999999e+000, 1.897724278107546e+000, 1.065639149722023e+000,-9.373383703329118e+000,-6.964342427226145e-002, 2.911922230727178e+000, 2.715765184095487e-002,-2.649842844386769e-001, 3.719738584564720e-002, 3.355506530163056e-001,-1.328601346905033e-001, 2.741378450529968e-001,-2.651867292928537e-001
 7.525601999999999e+000, 1.894826675751687e+000, 1.065216193656307e+000,-9.372568742484544e+000,-7.100523626299538e-002, 2.915914736451272e+000, 2.625843638320413e-002,-2.645660458465675e-001, 3.576165096300375e-002, 3.348432073185823e-001,-1.338872228126341e-001, 2.735280284197161e-001,-2.659410836615074e-001
 7.529768999999999e+000, 1.891929629908124e+000, 1.064809266290190e+000,-9.371727982746156e+000,-7.229963763981351e-002, 2.919999926532680e+000, 2.536560215900918e-002,-2.641479122164052e-001, 3.428285389832978e-002, 3.340650059257759e-001,-1.348894015372409e-001, 2.729443880344599e-001,-2.666797170627311e-001
 7.533936000000000e+000, 1.889036697051879e+000, 1.064419478109258e+000,-9.370861836238433e+000,-7.352397937349231e-002, 2.924181765870069e+000, 2.448030106355636e-002,-2.637320807011542e-001, 3.276275698275391e-002, 3.332160736683568e-001,-1.358659427426218e-001, 2.723892959711184e-001,-2.674005805141246e-001
 7.538103000000000e+000, 1.886150461897397e+000, 1.064047735988069e+000,-9.369970493420645e+000,-7.467638628778106e-002, 2.928465380723337e+000, 2.360325711352118e-002,-2.633207537065618e-001, 3.120299648616454e-002, 3.322967817128269e-001,-1.368164862684890e-001, 2.718648452181743e-001,-2.681018184711893e-001
