Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  2.791890000000000e+00, -6.801433198846930e-01,  7.743340212362382e-02, -3.380234272773814e-03,  6.672038045072323e-01, -2.269911798726545e-01, -3.380234273135105e-03, -3.579885022342122e-02,  1.148221404125677e-03,  9.980668369989645e-02,  1.940214910529857e-02,  6.419278871312244e-01,  5.012619089902102e-01,  2.641346411616010e-01
  2.796057000000000e+00, -6.813298148636676e-01,  7.708217510150406e-02, -3.484227405658429e-03,  6.671265125777994e-01, -2.269991189527365e-01, -3.484227408940454e-03, -3.792993503322051e-02,  2.172397389352283e-03,  9.958137470133506e-02,  1.660030278244837e-02,  6.383400239799545e-01,  5.037315842005814e-01,  2.634025759004681e-01
  2.800224000000000e+00, -6.824874186311518e-01,  7.671411096582315e-02, -3.596181344581261e-03,  6.670532632733451e-01, -2.270036801174202e-01, -3.596181349088623e-03, -3.994403738065944e-02,  3.124805111285444e-03,  9.939682962120430e-02,  1.390518261328381e-02,  6.347731286640008e-01,  5.061385537402798e-01,  2.627105793443728e-01
  2.804391000000000e+00, -6.836109416908408e-01,  7.632347067196510e-02, -3.718617140998363e-03,  6.669849493697454e-01, -2.270039537665069e-01, -3.718617146969538e-03, -4.183941354092080e-02,  3.998414098801029e-03,  9.925457822264637e-02,  1.132228941126625e-02,  6.312201426102518e-01,  5.084847824721956e-01,  2.620613713122055e-01
  2.808558000000000e+00, -6.847014842764193e-01,  7.590546063193249e-02, -3.853447282261967e-03,  6.669218404110262e-01, -2.269994136194144e-01, -3.853447283500850e-03, -4.360762604669022e-02,  4.820320997375746e-03,  9.915678485733939e-02,  8.839760082195221e-03,  6.277104829225130e-01,  5.107704822589705e-01,  2.614632495393709e-01
  2.812725000000000e+00, -6.857483714070591e-01,  7.545368252504603e-02, -4.003634120148477e-03,  6.668653644173982e-01, -2.269888398727682e-01, -4.003634121784574e-03, -4.525359210085078e-02,  5.550529836667605e-03,  9.910192770992102e-02,  6.476705984245360e-03,  6.242032625640074e-01,  5.129999624925965e-01,  2.609122023348885e-01
  2.816892000000000e+00, -6.867522649367835e-01,  7.496377658226971e-02, -4.170908078877886e-03,  6.668158012165024e-01, -2.269717425119100e-01, -4.170908081167063e-03, -4.677026183906818e-02,  6.210733591552730e-03,  9.909034929997464e-02,  4.221798054570046e-03,  6.207231167428691e-01,  5.151741272173656e-01,  2.604145372730420e-01
  2.821059000000000e+00, -6.877104854232606e-01,  7.443134484279135e-02, -4.357117108129645e-03,  6.667737306559882e-01, -2.269474856191365e-01, -4.357117111110894e-03, -4.815490324509941e-02,  6.802028021004617e-03,  9.912078879200832e-02,  2.072612106326369e-03,  6.172733473492945e-01,  5.172952235666410e-01,  2.599723452686233e-01
  2.825226000000000e+00, -6.886206167148583e-01,  7.385261776242169e-02, -4.563829269143014e-03,  6.667396655690280e-01, -2.269155212349223e-01, -4.563829272986625e-03, -4.940522559967508e-02,  7.324758866993131e-03,  9.919128615297727e-02,  2.623801269909747e-05,  6.138567913532216e-01,  5.193656307264112e-01,  2.595869734266064e-01
  2.829393000000000e+00, -6.894805624383264e-01,  7.322456517822218e-02, -4.792284563588415e-03,  6.667140386736121e-01, -2.268754049769606e-01, -4.792284568453480e-03, -5.051938346489226e-02,  7.778623206814832e-03,  9.929926324890125e-02, -1.920669178498449e-03,  6.104758447034730e-01,  5.213878084446502e-01,  2.592590293764847e-01
