Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 2.791890000000000e+000,-6.423588529016527e-001, 1.148921733636967e-001,-3.430137309546298e-001, 5.517942580974993e-001,-5.397315109046899e-001, 3.523360385700050e-001, 1.689507209128651e-001,-2.133515689111200e-001, 3.223260323355960e-001, 5.792223308925651e-001, 6.293927784450218e-001, 4.650173032066265e-001, 1.438216074283134e-001
 2.796057000000000e+000,-6.422342053610022e-001, 1.152915856148158e-001,-3.432199485777822e-001, 5.515834185759434e-001,-5.398484514641797e-001, 3.529038765461873e-001, 1.710335356905561e-001,-2.114902507926750e-001, 3.232770771414307e-001, 5.799616599883307e-001, 6.284984756741718e-001, 4.666167291320296e-001, 1.441200341935824e-001
 2.800224000000000e+000,-6.421315356182230e-001, 1.156660377298242e-001,-3.434198642823400e-001, 5.513813202607009e-001,-5.399594588389629e-001, 3.534431471709217e-001, 1.728907939119213e-001,-2.095172533121617e-001, 3.241094706028898e-001, 5.806129512009002e-001, 6.275254595918430e-001, 4.683439553752491e-001, 1.444228240835723e-001
 2.804391000000000e+000,-6.420514792178105e-001, 1.160093768053179e-001,-3.436121659022887e-001, 5.511905687876055e-001,-5.400629878313781e-001, 3.539462891740201e-001, 1.745200495531309e-001,-2.074406306331029e-001, 3.248258259933112e-001, 5.811838714480401e-001, 6.264764421950460e-001, 4.701937619546679e-001, 1.447282667512213e-001
 2.808558000000000e+000,-6.419946588104653e-001, 1.163166283774810e-001,-3.437958221082739e-001, 5.510132475363706e-001,-5.401577979328991e-001, 3.544072118771136e-001, 1.759184881532436e-001,-2.052687549119667e-001, 3.254291522550842e-001, 5.816815997342802e-001, 6.253548013047436e-001, 4.721602838183454e-001, 1.450344943339339e-001
 2.812725000000000e+000,-6.419616501480741e-001, 1.165836672443459e-001,-3.439699343019711e-001, 5.508510973130389e-001,-5.402428565077273e-001, 3.548208298890378e-001, 1.770833587291034e-001,-2.030103008334483e-001, 3.259226846227459e-001, 5.821128317293535e-001, 6.241646006605324e-001, 4.742369598871656e-001, 1.453394834714333e-001
 2.816892000000000e+000,-6.419529435780259e-001, 1.168072957915451e-001,-3.441337461064625e-001, 5.507054893338751e-001,-5.403173564648003e-001, 3.551831535269756e-001, 1.780119908819500e-001,-2.006742702424355e-001, 3.263097927946381e-001, 5.824836792968289e-001, 6.229106392054723e-001, 4.764165286788091e-001, 1.456410606645013e-001
 2.821059000000000e+000,-6.419689100865890e-001, 1.169853005995081e-001,-3.442866480617670e-001, 5.505774072336481e-001,-5.403807284794395e-001, 3.554913524164560e-001, 1.787018277709767e-001,-1.982700341883938e-001, 3.265938909096149e-001, 5.827995711813819e-001, 6.215984722377326e-001, 4.786910460406615e-001, 1.459369263330761e-001
 2.825226000000000e+000,-6.420097726732468e-001, 1.171164831953724e-001,-3.444281778955279e-001, 5.504674393036843e-001,-5.404326469244141e-001, 3.557437879078121e-001, 1.791504775183019e-001,-1.958073828940169e-001, 3.267783502254862e-001, 5.830651561518745e-001, 6.202344128043232e-001, 4.810519169192942e-001, 1.462246901719571e-001
 2.829393000000000e+000,-6.420755833870225e-001, 1.172006617945449e-001,-3.445580169735139e-001, 5.503757817720194e-001,-5.404730289137607e-001, 3.559400111954584e-001, 1.793557846979133e-001,-1.932965717125361e-001, 3.268664163552020e-001, 5.832842095326243e-001, 6.188255237646380e-001, 4.834899314738412e-001, 1.465019103244696e-001
 2.833560000000000e+000,-6.421662071323273e-001, 1.172386446229756e-001,-3.446759837720245e-001, 5.503022524484046e-001,-5.405020267544058e-001, 3.560807284475858e-001, 1.793159207985382e-001,-1.907483519467941e-001, 3.268611350471013e-001, 5.834595442710930e-001, 6.173796070948626e-001, 4.859952977474373e-001, 1.467661313340740e-001
 2.837727000000000e+000,-6.422813137642068e-001, 1.172321788686583e-001,-3.447820253570282e-001, 5.502463127474569e-001,-5.405200149028522e-001, 3.561677382551494e-001, 1.790294901134537e-001,-1.881739776201271e-001, 3.267652915695961e-001, 5.835929281472673e-001, 6.159051923731297e-001, 4.885576659616779e-001, 1.470149185869348e-001
