Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
 2.791890000000000e+000,-2.235955046176742e-001, 5.776367143232508e-002,-1.786930364331185e-001, 1.431057560774266e-001,-2.511417799100359e-001, 4.840232562772720e-002
 2.796057000000000e+000,-2.283964074510709e-001, 5.859169714586909e-002,-1.815452014830574e-001, 1.455904409479286e-001,-2.531992606037601e-001, 4.859867789461853e-002
 2.800224000000000e+000,-2.329653204335792e-001, 5.954051953435302e-002,-1.846480288783062e-001, 1.484925176741080e-001,-2.550845300845266e-001, 4.911518501798190e-002
 2.804391000000000e+000,-2.372916722317758e-001, 6.061683287771835e-002,-1.880481930927802e-001, 1.518306083783863e-001,-2.567818438906567e-001, 4.998739027046068e-002
 2.808558000000000e+000,-2.413668048434160e-001, 6.182607632250559e-002,-1.917957113890579e-001, 1.556217614203766e-001,-2.582740707098319e-001, 5.125712261016475e-002
 2.812725000000000e+000,-2.451821697476615e-001, 6.317172375442137e-002,-1.959400001144646e-001, 1.598827267482587e-001,-2.595435570630244e-001, 5.296685084431176e-002
 2.816892000000000e+000,-2.487292787465303e-001, 6.465471214745056e-002,-2.005287319114297e-001, 1.646299752443479e-001,-2.605720329469881e-001, 5.515876307656010e-002
 2.821059000000000e+000,-2.519997186658913e-001, 6.627297516070874e-002,-2.056067567470416e-001, 1.698797514428431e-001,-2.613404680038465e-001, 5.787363561778579e-002
 2.825226000000000e+000,-2.549852159713241e-001, 6.802109265015921e-002,-2.112149610915122e-001, 1.756481409814993e-001,-2.618288881306432e-001, 6.114946826298916e-002
 2.829393000000000e+000,-2.576798541315936e-001, 6.989109755448553e-002,-2.173915549739152e-001, 1.819500131618854e-001,-2.620153498025973e-001, 6.502352210197412e-002
 2.833560000000000e+000,-2.600718096961547e-001, 7.186820539157912e-002,-2.241603953851938e-001, 1.888034941054652e-001,-2.618790385560467e-001, 6.951634058282191e-002
 2.837727000000000e+000,-2.621559562555544e-001, 7.393692795818607e-002,-2.315445610201831e-001, 1.962233623000293e-001,-2.613952824767327e-001, 7.465137892220689e-002
