Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 2.791890000000000e+000, 2.445813813405569e+000, 1.061349926740324e+000,-3.379198701871959e+000,-1.434505066753843e-002, 1.248506212913143e+000,-8.497873759107389e-003,-5.207805816324972e-002, 3.011587925324982e-002, 3.866790151726602e-001,-2.109456328403481e-001, 1.277298983388836e-001,-1.961301330851947e-001
 2.796057000000000e+000, 2.445857800327543e+000, 1.060202011715194e+000,-3.385385599605065e+000,-1.526410468014993e-002, 1.246301740048741e+000,-8.164699132194871e-003,-5.198808121186897e-002, 3.022741655653444e-002, 3.893586599771751e-001,-2.114641726622476e-001, 1.284077318298096e-001,-1.988501691429700e-001
 2.800224000000000e+000, 2.445871779717629e+000, 1.059059907677369e+000,-3.391601534007780e+000,-1.613790459482909e-002, 1.244147893835804e+000,-7.922813351289765e-003,-5.188844957042642e-002, 3.017070178827449e-002, 3.920010040047171e-001,-2.120399209906498e-001, 1.290415717513860e-001,-2.015359781045286e-001
 2.804391000000000e+000, 2.445855817300049e+000, 1.057926444984809e+000,-3.397847368056534e+000,-1.695227913491044e-002, 1.242027397433131e+000,-7.766419589274233e-003,-5.178592052013207e-002, 2.993410702700641e-002, 3.946234981163307e-001,-2.126833401607206e-001, 1.296312101459410e-001,-2.041843812446006e-001
 2.808558000000000e+000, 2.445809923275277e+000, 1.056804414031732e+000,-3.404124086145480e+000,-1.769142217900471e-002, 1.239924271757691e+000,-7.687464794288086e-003,-5.168765722262946e-002, 2.950750523618997e-002, 3.972422522284461e-001,-2.134038305074505e-001, 1.301774050174521e-001,-2.067923614539658e-001
 2.812725000000000e+000, 2.445734045577204e+000, 1.055696435211999e+000,-3.410432702209155e+000,-1.834185537645123e-002, 1.237824153469747e+000,-7.679236677548339e-003,-5.159970104446900e-002, 2.888270636801854e-002, 3.998717097947253e-001,-2.142092118521592e-001, 1.306818491895607e-001,-2.093571059041407e-001
 2.816892000000000e+000, 2.445628071554928e+000, 1.054604916200254e+000,-3.416774239235367e+000,-1.889307941528653e-002, 1.235714850531109e+000,-7.736767453397893e-003,-5.152671236878603e-002, 2.805369938511504e-002, 4.025240538103668e-001,-2.151055572435520e-001, 1.311470873246966e-001,-2.118760608306479e-001
 2.821059000000000e+000, 2.445491845444723e+000, 1.053532024032348e+000,-3.423149706520554e+000,-1.933787288555357e-002, 1.233586649748862e+000,-7.856906867110805e-003,-5.147184624763811e-002, 2.701684510327107e-002, 4.052088553288807e-001,-2.160970696967968e-001, 1.315764096074638e-001,-2.143469873078599e-001
 2.825226000000000e+000, 2.445325190362453e+000, 1.052479670000418e+000,-3.429560075208517e+000,-1.967232317720917e-002, 1.231432487528277e+000,-8.038169032153000e-003,-5.143673395864407e-002, 2.577100503333837e-002, 4.079328567542565e-001,-2.171860026864651e-001, 1.319737264213978e-001,-2.167680141882670e-001
 2.829393000000000e+000, 2.445127947414448e+000, 1.051449645499092e+000,-3.436006348279867e+000,-1.989070231630759e-002, 1.229247840374070e+000,-8.276186607745253e-003,-5.142365927833176e-002, 2.431679858035043e-002, 4.107000610778062e-001,-2.183735470976416e-001, 1.323436354396281e-001,-2.191376581740230e-001
 2.833560000000000e+000, 2.444899896894647e+000, 1.050443067701750e+000,-3.442489155440677e+000,-2.000499260478209e-002, 1.227031873701300e+000,-8.580361716890968e-003,-5.142728026604895e-002, 2.265976826132168e-002, 4.135104512263742e-001,-2.196562163105190e-001, 1.326904955153257e-001,-2.214549665413767e-001
 2.837727000000000e+000, 2.444640879733797e+000, 1.049461216006588e+000,-3.449009285706149e+000,-2.001518870366715e-002, 1.224786244386884e+000,-8.948333315894440e-003,-5.144719129992224e-002, 2.080554868691913e-002, 4.163612978638339e-001,-2.210312232881391e-001, 1.330193732069900e-001,-2.237193720418142e-001
 2.841894000000000e+000, 2.444350696301067e+000, 1.048505001958725e+000,-3.455567291324814e+000,-1.992833035992541e-002, 1.222516368655420e+000,-9.382335191874324e-003,-5.147992067171187e-002, 1.876283365256234e-002, 4.192457853428123e-001,-2.224930838338395e-001, 1.333352029900295e-001,-2.259308124398763e-001
 2.846061000000000e+000, 2.444029100159827e+000, 1.047575122745334e+000,-3.462163550414410e+000,-1.975333379190365e-002, 1.220231547957583e+000,-9.884828732039457e-003,-5.152113231918241e-002, 1.654238361591436e-002, 4.221529062019641e-001,-2.240345907218389e-001, 1.336428150661798e-001,-2.280896939806582e-001
