Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.791890000000000e+00,  3.877218831754051e-01,  1.910454674477913e-01,  6.117202250784277e-01,  1.822899543709114e-01,  2.393408329186359e-02,  1.205654213526890e-01
  2.796057000000000e+00,  3.872453739762330e-01,  1.921010254840143e-01,  6.208827561405569e-01,  1.675629053706369e-01,  2.608290418592339e-02,  1.122299684994427e-01
  2.800224000000000e+00,  3.869885139577077e-01,  1.929740800797151e-01,  6.291032327881919e-01,  1.541607592003482e-01,  2.801775416471028e-02,  1.044563289439058e-01
  2.804391000000000e+00,  3.869320188627499e-01,  1.936804908106964e-01,  6.364267103910618e-01,  1.421055447296616e-01,  2.968408598554634e-02,  9.728505474826836e-02
  2.808558000000000e+00,  3.870564140710374e-01,  1.942334454292503e-01,  6.429136331413809e-01,  1.314126633131761e-01,  3.103752983578575e-02,  9.073767885780246e-02
  2.812725000000000e+00,  3.873424437325498e-01,  1.946432671502212e-01,  6.486316647864404e-01,  1.220900754128948e-01,  3.204541071171792e-02,  8.482371989478713e-02
  2.816892000000000e+00,  3.877720544003422e-01,  1.949177244892435e-01,  6.536483212174403e-01,  1.141380839569008e-01,  3.268689738964185e-02,  7.954628779388395e-02
  2.821059000000000e+00,  3.883281707541526e-01,  1.950624153593907e-01,  6.580255417155076e-01,  1.075486599175528e-01,  3.295336549889096e-02,  7.490752673560801e-02
  2.825226000000000e+00,  3.889947491469136e-01,  1.950812962316137e-01,  6.618155063182405e-01,  1.023052445088223e-01,  3.284792428902687e-02,  7.091233386401768e-02
  2.829393000000000e+00,  3.897566988597265e-01,  1.949771737175885e-01,  6.650577577438570e-01,  9.838276316655102e-02,  3.238459668794768e-02,  6.757081759216083e-02
  2.833560000000000e+00,  3.905997745000296e-01,  1.947520955352089e-01,  6.677774037198561e-01,  9.574789007453549e-02,  3.158723505980320e-02,  6.489958548958592e-02
  2.837727000000000e+00,  3.915109423376509e-01,  1.944076176910539e-01,  6.699838692746314e-01,  9.435985981824616e-02,  3.048787830477191e-02,  6.292160364019815e-02
  2.841894000000000e+00,  3.924781439289754e-01,  1.939448706659901e-01,  6.716708879460411e-01,  9.417105905323328e-02,  2.912567285286146e-02,  6.166589072307117e-02
  2.846061000000000e+00,  3.934908877118480e-01,  1.933645098216372e-01,  6.728166141523618e-01,  9.512828666233990e-02,  2.754517706583274e-02,  6.116586300330553e-02
  2.850228000000000e+00,  3.945405673528339e-01,  1.926665104710374e-01,  6.733846147181758e-01,  9.717389751291766e-02,  2.579509597889490e-02,  6.145753335962315e-02
  2.854395000000000e+00,  3.956208655714756e-01,  1.918498642896993e-01,  6.733254335991303e-01,  1.002470245259897e-01,  2.392711612937445e-02,  6.257729758244630e-02
  2.858562000000000e+00,  3.967281046205346e-01,  1.909122138908441e-01,  6.725787814875077e-01,  1.042847634637349e-01,  2.199489643996434e-02,  6.455946778509783e-02
  2.862729000000000e+00,  3.978615309715156e-01,  1.898494727277529e-01,  6.710763013723262e-01,  1.092233075226828e-01,  2.005309774016116e-02,  6.743356957314066e-02
  2.866896000000000e+00,  3.990231485022782e-01,  1.886555153573237e-01,  6.687452179698103e-01,  1.149987552019778e-01,  1.815671782989956e-02,  7.122179823747189e-02
  2.871063000000000e+00,  4.002178763160736e-01,  1.873219353879310e-01,  6.655120713265935e-01,  1.215481568078729e-01,  1.635977427519169e-02,  7.593592500631709e-02
  2.875230000000000e+00,  4.014529253423781e-01,  1.858380060574090e-01,  6.613074759854866e-01,  1.288100158386863e-01,  1.471442297601345e-02,  8.157482070774792e-02
  2.879397000000000e+00,  4.027371761096654e-01,  1.841908359912523e-01,  6.560710255906985e-01,  1.367248095274415e-01,  1.326963744298417e-02,  8.812196562715463e-02
  2.883564000000000e+00,  4.040802478861197e-01,  1.823657725615524e-01,  6.497564267444856e-01,  1.452352711800457e-01,  1.206979691820999e-02,  9.554343439163940e-02
  2.887731000000000e+00,  4.054913517199555e-01,  1.803470562145186e-01,  6.423365112262155e-01,  1.542864321320515e-01,  1.115317858108296e-02,  1.037865081323713e-01
  2.891898000000000e+00,  4.069780016885130e-01,  1.781187001375091e-01,  6.338077418369729e-01,  1.638254044498107e-01,  1.055042960400933e-02,  1.127791224900227e-01
  2.896065000000000e+00,  4.085446854125452e-01,  1.756655409752315e-01,  6.241937595835947e-01,  1.738009193073534e-01,  1.028311776317770e-02,  1.224303566920000e-01
  2.900232000000000e+00,  4.101916205943911e-01,  1.729743904873051e-01,  6.135474790291906e-01,  1.841626830627376e-01,  1.036248018644189e-02,  1.326321507363022e-01
  2.904399000000000e+00,  4.119137028446865e-01,  1.700352164789714e-01,  6.019513388947975e-01,  1.948606249703518e-01,  1.078856578394939e-02,  1.432624074926805e-01
  2.908566000000000e+00,  4.137000454912137e-01,  1.668421650758749e-01,  5.895152301151009e-01,  2.058443814520656e-01,  1.154955178637435e-02,  1.541891238307932e-01
  2.912733000000000e+00,  4.155335444707646e-01,  1.633945180786327e-01,  5.763728748258232e-01,  2.170625609514235e-01,  1.262223155467985e-02,  1.652759506910713e-01
  2.916900000000000e+00,  4.173913285423311e-01,  1.596972266418222e-01,  5.626761664787896e-01,  2.284625634829054e-01,  1.397254243760846e-02,  1.763877414824852e-01
  2.921067000000000e+00,  4.192453904965094e-01,  1.557611596878703e-01,  5.485886723903529e-01,  2.399904310242195e-01,  1.555695739682991e-02,  1.873961834759599e-01
  2.925234000000000e+00,  4.210635482594198e-01,  1.516029797010354e-01,  5.342786708335386e-01,  2.515909315013712e-01,  1.732429405810247e-02,  1.981846911860187e-01
  2.929401000000000e+00,  4.228105842950745e-01,  1.472446797438656e-01,  5.199123637610560e-01,  2.632078299550980e-01,  1.921786537890235e-02,  2.086522460757289e-01
