Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  2.791890000000000e+00, -2.374888562739075e-01,  5.016237743912400e-02, -1.474379281577559e-01,  1.382039746652358e-01, -2.095697877106206e-01,  5.708997703661635e-02
  2.796057000000000e+00, -2.423750838018088e-01,  5.098049744173805e-02, -1.499293096751935e-01,  1.406424736011020e-01, -2.115896743668306e-01,  5.718055062102406e-02
  2.800224000000000e+00, -2.470235874600268e-01,  5.192615591235117e-02, -1.526592908085478e-01,  1.435063568982910e-01, -2.134413620166152e-01,  5.758095261751378e-02
  2.804391000000000e+00, -2.514256541712038e-01,  5.300828738869057e-02, -1.556790027194722e-01,  1.468130587332864e-01, -2.151079874856148e-01,  5.833354085557673e-02
  2.808558000000000e+00, -2.555725991045520e-01,  5.423435004949084e-02, -1.590403775476537e-01,  1.505796730694545e-01, -2.165723247376517e-01,  5.948254011430605e-02
  2.812725000000000e+00, -2.594557676563021e-01,  5.560986952977132e-02, -1.627953606918405e-01,  1.548229415078654e-01, -2.178164531240398e-01,  6.107341685468661e-02
  2.816892000000000e+00, -2.630663029559178e-01,  5.713754524331227e-02, -1.669945480690772e-01,  1.595592834212663e-01, -2.188220117124980e-01,  6.315189479036067e-02
  2.821059000000000e+00, -2.663952711355745e-01,  5.881695336179527e-02, -1.716865823488646e-01,  1.648048628533070e-01, -2.195698183719076e-01,  6.576291898190495e-02
  2.825226000000000e+00, -2.694336946003303e-01,  6.064413278055358e-02, -1.769171003644008e-01,  1.705756719244863e-01, -2.200397282635588e-01,  6.894926599229100e-02
  2.829393000000000e+00, -2.721726511319781e-01,  6.261132415794091e-02, -1.827275604335988e-01,  1.768876070930999e-01, -2.202104209791274e-01,  7.274995012324598e-02
  2.833560000000000e+00, -2.746034089520316e-01,  6.470685368150053e-02, -1.891538835396351e-01,  1.837565301397868e-01, -2.200591464973339e-01,  7.719846412523183e-02
  2.837727000000000e+00, -2.767175456587586e-01,  6.691488774631682e-02, -1.962245785365956e-01,  1.911982470247481e-01, -2.195617615991770e-01,  8.232103196339516e-02
  2.841894000000000e+00, -2.785071682510669e-01,  6.921572764332184e-02, -2.039591452484363e-01,  1.992285287343367e-01, -2.186923047774036e-01,  8.813465995124901e-02
  2.846061000000000e+00, -2.799650653572645e-01,  7.158577725611570e-02, -2.123658234271111e-01,  2.078629877964474e-01, -2.174231396322551e-01,  9.464538998053158e-02
  2.850228000000000e+00, -2.810849097663523e-01,  7.399783856660180e-02, -2.214395351940535e-01,  2.171169274586560e-01, -2.157249523955674e-01,  1.018465955072287e-01
  2.854395000000000e+00, -2.818614495026346e-01,  7.642150118842506e-02, -2.311598673649016e-01,  2.270051077374872e-01, -2.135669086334695e-01,  1.097175324272699e-01
  2.858562000000000e+00, -2.822906806263381e-01,  7.882368896171510e-02, -2.414893142165716e-01,  2.375414338700724e-01, -2.109169244112099e-01,  1.182222652268366e-01
