Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  2.791890000000000e+00,  2.447873540373596e+00,  1.050890477906604e+00, -3.389166515837370e+00,  6.019489608229870e-03,  1.267332863070507e+00,  1.628256074185867e-02,  5.510503524395183e-04, -3.339347621780425e-17, -5.927242470081493e-03,  1.765658106728525e-03,  1.544639608047852e-02, -1.899188281345638e-02,  3.117953379388098e-03,  3.404646455691063e-02, -3.353752630449864e-02,  4.486128848876328e-03,  5.335234289095375e-02, -4.825398136776755e-02,  5.786971105030087e-03,  7.239757905819691e-02, -6.224618268551667e-02,  7.081755822607178e-03,  8.981601898910972e-02, -7.617322752572278e-02,  7.755138364353205e-03,  1.086914790660515e-01, -8.341630718691601e-02, -2.533185328447853e-02,  1.085710825441297e-02,  5.206087403712842e-02, -2.533185328447856e-02,  1.085710825441299e-02,  5.206087403712844e-02, -2.533185328447857e-02,  1.085710825441303e-02,  5.206087403712842e-02, -2.533185328447863e-02,  1.085710825441274e-02,  5.206087403712838e-02, -2.533185328447869e-02,  1.085710825441305e-02,  5.206087403712832e-02, -2.533185328447877e-02,  1.085710825441250e-02,  5.206087403712825e-02,  1.136504357910900e-01,  8.141251225734887e-02
  2.796057000000000e+00,  2.447935377136643e+00,  1.049740016989364e+00, -3.395353593824959e+00,  4.996516988727199e-03,  1.265327210704440e+00,  1.643619217797148e-02,  5.498358495276038e-04, -2.229122956213135e-16, -5.925808710841594e-03,  1.761766634919083e-03,  1.554892409335729e-02, -1.898728880745461e-02,  3.111081478405163e-03,  3.427245360564364e-02, -3.352941380724581e-02,  4.476241519113905e-03,  5.370647790539736e-02, -4.824230906111764e-02,  5.774216747416104e-03,  7.287812998278882e-02, -6.223112576147615e-02,  7.066147787824591e-03,  9.041218769433272e-02, -7.615480174519539e-02,  7.738046209192453e-03,  1.094129367644975e-01, -8.339612935516959e-02, -2.545462915745434e-02,  1.103280401690923e-02,  5.215447402661158e-02, -2.545462915745429e-02,  1.103280401690895e-02,  5.215447402661168e-02, -2.545462915745429e-02,  1.103280401690872e-02,  5.215447402661162e-02, -2.545462915745441e-02,  1.103280401690831e-02,  5.215447402661146e-02, -2.545462915745470e-02,  1.103280401690842e-02,  5.215447402661116e-02, -2.545462915745513e-02,  1.103280401690719e-02,  5.215447402661071e-02,  1.152452471043035e-01,  8.160697510276231e-02
  2.800224000000000e+00,  2.447966202623573e+00,  1.048594885439244e+00, -3.401569652744460e+00,  4.017287144925618e-03,  1.263363104735041e+00,  1.649689305617109e-02,  5.455576632289876e-04, -1.630642472143217e-16, -5.924139288026776e-03,  1.748058605722094e-03,  1.565015559360467e-02, -1.898193969568376e-02,  3.086874642553705e-03,  3.449558492166353e-02, -3.351996787824129e-02,  4.441412587619584e-03,  5.405613472401051e-02, -4.822871820536853e-02,  5.729288474741347e-03,  7.335260412576261e-02, -6.221359396687948e-02,  7.011167202845247e-03,  9.100081757932962e-02, -7.613334736323765e-02,  7.677837688234249e-03,  1.101252713072981e-01, -8.337263494152825e-02, -2.556906307894523e-02,  1.120669293252697e-02,  5.225435523696006e-02, -2.556906307894512e-02,  1.120669293252705e-02,  5.225435523696018e-02, -2.556906307894518e-02,  1.120669293252706e-02,  5.225435523696009e-02, -2.556906307894535e-02,  1.120669293252599e-02,  5.225435523695986e-02, -2.556906307894572e-02,  1.120669293252607e-02,  5.225435523695943e-02, -2.556906307894627e-02,  1.120669293252482e-02,  5.225435523695879e-02,  1.168198183833150e-01,  8.182134802773341e-02
  2.804391000000000e+00,  2.447966191632251e+00,  1.047458168707685e+00, -3.407815627679644e+00,  3.100602553474108e-03,  1.261422325795501e+00,  1.647411682529020e-02,  5.379774243025631e-04, -2.827603432328066e-16, -5.922389686052734e-03,  1.723770243956088e-03,  1.575084196440250e-02, -1.897633367638768e-02,  3.043984130874509e-03,  3.471751468035231e-02, -3.351006827947822e-02,  4.379701478319835e-03,  5.440390864818602e-02, -4.821447460702075e-02,  5.649683002315838e-03,  7.382452323569390e-02, -6.219522015398935e-02,  6.913750694687835e-03,  9.158627770507281e-02, -7.611086256867819e-02,  7.571158141712949e-03,  1.108337699439258e-01, -8.334801213649663e-02, -2.567520196663407e-02,  1.137849127149989e-02,  5.236186592163340e-02, -2.567520196663389e-02,  1.137849127150008e-02,  5.236186592163355e-02, -2.567520196663391e-02,  1.137849127149941e-02,  5.236186592163349e-02, -2.567520196663419e-02,  1.137849127149884e-02,  5.236186592163315e-02, -2.567520196663469e-02,  1.137849127149797e-02,  5.236186592163256e-02, -2.567520196663543e-02,  1.137849127149699e-02,  5.236186592163174e-02,  1.183723309751538e-01,  8.205965900817859e-02
  2.808558000000000e+00,  2.447935439434325e+00,  1.046332797425448e+00, -3.414092493845742e+00,  2.263244576760962e-03,  1.259487815858896e+00,  1.637608476197946e-02,  5.268866510891295e-04,  1.778094180540990e-17, -5.920691856615965e-03,  1.688233539283606e-03,  1.585169147935844e-02, -1.897089354501725e-02,  2.981230312338627e-03,  3.493980403630519e-02, -3.350046162011081e-02,  4.289410931459023e-03,  5.475224607746577e-02, -4.820065249152199e-02,  5.533210916171182e-03,  7.429720700567861e-02, -6.217739004128050e-02,  6.771218986949956e-03,  9.217268646366912e-02, -7.608904312251162e-02,  7.415073529010924e-03,  1.115434165751915e-01, -8.332411794580487e-02, -2.577318181332067e-02,  1.154792254508172e-02,  5.247809969911867e-02, -2.577318181332059e-02,  1.154792254508136e-02,  5.247809969911870e-02, -2.577318181332061e-02,  1.154792254508148e-02,  5.247809969911868e-02, -2.577318181332067e-02,  1.154792254508152e-02,  5.247809969911863e-02, -2.577318181332074e-02,  1.154792254508108e-02,  5.247809969911847e-02, -2.577318181332091e-02,  1.154792254508100e-02,  5.247809969911833e-02,  1.199009134703152e-01,  8.232526307803287e-02
  2.812725000000000e+00,  2.447873958760042e+00,  1.045221551591381e+00, -3.420401240709630e+00,  1.519702278539603e-03,  1.257544074788773e+00,  1.620969964043998e-02,  5.121182050971399e-04, -1.075530136977086e-16, -5.919167430325284e-03,  1.640912951838127e-03,  1.595334251499464e-02, -1.896600902652211e-02,  2.897667483851049e-03,  3.516386007914628e-02, -3.349183611051159e-02,  4.169180264108456e-03,  5.510335198464391e-02, -4.818824205982502e-02,  5.378116976310247e-03,  7.477364751972912e-02, -6.216138095815994e-02,  6.581424119872351e-03,  9.276375581728233e-02, -7.606945214554864e-02,  7.207231647435250e-03,  1.122587032578782e-01, -8.330266412265054e-02, -2.586346877423054e-02,  1.171469184920284e-02,  5.260413551448259e-02, -2.586346877423048e-02,  1.171469184920240e-02,  5.260413551448267e-02, -2.586346877423050e-02,  1.171469184920292e-02,  5.260413551448263e-02, -2.586346877423058e-02,  1.171469184920274e-02,  5.260413551448254e-02, -2.586346877423070e-02,  1.171469184920236e-02,  5.260413551448237e-02, -2.586346877423096e-02,  1.171469184920186e-02,  5.260413551448217e-02,  1.214040344192196e-01,  8.262124024712614e-02
  2.816892000000000e+00,  2.447781673885131e+00,  1.044126932949591e+00, -3.426742858351754e+00,  8.805836422417630e-04,  1.255578065704422e+00,  1.597936011206420e-02,  4.935445967375668e-04, -3.989869857375254e-17, -5.917897510014444e-03,  1.581399983511148e-03,  1.605633636023780e-02, -1.896193998803616e-02,  2.792574283754571e-03,  3.539087590105038e-02, -3.348465064677444e-02,  4.017971577060639e-03,  5.545909599887544e-02, -4.817790357420910e-02,  5.183062324013693e-03,  7.525638181028174e-02, -6.214804462308254e-02,  6.342727676680027e-03,  9.336263319372268e-02, -7.605313192087974e-02,  6.945838288160549e-03,  1.129834388736076e-01, -8.328479205764089e-02, -2.594652417029127e-02,  1.187853293444107e-02,  5.274067916106306e-02, -2.594652417029121e-02,  1.187853293444054e-02,  5.274067916106320e-02, -2.594652417029121e-02,  1.187853293444070e-02,  5.274067916106318e-02, -2.594652417029130e-02,  1.187853293444009e-02,  5.274067916106304e-02, -2.594652417029148e-02,  1.187853293444036e-02,  5.274067916106281e-02, -2.594652417029174e-02,  1.187853293443959e-02,  5.274067916106250e-02,  1.228800776596360e-01,  8.294973169830611e-02
  2.821059000000000e+00,  2.447658462091554e+00,  1.043051191453677e+00, -3.433118308691445e+00,  3.529890434885905e-04,  1.253579097518124e+00,  1.568750631892749e-02,  4.710864007279419e-04, -5.377650669931726e-17, -5.916937437749671e-03,  1.509440142325412e-03,  1.616111261755964e-02, -1.895886375485742e-02,  2.665501307876444e-03,  3.562182046007375e-02, -3.347921836540640e-02,  3.835138265065709e-03,  5.582099652106462e-02, -4.817008757724089e-02,  4.947212857983207e-03,  7.574747030324490e-02, -6.213796222239016e-02,  6.054108933125593e-03,  9.397187474548561e-02, -7.604079367026247e-02,  6.629775669386738e-03,  1.137207167680734e-01, -8.327128060043903e-02, -2.602299027840010e-02,  1.203918931561762e-02,  5.288826444600799e-02, -2.602299027840007e-02,  1.203918931561809e-02,  5.288826444600807e-02, -2.602299027840006e-02,  1.203918931561766e-02,  5.288826444600805e-02, -2.602299027840019e-02,  1.203918931561726e-02,  5.288826444600789e-02, -2.602299027840042e-02,  1.203918931561672e-02,  5.288826444600762e-02, -2.602299027840078e-02,  1.203918931561649e-02,  5.288826444600724e-02,  1.243276718072749e-01,  8.331228238127594e-02
  2.825226000000000e+00,  2.447504183600590e+00,  1.041996298736369e+00, -3.439528501779804e+00, -5.962497581387952e-05,  1.251538971665523e+00,  1.533470663891565e-02,  4.447138470641342e-04,  1.006141091761618e-16, -5.916312803547610e-03,  1.424938040175418e-03,  1.626800287247688e-02, -1.895686232170756e-02,  2.516280111564489e-03,  3.585742462667359e-02, -3.347568405985236e-02,  3.620437969011196e-03,  5.619019885812269e-02, -4.816500239854273e-02,  4.670255942262900e-03,  7.624846714681890e-02, -6.213140249502130e-02,  5.715185303662815e-03,  9.459340853986443e-02, -7.603276626064767e-02,  6.258624826676117e-03,  1.144728702052983e-01, -8.326248988895037e-02, -2.609361844420342e-02,  1.219642740518861e-02,  5.304719096355286e-02, -2.609361844420331e-02,  1.219642740518853e-02,  5.304719096355294e-02, -2.609361844420331e-02,  1.219642740518804e-02,  5.304719096355289e-02, -2.609361844420345e-02,  1.219642740518768e-02,  5.304719096355270e-02, -2.609361844420375e-02,  1.219642740518726e-02,  5.304719096355236e-02, -2.609361844420425e-02,  1.219642740518612e-02,  5.304719096355179e-02,  1.257456535482110e-01,  8.370971996060542e-02
  2.829393000000000e+00,  2.447318707294549e+00,  1.040963945120605e+00, -3.445974269865519e+00, -3.572578487621755e-04,  1.249452049663731e+00,  1.491999120439614e-02,  4.144480639822629e-04, -1.691357867695629e-16, -5.916020759581200e-03,  1.327961375487062e-03,  1.637722581029211e-02, -1.895592656366934e-02,  2.345030242614990e-03,  3.609817042017489e-02, -3.347403161653590e-02,  3.374042694938382e-03,  5.656745835603533e-02, -4.816262485381032e-02,  4.352413459465670e-03,  7.676039732355645e-02, -6.212833553392172e-02,  5.326228315219562e-03,  9.522850616430344e-02, -7.602901309353648e-02,  5.832683105623151e-03,  1.152414380056589e-01, -8.325837984463645e-02, -2.615924372457597e-02,  1.235004298462601e-02,  5.321751925521342e-02, -2.615924372457583e-02,  1.235004298462611e-02,  5.321751925521358e-02, -2.615924372457585e-02,  1.235004298462553e-02,  5.321751925521353e-02, -2.615924372457604e-02,  1.235004298462499e-02,  5.321751925521327e-02, -2.615924372457642e-02,  1.235004298462430e-02,  5.321751925521281e-02, -2.615924372457703e-02,  1.235004298462314e-02,  5.321751925521215e-02,  1.271330977335184e-01,  8.414214334372418e-02
