Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  6.000000000000000e-01,  1.270349946118565e-03, -3.957696395880823e-01,  2.063961215278542e-01,  9.243190639058055e-02,  8.047041330763706e-01,  1.067170059761710e-01, -1.776863806007037e-01,  4.839618056749903e-01,  5.202420308371549e-01,  1.047197556609300e+00,  2.041989800495308e-05, -4.440892098500626e-16,  0.000000000000000e+00
  6.100000000000000e-01,  1.270349946112631e-03, -3.957696395880824e-01,  2.063961215278400e-01,  9.243190639057687e-02,  8.047041330763715e-01,  1.067170059761715e-01, -1.776863805008717e-01,  4.839618053113650e-01,  5.202420308623751e-01,  1.047197556609342e+00,  2.041989800495308e-05,  9.992007221626409e-15,  0.000000000000000e+00
  6.200000000000000e-01,  1.270349946116774e-03, -3.957696395880814e-01,  2.063961215278676e-01,  9.243190639059057e-02,  8.047041330763690e-01,  1.067170059761706e-01, -1.776863803787624e-01,  4.839618048655625e-01,  5.202420308933758e-01,  1.047197556609250e+00,  2.041990887888329e-05, -3.064215547965432e-14,  0.000000000000000e+00
  6.300000000000000e-01,  1.270349946111624e-03, -3.957696395880838e-01,  2.063961215278641e-01,  9.243190639059252e-02,  8.047041330763708e-01,  1.067170059761712e-01, -1.776863762793303e-01,  4.839617899221952e-01,  5.202420319309382e-01,  1.047197556609259e+00,  2.041989800495308e-05, -3.130828929442941e-14,  0.000000000000000e+00
  6.400000000000000e-01,  1.270349946115542e-03, -3.957696395880816e-01,  2.063961215278620e-01,  9.243190639058796e-02,  8.047041330763715e-01,  1.067170059761692e-01, -1.776863749751244e-01,  4.839617851678419e-01,  5.202420322610761e-01,  1.047197556609264e+00,  2.041989800495308e-05, -3.175237850427948e-14,  0.000000000000000e+00
  6.500000000000000e-01,  1.270349946120356e-03, -3.957696395880799e-01,  2.063961215278625e-01,  9.243190639058460e-02,  8.047041330763717e-01,  1.067170059761710e-01, -1.776863749477715e-01,  4.839617850682688e-01,  5.202420322679977e-01,  1.047197556609266e+00,  2.041989800495308e-05, -3.175237850427948e-14,  0.000000000000000e+00
  6.599999999999999e-01,  1.270349946118005e-03, -3.957696395880813e-01,  2.063961215278615e-01,  9.243190639058620e-02,  8.047041330763719e-01,  1.067170059761710e-01, -1.776863765619738e-01,  4.839617909524169e-01,  5.202420318594179e-01,  1.047197556609268e+00,  2.041989800495308e-05, -2.975397705995420e-14,  0.000000000000000e+00
  6.699999999999999e-01,  1.270349946119908e-03, -3.957696395880811e-01,  2.063961215278594e-01,  9.243190639058277e-02,  8.047041330763718e-01,  1.067170059761708e-01, -1.776863781850081e-01,  4.839617968688506e-01,  5.202420314486007e-01,  1.047197556609277e+00,  2.041990887888329e-05, -2.220446049250313e-14,  0.000000000000000e+00
  6.799999999999999e-01,  1.270349946105689e-03, -3.957696395880801e-01,  2.063961215277960e-01,  9.243190639055483e-02,  8.047041330763712e-01,  1.067170059761753e-01, -1.776863758399870e-01,  4.839617883210796e-01,  5.202420320424661e-01,  1.047197556609483e+00,  2.041989800495308e-05,  7.327471962526033e-14,  0.000000000000000e+00
  6.899999999999999e-01,  1.270349946110504e-03, -3.957696395880803e-01,  2.063961215278321e-01,  9.243190639057529e-02,  8.047041330763712e-01,  1.067170059761727e-01, -1.776863798130375e-01,  4.839618028040452e-01,  5.202420310365290e-01,  1.047197556609361e+00,  2.041989800495308e-05,  2.198241588757810e-14,  0.000000000000000e+00
