Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  6.000000000000000e-01,  3.418694393412565e-01, -2.024522403195214e-01,  1.154838554920908e-01, -6.334898198577045e-01, -2.059657155737179e+00,  1.110629867336838e+00,  3.663739163379142e-15, -1.054712789457632e-15, -4.565637390405936e-03,  1.276767863318755e-14, -6.028564780713774e-14, -1.462907089173593e-02,  2.287123027366151e-14, -1.325088025806554e-13, -2.583329176264294e-02,  3.308655070191191e-14, -2.079567431700705e-13, -3.716908540196806e-02,  4.263664811261075e-14, -2.826621013871844e-13, -4.794700073660506e-02,  5.174381511373777e-14, -3.513249592700994e-13, -5.867472732806030e-02,  5.685319845002023e-14, -4.238450361010297e-13, -6.425392802547682e-02, -2.220477506712541e-16, -3.608275948407878e-16,  1.843933254003707e-02, -2.220477506712541e-16,  8.326790650172027e-17,  1.843933254003657e-02, -4.440955013425081e-16,  2.775596883390676e-17,  1.843933254003679e-02,  1.110238753356270e-16,  6.661432520137621e-16,  1.843933254003629e-02, -3.330716260068811e-16, -8.326790650172027e-17,  1.843933254003718e-02, -4.440955013425081e-16, -5.273634078442284e-16,  1.843933254003651e-02,  1.720845688168992e-15,  8.881784197001252e-16
  6.100000000000000e-01,  3.160054515658083e-01, -2.283791120011928e-01,  1.370934492656617e-01, -7.428388159654330e-01, -2.102560110067381e+00,  1.032703911527360e+00,  3.774761562269421e-15,  1.332268786683325e-15, -4.565637390407381e-03,  1.221256217087505e-14, -6.089627591568147e-14, -1.462907089173493e-02,  2.176097637688182e-14, -1.337855945619520e-13, -2.583329176264188e-02,  3.175420637834500e-14, -2.081232862105164e-13, -3.716908540196735e-02,  4.074908817012537e-14, -2.821624531671147e-13, -4.794700073660283e-02,  4.996720343601285e-14, -3.501590578565923e-13, -5.867472732805923e-02,  5.474341178878900e-14, -4.242892017139204e-13, -6.425392802547530e-02,  1.887405880705659e-15,  1.110238753356270e-15,  1.843933254003590e-02,  1.332286504027525e-15, -1.082482784522364e-15,  1.843933254003635e-02,  1.998429756041287e-15,  0.000000000000000e+00,  1.843933254003624e-02,  1.776382005370032e-15, -1.942917818373473e-16,  1.843933254003657e-02,  2.109453631376913e-15,  5.551193766781352e-16,  1.843933254003529e-02,  1.332286504027524e-15, -1.665358130034405e-16,  1.843933254003673e-02,  1.443289932012703e-15, -1.831867990631508e-15
  6.200000000000000e-01,  2.892124088729571e-01, -2.507655506325632e-01,  1.543608258385561e-01, -8.436102789928236e-01, -2.140987412614164e+00,  9.552694508061174e-01,  4.440895955611082e-15,  3.330671966708311e-16, -4.565637390407629e-03,  1.310074851057504e-14, -6.106281085437522e-14, -1.462907089173595e-02,  2.387045878076322e-14, -1.321202137167825e-13, -2.583329176264414e-02,  3.375272286369538e-14, -2.094556305340833e-13, -3.716908540196871e-02,  4.352491161495681e-14, -2.829674419661159e-13, -4.794700073660628e-02,  5.340938856160486e-14, -3.506032107760236e-13, -5.867472732806291e-02,  5.829673669191527e-14, -4.261491452179006e-13, -6.425392802547820e-02, -9.992148780206433e-16,  1.110238753356270e-15,  1.843933254003715e-02, -2.664573008055049e-15, -1.110238753356270e-16,  1.843933254003760e-02, -1.332286504027524e-15,  3.885835636746946e-16,  1.843933254003701e-02, -2.442525257383795e-15, -1.665358130034405e-16,  1.843933254003765e-02, -1.443310379363152e-15,  3.885835636746946e-16,  1.843933254003755e-02, -2.109453631376913e-15, -8.604350338511095e-16,  1.843933254003779e-02,  1.609823385706477e-15,  1.887379141862766e-15
  6.300000000000000e-01,  2.641329013967239e-01, -2.687299095044389e-01,  1.670462911117290e-01, -9.303826251922002e-01, -2.173388351160070e+00,  8.839602570220871e-01,  3.774761562269419e-15, -4.996007950062466e-16, -4.565637390406602e-03,  1.287870192565005e-14, -6.078525262321898e-14, -1.462907089173598e-02,  2.298225566333947e-14, -1.332859803084011e-13, -2.583329176264341e-02,  3.319757939554249e-14, -2.076791714359940e-13, -3.716908540196917e-02,  4.319181280157703e-14, -2.830229584350124e-13, -4.794700073660602e-02,  5.207692980331120e-14, -3.512694401551706e-13, -5.867472732806214e-02,  5.763048827257911e-14, -4.240393585566695e-13, -6.425392802547925e-02, -9.992148780206433e-16, -7.494111585154825e-16,  1.843933254003774e-02, -3.330716260068811e-16,  9.159469715189231e-16,  1.843933254003682e-02, -1.443310379363151e-15, -1.498822317030965e-15,  1.843933254003801e-02, -1.110238753356270e-16,  2.220477506712541e-15,  1.843933254003640e-02, -7.771671273493893e-16, -3.053156571729744e-16,  1.843933254003743e-02, -1.332286504027524e-15, -1.026970846854550e-15,  1.843933254003829e-02,  7.771561172376096e-16,  2.026157019940911e-15
  6.400000000000000e-01,  2.425522902199586e-01, -2.824167347875310e-01,  1.756814459508442e-01, -1.000835097410057e+00, -2.199111444821015e+00,  8.224278262066612e-01,  3.441694365598588e-15, -3.885783961159696e-16, -4.565637390406435e-03,  1.254563204826254e-14, -6.034115945336896e-14, -1.462907089173643e-02,  2.276020488398353e-14, -1.337300818671130e-13, -2.583329176264316e-02,  3.275346462102019e-14, -2.081788005573317e-13, -3.716908540196896e-02,  4.219251636143771e-14, -2.829952002005641e-13, -4.794700073660588e-02,  5.191037245852448e-14, -3.509085659081326e-13, -5.867472732806230e-02,  5.640903283712944e-14, -4.255106571493701e-13, -6.425392802547765e-02, -1.110238753356270e-16,  5.551193766781352e-16,  1.843933254003732e-02, -5.551193766781352e-16, -6.661432520137621e-16,  1.843933254003710e-02,  1.110238753356270e-16,  8.049230961832960e-16,  1.843933254003713e-02,  0.000000000000000e+00,  5.273634078442285e-16,  1.843933254003707e-02,  1.110238753356270e-16,  8.326790650172027e-16,  1.843933254003699e-02, -6.661432520137621e-16, -1.193506659857991e-15,  1.843933254003785e-02,  1.137978600240785e-15,  1.859623566247138e-15
  6.500000000000000e-01,  2.252311095247903e-01, -2.925189364797401e-01,  1.810828220376795e-01, -1.055093070672998e+00, -2.218131280164359e+00,  7.721937107135992e-01,  4.440895955611082e-15,  4.440895955611081e-16, -4.565637390407296e-03,  1.249012040203130e-14, -6.017462451467522e-14, -1.462907089173610e-02,  2.287123027366150e-14, -1.333414930032401e-13, -2.583329176264330e-02,  3.214280680605202e-14, -2.095666592277139e-13, -3.716908540196846e-02,  4.219251636143771e-14, -2.823012443393563e-13, -4.794700073660579e-02,  5.191037245852448e-14, -3.497149049371612e-13, -5.867472732806277e-02,  5.596486722423866e-14, -4.268709143388481e-13, -6.425392802547721e-02,  1.665358130034405e-16,  1.276774566359711e-15,  1.843933254003654e-02,  5.551193766781352e-17, -5.551193766781352e-17,  1.843933254003771e-02,  4.440955013425080e-16,  8.326790650172025e-17,  1.843933254003704e-02, -6.661432520137621e-16,  5.551193766781352e-17,  1.843933254003729e-02, -1.110238753356270e-16, -6.661432520137621e-16,  1.843933254003754e-02, -1.110238753356270e-16,  2.220477506712541e-16,  1.843933254003718e-02,  1.693090112553363e-15,  2.053912595556540e-15
  6.599999999999999e-01,  2.121488776982077e-01, -2.998567842760775e-01,  1.840385603332552e-01, -1.094756038090618e+00, -2.230820779948574e+00,  7.331746602556474e-01,  4.274362357275666e-15, -4.440895955611081e-16, -4.565637390406935e-03,  1.249012040203130e-14, -6.067422933075648e-14, -1.462907089173512e-02,  2.198302715623776e-14, -1.340076453413080e-13, -2.583329176264369e-02,  3.319757939554249e-14, -2.072350566614718e-13, -3.716908540196915e-02,  4.224803283033436e-14, -2.825788266838395e-13, -4.794700073660587e-02,  5.141070042416435e-14, -3.522410246664262e-13, -5.867472732806135e-02,  5.602038792585001e-14, -4.248721690808397e-13, -6.425392802547820e-02,  3.330716260068810e-16,  9.992148780206431e-16,  1.843933254003673e-02, -5.551193766781352e-17, -6.383872831798554e-16,  1.843933254003762e-02,  3.330716260068811e-16,  6.106313143459487e-16,  1.843933254003682e-02, -3.330716260068811e-16,  3.885835636746946e-16,  1.843933254003754e-02, -1.665358130034405e-16, -7.494111585154825e-16,  1.843933254003768e-02,  1.110238753356271e-16,  5.273634078442285e-16,  1.843933254003649e-02,  1.498801083243961e-15,  1.720845688168992e-15
  6.699999999999999e-01,  2.028595770913613e-01, -3.051401219273970e-01,  1.851972402839402e-01, -1.122036315481101e+00, -2.237831409664918e+00,  7.043876559523997e-01,  3.996806360049973e-15,  5.551119944513852e-17, -4.565637390406546e-03,  1.221256217087505e-14, -6.039667109960023e-14, -1.462907089173640e-02,  2.276020488398354e-14, -1.327308533600113e-13, -2.583329176264375e-02,  3.297552200828133e-14, -2.076514142625864e-13, -3.716908540196845e-02,  4.235906576812761e-14, -2.833005407794956e-13, -4.794700073660534e-02,  5.202141068838228e-14, -3.502700960864502e-13, -5.867472732806191e-02,  5.557622231295923e-14, -4.259270624114553e-13, -6.425392802547729e-02,  2.775596883390676e-16,  8.604350338511095e-16,  1.843933254003738e-02, -3.885835636746946e-16, -7.494111585154825e-16,  1.843933254003674e-02,  7.216551896815757e-16,  8.326790650172027e-16,  1.843933254003682e-02, -3.330716260068811e-16, -7.771671273493892e-16,  1.843933254003721e-02,  0.000000000000000e+00,  6.383872831798554e-16,  1.843933254003690e-02,  3.330716260068811e-16,  8.881910026850162e-16,  1.843933254003685e-02,  3.330669073875470e-16,  7.771561172376097e-16
  6.799999999999999e-01,  1.967583491084343e-01, -3.088985712832892e-01,  1.850695669959584e-01, -1.139229830202742e+00, -2.240011457620844e+00,  6.844820207338784e-01,  3.219649567818033e-15, -4.440895955611080e-16, -4.565637390406129e-03,  1.088028266132504e-14, -5.945297311366898e-14, -1.462907089173371e-02,  1.926290510912753e-14, -1.315650867683927e-13, -2.583329176264050e-02,  2.598071430955499e-14, -2.092613303202298e-13, -3.716908540196248e-02,  3.597467184501532e-14, -2.798030032390080e-13, -4.794700073659909e-02,  4.208348911610860e-14, -3.505476916610946e-13, -5.867472732805315e-02,  4.730363777286838e-14, -4.214854062825473e-13, -6.425392802546911e-02,  8.992933902185788e-15,  5.551193766781351e-16,  1.843933254003401e-02,  8.326790650172027e-15, -1.249018597525804e-15,  1.843933254003410e-02,  9.159469715189229e-15,  1.360042472861431e-15,  1.843933254003379e-02,  9.159469715189229e-15,  4.440955013425081e-16,  1.843933254003354e-02,  9.603565216531737e-15,  8.604350338511093e-16,  1.843933254003385e-02,  8.770886151514536e-15, -9.159469715189231e-16,  1.843933254003429e-02, -1.360023205165817e-15, -8.326672684688674e-15
  6.899999999999999e-01,  1.932163651633762e-01, -3.115046043759843e-01,  1.840614902372634e-01, -1.148507060635158e+00, -2.238316316024061e+00,  6.720141115724555e-01,  4.274362357275666e-15,  1.221246387793047e-15, -4.565637390406824e-03,  1.060272443016879e-14, -6.272816024131272e-14, -1.462907089173515e-02,  2.292674296850048e-14, -1.305658582612909e-13, -2.583329176264240e-02,  2.981120423980989e-14, -2.084286151180004e-13, -3.716908540196653e-02,  3.947220938550291e-14, -2.819126290570799e-13, -4.794700073660207e-02,  4.869026379264809e-14, -3.488543586557631e-13, -5.867472732805855e-02,  5.218945951466702e-14, -4.252885743429248e-13, -6.425392802547417e-02,  4.107883387418200e-15,  1.887405880705659e-15,  1.843933254003549e-02,  3.608275948407879e-15, -1.026970846854550e-15,  1.843933254003610e-02,  3.552764010740065e-15,  2.775596883390676e-16,  1.843933254003568e-02,  2.775596883390676e-15, -6.938992208476689e-16,  1.843933254003615e-02,  4.496466951092894e-15,  2.359257350882074e-15,  1.843933254003548e-02,  2.442525257383794e-15, -2.248233475546447e-15,  1.843933254003659e-02,  3.053113317719180e-16, -2.997602166487923e-15
