Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
 5.620000000000000e+000, 5.280480479611049e-001, 1.228160314399163e-001,-1.974249765205591e-002, 6.167877323541878e-001,-2.414867667108742e-001,-1.261366488238470e-001
 5.630000000000000e+000, 5.264523344977669e-001, 1.228415646644845e-001,-2.017172426999988e-002, 6.163082241330335e-001,-2.414771039657409e-001,-1.249645770110211e-001
 5.640000000000000e+000, 5.252118532056049e-001, 1.229142431019750e-001,-2.059190424017198e-002, 6.162807687046559e-001,-2.416242182119041e-001,-1.239996121776422e-001
 5.650000000000000e+000, 5.245860594664027e-001, 1.230604823604378e-001,-2.099288830926926e-002, 6.170049395704547e-001,-2.420426706820253e-001,-1.233830535022126e-001
 5.660000000000000e+000, 5.248226853737670e-001, 1.233003389314038e-001,-2.135625086760097e-002, 6.187527321104804e-001,-2.428434315443089e-001,-1.232412653296385e-001
 5.670000000000000e+000, 5.260647562350090e-001, 1.236408236774724e-001,-2.165674341163702e-002, 6.216741991567010e-001,-2.440920795573295e-001,-1.236484194466020e-001
 5.680000000000000e+000, 5.284236186215656e-001, 1.240826096117698e-001,-2.186196151032076e-002, 6.258914408388971e-001,-2.458427170767069e-001,-1.246680143966339e-001
 5.690000000000000e+000, 5.319771969984246e-001, 1.246196908016124e-001,-2.194830501994139e-002, 6.314726763924031e-001,-2.481284903284637e-001,-1.263343787256359e-001
 5.700000000000000e+000, 5.367357425677677e-001, 1.252369530323159e-001,-2.190054008101230e-002, 6.384178805925924e-001,-2.509659058527207e-001,-1.286353112818860e-001
 5.710000000000000e+000, 5.426667330858710e-001, 1.259183000439070e-001,-2.172431158754026e-002, 6.466722258792880e-001,-2.543567064738407e-001,-1.315220986584121e-001
 5.720000000000000e+000, 5.496887333772332e-001, 1.266483402554308e-001,-2.144480688245357e-002, 6.561319327771863e-001,-2.582872250001130e-001,-1.349205903924502e-001
 5.730000000000000e+000, 5.576693552039781e-001, 1.274110708908649e-001,-2.109957464053610e-002, 6.666532819680866e-001,-2.627279293496190e-001,-1.387469317827521e-001
 5.740000000000000e+000, 5.664294120990736e-001, 1.281888399132714e-001,-2.072768822133828e-002, 6.780635301951048e-001,-2.676334425014820e-001,-1.429219843726863e-001
 5.750000000000000e+000, 5.757584170371723e-001, 1.289660624215117e-001,-2.035971558155096e-002, 6.901750142711911e-001,-2.729423062951060e-001,-1.473822962093886e-001
 5.760000000000000e+000, 5.854377638082354e-001, 1.297342242619246e-001,-2.001154056887462e-002, 7.028000032668941e-001,-2.785783063682139e-001,-1.520836556661184e-001
 5.770000000000001e+000, 5.952628003931043e-001, 1.304902106130097e-001,-1.968442833594386e-002, 7.157611915580924e-001,-2.844560323010069e-001,-1.569933902115066e-001
 5.780000000000000e+000, 6.050595775710751e-001, 1.312288728835205e-001,-1.937018387209144e-002, 7.288978839518447e-001,-2.904888782046599e-001,-1.620785363356300e-001
 5.790000000000000e+000, 6.146962951351894e-001, 1.319377575667169e-001,-1.905588624749178e-002, 7.420717240002385e-001,-2.965945863521624e-001,-1.673027884364253e-001
 5.800000000000000e+000, 6.240883637095681e-001, 1.325976985520017e-001,-1.872493902081498e-002, 7.551716215493111e-001,-3.026969193141231e-001,-1.726333905842610e-001
 5.810000000000001e+000, 6.331965059222529e-001, 1.331884216757853e-001,-1.835695044592722e-002, 7.681150830246967e-001,-3.087266313880842e-001,-1.780493165297906e-001
 5.820000000000000e+000, 6.420195214860239e-001, 1.336965982475893e-001,-1.792943377764599e-002, 7.808460488038217e-001,-3.146242860380708e-001,-1.835457046723094e-001
 5.830000000000000e+000, 6.505832205234474e-001, 1.341222277759604e-001,-1.742074177993681e-002, 7.933310087091056e-001,-3.203445955244265e-001,-1.891335076525285e-001
 5.840000000000000e+000, 6.589272773600626e-001, 1.344801480421194e-001,-1.681211343463222e-002, 8.055538797236745e-001,-3.258605180582124e-001,-1.948338349729187e-001
 5.850000000000000e+000, 6.670935799610364e-001, 1.347965866834091e-001,-1.608817867395038e-002, 8.175097604161574e-001,-3.311644676339806e-001,-2.006691412115380e-001
 5.860000000000000e+000, 6.751193042400302e-001, 1.351031449532787e-001,-1.523756349576190e-002, 8.291994599153210e-001,-3.362650275424633e-001,-2.066544854501791e-001
 5.870000000000000e+000, 6.830361577215136e-001, 1.354306935210232e-001,-1.425525462549340e-002, 8.406268684184073e-001,-3.411804091707386e-001,-2.127899732761990e-001
 5.880000000000000e+000, 6.908748227658468e-001, 1.358035585724673e-001,-1.314646935323966e-002, 8.517986090857329e-001,-3.459318565820794e-001,-2.190544578429129e-001
 5.890000000000000e+000, 6.986703876408772e-001, 1.362334908052723e-001,-1.193057374055352e-002, 8.627240116410864e-001,-3.505395649230618e-001,-2.254016063465462e-001
 5.900000000000000e+000, 7.064656237887285e-001, 1.367151791146632e-001,-1.064301633468972e-002, 8.734148315507837e-001,-3.550211584889705e-001,-2.317604021458986e-001
 5.910000000000000e+000, 7.143123258741837e-001, 1.372264023468517e-001,-9.333575383836544e-003, 8.838854741667150e-001,-3.593913405415617e-001,-2.380410388676079e-001
 5.920000000000000e+000, 7.222699969582224e-001, 1.377332597163350e-001,-8.060665623990944e-003, 8.941536703783671e-001,-3.636616391529857e-001,-2.441458153592734e-001
 5.930000000000000e+000, 7.303998435123077e-001, 1.381985349856911e-001,-6.882897779541577e-003, 9.042403614706395e-001,-3.678401017237863e-001,-2.499841882302169e-001
 5.940000000000000e+000, 7.387545313862339e-001, 1.385908152921147e-001,-5.849983410425439e-003, 9.141682530901725e-001,-3.719318904161593e-001,-2.554880483883436e-001
 5.950000000000000e+000, 7.473668071657849e-001, 1.388911913958570e-001,-4.994688616707161e-003, 9.239595926983681e-001,-3.759412973994945e-001,-2.606210425622177e-001
 5.960000000000000e+000, 7.562410510061264e-001, 1.390956329161917e-001,-4.326721325714758e-003, 9.336341131561073e-001,-3.798731834824391e-001,-2.653819996802250e-001
