Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
 5.620000000000000e+000, 4.955787887869432e-001, 3.662250452109261e-002,-1.358448989790691e-001, 5.468708855675887e-001,-3.311932584606949e-001,-1.388673729771662e-001
 5.630000000000000e+000, 4.936525538368962e-001, 3.645621662136467e-002,-1.353273980370262e-001, 5.461680187553802e-001,-3.307360511085731e-001,-1.384233202754769e-001
 5.640000000000000e+000, 4.920664296728176e-001, 3.626652460268875e-002,-1.347203704805939e-001, 5.459036124115921e-001,-3.304976293171380e-001,-1.381534348348976e-001
 5.650000000000000e+000, 4.910734633938372e-001, 3.604148661913875e-002,-1.339710132709391e-001, 5.463730609160560e-001,-3.306281908588720e-001,-1.381590576804582e-001
 5.660000000000000e+000, 4.909280851637882e-001, 3.577371667317109e-002,-1.330438371190478e-001, 5.478581813932993e-001,-3.312688553325019e-001,-1.385267069655763e-001
 5.670000000000000e+000, 4.917937954415214e-001, 3.546357551831547e-002,-1.319357619736900e-001, 5.505338784571493e-001,-3.325018417701131e-001,-1.392952104305962e-001
 5.680000000000000e+000, 4.938086943154871e-001, 3.511556683233064e-002,-1.306519499022064e-001, 5.545561338795954e-001,-3.343966261946737e-001,-1.404780962498594e-001
 5.690000000000000e+000, 4.970802710847701e-001, 3.473506356202738e-002,-1.292014183550496e-001, 5.600262901407244e-001,-3.369881976246505e-001,-1.420396685156287e-001
 5.700000000000000e+000, 5.016423237526930e-001, 3.433069196207672e-002,-1.276053321828041e-001, 5.669752318724033e-001,-3.402778669966297e-001,-1.439087058699585e-001
 5.710000000000000e+000, 5.074758643471490e-001, 3.390736316276044e-002,-1.258954008039093e-001, 5.753672992703380e-001,-3.442327650257104e-001,-1.459917396167932e-001
 5.720000000000000e+000, 5.145017319495145e-001, 3.346570626871004e-002,-1.241152430870502e-001, 5.851046032835137e-001,-3.487931213430258e-001,-1.481890546282045e-001
 5.730000000000000e+000, 5.225813434204939e-001, 3.300372418975717e-002,-1.223159373164478e-001, 5.960370409868840e-001,-3.538825227285558e-001,-1.504007453847566e-001
 5.740000000000000e+000, 5.315240656863124e-001, 3.251847403798780e-002,-1.205491279395418e-001, 6.079751040260123e-001,-3.594178074401415e-001,-1.525279204449160e-001
 5.750000000000000e+000, 5.411034414631540e-001, 3.200535190014220e-002,-1.188618571215057e-001, 6.207055676781302e-001,-3.653162334431421e-001,-1.544795728732614e-001
 5.760000000000000e+000, 5.510809164970497e-001, 3.145795010501429e-002,-1.172942285497080e-001, 6.340110238222743e-001,-3.714999834197486e-001,-1.561870350305608e-001
 5.770000000000001e+000, 5.612328076954702e-001, 3.087276908571135e-002,-1.158776434092308e-001, 6.476914831258654e-001,-3.778989435132948e-001,-1.576160092282799e-001
 5.780000000000000e+000, 5.713743886317347e-001, 3.025622744601564e-002,-1.146327469136126e-001, 6.615825799024868e-001,-3.844520721587163e-001,-1.587698682897139e-001
 5.790000000000000e+000, 5.813746790988700e-001, 2.962847645255717e-002,-1.135673136525633e-001, 6.755647390855255e-001,-3.911078783486522e-001,-1.596873791023863e-001
 5.800000000000000e+000, 5.911583525136143e-001, 2.902267998791719e-002,-1.126729435972690e-001, 6.895604628662966e-001,-3.978245237779531e-001,-1.604379409862977e-001
 5.810000000000001e+000, 6.006962294094790e-001, 2.848049208968839e-002,-1.119202979719338e-001, 7.035206562465820e-001,-4.045691611755456e-001,-1.611144329067838e-001
 5.820000000000000e+000, 6.099898641927863e-001, 2.804481678048165e-002,-1.112560706492411e-001, 7.174061246088856e-001,-4.113168886642282e-001,-1.618232673219990e-001
 5.830000000000000e+000, 6.190558462687398e-001, 2.775232616180134e-002,-1.106062544633514e-001, 7.311733354072745e-001,-4.180499533609353e-001,-1.626701936720604e-001
 5.840000000000000e+000, 6.279139220037108e-001, 2.762809560511848e-002,-1.098876175104506e-001, 7.447701163950211e-001,-4.247564718476491e-001,-1.637430016542592e-001
 5.850000000000000e+000, 6.365816429961789e-001, 2.768308846726963e-002,-1.090247542661541e-001, 7.581403944652909e-001,-4.314281881823509e-001,-1.650975453097410e-001
 5.860000000000000e+000, 6.450746143527867e-001, 2.791371951385213e-002,-1.079661759622176e-001, 7.712325431363285e-001,-4.380574443461330e-001,-1.667514238103844e-001
 5.870000000000000e+000, 6.534100575035244e-001, 2.830271525018691e-002,-1.066935509062945e-001, 7.840064409676533e-001,-4.446338001151399e-001,-1.686845977669626e-001
 5.880000000000000e+000, 6.616127710193722e-001, 2.882212864087674e-002,-1.052225070940953e-001, 7.964380364312719e-001,-4.511420090122373e-001,-1.708461595039770e-001
 5.890000000000000e+000, 6.697208601133707e-001, 2.943954166047336e-002,-1.035960083727146e-001, 8.085218360335198e-001,-4.575628684260469e-001,-1.731665182620037e-001
 5.900000000000000e+000, 6.777882672697225e-001, 3.012552015201697e-002,-1.018728288712963e-001, 8.202710039309912e-001,-4.638760064939775e-001,-1.755716885346497e-001
 5.910000000000000e+000, 6.858834830716608e-001, 3.085858185093016e-002,-1.001151340349843e-001, 8.317145543487514e-001,-4.700626546329900e-001,-1.779956571631126e-001
 5.920000000000000e+000, 6.940838298835478e-001, 3.162645453122392e-002,-9.837819234229717e-002, 8.428917629335920e-001,-4.761077446694397e-001,-1.803890094624166e-001
 5.930000000000000e+000, 7.024648888998840e-001, 3.242456032565211e-002,-9.670299978340700e-002, 8.538446259431763e-001,-4.820013063723786e-001,-1.827233147692535e-001
 5.940000000000000e+000, 7.110871932768652e-001, 3.325274238453724e-002,-9.511178128119112e-002, 8.646104532081946e-001,-4.877390593233483e-001,-1.849913848165702e-001
 5.950000000000000e+000, 7.199841417306089e-001, 3.411225569262433e-002,-9.360705681058698e-002, 8.752175764603853e-001,-4.933222812547687e-001,-1.872047948284921e-001
 5.960000000000000e+000, 7.291545367751581e-001, 3.500481825368151e-002,-9.217564972077171e-002, 8.856855341330981e-001,-4.987566744691462e-001,-1.893891755520058e-001
 5.970000000000000e+000, 7.385634552451519e-001, 3.593316971608607e-002,-9.079739046806527e-002, 8.960281841645967e-001,-5.040504337672895e-001,-1.915767513357528e-001
 5.980000000000000e+000, 7.481547484870068e-001, 3.690126178782505e-002,-8.945494602539687e-002, 9.062564762472070e-001,-5.092127636740587e-001,-1.937976381169491e-001
 5.990000000000000e+000, 7.578703990063901e-001, 3.791300016371091e-002,-8.814060119472127e-002, 9.163790616795948e-001,-5.142533217820712e-001,-1.960728436438372e-001
 6.000000000000000e+000, 7.676656055173252e-001, 3.897024946455274e-002,-8.685860134525210e-002, 9.264021280511504e-001,-5.191817086825153e-001,-1.984105028661188e-001
 6.010000000000000e+000, 7.775145049756214e-001, 4.007150755235456e-002,-8.562346464969563e-002, 9.363296224374464e-001,-5.240058740755926e-001,-2.008049701700746e-001
 6.020000000000000e+000, 7.874085111789996e-001, 4.121191908258681e-002,-8.445557604846367e-002, 9.461631332680862e-001,-5.287294679432733e-001,-2.032379365885708e-001
 6.030000000000000e+000, 7.973498358283458e-001, 4.238374407651380e-002,-8.337659826830528e-002, 9.559012568665369e-001,-5.333496380367852e-001,-2.056809169904642e-001
 6.040000000000000e+000, 8.073429211569854e-001, 4.357560065337984e-002,-8.240578241099877e-002, 9.655390349067496e-001,-5.378565737734434e-001,-2.080979183088882e-001
 6.050000000000000e+000, 8.173875199902002e-001, 4.477068923460936e-002,-8.155680319859006e-002, 9.750679350369730e-001,-5.422348818681037e-001,-2.104473168209909e-001
 6.060000000000000e+000, 8.274754316266586e-001, 4.594534035831477e-002,-8.083621676763973e-002, 9.844761174127086e-001,-5.464656429640704e-001,-2.126831648321652e-001
 6.070000000000000e+000, 8.375900863535369e-001, 4.706901590150037e-002,-8.024474751358433e-002, 9.937483581309654e-001,-5.505279884747576e-001,-2.147576235219028e-001
 6.080000000000000e+000, 8.477079141327416e-001, 4.810782582005357e-002,-7.978112962407541e-002, 1.002866666670859e+000,-5.544009897841972e-001,-2.166264243306900e-001
 6.090000000000000e+000, 8.578004521179790e-001, 4.903068483633821e-002,-7.944647136308182e-002, 1.011812371921920e+000,-5.580665751909414e-001,-2.182551668416863e-001
 6.100000000000000e+000, 8.678362964867178e-001, 4.981348795196094e-002,-7.924571932374402e-002, 1.020568006139561e+000,-5.615122426537078e-001,-2.196225625330569e-001
 6.110000000000000e+000, 8.777835150082657e-001, 5.043991319111707e-002,-7.918506205362355e-002, 1.029118220264055e+000,-5.647326217096064e-001,-2.207207071852064e-001
 6.120000000000000e+000, 8.876121601865508e-001, 5.090066503880997e-002,-7.926671284202948e-002, 1.037450859087018e+000,-5.677298523868340e-001,-2.215527418616971e-001
 6.130000000000000e+000, 8.972958183839078e-001, 5.119271088154886e-002,-7.948328000631852e-002, 1.045558951482857e+000,-5.705134252578371e-001,-2.221278623511301e-001
 6.140000000000000e+000, 9.068138703631284e-001, 5.132006013358392e-002,-7.981560425168210e-002, 1.053443126410767e+000,-5.731003452351319e-001,-2.224582339780943e-001
 6.150000000000000e+000, 9.161552456379505e-001, 5.129562936441401e-002,-8.023575376758953e-002, 1.061112430873967e+000,-5.755145291397340e-001,-2.225619261130758e-001
 6.160000000000000e+000, 9.253212578797844e-001, 5.114212563346765e-002,-8.071159573514075e-002, 1.068582767646009e+000,-5.777839821552596e-001,-2.224679516438748e-001
 6.170000000000000e+000, 9.343264193289552e-001, 5.089119835652478e-002,-8.120984384527047e-002, 1.075874923267881e+000,-5.799372111245874e-001,-2.222168249451485e-001
 6.180000000000000e+000, 9.431972704180931e-001, 5.058015465507015e-002,-8.169757659378238e-002, 1.083012809332958e+000,-5.820010887735573e-001,-2.218559134750469e-001
 6.190000000000000e+000, 9.519689149165218e-001, 5.024603114656490e-002,-8.214307698354088e-002, 1.090021099041283e+000,-5.839999626093224e-001,-2.214327961924678e-001
 6.200000000000000e+000, 9.606803492421763e-001, 4.991905170960553e-002,-8.251755225758971e-002, 1.096923123650308e+000,-5.859548578363006e-001,-2.209890006104333e-001
 6.210000000000000e+000, 9.693698594812951e-001, 4.961737178347736e-002,-8.279809183368925e-002, 1.103739830524553e+000,-5.878826012873951e-001,-2.205550548676002e-001
 6.220000000000000e+000, 9.780771428828980e-001, 4.934312677860375e-002,-8.296728183029548e-002, 1.110489477147773e+000,-5.897942075369673e-001,-2.201466217214708e-001
 6.230000000000000e+000, 9.868136441525237e-001, 4.908791573647386e-002,-8.302198199223626e-002, 1.117187103969785e+000,-5.916968802903836e-001,-2.197654041176957e-001
 6.240000000000000e+000, 9.956007263378437e-001, 4.883029091930080e-002,-8.295537187558916e-002, 1.123845513236984e+000,-5.935889601856565e-001,-2.193985670000895e-001
 6.250000000000000e+000, 1.004443772873269e+000, 4.854615854335198e-002,-8.276411218196204e-002, 1.130474658900591e+000,-5.954633890108636e-001,-2.190256512083008e-001
 6.260000000000000e+000, 1.013339345198647e+000, 4.821272622018169e-002,-8.244502337733690e-002, 1.137081690318119e+000,-5.973087373190674e-001,-2.186237695446776e-001
 6.270000000000000e+000, 1.022274204145190e+000, 4.781186222704470e-002,-8.199524358366238e-002, 1.143670971013070e+000,-5.991116490136802e-001,-2.181723896676798e-001
 6.280000000000000e+000, 1.031224025139660e+000, 4.733126438224233e-002,-8.141264021495726e-002, 1.150243962470465e+000,-6.008591834222927e-001,-2.176557486555023e-001
 6.290000000000000e+000, 1.040152070908137e+000, 4.676382435872917e-002,-8.069687373240449e-002, 1.156798731383512e+000,-6.025408421186996e-001,-2.170633587186209e-001
 6.300000000000000e+000, 1.049008650251381e+000, 4.610702946187417e-002,-7.985147830798062e-002, 1.163329792008516e+000,-6.041506186762786e-001,-2.163913887248344e-001
 6.310000000000000e+000, 1.057733486133584e+000, 4.536399723037099e-002,-7.888614247688222e-002, 1.169829251401031e+000,-6.056890863013938e-001,-2.156453008375480e-001
 6.320000000000000e+000, 1.066262856132229e+000, 4.454463536759756e-002,-7.781786706791664e-002, 1.176289153692577e+000,-6.071640368350146e-001,-2.148404548949020e-001
 6.330000000000000e+000, 1.074540680917511e+000, 4.366422077933940e-002,-7.667014860507890e-002, 1.182704132506800e+000,-6.085887167659009e-001,-2.139988293490338e-001
 6.340000000000000e+000, 1.082528601095986e+000, 4.274136307799048e-002,-7.546978244985543e-002, 1.189073849563316e+000,-6.099797678702843e-001,-2.131453079010074e-001
 6.350000000000000e+000, 1.090210880808070e+000, 4.180020786496841e-002,-7.424286239815281e-002, 1.195405159237964e+000,-6.113568488973278e-001,-2.123078298482580e-001
 6.359999999999999e+000, 1.097594118266907e+000, 4.087395240682401e-002,-7.301252679646966e-002, 1.201712351251993e+000,-6.127419998085930e-001,-2.115187730115136e-001
 6.370000000000000e+000, 1.104703102302614e+000, 4.000147979189128e-002,-7.179898054118841e-002, 1.208013028335511e+000,-6.141562283468135e-001,-2.108120789288464e-001
