Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
 5.620000000000000e+000, 5.560511177366322e-001, 7.555676428612504e-001, 1.144263194749889e+000, 1.550380288396916e+000, 2.109864239227282e-001,-1.103569310705038e+000, 1.268634573066988e-002,-1.248690296457297e-003,-1.253298402618077e-002, 1.032122396443380e-002, 1.477345697885117e-003,-2.541359022148181e-002, 7.166687447575490e-003, 3.784993774769979e-003,-3.971768592909918e-002, 3.764337675945695e-003, 5.348352158340492e-003,-5.425033167150678e-002, 4.345212945860186e-004, 6.097520853822540e-003,-6.812291137066387e-002,-2.460502220614810e-003, 6.072245058265469e-003,-8.214018311371943e-002, 3.094984867858132e-004, 7.542221541568515e-003,-9.124672486367605e-002, 5.606739897926390e-015,-1.321192173966813e-014, 2.205392790095068e-002, 5.801032864686217e-015,-1.332294629210232e-014, 2.205392790095013e-002, 5.551227621709299e-015,-1.298987263479976e-014, 2.205392790095058e-002, 5.690008312252031e-015,-1.276782352993139e-014, 2.205392790095063e-002, 5.912057417120403e-015,-1.354499539697069e-014, 2.205392790095013e-002, 5.690008312252032e-015,-1.310089718723395e-014, 2.205392790095047e-002, 0.000000000000000e+000, 0.000000000000000e+000
 5.630000000000000e+000, 5.559787039657615e-001, 7.557747106489217e-001, 1.144390362011309e+000, 1.550187424240299e+000, 2.099940523424435e-001,-1.103503029859161e+000, 1.239099619004178e-002,-1.215873391838873e-003,-1.140345052186082e-002, 1.015877865487873e-002, 1.486970207561160e-003,-2.439573761466686e-002, 7.155682772674195e-003, 3.799988294532204e-003,-3.916746961680185e-002, 3.903820779064396e-003, 5.390934200643577e-003,-5.441788588906649e-002, 7.169191936116626e-004, 6.184186583874170e-003,-6.915329450332117e-002,-2.041949571101014e-003, 6.212866037852466e-003,-8.408082228554328e-002, 6.990497850804036e-004, 7.705850343829720e-003,-9.288804308520375e-002, 5.467959207383659e-015,-1.310089718723394e-014, 2.205392790095069e-002, 5.745520588469124e-015,-1.321192173966813e-014, 2.205392790095046e-002, 5.578983759817845e-015,-1.321192173966813e-014, 2.205392790095041e-002, 5.828789002794764e-015,-1.310089718723394e-014, 2.205392790095035e-002, 5.773276726577670e-015,-1.310089718723394e-014, 2.205392790095047e-002, 5.495715345492206e-015,-1.310089718723394e-014, 2.205392790095052e-002, 1.110223024625157e-016, 0.000000000000000e+000
 5.640000000000000e+000, 5.558834576742134e-001, 7.560246648537244e-001, 1.144455049284356e+000, 1.549954893409222e+000, 2.090681277589224e-001,-1.103444616662277e+000, 1.209862310897640e-002,-1.183383797397327e-003,-1.027578451681903e-002, 9.999194056833069e-003, 1.494464572173087e-003,-2.337895769239563e-002, 7.147473572267857e-003, 3.810594729360169e-003,-3.862393336558304e-002, 4.045918748908755e-003, 5.426777529122658e-003,-5.460212355781316e-002, 1.001442478067745e-003, 6.261557743936262e-003,-7.021166488712394e-002,-1.622088104685935e-003, 6.341246699951200e-003,-8.605954929125051e-002, 1.090610331633479e-003, 7.854343819680297e-003,-9.456640573623926e-002, 5.606739897926392e-015,-1.321192173966813e-014, 2.205392790095041e-002, 5.717764450360577e-015,-1.332294629210232e-014, 2.205392790095035e-002, 5.717764450360579e-015,-1.298987263479976e-014, 2.205392790095036e-002, 5.634496036034938e-015,-1.310089718723394e-014, 2.205392790095041e-002, 5.578983759817843e-015,-1.332294629210231e-014, 2.205392790095057e-002, 5.717764450360577e-015,-1.287884808236557e-014, 2.205392790095041e-002, 1.110223024625157e-016, 0.000000000000000e+000
 5.650000000000000e+000, 5.557515548174843e-001, 7.563428750029262e-001, 1.144413691586001e+000, 1.549662581503892e+000, 2.082700974455618e-001,-1.103400557159712e+000, 1.181632761855465e-002,-1.151942382684951e-003,-9.173507715022875e-003, 9.847216821395987e-003, 1.498711189284905e-003,-2.238175512650888e-002, 7.143885081796086e-003, 3.814633567247323e-003,-3.809889089039460e-002, 4.189356224087685e-003, 5.452103497881367e-003,-5.480754897450595e-002, 1.283761628553234e-003, 6.323799940685555e-003,-7.129512255490281e-002,-1.208110253701719e-003, 6.449238790273947e-003,-8.806644534266568e-002, 1.478081611484615e-003, 7.977958590761379e-003,-9.627663116150539e-002, 5.329178516840927e-015,-1.310089718723394e-014, 2.205392790095069e-002, 6.050838107663137e-015,-1.310089718723395e-014, 2.205392790095031e-002, 5.662252174143485e-015,-1.321192173966813e-014, 2.205392790095036e-002, 5.967569693337495e-015,-1.298987263479976e-014, 2.205392790095052e-002, 5.495715345492206e-015,-1.287884808236557e-014, 2.205392790095041e-002, 5.828789002794764e-015,-1.332294629210232e-014, 2.205392790095052e-002,-1.110223024625156e-016,-5.551115123125783e-017
 5.660000000000000e+000, 5.555708124857057e-001, 7.567506011891538e-001, 1.144224674036477e+000, 1.549298330193264e+000, 2.076618500808722e-001,-1.103382165856578e+000, 1.155049926160762e-002,-1.122140515895251e-003,-8.136311189178016e-003, 9.706403115857257e-003, 1.499006493732129e-003,-2.143696543989725e-002, 7.145164999705309e-003, 3.810620975959307e-003,-3.761127645240860e-002, 4.331003307044226e-003, 5.464146498936753e-003,-5.503486036714445e-002, 1.557467565939931e-003, 6.366493202459429e-003,-7.238400253018486e-002,-8.095894432374830e-004, 6.530594101305307e-003,-9.006133981301411e-002, 1.852535857214784e-003, 8.069294914193873e-003,-9.798753397341885e-002, 5.662252174143485e-015,-1.332294629210232e-014, 2.205392790095052e-002, 5.773276726577672e-015,-1.310089718723395e-014, 2.205392790095036e-002, 5.551227621709299e-015,-1.310089718723394e-014, 2.205392790095052e-002, 5.856545140903311e-015,-1.310089718723395e-014, 2.205392790095025e-002, 5.606739897926390e-015,-1.321192173966813e-014, 2.205392790095068e-002, 5.828789002794763e-015,-1.332294629210232e-014, 2.205392790095019e-002, 0.000000000000000e+000, 5.551115123125782e-017
 5.670000000000000e+000, 5.553344330651896e-001, 7.572584393345900e-001, 1.143862335178509e+000, 1.548862922488397e+000, 2.072780779614800e-001,-1.103403661697114e+000, 1.130301048247993e-002,-1.094109160261260e-003,-7.205991086950214e-003, 9.576765947885505e-003, 1.495269037776299e-003,-2.058015943814114e-002, 7.149360131073833e-003, 3.798162368057966e-003,-3.718060720633280e-002, 4.467040182545450e-003, 5.461998123468816e-003,-5.528110513432936e-002, 1.816983931690958e-003, 6.388158853239001e-003,-7.344960330505017e-002,-4.338984894055655e-004, 6.583336720920300e-003,-9.198931250969579e-002, 2.206306149372023e-003, 8.126098797200842e-003,-9.965429176634610e-002, 5.606739897926393e-015,-1.332294629210232e-014, 2.205392790095042e-002, 5.634496036034940e-015,-1.332294629210232e-014, 2.205392790095031e-002, 5.495715345492208e-015,-1.298987263479976e-014, 2.205392790095058e-002, 5.662252174143485e-015,-1.321192173966813e-014, 2.205392790095052e-002, 5.662252174143486e-015,-1.332294629210232e-014, 2.205392790095036e-002, 5.690008312252032e-015,-1.310089718723395e-014, 2.205392790095042e-002, 0.000000000000000e+000, 0.000000000000000e+000
 5.680000000000000e+000, 5.550367860760329e-001, 7.578747509171806e-001, 1.143303539661027e+000, 1.548364788537606e+000, 2.071392094536644e-001,-1.103482126262461e+000, 1.107532699149652e-002,-1.067783259229959e-003,-6.426487960681375e-003, 9.457601365439453e-003, 1.487667146666699e-003,-1.984964408250888e-002, 7.153465363067519e-003, 3.777329022482876e-003,-3.682829294073428e-002, 4.592279863005418e-003, 5.445472526393399e-003,-5.554328018097730e-002, 2.055121451654687e-003, 6.388321564370521e-003,-7.446066065924008e-002,-9.021556338389440e-005, 6.606837312111961e-003,-9.379035958531355e-002, 2.529683065311974e-003, 8.147794247431261e-003,-1.012280786666983e-001, 5.606739897926392e-015,-1.310089718723394e-014, 2.205392790095036e-002, 5.690008312252031e-015,-1.310089718723394e-014, 2.205392790095041e-002, 5.690008312252031e-015,-1.310089718723394e-014, 2.205392790095047e-002, 5.551227621709299e-015,-1.321192173966813e-014, 2.205392790095063e-002, 5.662252174143485e-015,-1.298987263479976e-014, 2.205392790095035e-002, 5.801032864686219e-015,-1.310089718723395e-014, 2.205392790095036e-002, 0.000000000000000e+000, 5.551115123125784e-017
 5.690000000000000e+000, 5.546749015421111e-001, 7.586037374667654e-001, 1.142530683152902e+000, 1.547816007719071e+000, 2.072671660455336e-001,-1.103627896111490e+000, 1.086765113810761e-002,-1.043627572691605e-003,-5.832913107766772e-003, 9.347263909911766e-003, 1.476426727050560e-003,-1.927943970094952e-002, 7.154074861216610e-003, 3.748444260279097e-003,-3.657358146505751e-002, 4.701883277009420e-003, 5.414785751890268e-003,-5.581618349149973e-002, 2.265871572531685e-003, 6.367197409525604e-003,-7.538229253848025e-002, 2.142713890754781e-004, 6.601562900729672e-003,-9.539881781276705e-002, 2.814708144942234e-003, 8.135110194265190e-003,-1.026539805019409e-001, 5.745520588469126e-015,-1.298987263479976e-014, 2.205392790095036e-002, 5.551227621709300e-015,-1.310089718723395e-014, 2.205392790095047e-002, 5.828789002794765e-015,-1.310089718723395e-014, 2.205392790095047e-002, 5.523471483600755e-015,-1.321192173966814e-014, 2.205392790095042e-002, 5.523471483600754e-015,-1.321192173966813e-014, 2.205392790095036e-002, 5.745520588469124e-015,-1.298987263479976e-014, 2.205392790095052e-002, 0.000000000000000e+000, 0.000000000000000e+000
 5.700000000000000e+000, 5.542492416517524e-001, 7.594436467449547e-001, 1.141535065958024e+000, 1.547236060019211e+000, 2.076605783934080e-001,-1.103848858764938e+000, 1.068092067405753e-002,-1.021719372114489e-003,-5.453255983835754e-003, 9.244542163296857e-003, 1.462294687103949e-003,-1.889798634755418e-002, 7.147752279518915e-003, 3.712928342845210e-003,-3.643286728375465e-002, 4.790427233720641e-003, 5.371881088534317e-003,-5.609510498848545e-002, 2.442151895815741e-003, 6.327274501678245e-003,-7.618376085261853e-002, 4.709726725284793e-004, 6.570746468251038e-003,-9.675696952915844e-002, 3.052155427563842e-003, 8.092184519264778e-003,-1.038836930269721e-001, 5.634496036034938e-015,-1.332294629210232e-014, 2.205392790095052e-002, 5.912057417120403e-015,-1.332294629210232e-014, 2.205392790095041e-002, 5.551227621709300e-015,-1.310089718723395e-014, 2.205392790095047e-002, 5.634496036034941e-015,-1.310089718723395e-014, 2.205392790095042e-002, 5.634496036034940e-015,-1.276782352993139e-014, 2.205392790095052e-002, 5.634496036034939e-015,-1.332294629210232e-014, 2.205392790095047e-002, 0.000000000000000e+000, 0.000000000000000e+000
 5.710000000000000e+000, 5.537629258118729e-001, 7.603881896267795e-001, 1.140315388476799e+000, 1.546641019341568e+000, 2.083121407351134e-001,-1.104144026191061e+000, 1.051563138375551e-002,-1.002266490525890e-003,-5.303455683049863e-003, 9.148584641226625e-003, 1.446116838907667e-003,-1.872368644439645e-002, 7.132311026727525e-003, 3.672523058063209e-003,-3.641631865248753e-002, 4.854644847959261e-003, 5.319272112155062e-003,-5.637400445169854e-002, 2.579918668453906e-003, 6.271890992218839e-003,-7.683843573761290e-002, 6.752325214256785e-004, 6.518738711949980e-003,-9.781667315226493e-002, 3.236956453114807e-003, 8.024469098633877e-003,-1.048757711862967e-001, 5.467959207383661e-015,-1.321192173966813e-014, 2.205392790095047e-002, 5.606739897926393e-015,-1.321192173966813e-014, 2.205392790095031e-002, 5.690008312252031e-015,-1.310089718723394e-014, 2.205392790095046e-002, 5.606739897926392e-015,-1.321192173966813e-014, 2.205392790095046e-002, 5.578983759817844e-015,-1.321192173966813e-014, 2.205392790095041e-002, 5.939813555228949e-015,-1.332294629210232e-014, 2.205392790095035e-002, 0.000000000000000e+000, 0.000000000000000e+000
