Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.907000000000000e+001,-2.418979444381135e-001, 2.636924132715404e-001,-3.490609247318705e-001, 6.045679822310679e-001,-3.555606783198058e-001, 3.170771828479173e-001, 5.235987755982983e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 1.908000000000000e+001,-2.444762422589183e-001, 2.620681810561549e-001,-3.490610274062162e-001, 6.044650812587697e-001,-3.554577383190893e-001, 3.164547626015473e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 1.909000000000000e+001,-2.470199083873013e-001, 2.604433973492406e-001,-3.490611254501352e-001, 6.043690135239929e-001,-3.553524648000312e-001, 3.158272517828090e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.910000000000000e+001,-2.493349402786066e-001, 2.589758428717577e-001,-3.490612169178582e-001, 6.042799364878221e-001,-3.552582759290954e-001, 3.152627416816412e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.911000000000000e+001,-2.513083430036718e-001, 2.577532348841258e-001,-3.490612988693650e-001, 6.041986024296311e-001,-3.551823578015012e-001, 3.147983687212677e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.912000000000000e+001,-2.529060361490548e-001, 2.568047135214204e-001,-3.490613704305585e-001, 6.041244776176720e-001,-3.551273375904893e-001, 3.144469248538824e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.913000000000000e+001,-2.541003691960903e-001, 2.561597832679592e-001,-3.490614322974135e-001, 6.040558813205719e-001,-3.550962782079183e-001, 3.142222852259881e-001, 5.235987755982983e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.914000000000000e+001,-2.549716566176046e-001, 2.557562281971197e-001,-3.490614835441209e-001, 6.039919703299295e-001,-3.550841489060890e-001, 3.140981531722960e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.915000000000000e+001,-2.555499653607358e-001, 2.555849301255802e-001,-3.490615265266229e-001, 6.039294378855965e-001,-3.550913139982841e-001, 3.140731399348126e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.916000000000000e+001,-2.558799660397806e-001, 2.556261562936291e-001,-3.490615636235745e-001, 6.038647569085975e-001,-3.551173187175010e-001, 3.141414980781898e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
