Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SubTalarEversion
 1.907000000000000e+001, 1.408367339946623e+000, 1.389692047818341e-001,-7.405627444286206e-002, 1.454294951982525e+000,-6.946829110073794e-001,-3.096558289410506e-001
 1.908000000000000e+001, 1.405059899865178e+000, 1.385323639461067e-001,-7.369722562448977e-002, 1.453014918258436e+000,-6.945170255133254e-001,-3.095351324959415e-001
 1.909000000000000e+001, 1.401712832787887e+000, 1.380852270405313e-001,-7.333887141621323e-002, 1.451654047476822e+000,-6.943350324209531e-001,-3.094138203156315e-001
 1.910000000000000e+001, 1.398334359476438e+000, 1.376313340652482e-001,-7.298330693082085e-002, 1.450176625609128e+000,-6.941284393994243e-001,-3.092947433373047e-001
 1.911000000000000e+001, 1.394949381208416e+000, 1.371790608101462e-001,-7.264017716521727e-002, 1.448558589725876e+000,-6.938876797113466e-001,-3.091832698971533e-001
 1.912000000000000e+001, 1.391578024168546e+000, 1.367351479162202e-001,-7.232388270094520e-002, 1.446789394365404e+000,-6.936019950368062e-001,-3.090847055376163e-001
 1.913000000000000e+001, 1.388232594441677e+000, 1.363078127131971e-001,-7.205032794540996e-002, 1.444858147594750e+000,-6.932584235365751e-001,-3.090073642840979e-001
 1.914000000000000e+001, 1.384916374337618e+000, 1.359102950848743e-001,-7.183253499386175e-002, 1.442759411082517e+000,-6.928463266938175e-001,-3.089631183419959e-001
 1.915000000000000e+001, 1.381623927420776e+000, 1.355601446985308e-001,-7.167753067427136e-002, 1.440493233920520e+000,-6.923593984466059e-001,-3.089658606826985e-001
 1.916000000000000e+001, 1.378344684442883e+000, 1.352742664755295e-001,-7.158529075302263e-002, 1.438063785223587e+000,-6.917948805641113e-001,-3.090288008528411e-001
 1.917000000000000e+001, 1.375066760578623e+000, 1.350647194599781e-001,-7.154958776421415e-002, 1.435477936556115e+000,-6.911514407332360e-001,-3.091623205355991e-001
 1.918000000000000e+001, 1.371779019243280e+000, 1.349387484464200e-001,-7.156084639907966e-002, 1.432744730012655e+000,-6.904276998821588e-001,-3.093735834023372e-001
 1.919000000000000e+001, 1.368471639756513e+000, 1.349007396115196e-001,-7.160939223859490e-002, 1.429875287396155e+000,-6.896226024022294e-001,-3.096677768213205e-001
 1.920000000000000e+001, 1.365135816130882e+000, 1.349522358816426e-001,-7.168653169556570e-002, 1.426882124727073e+000,-6.887368886788660e-001,-3.100493746999367e-001
 1.921000000000000e+001, 1.361766157454159e+000, 1.350901593601155e-001,-7.178413419324832e-002, 1.423778060700823e+000,-6.877731852012158e-001,-3.105213845975250e-001
 1.922000000000000e+001, 1.358346532931961e+000, 1.353008197180299e-001,-7.189014815917717e-002, 1.420572273979916e+000,-6.867341640609290e-001,-3.110791229092276e-001
 1.923000000000000e+001, 1.354869777492914e+000, 1.355646458326827e-001,-7.199394679266276e-002, 1.417272037951003e+000,-6.856198460689791e-001,-3.117119563562911e-001
 1.924000000000000e+001, 1.351326963535106e+000, 1.358556277233003e-001,-7.208484000322182e-002, 1.413880997327147e+000,-6.844277813450080e-001,-3.124023937435267e-001
 1.925000000000000e+001, 1.347713099482110e+000, 1.361453425784360e-001,-7.215454005025788e-002, 1.410400546238690e+000,-6.831541472855051e-001,-3.131290922882066e-001
 1.926000000000000e+001, 1.344027280482470e+000, 1.364054908283234e-001,-7.219823823130965e-002, 1.406830071591156e+000,-6.817945291507341e-001,-3.138682554008049e-001
 1.927000000000000e+001, 1.340271361418129e+000, 1.366104475010446e-001,-7.221495193892905e-002, 1.403166726412239e+000,-6.803440162196168e-001,-3.145950557968696e-001
 1.928000000000000e+001, 1.336449988994596e+000, 1.367415304619317e-001,-7.220805880985441e-002, 1.399405998502698e+000,-6.787974764943875e-001,-3.152864117072122e-001
 1.929000000000000e+001, 1.332572546552913e+000, 1.367938376697575e-001,-7.218769837862478e-002, 1.395543644120834e+000,-6.771508977897843e-001,-3.159253413527884e-001
 1.930000000000000e+001, 1.328654816051271e+000, 1.367817173342281e-001,-7.217351372825065e-002, 1.391577579561192e+000,-6.754035846771245e-001,-3.165054789699752e-001
 1.931000000000000e+001, 1.324718514930846e+000, 1.367370150741993e-001,-7.219361200417741e-002, 1.387507921792568e+000,-6.735597074288394e-001,-3.170329265588036e-001
 1.932000000000000e+001, 1.320788636766709e+000, 1.367023715733309e-001,-7.228032206627173e-002, 1.383335968237853e+000,-6.716283525530010e-001,-3.175248999209852e-001
 1.933000000000000e+001, 1.316890006062258e+000, 1.367258861330660e-001,-7.246674180116028e-002, 1.379064029470771e+000,-6.696224757767013e-001,-3.180073996600258e-001
 1.934000000000000e+001, 1.313044104088666e+000, 1.368563558827189e-001,-7.278411415205884e-002, 1.374695902179791e+000,-6.675571498768014e-001,-3.185124898120361e-001
 1.935000000000000e+001, 1.309265545755413e+000, 1.371363423404939e-001,-7.325800733837236e-002, 1.370236689794173e+000,-6.654475762622333e-001,-3.190739309428818e-001
 1.936000000000000e+001, 1.305557646804546e+000, 1.375943355918783e-001,-7.390277704320392e-002, 1.365691299148384e+000,-6.633073685710812e-001,-3.197208895134940e-001
 1.937000000000000e+001, 1.301906274326201e+000, 1.382369141796049e-001,-7.471444364046727e-002, 1.361061131247712e+000,-6.611468884917465e-001,-3.204710903398015e-001
 1.938000000000000e+001, 1.298271185373262e+000, 1.390410514619471e-001,-7.566376938901534e-002, 1.356339157683712e+000,-6.589713953295951e-001,-3.213257520277408e-001
 1.939000000000000e+001, 1.294581502011647e+000, 1.399520466580289e-001,-7.669502594581978e-002, 1.351506466736650e+000,-6.567803760717915e-001,-3.222688681195980e-001
 1.940000000000000e+001, 1.290747222789686e+000, 1.408959853114911e-001,-7.773701212234720e-002, 1.346535329006252e+000,-6.545696082553706e-001,-3.232727425765500e-001
 1.941000000000000e+001, 1.286683850002641e+000, 1.418033229404510e-001,-7.872279329232497e-002, 1.341398657711598e+000,-6.523342698264671e-001,-3.243070699854820e-001
 1.942000000000000e+001, 1.282331144343622e+000, 1.426266080563341e-001,-7.960389103797948e-002, 1.336078587120968e+000,-6.500700852418730e-001,-3.253446511389387e-001
 1.943000000000000e+001, 1.277656691443613e+000, 1.433433846905634e-001,-8.035256827603231e-002, 1.330569162815745e+000,-6.477726554033425e-001,-3.263614640704132e-001
 1.944000000000000e+001, 1.272650584711439e+000, 1.439497422449179e-001,-8.095821025260058e-002, 1.324874901791496e+000,-6.454371252668725e-001,-3.273346440860827e-001
 1.945000000000000e+001, 1.267317909104035e+000, 1.444518093027474e-001,-8.142317184078921e-002, 1.319008112449366e+000,-6.430588768036286e-001,-3.282409699100976e-001
 1.946000000000000e+001, 1.261672626739478e+000, 1.448588035870317e-001,-8.175973046381380e-002, 1.312986535753771e+000,-6.406342185350917e-001,-3.290559381204573e-001
 1.947000000000000e+001, 1.255734648492588e+000, 1.451787635664583e-001,-8.198865235306135e-002, 1.306832372730986e+000,-6.381600160415608e-001,-3.297530442300392e-001
 1.948000000000000e+001, 1.249528160101408e+000, 1.454163009116440e-001,-8.213777077444510e-002, 1.300572041368481e+000,-6.356326482403599e-001,-3.303036644619511e-001
