Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
 1.907000000000000e+001, 1.395849356991699e+000, 7.680970854888791e-002,-4.090793518361228e-002, 1.515305156073939e+000,-6.224696813392767e-001,-2.838206524676155e-001
 1.908000000000000e+001, 1.393069325968553e+000, 7.679604556339070e-002,-4.135376273516084e-002, 1.514199541688956e+000,-6.224337285951848e-001,-2.823824100834125e-001
 1.909000000000000e+001, 1.390230341014000e+000, 7.677106135358169e-002,-4.179100339868417e-002, 1.513015246339054e+000,-6.223662677456258e-001,-2.809155652333483e-001
 1.910000000000000e+001, 1.387335673686104e+000, 7.673486827878229e-002,-4.223434404345135e-002, 1.511721223775383e+000,-6.222468498166995e-001,-2.794283292547569e-001
 1.911000000000000e+001, 1.384398149088669e+000, 7.668429379480757e-002,-4.267925334141385e-002, 1.510292122798495e+000,-6.220584655543845e-001,-2.779342573438937e-001
 1.912000000000000e+001, 1.381430148485425e+000, 7.661845732777461e-002,-4.311266078341541e-002, 1.508713319194927e+000,-6.217938975292547e-001,-2.764432468357354e-001
 1.913000000000000e+001, 1.378437932193341e+000, 7.653715877539824e-002,-4.352029270762479e-002, 1.506968913185105e+000,-6.214469630575676e-001,-2.749615065526146e-001
 1.914000000000000e+001, 1.375413838665350e+000, 7.643288196683606e-002,-4.387034747421788e-002, 1.505043204441083e+000,-6.210128863020155e-001,-2.734887897717445e-001
 1.915000000000000e+001, 1.372348291949160e+000, 7.630204815169961e-002,-4.414367312108870e-002, 1.502927828711937e+000,-6.204874025689382e-001,-2.720281298454761e-001
 1.916000000000000e+001, 1.369229108007524e+000, 7.614294834344215e-002,-4.432430944314188e-002, 1.500620163260595e+000,-6.198667034641778e-001,-2.705837005567335e-001
 1.917000000000000e+001, 1.366040659794412e+000, 7.595285051751022e-002,-4.439031832416512e-002, 1.498121094429122e+000,-6.191481759658488e-001,-2.691567819399670e-001
 1.918000000000000e+001, 1.362774295400117e+000, 7.573617608743311e-002,-4.433845907712593e-002, 1.495439382182060e+000,-6.183313846881332e-001,-2.677515834921675e-001
 1.919000000000000e+001, 1.359420225110565e+000, 7.549567261111534e-002,-4.416600884261252e-002, 1.492586158336686e+000,-6.174184993964700e-001,-2.663696319198072e-001
 1.920000000000000e+001, 1.355969518143309e+000, 7.523382192178363e-002,-4.387316850668210e-002, 1.489574344020406e+000,-6.164138258120474e-001,-2.650116946456186e-001
