Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 1.907000000000000e+001, 4.973150381472730e-001, 8.111091927950285e-001, 9.134140286269699e-001, 1.570117957772646e+000, 5.260739910214589e-001,-1.104772625692900e+000,-3.616690392204086e-001, 3.356798027306288e-002, 4.436877545674231e-002,-5.551115123125783e-017,-2.775557561562891e-017, 1.110223024625157e-016
 1.908000000000000e+001, 4.975096666173973e-001, 8.109581478907050e-001, 9.140002555462371e-001, 1.570509543427065e+000, 5.240249137651567e-001,-1.104266650761929e+000,-3.630418386647897e-001, 3.403221853471800e-002, 4.299413002554541e-002, 0.000000000000000e+000, 0.000000000000000e+000,-1.110223024625157e-016
 1.909000000000000e+001, 4.977066501175995e-001, 8.108005370289261e-001, 9.146091745786797e-001, 1.570906296842510e+000, 5.219903172293154e-001,-1.103763408602629e+000,-3.643502202934501e-001, 3.445679393244740e-002, 4.168998574800487e-002, 0.000000000000000e+000, 2.775557561562890e-017, 1.110223024625156e-016
 1.910000000000000e+001, 4.979050004030973e-001, 8.106340672006370e-001, 9.152489098713251e-001, 1.571306759012183e+000, 5.199997159054264e-001,-1.103271826444005e+000,-3.655454513372290e-001, 3.481489887476495e-002, 4.052236111787044e-002,-1.110223024625157e-016,-1.665334536937735e-016,-3.330669073875470e-016
 1.911000000000000e+001, 4.981024052196378e-001, 8.104584965783309e-001, 9.159238700145611e-001, 1.571700757745838e+000, 5.180865688371563e-001,-1.102803228134843e+000,-3.665838503463794e-001, 3.509217158843855e-002, 3.953632267958271e-002,-5.551115123125780e-017,-1.387778780781445e-017,-1.110223024625156e-016
 1.912000000000000e+001, 4.982965376108552e-001, 8.102754533245451e-001, 9.166355887806702e-001, 1.572075557327145e+000, 5.162698585680259e-001,-1.102363634066951e+000,-3.674472499696723e-001, 3.529568610387556e-002, 3.873923050233746e-002, 1.110223024625156e-016, 1.387778780781445e-017, 3.330669073875469e-016
 1.913000000000000e+001, 4.984850583736928e-001, 8.100868763048130e-001, 9.173865579365081e-001, 1.572415922032623e+000, 5.145602430648504e-001,-1.101957440941889e+000,-3.681275888059657e-001, 3.544088181914202e-002, 3.812808591474742e-002, 5.551115123125782e-017, 1.387778780781445e-017, 2.220446049250313e-016
 1.914000000000000e+001, 4.986658617804828e-001, 8.098948820979708e-001, 9.181790359512442e-001, 1.572703901002472e+000, 5.129561758079015e-001,-1.101589218303499e+000,-3.686331769668119e-001, 3.555092814600890e-002, 3.768845671682485e-002,-1.110223024625157e-016,-1.387778780781446e-017, 0.000000000000000e+000
 1.915000000000000e+001, 4.988374533771727e-001, 8.097013885934394e-001, 9.190149017056681e-001, 1.572921249685066e+000, 5.114452597311869e-001,-1.101263824962813e+000,-3.689868208481714e-001, 3.565197539522985e-002, 3.739777554116693e-002, 0.000000000000000e+000,-2.775557561562891e-017, 2.220446049250313e-016
 1.916000000000000e+001, 4.989991196618168e-001, 8.095079683908090e-001, 9.198952887843953e-001, 1.573054139326848e+000, 5.100091770601556e-001,-1.100984069943364e+000,-3.692193575093724e-001, 3.576736462974999e-002, 3.722899046451829e-002, 0.000000000000000e+000,-1.387778780781445e-017,-1.110223024625156e-016
