Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
 5.620000000000000e+000, 5.280480458925524e-001, 1.228160309523774e-001,-1.974249729867917e-002, 6.167877314769433e-001,-2.414867666415663e-001,-1.261366469443288e-001
 5.630000000000000e+000, 5.264523344927108e-001, 1.228415646650101e-001,-2.017172428158079e-002, 6.163082241246651e-001,-2.414771039569682e-001,-1.249645769771709e-001
 5.640000000000000e+000, 5.252118531981032e-001, 1.229142431028671e-001,-2.059190425045439e-002, 6.162807686955865e-001,-2.416242182033083e-001,-1.239996121475676e-001
 5.650000000000000e+000, 5.245860594589257e-001, 1.230604823613282e-001,-2.099288831954041e-002, 6.170049395613926e-001,-2.420426706734219e-001,-1.233830534721599e-001
 5.660000000000000e+000, 5.248226853662961e-001, 1.233003389322853e-001,-2.135625087785336e-002, 6.187527321014240e-001,-2.428434315356954e-001,-1.232412652996182e-001
 5.670000000000000e+000, 5.260647562275299e-001, 1.236408236783468e-001,-2.165674342186509e-002, 6.216741991476529e-001,-2.440920795487050e-001,-1.236484194166387e-001
 5.680000000000000e+000, 5.284236186140517e-001, 1.240826096126320e-001,-2.186196152052394e-002, 6.258914408298568e-001,-2.458427170680724e-001,-1.246680143667554e-001
 5.690000000000000e+000, 5.319771969908640e-001, 1.246196908024575e-001,-2.194830503010445e-002, 6.314726763833767e-001,-2.481284903198212e-001,-1.263343786958728e-001
 5.700000000000000e+000, 5.367357425601399e-001, 1.252369530331461e-001,-2.190054009111133e-002, 6.384178805835811e-001,-2.509659058440684e-001,-1.286353112522647e-001
 5.710000000000000e+000, 5.426667330781611e-001, 1.259183000447184e-001,-2.172431159757297e-002, 6.466722258702982e-001,-2.543567064651812e-001,-1.315220986289633e-001
 5.720000000000000e+000, 5.496887333694268e-001, 1.266483402562217e-001,-2.144480689240476e-002, 6.561319327682221e-001,-2.582872249914477e-001,-1.349205903631957e-001
 5.730000000000000e+000, 5.576693551960669e-001, 1.274110708916316e-001,-2.109957465040802e-002, 6.666532819591514e-001,-2.627279293409481e-001,-1.387469317537134e-001
 5.740000000000000e+000, 5.664294120910480e-001, 1.281888399140119e-001,-2.072768823113018e-002, 6.780635301862016e-001,-2.676334424928043e-001,-1.429219843438808e-001
 5.750000000000000e+000, 5.757584170290317e-001, 1.289660624222278e-001,-2.035971559124168e-002, 6.901750142623235e-001,-2.729423062864224e-001,-1.473822961808304e-001
 5.760000000000000e+000, 5.854377637999829e-001, 1.297342242626149e-001,-2.001154057847315e-002, 7.028000032580688e-001,-2.785783063595264e-001,-1.520836556378180e-001
 5.770000000000001e+000, 5.952628003847432e-001, 1.304902106136729e-001,-1.968442834543114e-002, 7.157611915493105e-001,-2.844560322923153e-001,-1.569933901834679e-001
 5.780000000000000e+000, 6.050595775626133e-001, 1.312288728841558e-001,-1.937018388149187e-002, 7.288978839431103e-001,-2.904888781959640e-001,-1.620785363078555e-001
 5.790000000000000e+000, 6.146962951266372e-001, 1.319377575673220e-001,-1.905588625678504e-002, 7.420717239915532e-001,-2.965945863434656e-001,-1.673027884089130e-001
 5.800000000000000e+000, 6.240883637009332e-001, 1.325976985525768e-001,-1.872493903001750e-002, 7.551716215406766e-001,-3.026969193054252e-001,-1.726333905570072e-001
 5.810000000000001e+000, 6.331965059135454e-001, 1.331884216763324e-001,-1.835695045504203e-002, 7.681150830161160e-001,-3.087266313793872e-001,-1.780493165027932e-001
 5.820000000000000e+000, 6.420195214772506e-001, 1.336965982481098e-001,-1.792943378664990e-002, 7.808460487952954e-001,-3.146242860293773e-001,-1.835457046455643e-001
 5.830000000000000e+000, 6.505832205146171e-001, 1.341222277764556e-001,-1.742074178886582e-002, 7.933310087006381e-001,-3.203445955157384e-001,-1.891335076260295e-001
 5.840000000000000e+000, 6.589272773511804e-001, 1.344801480425946e-001,-1.681211344346840e-002, 8.055538797152668e-001,-3.258605180495331e-001,-1.948338349466660e-001
 5.850000000000000e+000, 6.670935799521071e-001, 1.347965866838636e-001,-1.608817868272866e-002, 8.175097604078130e-001,-3.311644676253130e-001,-2.006691411855298e-001
 5.860000000000000e+000, 6.751193042310568e-001, 1.351031449537177e-001,-1.523756350443998e-002, 8.291994599070403e-001,-3.362650275338060e-001,-2.066544854244118e-001
 5.870000000000000e+000, 6.830361577124979e-001, 1.354306935214480e-001,-1.425525463408404e-002, 8.406268684101925e-001,-3.411804091620964e-001,-2.127899732506698e-001
 5.880000000000000e+000, 6.908748227567955e-001, 1.358035585728794e-001,-1.314646936179472e-002, 8.517986090775878e-001,-3.459318565734530e-001,-2.190544578176222e-001
 5.890000000000000e+000, 6.986703876317859e-001, 1.362334908056773e-001,-1.193057374904052e-002, 8.627240116330083e-001,-3.505395649144498e-001,-2.254016063214911e-001
 5.900000000000000e+000, 7.064656237795970e-001, 1.367151791150609e-001,-1.064301634310807e-002, 8.734148315427746e-001,-3.550211584803751e-001,-2.317604021210764e-001
 5.910000000000000e+000, 7.143123258650130e-001, 1.372264023472469e-001,-9.333575392139332e-003, 8.838854741587775e-001,-3.593913405329818e-001,-2.380410388430153e-001
 5.920000000000000e+000, 7.222699969490107e-001, 1.377332597167309e-001,-8.060665632268812e-003, 8.941536703704995e-001,-3.636616391444204e-001,-2.441458153349045e-001
 5.930000000000000e+000, 7.303998435030493e-001, 1.381985349860861e-001,-6.882897787735768e-003, 9.042403614628437e-001,-3.678401017152380e-001,-2.499841882060664e-001
 5.940000000000000e+000, 7.387545313769259e-001, 1.385908152925117e-001,-5.849983418529187e-003, 9.141682530824487e-001,-3.719318904076274e-001,-2.554880483644089e-001
 5.950000000000000e+000, 7.473668071564237e-001, 1.388911913962569e-001,-4.994688624775984e-003, 9.239595926907183e-001,-3.759412973909780e-001,-2.606210425384907e-001
 5.960000000000000e+000, 7.562410510124196e-001, 1.390956328854294e-001,-4.326721339442731e-003, 9.336341131476298e-001,-3.798731834637690e-001,-2.653819993004984e-001
 5.970000000000000e+000, 7.653464258467430e-001, 1.392116162345760e-001,-3.826322966325871e-003, 9.432060799736227e-001,-3.837319785939136e-001,-2.697943036797331e-001
 5.980000000000000e+000, 7.750262896447451e-001, 1.390129380057252e-001,-2.995608271802808e-003, 9.532031665147616e-001,-3.876849794508037e-001,-2.741491834162065e-001
 5.990000000000000e+000, 7.847706333090116e-001, 1.388041098077684e-001,-2.292116625491670e-003, 9.629974195620150e-001,-3.915239262475852e-001,-2.782169799195240e-001
 6.000000000000000e+000, 7.942808052525983e-001, 1.387706768178716e-001,-1.944280842249907e-003, 9.723230018367574e-001,-3.951694165718137e-001,-2.819470030819986e-001
 6.010000000000000e+000, 8.038250742669637e-001, 1.387347118404965e-001,-1.521951815005908e-003, 9.815575708967296e-001,-3.987368240776889e-001,-2.855733966335599e-001
 6.020000000000000e+000, 8.133834378670589e-001, 1.387123099824550e-001,-9.803038872522869e-004, 9.906955041643846e-001,-4.022205299807333e-001,-2.891395429820741e-001
 6.030000000000000e+000, 8.229479916136162e-001, 1.387120647198741e-001,-2.974410494960748e-004, 9.997291817028244e-001,-4.056151187452162e-001,-2.926678115443953e-001
 6.040000000000000e+000, 8.325175088374497e-001, 1.387362727771258e-001, 5.253321502724088e-004, 1.008650654530571e+000,-4.089188976073998e-001,-2.961584467796792e-001
