Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 5.620000000000000e+000,-3.612831551628261e-001, 3.171057959162864e-001,-3.490658503988658e-001
 5.630000000000000e+000,-3.612831551628267e-001, 3.171057959162882e-001,-3.490658503988668e-001
 5.640000000000000e+000,-3.612831551628261e-001, 3.171057959162897e-001,-3.490658503988651e-001
 5.650000000000000e+000,-3.612831551628267e-001, 3.171057959162933e-001,-3.490658503988674e-001
 5.660000000000000e+000,-3.612831551628261e-001, 3.171057959162851e-001,-3.490658503988658e-001
 5.670000000000000e+000,-3.612831551628267e-001, 3.171057959162862e-001,-3.490658503988661e-001
 5.680000000000000e+000,-3.612831551628267e-001, 3.171057959162864e-001,-3.490658503988651e-001
 5.690000000000000e+000,-3.612831551628254e-001, 3.171057959162780e-001,-3.490658503988648e-001
 5.700000000000000e+000,-3.612831551628267e-001, 3.171057959162864e-001,-3.490658503988658e-001
 5.710000000000000e+000,-3.612831551628258e-001, 3.171057959162877e-001,-3.490658503988661e-001
 5.720000000000000e+000,-3.612831551628261e-001, 3.171057959162853e-001,-3.490658503988658e-001
 5.730000000000000e+000,-3.612831551628261e-001, 3.171057959162837e-001,-3.490658503988661e-001
 5.740000000000000e+000,-3.612831551628261e-001, 3.171057959162906e-001,-3.490658503988658e-001
 5.750000000000000e+000,-3.612831551628267e-001, 3.171057959162935e-001,-3.490658503988658e-001
 5.760000000000000e+000,-3.612831551628264e-001, 3.171057959162809e-001,-3.490658503988655e-001
 5.770000000000001e+000,-3.612831551628267e-001, 3.171057959162904e-001,-3.490658503988658e-001
 5.780000000000000e+000,-3.612831551628267e-001, 3.171057959162866e-001,-3.490658503988658e-001
 5.790000000000000e+000,-3.612831551628261e-001, 3.171057959162860e-001,-3.490658503988661e-001
 5.800000000000000e+000,-3.612831551628261e-001, 3.171057959162866e-001,-3.490658503988668e-001
 5.810000000000001e+000,-3.612831551628261e-001, 3.171057959162800e-001,-3.490658503988668e-001
 5.820000000000000e+000,-3.612831551628254e-001, 3.171057959162882e-001,-3.490658503988651e-001
 5.830000000000000e+000,-3.612831551628254e-001, 3.171057959162846e-001,-3.490658503988658e-001
 5.840000000000000e+000,-3.612831551628261e-001, 3.171057959162911e-001,-3.490658503988661e-001
 5.850000000000000e+000,-3.612831551628264e-001, 3.171057959162851e-001,-3.490658503988655e-001
 5.860000000000000e+000,-3.612831551628267e-001, 3.171057959162873e-001,-3.490658503988658e-001
 5.870000000000000e+000,-3.612831551628261e-001, 3.171057959162886e-001,-3.490658503988661e-001
 5.880000000000000e+000,-3.612831551628264e-001, 3.171057959162871e-001,-3.490658503988668e-001
 5.890000000000000e+000,-3.612831551628261e-001, 3.171057959162851e-001,-3.490658503988668e-001
 5.900000000000000e+000,-3.612831551628261e-001, 3.171057959162869e-001,-3.490658503988661e-001
 5.910000000000000e+000,-3.612831551628267e-001, 3.171057959162851e-001,-3.490658503988658e-001
 5.920000000000000e+000,-3.612831551628261e-001, 3.171057959162922e-001,-3.490658503988661e-001
 5.930000000000000e+000,-3.612831551628261e-001, 3.171057959162842e-001,-3.490658503988651e-001
 5.940000000000000e+000,-3.612831551628261e-001, 3.171057959162797e-001,-3.490658503988668e-001
 5.950000000000000e+000,-3.612831551628261e-001, 3.171057959162855e-001,-3.490658503988658e-001
 5.960000000000000e+000,-3.612831551628248e-001, 3.171057959162840e-001,-3.490658503988661e-001
 5.970000000000000e+000,-3.612831551579125e-001, 3.171057959176373e-001,-3.490658503987658e-001
 5.980000000000000e+000,-3.612831544162348e-001, 3.171057961480752e-001,-3.490658503821995e-001
 5.990000000000000e+000,-3.612831336778921e-001, 3.171058032839782e-001,-3.490658498827418e-001
 6.000000000000000e+000,-3.612829158379866e-001, 3.171058850196045e-001,-3.490658442810541e-001
 6.010000000000000e+000,-3.612816795980137e-001, 3.171063840854145e-001,-3.490658106432146e-001
 6.020000000000000e+000,-3.612770122881955e-001, 3.171083867466560e-001,-3.490656774186726e-001
 6.030000000000000e+000,-3.612637025100299e-001, 3.171143891541233e-001,-3.490652821571880e-001
 6.040000000000000e+000,-3.612326238404255e-001, 3.171289717640702e-001,-3.490643292992160e-001
 6.050000000000000e+000,-3.611699912347003e-001, 3.171592854091396e-001,-3.490623600379723e-001
 6.060000000000000e+000,-3.610572075895674e-001, 3.172152171824754e-001,-3.490587424893518e-001
 6.070000000000000e+000,-3.608715811613202e-001, 3.173091490365227e-001,-3.490526884418050e-001
 6.080000000000000e+000,-3.605883063571017e-001, 3.174552180214088e-001,-3.490433038422143e-001
 6.090000000000000e+000,-3.601840670124437e-001, 3.176679713514077e-001,-3.490296808202760e-001
 6.100000000000000e+000,-3.596422260381496e-001, 3.179603512648286e-001,-3.490110345393468e-001
 6.110000000000000e+000,-3.589587169971740e-001, 3.183411066716726e-001,-3.489868746254027e-001
 6.120000000000000e+000,-3.581467301385197e-001, 3.188120277268194e-001,-3.489571790843211e-001
 6.130000000000000e+000,-3.572378143773434e-001, 3.193657495973730e-001,-3.489225172832118e-001
 6.140000000000000e+000,-3.562778678897857e-001, 3.199850654655625e-001,-3.488840632953124e-001
 6.150000000000000e+000,-3.553186565624390e-001, 3.206444828912618e-001,-3.488434645993345e-001
 6.160000000000000e+000,-3.544077538116564e-001, 3.213140267413848e-001,-3.488025830791298e-001
 6.170000000000000e+000,-3.535804096606199e-001, 3.219643247908079e-001,-3.487631451074111e-001
 6.180000000000000e+000,-3.528564867672504e-001, 3.225711199132029e-001,-3.487266243224930e-001
 6.190000000000000e+000,-3.522406736498362e-001, 3.231184129319682e-001,-3.486938710607015e-001
 6.200000000000000e+000,-3.517267711689556e-001, 3.235989097848866e-001,-3.486652487207967e-001
 6.210000000000000e+000,-3.513022826666686e-001, 3.240127729791429e-001,-3.486406905269920e-001
 6.220000000000000e+000,-3.509524637537557e-001, 3.243653314255903e-001,-3.486198416321081e-001
 6.230000000000000e+000,-3.506630238814714e-001, 3.246647072780953e-001,-3.486021984159985e-001
 6.240000000000000e+000,-3.504215037140447e-001, 3.249199655392308e-001,-3.485872135979020e-001
 6.250000000000000e+000,-3.502177264517623e-001, 3.251399641177375e-001,-3.485743600247574e-001
 6.260000000000000e+000,-3.500437115898393e-001, 3.253327621309747e-001,-3.485631624528690e-001
 6.270000000000000e+000,-3.498932930270805e-001, 3.255053742018124e-001,-3.485532094716363e-001
 6.280000000000000e+000,-3.497616526916309e-001, 3.256637382778242e-001,-3.485441535377608e-001
 6.290000000000000e+000,-3.496449323184017e-001, 3.258127919758458e-001,-3.485357054769355e-001
 6.300000000000000e+000,-3.495399392689021e-001, 3.259565437121350e-001,-3.485276294648005e-001
 6.310000000000000e+000,-3.494439330372914e-001, 3.260980928727981e-001,-3.485197408655225e-001
 6.320000000000000e+000,-3.493545202198720e-001, 3.262396413595567e-001,-3.485119050212303e-001
 6.330000000000000e+000,-3.492696228522526e-001, 3.263825443005932e-001,-3.485040343951827e-001
 6.340000000000000e+000,-3.491874578525879e-001, 3.265274265250397e-001,-3.484960823332808e-001
 6.350000000000000e+000,-3.491065323248428e-001, 3.266743714774592e-001,-3.484880331245009e-001
 6.359999999999999e+000,-3.490256418886399e-001, 3.268231201633485e-001,-3.484798915121499e-001
 6.370000000000000e+000,-3.489438333811048e-001, 3.269732122750442e-001,-3.484716749191372e-001
 6.380000000000000e+000,-3.488603725883174e-001, 3.271240797617778e-001,-3.484634081216760e-001
 6.390000000000000e+000,-3.487747542511741e-001, 3.272751081619956e-001,-3.484551198713261e-001
 6.400000000000000e+000,-3.486867135264970e-001, 3.274256696680424e-001,-3.484468410863102e-001
 6.410000000000000e+000,-3.485962281593840e-001, 3.275751737940977e-001,-3.484386022047549e-001
 6.420000000000000e+000,-3.485035426638175e-001, 3.277231464146531e-001,-3.484304292847647e-001
 6.430000000000000e+000,-3.484091738256490e-001, 3.278692756654007e-001,-3.484223417004920e-001
 6.440000000000000e+000,-3.483138281567813e-001, 3.280134219990554e-001,-3.484143511254413e-001
 6.450000000000000e+000,-3.482182868271285e-001, 3.281556663348284e-001,-3.484064583621355e-001
 6.460000000000000e+000,-3.481233584741754e-001, 3.282963828396808e-001,-3.483986493379868e-001
 6.470000000000000e+000,-3.480298747100097e-001, 3.284362331058444e-001,-3.483908953985744e-001
 6.480000000000000e+000,-3.479386622953747e-001, 3.285760656243189e-001,-3.483831583068831e-001
 6.490000000000000e+000,-3.478505079599253e-001, 3.287167926162968e-001,-3.483753963298787e-001
