Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 5.620000000000000e+000,-2.440551221971443e-001,-3.242441365581787e-001,-3.490634944563980e-001
 5.630000000000000e+000,-2.445424009941210e-001,-3.263147350245967e-001,-3.490635196140652e-001
 5.640000000000000e+000,-2.450475483884549e-001,-3.284159039014534e-001,-3.490635437400244e-001
 5.650000000000000e+000,-2.455722829125089e-001,-3.305321879755379e-001,-3.490635659085989e-001
 5.660000000000000e+000,-2.461032965067383e-001,-3.326248137545051e-001,-3.490635845389332e-001
 5.670000000000000e+000,-2.466153701911637e-001,-3.346481697964396e-001,-3.490635984815915e-001
 5.680000000000000e+000,-2.470752392935227e-001,-3.365524173427286e-001,-3.490636066948617e-001
 5.690000000000000e+000,-2.474429770124842e-001,-3.382893669712033e-001,-3.490636085507525e-001
 5.700000000000000e+000,-2.476768868197520e-001,-3.398150969617622e-001,-3.490636033470302e-001
 5.710000000000000e+000,-2.477395760357766e-001,-3.410943062786003e-001,-3.490635908509844e-001
 5.720000000000000e+000,-2.476062491397687e-001,-3.421021011427643e-001,-3.490635713956680e-001
 5.730000000000000e+000,-2.472706596639324e-001,-3.428258220067766e-001,-3.490635459827518e-001
 5.740000000000000e+000,-2.467453884188011e-001,-3.432665121282903e-001,-3.490635160981309e-001
 5.750000000000000e+000,-2.460586842160519e-001,-3.434381407799858e-001,-3.490634833478999e-001
 5.760000000000000e+000,-2.452493906597956e-001,-3.433646980133049e-001,-3.490634491648294e-001
 5.770000000000001e+000,-2.443594177909189e-001,-3.430776777181332e-001,-3.490634146889120e-001
 5.780000000000000e+000,-2.434271231927851e-001,-3.426138267151240e-001,-3.490633807834029e-001
 5.790000000000000e+000,-2.424859483629293e-001,-3.420114500763407e-001,-3.490633481606708e-001
 5.800000000000000e+000,-2.415676859938658e-001,-3.413066686450992e-001,-3.490633175545501e-001
 5.810000000000001e+000,-2.407062426718035e-001,-3.405322723107864e-001,-3.490632897809198e-001
 5.820000000000000e+000,-2.399368303649841e-001,-3.397184123142658e-001,-3.490632655906967e-001
 5.830000000000000e+000,-2.392882305739376e-001,-3.388928307754939e-001,-3.490632454124039e-001
 5.840000000000000e+000,-2.387730124515864e-001,-3.380808260014643e-001,-3.490632291630520e-001
 5.850000000000000e+000,-2.383829712775311e-001,-3.373048568679145e-001,-3.490632161975721e-001
 5.860000000000000e+000,-2.380906928216131e-001,-3.365823099598369e-001,-3.490632053818735e-001
 5.870000000000000e+000,-2.378529319787026e-001,-3.359232801916376e-001,-3.490631952401240e-001
 5.880000000000000e+000,-2.376130036789934e-001,-3.353306431903562e-001,-3.490631840926390e-001
 5.890000000000000e+000,-2.373033402875762e-001,-3.348007332525624e-001,-3.490631701911680e-001
 5.900000000000000e+000,-2.368503389073574e-001,-3.343234859173998e-001,-3.490631518786402e-001
 5.910000000000000e+000,-2.361810756986022e-001,-3.338825748587861e-001,-3.490631277053340e-001
 5.920000000000000e+000,-2.352301374345625e-001,-3.334552828535591e-001,-3.490630965291736e-001
 5.930000000000000e+000,-2.339459965435160e-001,-3.330131709691560e-001,-3.490630577179856e-001
 5.940000000000000e+000,-2.322981004441384e-001,-3.325259995456511e-001,-3.490630114638908e-001
 5.950000000000000e+000,-2.302878359425823e-001,-3.319685093837390e-001,-3.490629591791887e-001
 5.960000000000000e+000,-2.279639806184987e-001,-3.313270981894161e-001,-3.490629039584785e-001
 5.970000000000000e+000,-2.254254057182386e-001,-3.306069138406607e-001,-3.490628503296719e-001
 5.980000000000000e+000,-2.198759400536651e-001,-3.366851154663544e-001,-3.490624204135893e-001
 5.990000000000000e+000,-2.149885104961090e-001,-3.414261728359858e-001,-3.490620985154151e-001
 6.000000000000000e+000,-2.123909770777662e-001,-3.408389856144596e-001,-3.490620659653082e-001
