Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
 1.000000000000000e-002, 1.115041670448245e-001, 1.211348076323984e-001,-2.068943330134369e-001, 3.698551516188613e-002,-2.265000331219691e-002, 1.885767637745402e-001
 2.000000000000000e-002, 1.108392184250284e-001, 1.208945949612561e-001,-2.072522798859962e-001, 3.726883374793896e-002,-2.332492985322054e-002, 1.890781568657294e-001
 3.000000000000000e-002, 1.101774351223622e-001, 1.206515908585253e-001,-2.076017207596661e-001, 3.753991126560347e-002,-2.398942267615559e-002, 1.895742933464267e-001
 4.000000000000000e-002, 1.095334743878475e-001, 1.204070200922713e-001,-2.079303203495640e-001, 3.778918843563871e-002,-2.463155935024943e-002, 1.900406634024912e-001
 5.000000000000000e-002, 1.089281803289674e-001, 1.201655304713745e-001,-2.082242935006452e-001, 3.800319482177967e-002,-2.523166928757408e-002, 1.904598638100405e-001
 6.000000000000000e-002, 1.083764156762770e-001, 1.199352108338514e-001,-2.084706476666398e-001, 3.817215866757848e-002,-2.577138486048968e-002, 1.908199889378893e-001
 6.999999999999999e-002, 1.078871928530020e-001, 1.197246637214269e-001,-2.086594271491002e-001, 3.829047952906090e-002,-2.623612511341029e-002, 1.911141952926267e-001
 7.999999999999999e-002, 1.074696317502318e-001, 1.195446776430340e-001,-2.087846870886018e-001, 3.835860746911264e-002,-2.661724201319054e-002, 1.913186099130707e-001
 9.000000000000000e-002, 1.071128407037394e-001, 1.193878965639554e-001,-2.088602371858822e-001, 3.838300343830774e-002,-2.692285990018259e-002, 1.914940525899889e-001
 9.999999999999999e-002, 1.068200143859129e-001, 1.192588184703123e-001,-2.088893075394979e-001, 3.837258959195404e-002,-2.715737125152819e-002, 1.916227096980879e-001
 1.100000000000000e-001, 1.065871149528875e-001, 1.191558430593200e-001,-2.088805834788892e-001, 3.833819043611737e-002,-2.733140131744292e-002, 1.917088615867937e-001
 1.200000000000000e-001, 1.064068579100297e-001, 1.190760169060989e-001,-2.088436937393561e-001, 3.828930475244886e-002,-2.745600345742287e-002, 1.917607955779221e-001
 1.300000000000000e-001, 1.062699972172654e-001, 1.190155353795437e-001,-2.087879818892018e-001, 3.823395747537080e-002,-2.754281173457539e-002, 1.917876206348201e-001
 1.400000000000000e-001, 1.061667553503623e-001, 1.189703939133215e-001,-2.087226801504304e-001, 3.817864283830306e-002,-2.760411958036109e-002, 1.917990874689727e-001
 1.500000000000000e-001, 1.060875072758345e-001, 1.189372512429101e-001,-2.086566903628717e-001, 3.812786137207201e-002,-2.765149421570116e-002, 1.918050456827188e-001
 1.600000000000000e-001, 1.060234379003509e-001, 1.189137812602981e-001,-2.085970397904952e-001, 3.808443720604648e-002,-2.769361863463899e-002, 1.918128672637280e-001
 1.700000000000000e-001, 1.059677345299475e-001, 1.188982663756173e-001,-2.085469714131017e-001, 3.805079829206027e-002,-2.773511161757479e-002, 1.918239514512087e-001
 1.800000000000000e-001, 1.059159387913645e-001, 1.188890620188419e-001,-2.085054023787116e-001, 3.802932709323651e-002,-2.777726695689290e-002, 1.918328223778367e-001
 1.900000000000000e-001, 1.058648501628450e-001, 1.188846897929572e-001,-2.084684970293927e-001, 3.802119169932622e-002,-2.782014945261696e-002, 1.918302053363912e-001
 2.000000000000000e-001, 1.058116238955529e-001, 1.188843548607199e-001,-2.084323643966474e-001, 3.802541506256300e-002,-2.786418003430505e-002, 1.918073033241039e-001
 2.100000000000000e-001, 1.057541771563465e-001, 1.188879951120001e-001,-2.083950757948200e-001, 3.803927052719713e-002,-2.791015523563824e-002, 1.917586276284429e-001
 2.200000000000000e-001, 1.056920400693846e-001, 1.188957717469164e-001,-2.083572322874928e-001, 3.805913034600726e-002,-2.795866461693271e-002, 1.916835686013272e-001
 2.300000000000000e-001, 1.056264683608422e-001, 1.189076518988603e-001,-2.083212554773883e-001, 3.808093043815758e-002,-2.800978500810697e-002, 1.915869093842259e-001
 2.400000000000000e-001, 1.055595886070610e-001, 1.189232522643027e-001,-2.082900066339885e-001, 3.810056012932177e-002,-2.806311399152248e-002, 1.914778160524448e-001
 2.500000000000000e-001, 1.054932713271702e-001, 1.189417286219812e-001,-2.082656952205045e-001, 3.811459891599583e-002,-2.811811300696519e-002, 1.913675502676397e-001
 2.600000000000000e-001, 1.054285784592290e-001, 1.189617950055937e-001,-2.082496111425692e-001, 3.812106485939567e-002,-2.817430734201552e-002, 1.912668291839267e-001
 2.700000000000000e-001, 1.053659331268889e-001, 1.189819183243199e-001,-2.082424550888370e-001, 3.811963437685283e-002,-2.823118706174988e-002, 1.911838906978675e-001
 2.800000000000000e-001, 1.053055718622777e-001, 1.190005116284827e-001,-2.082446532908921e-001, 3.811132874080209e-002,-2.828846134947617e-002, 1.911237957637432e-001
 2.900000000000000e-001, 1.052478851869961e-001, 1.190161546790480e-001,-2.082562062817528e-001, 3.809790938937503e-002,-2.834645210581503e-002, 1.910885226519881e-001
