---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.UpdData = 5
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.FileName = "..\..\Application\MocapExamples\Plug-in-gait_MultiTrial_StandingRef\Output\\StandingRef_1-euler-leftarm.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristAbduction
1.000000000000000e-002 -2.537274205760748e-001 1.726389990732560e-001 -3.503210516656150e-001 5.235987755982987e-001 -1.134464013796315e+000 0.000000000000000e+000 2.094395102393196e+000 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
2.000000000000000e-002 -2.537385836647130e-001 1.729965808494931e-001 -3.503107982886187e-001 5.235987755982987e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393194e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
3.000000000000000e-002 -2.537546365338030e-001 1.733424692843686e-001 -3.503016252845803e-001 5.235987755982992e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393196e+000 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
4.000000000000000e-002 -2.537772840950533e-001 1.736666404489922e-001 -3.502942559748506e-001 5.235987755982992e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393196e+000 2.107342425544702e-008 2.220446049250313e-016 0.000000000000000e+000
5.000000000000000e-002 -2.538087966599764e-001 1.739562813577422e-001 -3.502894876228043e-001 5.235987755982987e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393195e+000 2.107342425544702e-008 0.000000000000000e+000 0.000000000000000e+000
6.000000000000000e-002 -2.538522567157116e-001 1.741998529172766e-001 -3.502879579770743e-001 5.235987755982978e-001 -1.134464013796315e+000 0.000000000000000e+000 2.094395102393195e+000 -1.490116119384766e-008 0.000000000000000e+000 0.000000000000000e+000
6.999999999999999e-002 -2.539107531560330e-001 1.743873467454082e-001 -3.502901081805233e-001 5.235987755982987e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393196e+000 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
7.999999999999999e-002 -2.539856228374905e-001 1.745149312913887e-001 -3.502958623891945e-001 5.235987755982987e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393195e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
9.000000000000000e-002 -2.540767398779256e-001 1.745860568132407e-001 -3.503048140697950e-001 5.235987755982987e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393196e+000 2.107342425544702e-008 -2.220446049250313e-016 0.000000000000000e+000
9.999999999999999e-002 -2.541838541687121e-001 1.746107313481493e-001 -3.503153598992083e-001 5.235987755982987e-001 -1.134464013796315e+000 0.000000000000000e+000 2.094395102393195e+000 -2.580956827951785e-008 0.000000000000000e+000 0.000000000000000e+000
1.100000000000000e-001 -2.543070095072539e-001 1.745998264186290e-001 -3.503268298677552e-001 5.235987755982992e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393195e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
1.200000000000000e-001 -2.544475388809616e-001 1.745639824067451e-001 -3.503381225653265e-001 5.235987755982987e-001 -1.134464013796315e+000 0.000000000000000e+000 2.094395102393195e+000 2.107342425544702e-008 0.000000000000000e+000 0.000000000000000e+000
1.300000000000000e-001 -2.546062917928968e-001 1.745129371871323e-001 -3.503483635293942e-001 5.235987755982992e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393196e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
1.400000000000000e-001 -2.547820006584680e-001 1.744553812320506e-001 -3.503569021751624e-001 5.235987755982983e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393196e+000 -1.490116119384766e-008 0.000000000000000e+000 0.000000000000000e+000
1.500000000000000e-001 -2.549711458317083e-001 1.743985591300188e-001 -3.503632843497487e-001 5.235987755982992e-001 -1.134464013796314e+000 0.000000000000000e+000 2.094395102393195e+000 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
1.600000000000000e-001 -2.551694838444130e-001 1.743482671499694e-001 -3.503672440662130e-001 5.235987755982992e-001 -1.134464013796315e+000 0.000000000000000e+000 2.094395102393195e+000 1.490116119384766e-008 -2.220446049250313e-016 0.000000000000000e+000
