Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 1.000000000000000e-002,-3.130858169438664e-001, 2.004730905026433e-001,-3.490658065592759e-001, 6.059329383435287e-001,-3.498155839524415e-001, 2.893568983333617e-001, 5.235987755982992e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393196e+000,-2.580956827951785e-008,-2.220446049250313e-016, 0.000000000000000e+000
 2.000000000000000e-002,-3.133568208464475e-001, 2.003736655758690e-001,-3.490658007335253e-001, 6.059096169325410e-001,-3.498154880124924e-001, 2.893326443201680e-001, 5.235987755982987e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000,-2.580956827951785e-008, 2.220446049250313e-016, 0.000000000000000e+000
 3.000000000000000e-002,-3.136236990337815e-001, 2.002692102326233e-001,-3.490657949244269e-001, 6.058880528205555e-001,-3.498143809827385e-001, 2.893050656437800e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000,-1.490116119384766e-008,-4.440892098500626e-016, 0.000000000000000e+000
 4.000000000000000e-002,-3.138846197360709e-001, 2.001611637150467e-001,-3.490657891585581e-001, 6.058682398554158e-001,-3.498123822356840e-001, 2.892747592531627e-001, 5.235987755982992e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 5.000000000000000e-002,-3.141344073322469e-001, 2.000514007208607e-001,-3.490657835216145e-001, 6.058506276542188e-001,-3.498094906144333e-001, 2.892421761214372e-001, 5.235987755982983e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 6.000000000000000e-002,-3.143628475339774e-001, 1.999373348156399e-001,-3.490657781671488e-001, 6.058374425716889e-001,-3.498047351466749e-001, 2.892046654172814e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.999999999999999e-002,-3.145568628709410e-001, 1.998129803446243e-001,-3.490657732709125e-001, 6.058321042683501e-001,-3.497964611994608e-001, 2.891573289099695e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 7.999999999999999e-002,-3.147072178574435e-001, 1.996744799165604e-001,-3.490657950370323e-001, 6.058369380286336e-001,-3.497835617021929e-001, 2.890969316716461e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 9.000000000000000e-002,-3.148116450888148e-001, 1.995174333437981e-001,-3.490657839570408e-001, 6.058532730776467e-001,-3.497652243812244e-001, 2.890207090527481e-001, 5.235987755982983e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 9.999999999999999e-002,-3.148778412897388e-001, 1.993443346507986e-001,-3.490657753439155e-001, 6.058793024020948e-001,-3.497422710022589e-001, 2.889309963857114e-001, 5.235987755982992e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
