Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
 1.000000000000000e-002, 6.225008832176644e-002, 1.099906407766049e-001, 2.027083955309138e-002, 9.083084016196992e-002,-1.136684996939454e-001, 1.923864731548250e-001
 2.000000000000000e-002, 6.138297568813077e-002, 1.101956644937363e-001, 2.015441431755151e-002, 9.070660947522793e-002,-1.135891413868156e-001, 1.926148305558030e-001
 3.000000000000000e-002, 6.052032129728856e-002, 1.104043585189649e-001, 2.004825731828234e-002, 9.057296501045660e-002,-1.135119119157159e-001, 1.928304984936237e-001
 4.000000000000000e-002, 5.967947132388699e-002, 1.106164624310844e-001, 1.995577613260884e-002, 9.042655795435289e-002,-1.134398483764831e-001, 1.930294824793102e-001
 5.000000000000000e-002, 5.888800351558037e-002, 1.108287866724240e-001, 1.988012633895859e-002, 9.026742669979281e-002,-1.133766499620463e-001, 1.932028260619776e-001
 6.000000000000000e-002, 5.816778741281566e-002, 1.110347431244492e-001, 1.982021119982696e-002, 9.009723112679988e-002,-1.133241382148519e-001, 1.933463798763475e-001
 6.999999999999999e-002, 5.753290853175701e-002, 1.112270504588029e-001, 1.977383207362441e-002, 8.991687479899578e-002,-1.132828691735744e-001, 1.934594782001677e-001
 7.999999999999999e-002, 5.699329364824055e-002, 1.113964922098087e-001, 1.972410427566134e-002, 8.972449900542914e-002,-1.132523002184267e-001, 1.935597808876590e-001
 9.000000000000000e-002, 5.653735798552401e-002, 1.115480982983677e-001, 1.969505469456514e-002, 8.952735931460822e-002,-1.132308281996106e-001, 1.936282208763752e-001
 9.999999999999999e-002, 5.616424639882624e-002, 1.116772720367560e-001, 1.967021765427203e-002, 8.932589880946619e-002,-1.132163622678539e-001, 1.936841239500690e-001
 1.100000000000000e-001, 5.586525430673396e-002, 1.117841172972036e-001, 1.964567470860702e-002, 8.912343436368959e-002,-1.132061317971887e-001, 1.937372970382089e-001
 1.200000000000000e-001, 5.562903462795803e-002, 1.118700525072081e-001, 1.961972956065614e-002, 8.892347867550081e-002,-1.131976996499116e-001, 1.937931214744515e-001
 1.300000000000000e-001, 5.544298302077760e-002, 1.119375442521606e-001, 1.959228514518864e-002, 8.872934233575233e-002,-1.131896958598178e-001, 1.938524251840114e-001
 1.400000000000000e-001, 5.529470227500208e-002, 1.119896018858779e-001, 1.956438507641896e-002, 8.854397265445765e-002,-1.131819333164055e-001, 1.939124554577692e-001
 1.500000000000000e-001, 5.517297725656165e-002, 1.120290204117420e-001, 1.953745254209321e-002, 8.837006353614198e-002,-1.131751516526740e-001, 1.939689339827108e-001
 1.600000000000000e-001, 5.506839118123343e-002, 1.120578514758943e-001, 1.951284360608876e-002, 8.821026508077089e-002,-1.131708716944770e-001, 1.940177570215932e-001
 1.700000000000000e-001, 5.497391712084711e-002, 1.120774122466826e-001, 1.949211365875242e-002, 8.806716164986905e-002,-1.131712081099454e-001, 1.940557936934559e-001
 1.800000000000000e-001, 5.488476943222038e-002, 1.120887490572515e-001, 1.947704186255692e-002, 8.794256284422884e-002,-1.131780067234470e-001, 1.940813776893840e-001
 1.900000000000000e-001, 5.479728507346389e-002, 1.120929441625611e-001, 1.946892114246054e-002, 8.783649943588807e-002,-1.131916822360774e-001, 1.940946583046699e-001
