Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
 1.000000000000000e-002, 6.224490559497012e-002, 1.100743657770791e-001, 2.020441056364868e-002, 9.084397879777746e-002,-1.137474072898167e-001, 1.924454312959010e-001
 2.000000000000000e-002, 6.136637537940738e-002, 1.102794745388993e-001, 2.008831588633282e-002, 9.071993855920403e-002,-1.136693600752551e-001, 1.926732657523035e-001
 3.000000000000000e-002, 6.048956705249822e-002, 1.104882266713438e-001, 1.998251524476875e-002, 9.058652187139622e-002,-1.135936656657877e-001, 1.928883447658712e-001
 4.000000000000000e-002, 5.962996924506189e-002, 1.107003387400742e-001, 1.989043034361380e-002, 9.044040172311563e-002,-1.135234939114749e-001, 1.930866384803891e-001
 5.000000000000000e-002, 5.881364962740750e-002, 1.109126079619982e-001, 1.981522685645857e-002, 9.028163536824418e-002,-1.134626448057737e-001, 1.932591589518940e-001
 6.000000000000000e-002, 5.806234731791918e-002, 1.111184500992688e-001, 1.975579998807192e-002, 9.011188321579315e-002,-1.134129410994552e-001, 1.934017637048313e-001
 6.999999999999999e-002, 5.739091252700671e-002, 1.113105927530085e-001, 1.970993316541942e-002, 8.993203791312208e-002,-1.133748791205342e-001, 1.935138170679767e-001
 7.999999999999999e-002, 5.681058647153318e-002, 1.114795770128698e-001, 1.966094916818889e-002, 8.974038161320747e-002,-1.133477382092352e-001, 1.936128359457672e-001
 9.000000000000000e-002, 5.631241010872554e-002, 1.116309640218778e-001, 1.963242522744497e-002, 8.954380771442999e-002,-1.133298515973017e-001, 1.936801613208807e-001
 9.999999999999999e-002, 5.589755141027322e-002, 1.117599592448009e-001, 1.960805375762391e-002, 8.934289265988665e-002,-1.133189139999793e-001, 1.937350197386084e-001
 1.100000000000000e-001, 5.555957646595620e-002, 1.118667139666842e-001, 1.958389134558761e-002, 8.914092106224913e-002,-1.133119790471831e-001, 1.937872673105894e-001
 1.200000000000000e-001, 5.528901365651415e-002, 1.119526858448952e-001, 1.955822036436577e-002, 8.894138510479417e-002,-1.133064764370187e-001, 1.938423277886880e-001
 1.300000000000000e-001, 5.507463443760900e-002, 1.120203621308653e-001, 1.953093161866092e-002, 8.874758230941775e-002,-1.133009420495939e-001, 1.939010579673023e-001
 1.400000000000000e-001, 5.490500364698795e-002, 1.120727547841922e-001, 1.950306745946434e-002, 8.856245092796715e-002,-1.132951189769006e-001, 1.939607199062563e-001
 1.500000000000000e-001, 5.476945217963065e-002, 1.121126470226888e-001, 1.947606046152976e-002, 8.838867923517302e-002,-1.132896982726120e-001, 1.940170356611491e-001
 1.600000000000000e-001, 5.465856493716324e-002, 1.121420670526370e-001, 1.945128584274868e-002, 8.822891772090653e-002,-1.132861860265262e-001, 1.940658854629986e-001
 1.700000000000000e-001, 5.456473560937203e-002, 1.121622999508249e-001, 1.943032529975887e-002, 8.808575843086645e-002,-1.132867238306155e-001, 1.941041069305670e-001
 1.800000000000000e-001, 5.448215416465388e-002, 1.121743527339554e-001, 1.941498697548293e-002, 8.796102461006841e-002,-1.132932205427608e-001, 1.941299931047890e-001
 1.900000000000000e-001, 5.440589532450803e-002, 1.121792631869378e-001, 1.940659079381203e-002, 8.785476391605912e-002,-1.133061774008999e-001, 1.941436521073903e-001
 2.000000000000000e-001, 5.433138413052250e-002, 1.121778861270832e-001, 1.940578357627474e-002, 8.776526916439922e-002,-1.133245726536686e-001, 1.941466815986028e-001
 2.100000000000000e-001, 5.425513173901305e-002, 1.121707218024053e-001, 1.941337586106746e-002, 8.769042519530695e-002,-1.133471668722937e-001, 1.941406648123818e-001
 2.200000000000000e-001, 5.417591714019136e-002, 1.121582133228554e-001, 1.943054088940901e-002, 8.762890987803410e-002,-1.133737979139628e-001, 1.941259402535172e-001
 2.300000000000000e-001, 5.409513219532046e-002, 1.121411049557650e-001, 1.945748538315639e-002, 8.758014534956116e-002,-1.134053553930988e-001, 1.941028947567481e-001
 2.400000000000000e-001, 5.401577295320474e-002, 1.121205098754885e-001, 1.949234192180479e-002, 8.754355942487557e-002,-1.134429217035514e-001, 1.940743021892349e-001
 2.500000000000000e-001, 5.394068739558017e-002, 1.120977963423429e-001, 1.953184414132147e-002, 8.751804221182276e-002,-1.134872046521948e-001, 1.940453328124149e-001
 2.600000000000000e-001, 5.387133125414817e-002, 1.120743983047055e-001, 1.957287872857848e-002, 8.750182699829232e-002,-1.135384764681720e-001, 1.940213566728440e-001
 2.700000000000000e-001, 5.380760021133433e-002, 1.120516324325354e-001, 1.961336331277552e-002, 8.749271327285475e-002,-1.135966255039565e-001, 1.940060385827919e-001
 2.800000000000000e-001, 5.374837135978158e-002, 1.120306550621848e-001, 1.965204354752117e-002, 8.748846139447085e-002,-1.136611221019917e-001, 1.940007869216009e-001
 2.900000000000000e-001, 5.369232109552495e-002, 1.120124825025317e-001, 1.968793582799552e-002, 8.748712220747343e-002,-1.137309877728722e-001, 1.940047795129878e-001
 3.000000000000000e-001, 5.363859684716330e-002, 1.119979807202616e-001, 1.972026544978986e-002, 8.748723357247054e-002,-1.138048520857560e-001, 1.940149085580686e-001
 3.100000000000000e-001, 5.358703518193794e-002, 1.119879168576268e-001, 1.974837871657059e-002, 8.748805320078014e-002,-1.138811215450808e-001, 1.940263188234804e-001
 3.200000000000000e-001, 5.353801218075900e-002, 1.119830551720342e-001, 1.977107190179167e-002, 8.748975078249764e-002,-1.139583657042645e-001, 1.940340668793086e-001
 3.300000000000000e-001, 5.349219540404325e-002, 1.119841303168410e-001, 1.978631739437935e-002, 8.749325750035807e-002,-1.140358816576691e-001, 1.940350089239308e-001
 3.400000000000000e-001, 5.345057325443301e-002, 1.119916171117572e-001, 1.979191563398883e-002, 8.749992423797753e-002,-1.141139921041923e-001, 1.940285551859130e-001
 3.500000000000000e-001, 5.341459731771131e-002, 1.120054809585402e-001, 1.978620759875294e-002, 8.751123726818902e-002,-1.141936877615627e-001, 1.940157360510466e-001
 3.600000000000000e-001, 5.338600546900242e-002, 1.120252520187293e-001, 1.976805479136748e-002, 8.752853562685543e-002,-1.142759049729471e-001, 1.939976081001444e-001
 3.700000000000000e-001, 5.336661569452281e-002, 1.120504672752982e-001, 1.973638267381923e-002, 8.755285019270886e-002,-1.143611911430827e-001, 1.939744875307276e-001
 3.800000000000000e-001, 5.335838744143761e-002, 1.120811152048278e-001, 1.969023047768498e-002, 8.758500265748363e-002,-1.144499212201587e-001, 1.939459922314552e-001
 3.900000000000000e-001, 5.336369670882724e-002, 1.121176676125122e-001, 1.962948480674093e-002, 8.762574226002470e-002,-1.145424959673314e-001, 1.939111007967347e-001
 4.000000000000000e-001, 5.338537843057572e-002, 1.121605512255428e-001, 1.955552280297064e-002, 8.767556534455508e-002,-1.146391104156012e-001, 1.938685300455317e-001
 4.100000000000000e-001, 5.342576213331827e-002, 1.122093198577163e-001, 1.947109305951699e-002, 8.773418897211066e-002,-1.147391134599613e-001, 1.938181254403494e-001
 4.200000000000000e-001, 5.348579623861965e-002, 1.122623411808856e-001, 1.937882201491127e-002, 8.780047787107401e-002,-1.148408019965522e-001, 1.937622364089365e-001
 4.300000000000000e-001, 5.356612409748269e-002, 1.123177703125455e-001, 1.927833100125206e-002, 8.787347007582463e-002,-1.149424874753391e-001, 1.937055178346880e-001
 4.400000000000000e-001, 5.366784566137552e-002, 1.123748547843977e-001, 1.916496786114879e-002, 8.795293493304035e-002,-1.150434718057154e-001, 1.936539579623743e-001
 4.500000000000000e-001, 5.378993326967416e-002, 1.124337108644737e-001, 1.903326283064395e-002, 8.803773492141193e-002,-1.151431307456498e-001, 1.936144319721231e-001
 4.600000000000000e-001, 5.392653896037997e-002, 1.124940612810321e-001, 1.888200669077111e-002, 8.812400110382022e-002,-1.152394070105273e-001, 1.935937170706472e-001
 4.700000000000000e-001, 5.406817454433771e-002, 1.125549314775427e-001, 1.871571146665774e-002, 8.820578639417437e-002,-1.153291169374429e-001, 1.935960566836180e-001
 4.800000000000000e-001, 5.420426125335193e-002, 1.126153129048624e-001, 1.854295308661459e-002, 8.827685831058686e-002,-1.154095765160503e-001, 1.936212345218679e-001
 4.900000000000000e-001, 5.432447617577128e-002, 1.126745102356634e-001, 1.837434558531728e-002, 8.833160893989246e-002,-1.154794721875193e-001, 1.936653698106670e-001
 5.000000000000000e-001, 5.442046604872419e-002, 1.127321049624617e-001, 1.822033463968413e-002, 8.836563526488295e-002,-1.155386289866587e-001, 1.937233185702747e-001
 5.100000000000000e-001, 5.448789714420405e-002, 1.127881022817838e-001, 1.808905126329788e-002, 8.837643421936456e-002,-1.155875647160929e-001, 1.937899878459911e-001
 5.200000000000000e-001, 5.452714037016206e-002, 1.128430545030721e-001, 1.798503515689303e-002, 8.836374076125968e-002,-1.156272463572899e-001, 1.938603905613296e-001
 5.300000000000000e-001, 5.454224339664058e-002, 1.128976585781507e-001, 1.790883718798990e-002, 8.832939934221294e-002,-1.156590254724417e-001, 1.939302265274602e-001
 5.400000000000000e-001, 5.453839667523646e-002, 1.129519314051148e-001, 1.785762188415527e-002, 8.827671963472794e-002,-1.156845213646597e-001, 1.939971600695019e-001
 5.499999999999999e-001, 5.451942337196170e-002, 1.130046532750637e-001, 1.782678068999096e-002, 8.820962305254276e-002,-1.157052492552939e-001, 1.940609118106774e-001
 5.600000000000001e-001, 5.448738316149643e-002, 1.130537015926416e-001, 1.781174496169513e-002, 8.813219024129854e-002,-1.157223140164169e-001, 1.941214610075294e-001
 5.700000000000000e-001, 5.444354799791003e-002, 1.130969861706817e-001, 1.780918734040224e-002, 8.804841319168434e-002,-1.157364826886713e-001, 1.941775059410347e-001
 5.800000000000001e-001, 5.438833070102978e-002, 1.131330414909031e-001, 1.781754485957529e-002, 8.796164401497118e-002,-1.157484578179011e-001, 1.942270263619299e-001
 5.900000000000000e-001, 5.432034490955554e-002, 1.131610076882619e-001, 1.783705478828114e-002, 8.787408988251962e-002,-1.157592169730183e-001, 1.942688401653277e-001
 6.000000000000000e-001, 5.423676650729782e-002, 1.131804644799166e-001, 1.786949159779692e-002, 8.778688915779123e-002,-1.157702244419951e-001, 1.943032428198973e-001
 6.100000000000000e-001, 5.413498351804610e-002, 1.131914177264044e-001, 1.791789960557214e-002, 8.770048100503623e-002,-1.157831107946250e-001, 1.943312717835266e-001
 6.200000000000000e-001, 5.401361365414115e-002, 1.131943382083200e-001, 1.798623872054918e-002, 8.761475005099970e-002,-1.157989568970006e-001, 1.943535393758077e-001
 6.300000000000000e-001, 5.387248121371283e-002, 1.131899869875530e-001, 1.807870444997583e-002, 8.752905637301818e-002,-1.158178308466090e-001, 1.943697517489567e-001
 6.400000000000000e-001, 5.371265849739322e-002, 1.131790814251892e-001, 1.819874927395981e-002, 8.744263124591617e-002,-1.158389126117463e-001, 1.943789424538086e-001
 6.500000000000000e-001, 5.353712590585862e-002, 1.131622507870551e-001, 1.834751281459225e-002, 8.735546828324713e-002,-1.158611052111574e-001, 1.943803404169004e-001
 6.600000000000000e-001, 5.335153997949769e-002, 1.131405307414699e-001, 1.852184221112368e-002, 8.726920363535087e-002,-1.158838560617724e-001, 1.943747031351036e-001
 6.699999999999999e-001, 5.316352050322782e-002, 1.131158808793469e-001, 1.871410185393977e-002, 8.718694322382693e-002,-1.159075968732400e-001, 1.943646646678858e-001
 6.800000000000001e-001, 5.297970092029192e-002, 1.130909248951080e-001, 1.891517762968413e-002, 8.711166621891922e-002,-1.159333602245216e-001, 1.943533892112586e-001
 6.900000000000000e-001, 5.280320732555682e-002, 1.130681212178848e-001, 1.911788241680434e-002, 8.704474220406987e-002,-1.159621474677597e-001, 1.943427234422295e-001
 7.000000000000001e-001, 5.263425219574490e-002, 1.130492699489467e-001, 1.931744347019651e-002, 8.698609116310435e-002,-1.159947600307296e-001, 1.943322227588437e-001
 7.100000000000000e-001, 5.247290458838346e-002, 1.130355322623813e-001, 1.950956403801854e-002, 8.693546247564445e-002,-1.160320102094810e-001, 1.943196078040986e-001
 7.200000000000000e-001, 5.232129677022793e-002, 1.130274605749206e-001, 1.968899781713978e-002, 8.689325637146535e-002,-1.160748695642693e-001, 1.943021962219803e-001
 7.300000000000000e-001, 5.218337657731448e-002, 1.130248848136572e-001, 1.985032067968482e-002, 8.686014347758880e-002,-1.161240486976272e-001, 1.942783195845012e-001
 7.400000000000000e-001, 5.206294752532656e-002, 1.130270088789156e-001, 1.998949329901320e-002, 8.683627855737876e-002,-1.161791338066505e-001, 1.942478416891683e-001
 7.500000000000000e-001, 5.196209191784400e-002, 1.130327514164740e-001, 2.010469906532096e-002, 8.682092119443011e-002,-1.162382377407879e-001, 1.942113927209656e-001
 7.600000000000000e-001, 5.188089957200309e-002, 1.130408334796860e-001, 2.019665615540517e-002, 8.681254142123669e-002,-1.162987709904616e-001, 1.941691958054666e-001
 7.699999999999999e-001, 5.181804622858618e-002, 1.130494671763851e-001, 2.026831540358377e-002, 8.680940781013138e-002,-1.163587095000644e-001, 1.941208241874085e-001
 7.800000000000000e-001, 5.177135248925113e-002, 1.130561983333971e-001, 2.032379354224850e-002, 8.681018136608359e-002,-1.164170968107905e-001, 1.940657428225467e-001
 7.899999999999999e-001, 5.173820096415498e-002, 1.130584070581504e-001, 2.036712823077018e-002, 8.681394746256764e-002,-1.164734659116053e-001, 1.940037109229384e-001
 8.000000000000000e-001, 5.171600780879717e-002, 1.130541981245603e-001, 2.040141183954926e-002, 8.681991601245676e-002,-1.165271047077344e-001, 1.939354305076130e-001
 8.099999999999999e-001, 5.170258531143016e-002, 1.130428279813844e-001, 2.042840085422221e-002, 8.682739771412902e-002,-1.165770380580688e-001, 1.938640215017828e-001
 8.200000000000001e-001, 5.169659254048030e-002, 1.130244253569535e-001, 2.044846213285950e-002, 8.683632276365497e-002,-1.166226854412239e-001, 1.937954814479629e-001
 8.300000000000000e-001, 5.169821853531196e-002, 1.129996713580614e-001, 2.046077801025134e-002, 8.684792150236026e-002,-1.166645162623754e-001, 1.937362820790419e-001
