Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
 1.000000000000000e-002, 6.075849972713293e-001, 7.106537764920377e-001, 1.182764077254105e+000, 1.563464384842878e+000, 1.029943689557211e-001,-9.352672029169207e-001, 1.342414947266321e-002,-1.298374383170798e-003,-5.083860073924326e-003, 9.127984866209844e-003, 9.343048495762570e-004,-1.626159032349773e-002, 3.774666727860711e-003, 2.507544279383922e-003,-2.863023228150564e-002,-1.854161923732626e-003, 3.212509766966549e-003,-4.107990580347858e-002,-7.292423768939230e-003, 3.053490468138340e-003,-5.287691663114690e-002,-1.223553089788930e-002, 2.169145752577568e-003,-6.462143772137011e-002,-1.006648816196876e-002, 2.879773904718856e-003,-7.084006275471681e-002, 5.606739897926392e-015,-1.343397084453650e-014, 2.205392790095052e-002, 5.690008312252031e-015,-1.287884808236557e-014, 2.205392790095046e-002, 5.606739897926393e-015,-1.348948312075360e-014, 2.205392790095042e-002, 5.717764450360579e-015,-1.310089718723395e-014, 2.205392790095042e-002, 5.551227621709300e-015,-1.321192173966813e-014, 2.205392790095042e-002, 5.773276726577671e-015,-1.304538491101685e-014, 2.205392790095058e-002,-1.110223024625156e-016, 0.000000000000000e+000
 2.000000000000000e-002, 6.075918399910484e-001, 7.105695580502982e-001, 1.182809196969390e+000, 1.563700771761375e+000, 1.023169930056398e-001,-9.353139867164961e-001, 1.341223560509637e-002,-1.299547805737335e-003,-5.072250688250953e-003, 9.099896965052432e-003, 9.425453211557784e-004,-1.630724792819301e-002, 3.728774521781830e-003, 2.527644108114772e-003,-2.873628701946763e-002,-1.918084134672857e-003, 3.245184797496029e-003,-4.124408372880632e-002,-7.373554089928868e-003, 3.098463541788148e-003,-5.309429769462047e-002,-1.233387534972094e-002, 2.224886102149262e-003,-6.489015601029301e-002,-1.017502640827313e-002, 2.946587603738562e-003,-7.112983868434281e-002, 5.801032864686217e-015,-1.310089718723394e-014, 2.205392790095036e-002, 5.578983759817843e-015,-1.332294629210231e-014, 2.205392790095052e-002, 5.828789002794764e-015,-1.310089718723394e-014, 2.205392790095052e-002, 5.662252174143485e-015,-1.332294629210232e-014, 2.205392790095036e-002, 5.690008312252031e-015,-1.315640946345104e-014, 2.205392790095041e-002, 5.634496036034937e-015,-1.304538491101685e-014, 2.205392790095068e-002, 5.551115123125782e-017, 0.000000000000000e+000
 3.000000000000000e-002, 6.076013544850387e-001, 7.104831571740967e-001, 1.182852583872575e+000, 1.563939168903677e+000, 1.016526180715374e-001,-9.353593217787640e-001, 1.340265898270582e-002,-1.300944316654511e-003,-5.054199211641373e-003, 9.073322686636180e-003, 9.506195327049567e-004,-1.634671688561468e-002, 3.683350371276734e-003, 2.547439441375762e-003,-2.883753264739819e-002,-1.982642183073126e-003, 3.277235324054328e-003,-4.140560010969187e-002,-7.456371314922393e-003, 3.142348667939458e-003,-5.331162935239666e-002,-1.243483943562005e-002, 2.279010525877131e-003,-6.516154335478459e-002,-1.028582861030831e-002, 3.011513678605252e-003,-7.142047775908034e-002, 5.856545140903310e-015,-1.321192173966813e-014, 2.205392790095035e-002, 5.606739897926390e-015,-1.321192173966813e-014, 2.205392790095063e-002, 5.773276726577672e-015,-1.321192173966813e-014, 2.205392790095036e-002, 5.995325831446045e-015,-1.298987263479977e-014, 2.205392790095042e-002, 5.412446931166567e-015,-1.304538491101685e-014, 2.205392790095052e-002, 5.606739897926392e-015,-1.321192173966813e-014, 2.205392790095063e-002,-1.110223024625156e-016, 5.551115123125782e-017
 4.000000000000000e-002, 6.076146692390440e-001, 7.103943792202082e-001, 1.182892261034496e+000, 1.564178398214646e+000, 1.010205884976754e-001,-9.354011376198458e-001, 1.339634112627711e-002,-1.302580870199296e-003,-5.024820238919466e-003, 9.049056644629353e-003, 9.584158912691117e-004,-1.637494507784119e-002, 3.639000185385730e-003, 2.566646738655703e-003,-2.892935826470209e-002,-2.047436476144933e-003, 3.308145917118037e-003,-4.156070556867957e-002,-7.540667296007495e-003, 3.184357577822681e-003,-5.352628731672882e-002,-1.253835624887750e-002, 2.330456856618981e-003,-6.543411777090531e-002,-1.039860264043538e-002, 3.073303310468861e-003,-7.170898417265567e-002, 5.717764450360577e-015,-1.310089718723394e-014, 2.205392790095052e-002, 5.690008312252030e-015,-1.310089718723394e-014, 2.205392790095046e-002, 5.440203069275112e-015,-1.326743401588522e-014, 2.205392790095047e-002, 5.801032864686217e-015,-1.310089718723394e-014, 2.205392790095035e-002, 5.773276726577672e-015,-1.310089718723395e-014, 2.205392790095036e-002, 5.467959207383658e-015,-1.326743401588522e-014, 2.205392790095057e-002, 0.000000000000000e+000, 0.000000000000000e+000
 5.000000000000000e-002, 6.076326762017953e-001, 7.103039240594018e-001, 1.182926054841411e+000, 1.564414133111416e+000, 1.004468604034350e-001,-9.354384847057435e-001, 1.339411395613042e-002,-1.304474452222833e-003,-4.979582145609177e-003, 9.028065726016906e-003, 9.657667965973626e-004,-1.638698260870635e-002, 3.596808079425624e-003, 2.584853498928228e-003,-2.900670468480561e-002,-2.111270921367556e-003, 3.337202403317391e-003,-4.170443875856909e-002,-7.625133830506350e-003, 3.223448890578866e-003,-5.373355148390076e-002,-1.264297237940562e-002, 2.377875754929357e-003,-6.570335196620855e-002,-1.051159170112146e-002, 3.130358127972065e-003,-7.198931695701767e-002, 5.551227621709298e-015,-1.321192173966813e-014, 2.205392790095047e-002, 5.662252174143485e-015,-1.310089718723394e-014, 2.205392790095041e-002, 5.717764450360577e-015,-1.310089718723394e-014, 2.205392790095052e-002, 5.523471483600753e-015,-1.310089718723395e-014, 2.205392790095047e-002, 5.523471483600755e-015,-1.332294629210232e-014, 2.205392790095042e-002, 5.745520588469124e-015,-1.298987263479976e-014, 2.205392790095063e-002, 5.551115123125782e-017, 0.000000000000000e+000
 6.000000000000000e-002, 6.076558051998584e-001, 7.102126167696212e-001, 1.182952975456585e+000, 1.564639060336408e+000, 9.994978466981497e-002,-9.354736402389944e-001, 1.339680501917023e-002,-1.306649231516092e-003,-4.917559797301391e-003, 9.011428098679475e-003, 9.724928225239941e-004,-1.638096908786235e-002, 3.558106176857753e-003, 2.601634866668482e-003,-2.906671122290146e-002,-2.172561862728224e-003, 3.363682400657072e-003,-4.183294525479867e-002,-7.707947693668844e-003, 3.258577018890889e-003,-5.392862886914027e-002,-1.274660409279514e-002, 2.419910253227309e-003,-6.596349954897086e-002,-1.062236443612211e-002, 3.181061682532299e-003,-7.225505982572117e-002, 5.801032864686219e-015,-1.332294629210232e-014, 2.205392790095047e-002, 5.440203069275113e-015,-1.310089718723395e-014, 2.205392790095058e-002, 5.884301279011858e-015,-1.304538491101685e-014, 2.205392790095042e-002, 5.551227621709297e-015,-1.315640946345104e-014, 2.205392790095057e-002, 5.884301279011857e-015,-1.315640946345104e-014, 2.205392790095035e-002, 5.578983759817848e-015,-1.310089718723395e-014, 2.205392790095036e-002,-1.110223024625157e-016,-5.551115123125784e-017
 6.999999999999999e-002, 6.076843798044890e-001, 7.101210251953479e-001, 1.182972875836000e+000, 1.564845370522809e+000, 9.954045450043481e-002,-9.355101562809904e-001, 1.340514261991577e-002,-1.309130264423085e-003,-4.840460039884237e-003, 9.000142590184940e-003, 9.783919842696071e-004,-1.635718192112346e-002, 3.524171979896986e-003, 2.616528791849421e-003,-2.910806561086375e-002,-2.229756676394847e-003, 3.386817423301704e-003,-4.194333325661398e-002,-7.787296745398730e-003, 3.288643369022036e-003,-5.410714278991245e-002,-1.284716415128566e-002, 2.455142334532255e-003,-6.620876566292049e-002,-1.072850703212645e-002, 3.223717430844529e-003,-7.250030875763334e-002, 5.995325831446041e-015,-1.310089718723394e-014, 2.205392790095052e-002, 5.495715345492204e-015,-1.310089718723394e-014, 2.205392790095057e-002, 5.606739897926392e-015,-1.321192173966813e-014, 2.205392790095046e-002, 5.717764450360579e-015,-1.315640946345104e-014, 2.205392790095042e-002, 5.801032864686220e-015,-1.298987263479977e-014, 2.205392790095036e-002, 5.745520588469124e-015,-1.332294629210232e-014, 2.205392790095041e-002,-1.110223024625157e-016, 1.665334536937735e-016
 7.999999999999999e-002, 6.077177691446047e-001, 7.100294585540008e-001, 1.182985895904825e+000, 1.565024424838537e+000, 9.922648064999651e-002,-9.355530632898447e-001, 1.341816378380306e-002,-1.312979018474636e-003,-4.750458918572799e-003, 8.994017958334035e-003, 9.832087268098035e-004,-1.631657289735058e-002, 3.495661481436668e-003, 2.629404102831257e-003,-2.913040887929967e-002,-2.281219150043235e-003, 3.406237880201745e-003,-4.203390882413338e-002,-7.860495901304825e-003, 3.313175475312553e-003,-5.426594278686874e-002,-1.294104656559935e-002, 2.483586906241674e-003,-6.643423214202085e-002,-1.082652728588472e-002, 3.258607377309934e-003,-7.272012329641059e-002, 5.578983759817846e-015,-1.332294629210232e-014, 2.205392790095047e-002, 5.606739897926394e-015,-1.310089718723395e-014, 2.205392790095042e-002, 5.995325831446044e-015,-1.304538491101685e-014, 2.205392790095042e-002, 5.634496036034940e-015,-1.321192173966813e-014, 2.205392790095052e-002, 5.606739897926392e-015,-1.326743401588523e-014, 2.205392790095047e-002, 5.801032864686217e-015,-1.298987263479976e-014, 2.205392790095063e-002, 0.000000000000000e+000,-5.551115123125783e-017
 9.000000000000000e-002, 6.077561333897077e-001, 7.099389163390939e-001, 1.182993773935149e+000, 1.565180520451608e+000, 9.899354236854774e-002,-9.355986426522012e-001, 1.343659833899544e-002,-1.316150991006488e-003,-4.655970929752959e-003, 8.993410771509856e-003, 9.869837829420396e-004,-1.626659005548550e-002, 3.472618391758381e-003, 2.639714604509783e-003,-2.913870123858822e-002,-2.327453650613790e-003, 3.421617334591923e-003,-4.210635073587879e-002,-7.928821471574815e-003, 3.331846275829604e-003,-5.440339962147788e-002,-1.303013266804625e-002, 2.503751693676736e-003,-6.663572780262790e-002,-1.091794433055767e-002, 3.283298573037910e-003,-7.291271032958896e-002, 5.634496036034939e-015,-1.298987263479976e-014, 2.205392790095036e-002, 5.662252174143485e-015,-1.321192173966813e-014, 2.205392790095052e-002, 5.523471483600753e-015,-1.321192173966813e-014, 2.205392790095052e-002, 5.884301279011858e-015,-1.321192173966813e-014, 2.205392790095031e-002, 5.662252174143485e-015,-1.315640946345104e-014, 2.205392790095052e-002, 5.384690793058021e-015,-1.321192173966813e-014, 2.205392790095042e-002, 1.110223024625157e-016, 0.000000000000000e+000
 9.999999999999999e-002, 6.077977657473598e-001, 7.098497375320619e-001, 1.182997107898547e+000, 1.565310788691515e+000, 9.883843426276728e-002,-9.356486389482055e-001, 1.345912132761295e-002,-1.319394838575073e-003,-4.560151039660149e-003, 8.997450824217565e-003, 9.899451660803661e-004,-1.621074969776123e-002, 3.454720227765680e-003, 2.648031172815337e-003,-2.913596548762451e-002,-2.368073119812728e-003, 3.433568447230487e-003,-4.216240654532173e-002,-7.991099326928609e-003, 3.345513700787949e-003,-5.451925102793948e-002,-1.311263994497857e-002, 2.517357249691245e-003,-6.681034504905697e-002,-1.100135287586743e-002, 3.300172826843867e-003,-7.307611158602968e-002, 5.662252174143486e-015,-1.321192173966813e-014, 2.205392790095042e-002, 5.578983759817845e-015,-1.298987263479976e-014, 2.205392790095052e-002, 6.106350383880229e-015,-1.332294629210232e-014, 2.205392790095019e-002, 5.329178516840927e-015,-1.321192173966813e-014, 2.205392790095052e-002, 5.440203069275113e-015,-1.315640946345104e-014, 2.205392790095047e-002, 5.801032864686217e-015,-1.304538491101685e-014, 2.205392790095041e-002, 0.000000000000000e+000, 0.000000000000000e+000
