---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.UpdData = 2
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.FileName = "..\..\Application\MocapExamples\Plug-in-gait_Simple\Output\\FullBodyGaitNormal_1-euler-rightarm.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristAbduction
1.540000000000000e+000 -4.535230667504540e-001 1.105707431236389e-001 -4.710709335708074e-001 -3.128113147412024e-001 3.045823850835647e-001 1.290897001952736e-001 4.769896721690152e-001 8.111735667928870e-001 1.075435989413198e-002 2.851289830944664e-001
1.550000000000000e+000 -4.554389121703095e-001 1.100078039327914e-001 -4.699290835836345e-001 -3.102671429234374e-001 3.104632638528060e-001 1.300261674825110e-001 4.712733480563708e-001 8.155944026196041e-001 1.302432713695012e-002 2.840844905221781e-001
1.560000000000000e+000 -4.569537966924473e-001 1.097061910022188e-001 -4.687826076173373e-001 -3.075413184920355e-001 3.161023176186406e-001 1.312840931330253e-001 4.652968021989951e-001 8.203592373742653e-001 1.536257867684832e-002 2.829966546101234e-001
1.570000000000000e+000 -4.578785710574215e-001 1.097148930153329e-001 -4.675758008865372e-001 -3.044981895817407e-001 3.213473247127939e-001 1.329295433837151e-001 4.589959053225678e-001 8.256286584419948e-001 1.778685625303589e-002 2.818479566432652e-001
1.580000000000000e+000 -4.580607691259744e-001 1.100816058848095e-001 -4.662616573048121e-001 -3.010304458178199e-001 3.260614634606414e-001 1.349895190898360e-001 4.523631478411767e-001 8.315346099190750e-001 2.030145181340903e-002 2.806278397951380e-001
1.590000000000000e+000 -4.574513540084229e-001 1.108379519869160e-001 -4.648145875251453e-001 -2.970841477489026e-001 3.302000765284446e-001 1.374420478818778e-001 4.454271260654242e-001 8.381415503271427e-001 2.290951573054989e-002 2.793378645280183e-001
1.600000000000000e+000 -4.560324309452725e-001 1.120122215822199e-001 -4.632088526395946e-001 -2.926034171880709e-001 3.337485178605915e-001 1.402434149240734e-001 4.382227855261183e-001 8.454891318840023e-001 2.562246382454125e-002 2.779870697688717e-001
1.610000000000000e+000 -4.538344563359623e-001 1.136223130422744e-001 -4.614297814653739e-001 -2.875522841599039e-001 3.367253889231324e-001 1.433154247032298e-001 4.308145658413936e-001 8.535651701978135e-001 2.845128803504227e-002 2.765925394504322e-001
1.620000000000000e+000 -4.509351523083577e-001 1.156733412193041e-001 -4.594779594460069e-001 -2.819245471382212e-001 3.391717531404445e-001 1.465458922373185e-001 4.233122018884101e-001 8.623044207650052e-001 3.139885649520657e-002 2.751743346358749e-001
1.630000000000000e+000 -4.474549899306876e-001 1.181555497569677e-001 -4.573724199536525e-001 -2.757522149864349e-001 3.411325108184502e-001 1.497963763450433e-001 4.158870833214771e-001 8.715810841800347e-001 3.445029717214077e-002 2.737533190183770e-001
1.640000000000000e+000 -4.435454847168814e-001 1.210417958644157e-001 -4.551503824859152e-001 -2.691085504940696e-001 3.426286895547547e-001 1.529171606770117e-001 4.087810375133220e-001 8.811867961845343e-001 3.756451038466868e-002 2.723565508099149e-001
1.650000000000000e+000 -4.393686593825531e-001 1.242873067105010e-001 -4.528624738720351e-001 -2.621045170381993e-001 3.436293771972284e-001 1.557656172861377e-001 4.022992443422630e-001 8.908148275011567e-001 4.067342905407956e-002 2.710235518155010e-001
1.660000000000000e+000 -4.350710612758705e-001 1.278340599288041e-001 -4.505620202277706e-001 -2.548792795383070e-001 3.440334289734248e-001 1.582229424734182e-001 3.967858300115830e-001 9.000741809458613e-001 4.368907945277267e-002 2.698054479428632e-001
1.670000000000000e+000 -4.307676528753638e-001 1.316240147892458e-001 -4.482992474439430e-001 -2.475811862694775e-001 3.436734953438524e-001 1.602092641664150e-001 3.925863842981424e-001 9.085331947899978e-001 4.651343269214325e-002 2.687613072767018e-001
1.680000000000000e+000 -4.265256107116525e-001 1.356121159653645e-001 -4.461098310746509e-001 -2.403461452421949e-001 3.423291058576576e-001 1.616932902592010e-001 3.900088487958222e-001 9.157694649830076e-001 4.904668810823409e-002 2.679567900018584e-001
1.690000000000000e+000 -4.223625516521854e-001 1.397761122161436e-001 -4.440075213444640e-001 -2.332794717147952e-001 3.397559969531278e-001 1.626971119052512e-001 3.892922072264791e-001 9.214275067831121e-001 5.119486499905190e-002 2.674617070835175e-001
