Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.540000000000000e+000,-5.890591486410056e-001, 3.904283034129630e-001,-3.488033207003245e-001, 5.047923705398481e-001,-4.937285322027494e-001, 5.757555434259296e-001, 2.708073456683982e-001,-1.981819358909364e-002, 2.560158252774630e-001, 8.671597444677891e-001, 5.536210667889526e-001, 8.965777373991291e-002, 2.379547513561498e-001
 1.550000000000000e+000,-5.889264492688955e-001, 3.890618176738276e-001,-3.488056735061823e-001, 5.051968180633578e-001,-4.934360340452062e-001, 5.742018890221887e-001, 2.670246566823240e-001,-2.182453737706452e-002, 2.527366664521987e-001, 8.710886769662920e-001, 5.617379839484833e-001, 8.401139123281798e-002, 2.405560634187871e-001
 1.560000000000000e+000,-5.886769540200219e-001, 3.874375915023420e-001,-3.488083256093017e-001, 5.056910875861007e-001,-4.930854842223975e-001, 5.723391269209862e-001, 2.625643352941851e-001,-2.372505082341591e-002, 2.491695455960166e-001, 8.749306503209480e-001, 5.694822282554664e-001, 7.824855337742620e-002, 2.432426478114708e-001
 1.570000000000000e+000,-5.882545778286131e-001, 3.853880774887237e-001,-3.488113898703677e-001, 5.063304482130940e-001,-4.926398975952511e-001, 5.699713544966502e-001, 2.570884441011008e-001,-2.541414956384200e-002, 2.451992583973598e-001, 8.785273788951300e-001, 5.765390671622401e-001, 7.242318958265992e-002, 2.460179693365313e-001
 1.580000000000000e+000,-5.876081257940785e-001, 3.827945218164917e-001,-3.488149000166840e-001, 5.071553662403818e-001,-4.920729552803782e-001, 5.669606155323187e-001, 2.503161906606797e-001,-2.678300255248998e-002, 2.407357093781494e-001, 8.816793731870407e-001, 5.825864488613316e-001, 6.668854064488983e-002, 2.488638808482014e-001
 1.590000000000000e+000,-5.866998489902288e-001, 3.796249549035335e-001,-3.488188362329652e-001, 5.081795573512380e-001,-4.913772733909592e-001, 5.632708011786234e-001, 2.421114145221879e-001,-2.775807644856804e-002, 2.357249651151054e-001, 8.842095610050123e-001, 5.874360711019988e-001, 6.122700275562698e-002, 2.517603739014678e-001
 1.600000000000000e+000,-5.854934710561238e-001, 3.758710562579575e-001,-3.488231812313794e-001, 5.094096068529221e-001,-4.905506707878495e-001, 5.588945666216357e-001, 2.323717496185367e-001,-2.827114974063183e-002, 2.301090043368725e-001, 8.859158578894907e-001, 5.909261509817239e-001, 5.625141897584607e-002, 2.546869804825753e-001
 1.610000000000000e+000,-5.839724128937287e-001, 3.715734492106555e-001,-3.488278976640147e-001, 5.108352683010032e-001,-4.896020215835577e-001, 5.538842194567512e-001, 2.210732005898699e-001,-2.827505434271427e-002, 2.238512915919222e-001, 8.865830015968971e-001, 5.929305325516248e-001, 5.200876109783681e-002, 2.576110517565317e-001
 1.620000000000000e+000,-5.821403774628132e-001, 3.668224393531800e-001,-3.488329344017951e-001, 5.124294417124296e-001,-4.885512589168215e-001, 5.483507677456601e-001, 2.082723802508470e-001,-2.774985697357652e-002, 2.169448652442334e-001, 8.859888354507888e-001, 5.933465663677022e-001, 4.876023492754311e-002, 2.604772607731287e-001
 1.630000000000000e+000,-5.800230352713741e-001, 3.617491634915950e-001,-3.488381952776649e-001, 5.141507147124538e-001,-4.874273711351691e-001, 5.424521734504346e-001, 1.940967472322264e-001,-2.669912295480366e-002, 2.094207169366732e-001, 8.839177033589583e-001, 5.920779335601387e-001, 4.674631706074028e-002, 2.631959103987581e-001
 1.640000000000000e+000,-5.776444479661901e-001, 3.565017045494583e-001,-3.488436170842827e-001, 5.159537745307727e-001,-4.862624488619938e-001, 5.363606682865404e-001, 1.787381132544335e-001,-2.515479509321571e-002, 2.013395722447476e-001, 8.801721888605442e-001, 5.890615986162141e-001, 4.613809702887650e-002, 2.656373920640773e-001
 1.650000000000000e+000,-5.750334046761960e-001, 3.512164352087277e-001,-3.488491347897901e-001, 5.177964581772088e-001,-4.850858938510045e-001, 5.302322841272804e-001, 1.624349374219343e-001,-2.316807539929059e-002, 1.927897831220664e-001, 8.745867009175151e-001, 5.842664548807226e-001, 4.702424621088031e-002, 2.676348089517655e-001
 1.660000000000000e+000,-5.722102183323643e-001, 3.459968221092697e-001,-3.488547293778616e-001, 5.196474603253360e-001,-4.839196508056682e-001, 5.241821318554348e-001, 1.454616125297723e-001,-2.081235464457462e-002, 1.838717749325418e-001, 8.670326667106741e-001, 5.777226045280531e-001, 4.940435985544456e-002, 2.690062715289289e-001
 1.670000000000000e+000,-5.692117519440019e-001, 3.409039119163044e-001,-3.488603977248463e-001, 5.214849704012287e-001,-4.827772568650635e-001, 5.182805753992900e-001, 1.281047629573302e-001,-1.816638852230327e-002, 1.746976782833079e-001, 8.574280089449594e-001, 5.695118698063187e-001, 5.321368697112527e-002, 2.695801487925763e-001
 1.680000000000000e+000,-5.660847877217401e-001, 3.359562929960416e-001,-3.488661890612005e-001, 5.232974296070019e-001,-4.816637843760243e-001, 5.125535674748142e-001, 1.106452709700725e-001,-1.530812824918879e-002, 1.653793692554091e-001, 8.457416688134393e-001, 5.598024689451699e-001, 5.833498954735439e-002, 2.692213674282074e-001
 1.690000000000000e+000,-5.628885605899967e-001, 3.311341075933605e-001,-3.488721948610902e-001, 5.250818387576389e-001,-4.805769118549215e-001, 5.069889044996255e-001, 9.333661952463412e-002,-1.229946503115108e-002, 1.560227216784580e-001, 8.319960457032218e-001, 5.488813568819833e-001, 6.461643206122525e-002, 2.678501313562834e-001
 1.700000000000000e+000,-5.596872077739395e-001, 3.263879916645094e-001,-3.488785327549810e-001, 5.268423021533116e-001,-4.795086115376113e-001, 5.015453630901752e-001, 7.638731736725846e-002,-9.175760906782734e-003, 1.467212625738985e-001, 8.162623275456501e-001, 5.371809250286622e-001, 7.188105658684418e-002, 2.654572686228033e-001
 1.710000000000000e+000,-5.565405666212305e-001, 3.216514591881352e-001,-3.488853222982514e-001, 5.285879695475251e-001,-4.784474217818620e-001, 4.961646302418146e-001, 5.994876937316396e-002,-5.943956537251826e-003, 1.375527435988042e-001, 7.986520769640504e-001, 5.252453710470676e-001, 7.993271685592096e-002, 2.621151009004116e-001
 1.720000000000000e+000,-5.534929597976547e-001, 3.168538244478694e-001,-3.488926584207015e-001, 5.303312216505390e-001,-4.773806985682034e-001, 4.907829283908429e-001, 4.410964270385653e-002,-2.591546750989838e-003, 1.285785821119360e-001, 7.793091091761593e-001, 5.136373722294313e-001, 8.856744645369985e-002, 2.579811994217228e-001
 1.730000000000000e+000,-5.505795079020963e-001, 3.119297089862929e-001,-3.489005778702408e-001, 5.320842013747686e-001,-4.762967382195846e-001, 4.853418948450518e-001, 2.889183884948121e-002, 9.053894968016009e-004, 1.198511734062008e-001, 7.584091849781707e-001, 5.028165176221212e-001, 9.760143455975467e-002, 2.532839908695563e-001
 1.740000000000000e+000,-5.478059849402329e-001, 3.068283898970812e-001,-3.489090715299696e-001, 5.338594026589645e-001,-4.751859180487741e-001, 4.797942276176017e-001, 1.425768767661029e-002, 4.561507621134320e-003, 1.114141455112101e-001, 7.361598500708659e-001, 4.930727618114199e-001, 1.068777228890880e-001, 2.482902285662804e-001
 1.750000000000000e+000,-5.451718739949740e-001, 3.015160460849093e-001,-3.489180934386773e-001, 5.356656680988730e-001,-4.740418924768202e-001, 4.741096686687109e-001, 1.158547719546377e-004, 8.376853188636086e-003, 1.033119388181918e-001, 7.128126380879573e-001, 4.844397310797179e-001, 1.162785636808599e-001, 2.432451610176154e-001
 1.760000000000000e+000,-5.426813771243719e-001, 2.959761474482920e-001,-3.489275923752605e-001, 5.375064869022221e-001,-4.728620000224524e-001, 4.682767363290056e-001,-1.366468589676706e-002, 1.232908291144808e-002, 9.559310518642723e-002, 6.886708212062090e-001, 4.766722127595938e-001, 1.257238512995746e-001, 2.383189797954181e-001
 1.770000000000000e+000,-5.403528942301205e-001, 2.902060627702801e-001,-3.489375411646102e-001, 5.393795229474269e-001,-4.716468704937329e-001, 4.623003483648425e-001,-2.723947143677430e-002, 1.637452235961255e-002, 8.831269598187035e-002, 6.640848408508729e-001, 4.693221736166141e-001, 1.351660995570705e-001, 2.335912622535207e-001
 1.780000000000000e+000,-5.382175852814082e-001, 2.842114801218074e-001,-3.489479555171925e-001, 5.412783554314661e-001,-4.703992343537129e-001, 4.561955242289996e-001,-4.077430133482984e-002, 2.045593367110004e-002, 8.153100627022071e-002, 6.394290290947199e-001, 4.619006712321043e-001, 1.445741127921507e-001, 2.290808056465692e-001
 1.790000000000000e+000,-5.363141294259189e-001, 2.780012255844142e-001,-3.489588885184543e-001, 5.431946740372745e-001,-4.691226960400559e-001, 4.499810907117098e-001,-5.443360571006517e-002, 2.451166395984597e-002, 7.530822136006679e-002, 6.150716988947554e-001, 4.540109672001519e-001, 1.539104345220281e-001, 2.247830635838053e-001
 1.800000000000000e+000,-5.346661386185991e-001, 2.715876644962108e-001,-3.489704170319669e-001, 5.451215963349269e-001,-4.678210029173839e-001, 4.436761604077162e-001,-6.836637106282595e-002, 2.847779413440064e-002, 6.969405288967644e-002, 5.913450796358987e-001, 4.454039291499384e-001, 1.631045967287044e-001, 2.206955751032567e-001
 1.810000000000000e+000,-5.332981407147114e-001, 2.649828141374859e-001,-3.489825924379393e-001, 5.470523102263729e-001,-4.664978272007230e-001, 4.372990152060516e-001,-8.270005267671166e-002, 3.229568440452752e-002, 6.472465584171018e-002, 5.685373407361646e-001, 4.359466035491480e-001, 1.720549473889741e-001, 2.168115689833263e-001
 1.820000000000000e+000,-5.322179508096480e-001, 2.582032544513435e-001,-3.489954235148030e-001, 5.489814411186625e-001,-4.651570854036056e-001, 4.308688530825469e-001,-9.752757653991151e-002, 3.591176185817157e-002, 6.041736689691286e-002, 5.468763722502759e-001, 4.256175945160251e-001, 1.806255562166668e-001, 2.131265242001434e-001
 1.830000000000000e+000,-5.314248759704052e-001, 2.512733505508744e-001,-3.490088585146772e-001, 5.509029830498078e-001,-4.638038135825120e-001, 4.244099587189192e-001,-1.129009386508144e-001, 3.928497695939037e-002, 5.677248141452936e-002, 5.265246245086109e-001, 4.144898532171479e-001, 1.886607166143672e-001, 2.096313689230401e-001
 1.840000000000000e+000,-5.309152578084097e-001, 2.442279949435513e-001,-3.490227927174189e-001, 5.528087548436877e-001,-4.624448451157148e-001, 4.179547596956141e-001,-1.288275713452898e-001, 4.239172361037925e-002, 5.377509739792386e-002, 5.075759564925356e-001, 4.027081992186098e-001, 1.960038559970192e-001, 2.063086538474039e-001
 1.850000000000000e+000,-5.306854289019889e-001, 2.371123637272921e-001,-3.490370948270978e-001, 5.546880182023670e-001,-4.610888214060753e-001, 4.115436171835372e-001,-1.452723557643039e-001, 4.522457308852190e-002, 5.139649613171159e-002, 4.900587551238336e-001, 3.904518697065936e-001, 2.025209405115844e-001, 2.031324862476484e-001
 1.860000000000000e+000,-5.307309414968495e-001, 2.299799393698039e-001,-3.490516325307862e-001, 5.565280955372467e-001,-4.597457488032468e-001, 4.052225287375589e-001,-1.621657369146714e-001, 4.778807852872721e-002, 4.959591270433582e-002, 4.739482330235307e-001, 3.778961068504668e-001, 2.081209173030159e-001, 2.000634500630107e-001
 1.870000000000000e+000,-5.310440823305273e-001, 2.228893834818040e-001,-3.490662827134197e-001, 5.583155312437552e-001,-4.584262923289839e-001, 3.990397232445559e-001,-1.794147385481817e-001, 5.009605291574731e-002, 4.832287624448584e-002, 4.591848458447654e-001, 3.651828037639822e-001, 2.127700864692650e-001, 1.970397061430852e-001
 1.880000000000000e+000,-5.316107032655807e-001, 2.159002760597468e-001,-3.490809326660366e-001, 5.600376331705447e-001,-4.571408547243605e-001, 3.930414197993811e-001,-1.969132257504600e-001, 5.217010205522803e-002, 4.751940792523948e-002, 4.456906053257932e-001, 3.524072754873974e-001, 2.165008716578669e-001, 1.939790526597655e-001
