Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.600000000000000e+00, -3.052073789730790e-01, -4.267279769234067e-02,  3.573428048206250e-02,  2.552208569817728e-01, -2.654872058646502e-01, -1.049898322827896e-01
  1.610000000000000e+00, -3.071168286528568e-01, -3.018759195178378e-02,  3.186554608274130e-02,  2.722686298703824e-01, -2.440141276724096e-01, -1.141358436783060e-01
  1.620000000000000e+00, -3.074430525663804e-01, -1.748623048510645e-02,  2.781075789409079e-02,  2.917628695019453e-01, -2.186593349417143e-01, -1.213154953364940e-01
  1.630000000000000e+00, -3.060583625208755e-01, -4.896041050140854e-03,  2.362802903448010e-02,  3.141576574159233e-01, -1.895142011806762e-01, -1.264974821060943e-01
  1.640000000000000e+00, -3.027841456902507e-01,  7.280791143726040e-03,  1.942836409091310e-02,  3.399319125602633e-01, -1.568196969769157e-01, -1.297688454118584e-01
  1.650000000000000e+00, -2.973821210207785e-01,  1.879794472762142e-02,  1.536007603219123e-02,  3.695545713059830e-01, -1.210061964411066e-01, -1.313007530796356e-01
  1.660000000000000e+00, -2.895640568965840e-01,  2.948806637871360e-02,  1.158331158087618e-02,  4.034369864846529e-01, -8.273821656225656e-02, -1.312898591396813e-01
  1.670000000000000e+00, -2.790270771035345e-01,  3.927212947784198e-02,  8.230223124134796e-03,  4.418725639371752e-01, -4.294964591360286e-02, -1.298821581213331e-01
  1.680000000000000e+00, -2.655084637302375e-01,  4.815195779382719e-02,  5.360601652348993e-03,  4.849727936556704e-01, -2.849382326189991e-03, -1.271053180540997e-01
  1.690000000000000e+00, -2.488474843300764e-01,  5.618574459151149e-02,  2.933313213388198e-03,  5.326137387861368e-01,  3.612666348566172e-02, -1.228432756510315e-01
  1.700000000000000e+00, -2.290381273453129e-01,  6.345171140554084e-02,  8.102430851283163e-04,  5.844072212716377e-01,  7.242938665473275e-02, -1.168718884967695e-01
  1.710000000000000e+00, -2.062551346011114e-01,  7.001258305409275e-02, -1.202860299026136e-03,  6.397082235983179e-01,  1.045539609231483e-01, -1.089458971818126e-01
  1.720000000000000e+00, -1.808406644285663e-01,  7.589224790943394e-02, -3.294328510071587e-03,  6.976621893322581e-01,  1.311934615181176e-01, -9.889688322166074e-02
  1.730000000000000e+00, -1.532530721572652e-01,  8.106779356345073e-02, -5.590972036873560e-03,  7.572822869660019e-01,  1.513568512465827e-01, -8.669474360352325e-02
  1.740000000000000e+00, -1.239949396750627e-01,  8.547687003367521e-02, -8.128177915454882e-03,  8.175348115029508e-01,  1.644542632587782e-01, -7.245365653917607e-02
  1.750000000000000e+00, -9.354378525419076e-02,  8.903888079758682e-02, -1.084954220681270e-02,  8.774094125787468e-01,  1.703594864284024e-01, -5.640029468553449e-02
  1.760000000000000e+00, -6.230266845269695e-02,  9.168214155012544e-02, -1.363134477820507e-02,  9.359626806931793e-01,  1.694338033711396e-01, -3.883793567572628e-02
  1.770000000000000e+00, -3.058206248950972e-02,  9.336325049880490e-02, -1.631964736494753e-02,  9.923383559356702e-01,  1.624786514349867e-01, -2.013434739200906e-02
  1.780000000000000e+00,  1.394112975839398e-03,  9.407338425136280e-02, -1.876289797353936e-02,  1.045777487891781e+00,  1.506073324418353e-01, -7.413190457233767e-04
  1.790000000000000e+00,  3.346649281619727e-02,  9.383637788860733e-02, -2.082718069112729e-02,  1.095626004340117e+00,  1.350714253347769e-01,  1.877539287039976e-02
  1.800000000000000e+00,  6.551707316158856e-02,  9.270663668270784e-02, -2.240288557120661e-02,  1.141342767999192e+00,  1.170955462170388e-01,  3.773113494992336e-02
  1.810000000000000e+00,  9.745042494203415e-02,  9.076670904105089e-02, -2.341261103668760e-02,  1.182503708851905e+00,  9.775740861077580e-02,  5.536287789261143e-02
  1.820000000000000e+00,  1.291768817154433e-01,  8.812100439728510e-02, -2.381332009770175e-02,  1.218795425406518e+00,  7.792513834313221e-02,  7.090914284764745e-02
  1.830000000000000e+00,  1.605995567082218e-01,  8.488688034736214e-02, -2.358642752520090e-02,  1.249998944745405e+00,  5.824882444480663e-02,  8.370867353875577e-02
  1.840000000000000e+00,  1.916088748427097e-01,  8.118701291901265e-02, -2.272305560408025e-02,  1.275969557043915e+00,  3.919309352005908e-02,  9.329272772756828e-02
  1.850000000000000e+00,  2.220815308758435e-01,  7.714263489830087e-02, -2.121306574600626e-02,  1.296616818686895e+00,  2.108775876076011e-02,  9.944900938276446e-02
  1.860000000000000e+00,  2.518790565423937e-01,  7.286595494266246e-02, -1.903892908321188e-02,  1.311887267815089e+00,  4.171183296503931e-03,  1.022479233234795e-01
  1.870000000000000e+00,  2.808489277739050e-01,  6.845440645963730e-02, -1.617418753978910e-02,  1.321753193055178e+00, -1.138704914336437e-02,  1.020327062476475e-01
  1.880000000000000e+00,  3.088352027953452e-01,  6.398918527573638e-02, -1.258873703523135e-02,  1.326208881822081e+00, -2.547940723715769e-02,  9.937860641505092e-02
  1.890000000000000e+00,  3.356950634982180e-01,  5.953704376702307e-02, -8.259227750584344e-03,  1.325270542473820e+00, -3.805788766854818e-02,  9.502769426044909e-02
  1.900000000000000e+00,  3.613091151549120e-01,  5.515408746269657e-02, -3.178683356310025e-03,  1.318975423871497e+00, -4.912906887720164e-02,  8.980785909965279e-02
  1.910000000000000e+00,  3.855819774638419e-01,  5.089149470216237e-02,  2.637282823312537e-03,  1.307379896628345e+00, -5.874492247033911e-02,  8.454724946057343e-02
  1.920000000000000e+00,  4.084380541352805e-01,  4.680270798231523e-02,  9.146953156468735e-03,  1.290556796739184e+00, -6.698722418999982e-02,  7.999506307200667e-02
  1.930000000000000e+00,  4.298151978857209e-01,  4.295014865285918e-02,  1.628315848385319e-02,  1.268590938210451e+00, -7.394537873396101e-02,  7.675641458191833e-02
