Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristAbduction
 1.540000000000000e+000,-6.032554662507471e-001, 3.974597866099163e-001,-3.487835587135745e-001, 2.802643928804693e-001,-2.204048062381892e-002, 2.663675993006561e-001, 8.738996998043329e-001, 5.506053697908605e-001, 9.011931233635950e-002, 2.336679045137981e-001
 1.550000000000000e+000,-6.030926989732560e-001, 3.959060935993859e-001,-3.487858899577966e-001, 2.767689225248113e-001,-2.404911612315500e-002, 2.629662265952926e-001, 8.778122452051248e-001, 5.587107408215308e-001, 8.448125362522263e-002, 2.362625543254407e-001
 1.560000000000000e+000,-6.027776471115495e-001, 3.939898687534313e-001,-3.487885473696484e-001, 2.726054405564646e-001,-2.594579962714872e-002, 2.591608936786809e-001, 8.816205218254600e-001, 5.664413924992371e-001, 7.873265278725250e-002, 2.389492253873219e-001
 1.570000000000000e+000,-6.022484064889581e-001, 3.915261177146370e-001,-3.487916734172542e-001, 2.674286335678866e-001,-2.762470322010132e-002, 2.548113091680747e-001, 8.851600667132251e-001, 5.734910924531587e-001, 7.292504126068833e-002, 2.417364026483653e-001
 1.580000000000000e+000,-6.014533866804172e-001, 3.883949005860934e-001,-3.487953025447041e-001, 2.609478646473498e-001,-2.897742531343040e-002, 2.498195938102269e-001, 8.882290288800070e-001, 5.795439593938694e-001, 6.720908435207207e-002, 2.446092947297457e-001
 1.590000000000000e+000,-6.003600802504878e-001, 3.845805896966352e-001,-3.487994028062947e-001, 2.530200479913598e-001,-2.993206913926040e-002, 2.441451302182580e-001, 8.906527722696378e-001, 5.844153217853272e-001, 6.176470368487252e-002, 2.475481742139719e-001
 1.600000000000000e+000,-5.989398080390083e-001, 3.800986324537925e-001,-3.488039405586348e-001, 2.435361062003265e-001,-3.042274722169447e-002, 2.377517900812369e-001, 8.922334662001874e-001, 5.879469138353236e-001, 5.680189825221871e-002, 2.505319974651785e-001
 1.610000000000000e+000,-5.971853534315691e-001, 3.750211246645616e-001,-3.488088584701706e-001, 2.324651282001553e-001,-3.040528572226483e-002, 2.306347005961316e-001, 8.927621662517692e-001, 5.900157212064836e-001, 5.256452540453349e-002, 2.535264316484704e-001
 1.620000000000000e+000,-5.951127146400211e-001, 3.694726342812502e-001,-3.488140751849321e-001, 2.198566576489560e-001,-2.986178638455185e-002, 2.228248103418529e-001, 8.920243930725296e-001, 5.905185826621984e-001, 4.931216842883934e-002, 2.564734113303528e-001
 1.630000000000000e+000,-5.927531416261045e-001, 3.636136124690728e-001,-3.488194965820941e-001, 2.058369910601927e-001,-2.880105257439920e-002, 2.143863655841394e-001, 8.898106439502578e-001, 5.893661923891579e-001, 4.728059287747088e-002, 2.592807665605939e-001
