Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
 1.540000000000000e+000,-2.874595290422651e-001,-1.058903916675487e-001,-2.433596881779980e-002, 1.429785055704986e-001,-3.332773019655612e-001, 7.977068810009771e-002
 1.550000000000000e+000,-2.952369324146861e-001,-9.873806221014769e-002,-2.420173140548409e-002, 1.561809614732123e-001,-3.307171701930249e-001, 5.649551622625112e-002
 1.560000000000000e+000,-3.024668698166929e-001,-9.046547714347830e-002,-2.388986039501240e-002, 1.698246048129193e-001,-3.262493702973176e-001, 3.303996155989259e-002
 1.570000000000000e+000,-3.089000507953814e-001,-8.101854268218345e-002,-2.338473044561684e-002, 1.841443686468079e-001,-3.192939134478048e-001, 9.768970164281018e-003
 1.580000000000000e+000,-3.142603991387888e-001,-7.046278903873104e-002,-2.270305965129972e-002, 1.993833123039669e-001,-3.093473356709359e-001,-1.280869567599807e-002
 1.590000000000000e+000,-3.183717592870323e-001,-5.893971893133831e-002,-2.193525254937735e-002, 2.157640179772078e-001,-2.960873404080289e-001,-3.424371200545465e-002
 1.600000000000000e+000,-3.210554935768014e-001,-4.662822701653191e-002,-2.115587788159814e-002, 2.336386814717581e-001,-2.792153504581055e-001,-5.417366653599717e-002
 1.610000000000000e+000,-3.221441497985425e-001,-3.376217622483191e-002,-2.043397044686039e-002, 2.534326158805662e-001,-2.585167554435775e-001,-7.231315494595314e-002
 1.620000000000000e+000,-3.214770085113773e-001,-2.061904417848748e-002,-1.981866466472174e-002, 2.756215630071373e-001,-2.338802939782841e-001,-8.845931394803334e-002
 1.630000000000000e+000,-3.188828075760672e-001,-7.486477299493810e-003,-1.930776122180310e-002, 3.007195495819373e-001,-2.053221347852315e-001,-1.025532754269237e-001
 1.640000000000000e+000,-3.141739058433508e-001, 5.357871727738939e-003,-1.888878613146913e-002, 3.292285300663538e-001,-1.730119809684937e-001,-1.145735902507597e-001
 1.650000000000000e+000,-3.071171838949779e-001, 1.768641967605666e-002,-1.851855205369819e-002, 3.616207251528521e-001,-1.373166959513075e-001,-1.245709765326740e-001
 1.660000000000000e+000,-2.974417201731278e-001, 2.934078087155356e-002,-1.815195816136720e-002, 3.982840045819616e-001,-9.884857474699715e-002,-1.325840209591632e-001
 1.670000000000000e+000,-2.848694310325899e-001, 4.024564447130596e-002,-1.776072318547308e-002, 4.394679342459177e-001,-5.850753609309758e-002,-1.386029178248209e-001
 1.680000000000000e+000,-2.691744351065570e-001, 5.039612364589874e-002,-1.737152722885583e-002, 4.852192660482768e-001,-1.749592082770751e-002,-1.425053630271514e-001
 1.690000000000000e+000,-2.502471718863265e-001, 5.983261859457145e-002,-1.707950623634047e-002, 5.353377548538053e-001, 2.272164701633004e-002,-1.440638062557550e-001
 1.700000000000000e+000,-2.281480576423172e-001, 6.860466677746158e-002,-1.703656747848495e-002, 5.893595662364015e-001, 6.053009566244433e-002,-1.430038815728778e-001
 1.710000000000000e+000,-2.031297267503358e-001, 7.673833716285095e-002,-1.741154380260667e-002, 6.465783165602171e-001, 9.432808886499428e-002,-1.391007714901437e-001
 1.720000000000000e+000,-1.756146103589198e-001, 8.421767579787431e-002,-1.833780392108163e-002, 7.061033234233719e-001, 1.226956726825829e-001,-1.322690306485028e-001
 1.730000000000000e+000,-1.461323267332738e-001, 9.098207395919933e-002,-1.987192057691828e-002, 7.669415790679872e-001, 1.445289214019887e-001,-1.226018295668552e-001
 1.740000000000000e+000,-1.152373298846175e-001, 9.693668729743354e-002,-2.197737457755667e-002, 8.280808589566197e-001, 1.591404916878790e-001,-1.103501189114652e-001
 1.750000000000000e+000,-8.343509847610822e-002, 1.019761843036999e-001,-2.453320031574155e-002, 8.885521925231178e-001, 1.663327393144253e-001,-9.586837948331752e-002
 1.760000000000000e+000,-5.113515210907018e-002, 1.060121447318903e-001,-2.736216790385571e-002, 9.474632690530026e-001, 1.664266629706237e-001,-7.956594519534635e-002
 1.770000000000000e+000,-1.863726161631009e-002, 1.089916085792293e-001,-3.026861036238560e-002, 1.004010351184113e+000, 1.602133686729450e-001,-6.189216528676455e-002
 1.780000000000000e+000, 1.385519013338094e-002, 1.109007291030135e-001,-3.306904695358214e-002, 1.057482332554866e+000, 1.488205719419944e-001,-4.335954352701107e-002
