Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.600000000000000e+00, -4.193584626712908e-01,  8.772520358955904e-02,  3.510064438015689e-02,  7.435070543734147e-01, -3.521070292985446e-01,  3.510064438007147e-02, -3.123364483337001e-01,  9.987365792528184e-02,  1.327936610505623e-01,  5.500147394204772e-01,  7.046493982410269e-01,  2.781729269598110e-01,  1.497783454974549e-02
  1.610000000000000e+00, -4.183890052835033e-01,  8.983787951615829e-02,  3.615113063063301e-02,  7.435021732538228e-01, -3.523493702540621e-01,  3.615113063055007e-02, -3.079552055646724e-01,  1.008067241838005e-01,  1.356486736207824e-01,  5.429897064395812e-01,  7.071216360261282e-01,  2.830700428534170e-01,  1.458559117846006e-02
  1.620000000000000e+00, -4.172927776905248e-01,  9.255248338227706e-02,  3.751860430162744e-02,  7.434815489433375e-01, -3.526710709944041e-01,  3.751860430150313e-02, -3.030249463926538e-01,  1.015821660369393e-01,  1.386548818357265e-01,  5.357947062037424e-01,  7.102555164729920e-01,  2.879784845638031e-01,  1.419329868044679e-02
  1.630000000000000e+00, -4.161315656365736e-01,  9.584670523658367e-02,  3.920109146451579e-02,  7.434414941069566e-01, -3.530732772059066e-01,  3.920109146437131e-02, -2.975622296515661e-01,  1.022205522421121e-01,  1.416705245869500e-01,  5.286218173943965e-01,  7.139496568748758e-01,  2.928647444510966e-01,  1.380704521711947e-02
  1.640000000000000e+00, -4.149720986931624e-01,  9.966290643385700e-02,  4.117897029182579e-02,  7.433799393039359e-01, -3.535523796657998e-01,  4.117897029164240e-02, -2.916140963074092e-01,  1.027370172841275e-01,  1.445527344010387e-01,  5.217247094719196e-01,  7.180802598461904e-01,  2.976546285624970e-01,  1.343326771285925e-02
  1.650000000000000e+00, -4.138756320956016e-01,  1.039098413882398e-01,  4.341419176744627e-02,  7.432971529970703e-01, -3.540995250608934e-01,  4.341419176721605e-02, -2.852627865124246e-01,  1.031334974836064e-01,  1.471729642520990e-01,  5.154137238017028e-01,  7.225072496608974e-01,  3.022315705343295e-01,  1.308055707582598e-02
  1.660000000000000e+00, -4.128888090452296e-01,  1.084746116704713e-01,  4.585493855295959e-02,  7.431957376905649e-01, -3.547016915248138e-01,  4.585493855268348e-02, -2.786212071093250e-01,  1.033925778081233e-01,  1.494310154045880e-01,  5.100341556432443e-01,  7.270869108015686e-01,  3.064462086731616e-01,  1.275943919805943e-02
  1.670000000000000e+00, -4.120412835769781e-01,  1.132434487794391e-01,  4.844590965279312e-02,  7.430795496059217e-01, -3.553445197723393e-01,  4.844590965248362e-02, -2.718190665298428e-01,  1.034758459316736e-01,  1.512664229839593e-01,  5.059325413411032e-01,  7.316894079883661e-01,  3.101291824598467e-01,  1.248175828215359e-02
  1.680000000000000e+00, -4.113478664007379e-01,  1.181243562081782e-01,  5.114074918685539e-02,  7.429523272627845e-01, -3.560157561066071e-01,  5.114074918652310e-02, -2.649844142651649e-01,  1.033262948227338e-01,  1.526664114248427e-01,  5.034209378660218e-01,  7.362131087758590e-01,  3.131029003139048e-01,  1.226110544869480e-02
  1.690000000000000e+00, -4.108131056760764e-01,  1.230621796041493e-01,  5.391134057775306e-02,  7.428167308944039e-01, -3.567077936000531e-01,  5.391134057741516e-02, -2.582271165260042e-01,  1.028747938867110e-01,  1.536687207639187e-01,  5.027474777822174e-01,  7.405993104556943e-01,  3.151924422150363e-01,  1.211305693405089e-02
  1.700000000000000e+00, -4.104388775716492e-01,  1.280398490690389e-01,  5.675012513507419e-02,  7.426738332622350e-01, -3.574184167588763e-01,  5.675012513475514e-02, -2.516274053717109e-01,  1.020493246610229e-01,  1.543565141051560e-01,  5.040763499888515e-01,  7.448434690691318e-01,  3.162399258904367e-01,  1.205337414397641e-02
  1.710000000000000e+00, -4.102321801232661e-01,  1.330666268770004e-01,  5.966506256444617e-02,  7.425230970924236e-01, -3.581496503068233e-01,  5.966506256418364e-02, -2.452288211018698e-01,  1.007837124787126e-01,  1.548448225882503e-01,  5.074767876087511e-01,  7.489927931763970e-01,  3.161252425073386e-01,  1.209528423048343e-02
  1.720000000000000e+00, -4.102091796612844e-01,  1.381595095801469e-01,  6.266988505869985e-02,  7.423628470450765e-01, -3.589053194718816e-01,  6.266988505850131e-02, -2.390362562421020e-01,  9.902300017060756e-02,  1.552619711401527e-01,  5.129216949831099e-01,  7.531287154574348e-01,  3.147914704922503e-01,  1.224878998796020e-02
  1.730000000000000e+00, -4.103952064117706e-01,  1.433244975873884e-01,  6.577322306826999e-02,  7.421909302520470e-01, -3.596882745303838e-01,  6.577322306814837e-02, -2.330211129669573e-01,  9.672564055004598e-02,  1.557309144151795e-01,  5.202977324463602e-01,  7.573490548695710e-01,  3.122717911693240e-01,  1.252152546451670e-02
  1.740000000000000e+00, -4.108220469294960e-01,  1.485426696499486e-01,  6.896959395066868e-02,  7.420052525191598e-01, -3.604980984747854e-01,  6.896959395060262e-02, -2.271321858155662e-01,  9.386667266140142e-02,  1.563551992655335e-01,  5.294268450585347e-01,  7.617699339466349e-01,  3.086994850500273e-01,  1.291904399559602e-02
  1.750000000000000e+00, -4.115217810774204e-01,  1.537657783079580e-01,  7.223522320703328e-02,  7.418042314732932e-01, -3.613299598623008e-01,  7.223522320264453e-02, -2.213080967002152e-01,  9.044030735454557e-02,  1.572105739134039e-01,  5.400991554050063e-01,  7.665062455088832e-01,  3.042722610457704e-01,  1.344255226395024e-02
  1.760000000000000e+00, -4.125115155147662e-01,  1.589262398278670e-01,  7.553165031331660e-02,  7.415878736844110e-01, -3.621749901359985e-01,  7.553165031125827e-02, -2.154798760122436e-01,  8.647826376968357e-02,  1.583483088844227e-01,  5.520819348729352e-01,  7.718044283091492e-01,  2.992001262683217e-01,  1.409792306706804e-02
  1.770000000000000e+00, -4.137914613878221e-01,  1.639529193360507e-01,  7.881455102615219e-02,  7.413573969090911e-01, -3.630224729425771e-01,  7.881455102561352e-02, -2.095815786496369e-01,  8.202094512998458e-02,  1.597877816420313e-01,  5.651726098198238e-01,  7.777411374169177e-01,  2.936297760332562e-01,  1.487777705858584e-02
  1.780000000000000e+00, -4.153427622947407e-01,  1.687887637087360e-01,  8.204449148327755e-02,  7.411151371952731e-01, -3.638623541853643e-01,  8.204449148361488e-02, -2.035494856959008e-01,  7.712606347976590e-02,  1.615272783251480e-01,  5.791907563084193e-01,  7.843198713117022e-01,  2.876438554572638e-01,  1.577203408546346e-02
  1.790000000000000e+00, -4.171368887295813e-01,  1.733989897824197e-01,  8.519358162162524e-02,  7.408635973513643e-01, -3.646871683328392e-01,  8.519358162240548e-02, -1.973297652054973e-01,  7.185843400513794e-02,  1.635501446804046e-01,  5.939862739903224e-01,  7.914278685020609e-01,  2.812827209033475e-01,  1.676638789425103e-02
  1.800000000000000e+00, -4.191434536698523e-01,  1.777732390904960e-01,  8.824851982543597e-02,  7.406048844211769e-01, -3.654929683867705e-01,  8.824851982644247e-02, -1.908818606392599e-01,  6.628677344679414e-02,  1.658311042951993e-01,  6.094349807348928e-01,  7.988792585031749e-01,  2.745807179020470e-01,  1.784001092920771e-02
  1.810000000000000e+00, -4.213337576201339e-01,  1.819249983328362e-01,  9.121153836152411e-02,  7.403406680976646e-01, -3.662795546995057e-01,  9.121153836266012e-02, -1.841776750941266e-01,  6.047952597079405e-02,  1.683376944509715e-01,  6.254384954537803e-01,  8.064152192986060e-01,  2.675701260657974e-01,  1.895737004048189e-02
  1.820000000000000e+00, -4.236778153016722e-01,  1.858876033198404e-01,  9.409833040263603e-02,  7.400728242536394e-01, -3.670497310365757e-01,  9.409833040390388e-02, -1.772005088220141e-01,  5.450223168072230e-02,  1.710301745685699e-01,  6.419257942548439e-01,  8.136916658280334e-01,  2.602603492181521e-01,  2.006630411011378e-02
  1.830000000000000e+00, -4.261376197780469e-01,  1.897053524443506e-01,  9.693200573349353e-02,  7.398043823500888e-01, -3.678075338198648e-01,  9.693200573492977e-02, -1.699464218442361e-01,  4.841923598910019e-02,  1.738653170650855e-01,  6.588445475929606e-01,  8.203497576984436e-01,  2.526454493535604e-01,  2.111213436694328e-02
  1.840000000000000e+00, -4.286642809046066e-01,  1.934225530900275e-01,  9.973557387390143e-02,  7.395398855578550e-01, -3.685563731797992e-01,  9.973557387557506e-02, -1.624270709583082e-01,  4.229484962180273e-02,  1.768033105285588e-01,  6.761477653614514e-01,  8.261317595972628e-01,  2.447454868885315e-01,  2.205603493883400e-02
  1.850000000000000e+00, -4.312017802205202e-01,  1.970741663485556e-01,  1.025257618215588e-01,  7.392848914821395e-01, -3.692978326460623e-01,  1.025257618235233e-01, -1.546717727320619e-01,  3.619066081762027e-02,  1.798122829139842e-01,  6.937891060391163e-01,  8.309332779750278e-01,  2.366306958508544e-01,  2.288236121520506e-02
  1.860000000000000e+00, -4.336937312934789e-01,  2.006801657276340e-01,  1.053094086953911e-01,  7.390450736096198e-01, -3.700312162006962e-01,  1.053094086976789e-01, -1.467258428875875e-01,  3.016183230067208e-02,  1.828678879453945e-01,  7.117241309021283e-01,  8.347813073875987e-01,  2.284084535930491e-01,  2.359514162598475e-02
  1.870000000000000e+00, -4.360910019393102e-01,  2.042453279900882e-01,  1.080836244344166e-01,  7.388252406556297e-01, -3.707539812464788e-01,  1.080836244370431e-01, -1.386434686295621e-01,  2.425373067195485e-02,  1.859508679550757e-01,  7.299071117134905e-01,  8.377965161899900e-01,  2.202025530974954e-01,  2.421242948850304e-02
  1.880000000000000e+00, -4.383599418936723e-01,  2.077636196324879e-01,  1.108393648786739e-01,  7.386283840313917e-01, -3.714629324641943e-01,  1.108393648816128e-01, -1.304792632220173e-01,  1.849938204396629e-02,  1.890454169012973e-01,  7.482865565612420e-01,  8.401543733462968e-01,  2.121377263642756e-01,  2.476186092687460e-02
  1.890000000000000e+00, -4.404883304686558e-01,  2.112234769210775e-01,  1.135656618658682e-01,  7.384550730457814e-01, -3.721554183738414e-01,  1.135656618690190e-01, -1.222844362146618e-01,  1.291971526988886e-02,  1.921384449660471e-01,  7.668083482071991e-01,  8.420340699717205e-01,  2.043206450659274e-01,  2.527461955636879e-02
  1.900000000000000e+00, -4.424852814618493e-01,  2.146116971968357e-01,  1.162524281379363e-01,  7.383035423560232e-01, -3.728299219359026e-01,  1.162524281411600e-01, -1.141067425381179e-01,  7.526029410373003e-03,  1.952204740512935e-01,  7.854213407558657e-01,  8.435895074554155e-01,  1.968311665240967e-01,  2.577914893231108e-02
  1.910000000000000e+00, -4.443755234162841e-01,  2.179171802415012e-01,  1.188926560763903e-01,  7.381703975852811e-01, -3.734862682835201e-01,  1.188926560794876e-01, -1.059903523818446e-01,  2.322262628519349e-03,  1.982882855649917e-01,  8.040780096832193e-01,  8.449587433360544e-01,  1.897302357149508e-01,  2.629775238303019e-02
  1.920000000000000e+00, -4.461916935146595e-01,  2.211358831931376e-01,  1.214853781410931e-01,  7.380515716315801e-01, -3.741259126718248e-01,  1.214853781438250e-01, -9.797587309908296e-02, -2.693583263558354e-03,  2.013471983045487e-01,  8.227333668100913e-01,  8.462708983707733e-01,  1.830637362200271e-01,  2.684486367438385e-02
  1.930000000000000e+00, -4.479668263891973e-01,  2.242747000846297e-01,  1.240379653207432e-01,  7.379432686832637e-01, -3.747520886313380e-01,  1.240379653228367e-01, -9.010220203982300e-02, -7.528557472240827e-03,  2.044113310373993e-01,  8.413448867341633e-01,  8.476305658155624e-01,  1.768577702412801e-01,  2.742635153830366e-02
  1.940000000000000e+00, -4.497266182260550e-01,  2.273512428492854e-01,  1.265653749835797e-01,  7.378428438753062e-01, -3.753692901617129e-01,  1.265653749949627e-01, -8.241169651852687e-02, -1.219530041345569e-02,  2.075020420364759e-01,  8.598722278635973e-01,  8.490941661772300e-01,  1.711161967469732e-01,  2.804059772115987e-02
  1.950000000000000e+00, -4.514884666841785e-01,  2.303841907519197e-01,  1.290829696660467e-01,  7.377487193825268e-01, -3.759816710821702e-01,  1.290829696438120e-01, -7.494144039190531e-02, -1.670902513069073e-02,  2.106407110889314e-01,  8.782762166080567e-01,  8.506450018997872e-01,  1.658266955026129e-01,  2.868067610213937e-02
  1.960000000000000e+00, -4.532458757554828e-01,  2.333909647700305e-01,  1.316027350525888e-01,  7.376618278740199e-01, -3.765916162384821e-01,  1.316027350514264e-01, -6.773397121217672e-02, -2.109406556717704e-02,  2.138466199052312e-01,  8.965178031433275e-01,  8.522068022030790e-01,  1.609530946320274e-01,  2.933647430954968e-02
  1.970000000000000e+00, -4.549775152655800e-01,  2.363813906345600e-01,  1.341292980582076e-01,  7.375844390215728e-01, -3.771993053696783e-01,  1.341292980558066e-01, -6.083473389063543e-02, -2.537609623974512e-02,  2.171335109796708e-01,  9.145592486870562e-01,  8.536503521297311e-01,  1.564277403448953e-01,  2.999403850757390e-02
  1.980000000000000e+00, -4.566455729830470e-01,  2.393536231924240e-01,  1.366561619380975e-01,  7.375200537834083e-01, -3.778018998290131e-01,  1.366561619379688e-01, -5.427646482916137e-02, -2.957978058273380e-02,  2.205030509468049e-01,  9.323606420902896e-01,  8.548207052866472e-01,  1.521422330100106e-01,  3.063776203800501e-02
  1.990000000000000e+00, -4.581992118987855e-01,  2.422974650753384e-01,  1.391682524951018e-01,  7.374730175210777e-01, -3.783942797387208e-01,  1.391682524949633e-01, -4.808625491755825e-02, -3.373053123969310e-02,  2.239486465780333e-01,  9.498744536279157e-01,  8.555861072912159e-01,  1.479711937944967e-01,  3.125484731207997e-02
  2.000000000000000e+00, -4.595915971241963e-01,  2.451962352117445e-01,  1.416452725833786e-01,  7.374468395915190e-01, -3.789704698119092e-01,  1.416452725832802e-01, -4.228933416629244e-02, -3.785125936450688e-02,  2.274606512452481e-01,  9.670405166334414e-01,  8.558772964114113e-01,  1.438220371487109e-01,  3.184025926986993e-02
  2.010000000000000e+00, -4.607839880334177e-01,  2.480325524528524e-01,  1.440667154249130e-01,  7.374439932916234e-01, -3.795248571005092e-01,  1.440667154249083e-01, -3.691132327023006e-02, -4.196437810221654e-02,  2.310290322423352e-01,  9.837855235665787e-01,  8.556977801221147e-01,  1.396446881358897e-01,  3.239625898578502e-02
  2.020000000000000e+00, -4.617489183007237e-01,  2.507979154462059e-01,  1.464200996405721e-01,  7.374660524686897e-01, -3.800540134916195e-01,  1.464200996406041e-01, -3.197996293108640e-02, -4.609036119644860e-02,  2.346446866059516e-01,  1.000026392562974e+00,  8.550952499005059e-01,  1.353973375166211e-01,  3.292628058789179e-02
  2.030000000000000e+00, -4.624789348782737e-01,  2.535019545532480e-01,  1.487100812553255e-01,  7.375134093765982e-01, -3.805588848636270e-01,  1.487100812553825e-01, -2.752635202349896e-02, -5.024102264859825e-02,  2.383007983870315e-01,  1.015672601984536e+00,  8.541328507692189e-01,  1.310206359902928e-01,  3.343035759685889e-02
  2.040000000000000e+00, -4.629784406317241e-01,  2.561794962020489e-01,  1.509638115711385e-01,  7.375865877009709e-01, -3.810455031308584e-01,  1.509638115712220e-01, -2.358357915952358e-02, -5.442344510655923e-02,  2.419914729886678e-01,  1.030624230175576e+00,  8.529019660812037e-01,  1.264467253451904e-01,  3.390696365819915e-02
  2.050000000000000e+00, -4.632691461783142e-01,  2.588890894568463e-01,  1.532312794302944e-01,  7.376859122589499e-01, -3.815251983743202e-01,  1.532312794304173e-01, -2.019019554669477e-02, -5.863739776912540e-02,  2.457117864955536e-01,  1.044771200637504e+00,  8.515337339062913e-01,  1.216439227041373e-01,  3.435580700303766e-02
  2.060000000000000e+00, -4.633848336444747e-01,  2.616995660103940e-01,  1.555742102172535e-01,  7.378115741202277e-01, -3.820120415234667e-01,  1.555742102174198e-01, -1.738990165816401e-02, -6.287649939198620e-02,  2.494519031628484e-01,  1.057996616335158e+00,  8.501931303234534e-01,  1.166370384379705e-01,  3.477940302926778e-02
  2.070000000000000e+00, -4.633671682434436e-01,  2.646622955039468e-01,  1.580427136619142e-01,  7.379627250946582e-01, -3.825178606482758e-01,  1.580427136619353e-01, -1.522671393788477e-02, -6.712536083075429e-02,  2.531852521714765e-01,  1.070182671682791e+00,  8.490397822935749e-01,  1.114914286829485e-01,  3.518274743814107e-02
