Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.600000000000000e+00,  4.958947422299917e-01,  8.292959139430955e-02,  1.781665516596936e-01,  2.044862707956241e-01, -2.504670853479435e-02,  7.326191426432803e-02
  1.610000000000000e+00,  4.971242692172644e-01,  7.364890793315149e-02,  1.687075815698645e-01,  2.213669497798463e-01, -1.179278412862332e-02,  9.791732895026499e-02
  1.620000000000000e+00,  4.984027222839366e-01,  6.303445044994227e-02,  1.579259900013908e-01,  2.404364736541728e-01,  2.703422274676031e-03,  1.221212610410282e-01
  1.630000000000000e+00,  4.992700669540443e-01,  5.133105813986294e-02,  1.461366374093166e-01,  2.607375881324323e-01,  1.738969347997552e-02,  1.446505409207884e-01
  1.640000000000000e+00,  4.992508563214714e-01,  3.882289039491171e-02,  1.336763802161592e-01,  2.814036685725305e-01,  3.111634082625586e-02,  1.647645080540001e-01
  1.650000000000000e+00,  4.979057304697330e-01,  2.581786222695226e-02,  1.209244529291328e-01,  3.016350741187904e-01,  4.284195394379114e-02,  1.822517884826912e-01
  1.660000000000000e+00,  4.948858520768945e-01,  1.263099164019454e-02,  1.082914906874656e-01,  3.207104784535039e-01,  5.176983915113753e-02,  1.972883344188364e-01
  1.670000000000000e+00,  4.899737771357614e-01, -4.337876655915451e-04,  9.620616330680545e-02,  3.380310136307653e-01,  5.741293837665466e-02,  2.101695331198817e-01
  1.680000000000000e+00,  4.830933648136269e-01, -1.310502179679718e-02,  8.509413143646773e-02,  3.531525049544698e-01,  5.958995975570145e-02,  2.210875250363804e-01
  1.690000000000000e+00,  4.742847873226583e-01, -2.516257299468938e-02,  7.534842955262083e-02,  3.657831194161110e-01,  5.837533376011579e-02,  2.300641146996363e-01
