Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile7.WristAbduction
 1.540000000000000e+000,-4.103055689279029e-001, 8.061323146153221e-002,-3.493978474970530e-001,-3.128862081013040e-001, 8.216162104481924e-002, 1.236981865083571e-001, 5.392643412085948e-001, 5.294442342310807e-001, 2.521287696300156e-001, 2.464304582702138e-001
 1.550000000000000e+000,-4.108661847239354e-001, 7.971237224099093e-002,-3.493955877520305e-001,-3.104410437860774e-001, 8.380688151322834e-002, 1.244240707263488e-001, 5.340098795620640e-001, 5.286674506383735e-001, 2.575702782733338e-001, 2.447363046374151e-001
 1.560000000000000e+000,-4.113199145818736e-001, 7.913972704069749e-002,-3.493934986226493e-001,-3.078783131918363e-001, 8.538847393760625e-002, 1.254352806703355e-001, 5.285237090719782e-001, 5.280905130543355e-001, 2.630607618136600e-001, 2.430217782590664e-001
 1.570000000000000e+000,-4.115821048822210e-001, 7.895355705119078e-002,-3.493914654458393e-001,-3.051083278209779e-001, 8.685971299677356e-002, 1.267869271080289e-001, 5.227452037783632e-001, 5.278685060406605e-001, 2.685913585219049e-001, 2.412714291657536e-001
 1.580000000000000e+000,-4.115815295775639e-001, 7.921265137223066e-002,-3.493893781857950e-001,-3.020502018574809e-001, 8.817870347075284e-002, 1.285004873748589e-001, 5.166623091806240e-001, 5.281643523876853e-001, 2.741305579091646e-001, 2.394808850130701e-001
 1.590000000000000e+000,-4.112931222702342e-001, 7.995807215287942e-002,-3.493871574449747e-001,-2.986448838710412e-001, 8.932933751426431e-002, 1.305550519546034e-001, 5.102974972778135e-001, 5.290654085466700e-001, 2.796629461081674e-001, 2.376543089321237e-001
 1.600000000000000e+000,-4.107071515151761e-001, 8.122713204751308e-002,-3.493847171164352e-001,-2.948222271260863e-001, 9.030435991117868e-002, 1.329089671037297e-001, 5.036796538124549e-001, 5.306267612093055e-001, 2.851895787816656e-001, 2.358031960615985e-001
 1.610000000000000e+000,-4.098369464835266e-001, 8.304582941023542e-002,-3.493819893854382e-001,-2.905195486566923e-001, 9.110657418337054e-002, 1.354890088318019e-001, 4.968652719842926e-001, 5.328539233307584e-001, 2.907156292070809e-001, 2.339479565728564e-001
 1.620000000000000e+000,-4.087175202069522e-001, 8.542361125308950e-002,-3.493789357221686e-001,-2.856930882121658e-001, 9.174704550077184e-002, 1.381914731134235e-001, 4.899526397499252e-001, 5.357120200516579e-001, 2.962386280073506e-001, 2.321109822936578e-001
 1.630000000000000e+000,-4.074012116303291e-001, 8.834862627217821e-002,-3.493755670665983e-001,-2.803270803785374e-001, 9.225045030140598e-002, 1.408926491964248e-001, 4.830859688461298e-001, 5.391871711925010e-001, 3.017280400299496e-001, 2.303297187733474e-001
