Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
 1.540000000000000e+000, 4.922568198287622e-001, 1.126854302152716e-001, 1.495352729324030e-001, 1.577380687696837e-001,-6.261176009021152e-002,-9.048832427584167e-003
 1.550000000000000e+000, 4.896690102479936e-001, 1.115334373924481e-001, 1.476994830601296e-001, 1.622731247947195e-001,-6.248987779464461e-002, 4.062499408938465e-003
 1.560000000000000e+000, 4.876228286284398e-001, 1.094183046891344e-001, 1.454209539478520e-001, 1.679834412196404e-001,-6.077928174032943e-002, 1.899579600270292e-002
 1.570000000000000e+000, 4.863217238264854e-001, 1.060651597984743e-001, 1.422451561046402e-001, 1.756063597157678e-001,-5.677987568421346e-002, 3.631150701410228e-002
 1.580000000000000e+000, 4.858799065352627e-001, 1.012676936590271e-001, 1.378763984145864e-001, 1.856232786598847e-001,-5.002295197119378e-002, 5.602194148765500e-002
 1.590000000000000e+000, 4.862484188743755e-001, 9.495593455303553e-002, 1.323387448604831e-001, 1.980176737716425e-001,-4.043419745406490e-002, 7.751666561134715e-002
 1.600000000000000e+000, 4.872799561656005e-001, 8.710494487794662e-002, 1.256911868269783e-001, 2.125828472648934e-001,-2.818180100526060e-002, 9.997261019926035e-002
 1.610000000000000e+000, 4.887153880102225e-001, 7.777538138707230e-002, 1.179793499235752e-001, 2.289288939080539e-001,-1.383795253789129e-002, 1.224038207522987e-001
 1.620000000000000e+000, 4.901994389859714e-001, 6.710878517283736e-002, 1.092206122410167e-001, 2.465801251340916e-001, 1.641985536228090e-003, 1.438236758660189e-001
 1.630000000000000e+000, 4.913043707549861e-001, 5.531414998358719e-002, 9.948194524139159e-002, 2.650349543382105e-001, 1.708014118693137e-002, 1.634209986768286e-001
 1.640000000000000e+000, 4.915765339863272e-001, 4.265688074394780e-002, 8.894443396865144e-002, 2.837677029633187e-001, 3.128895121278667e-002, 1.807311042710546e-001
 1.650000000000000e+000, 4.905848910818237e-001, 2.944034067415902e-002, 7.790424837050798e-002, 3.022086330933652e-001, 4.324749222773763e-002, 1.957063979508947e-001
 1.660000000000000e+000, 4.879799283973758e-001, 1.598489559925698e-002, 6.673891481290205e-002, 3.197678185868019e-001, 5.220988477231999e-002, 2.086064306980563e-001
 1.670000000000000e+000, 4.835391194561161e-001, 2.604175278911880e-003, 5.587527364939567e-002, 3.358988048665799e-001, 5.774971929566736e-002, 2.197578819410060e-001
 1.680000000000000e+000, 4.771803529428985e-001,-1.042063217376588e-002, 4.575400074007694e-002, 3.501541110246065e-001, 5.974331866550638e-002, 2.293526505171903e-001
 1.690000000000000e+000, 4.689371115266504e-001,-2.286161650946417e-002, 3.678969967432100e-002, 3.622048843919701e-001, 5.831278992570480e-002, 2.373940619551229e-001
 1.700000000000000e+000, 4.589067854281822e-001,-3.455217747229078e-002, 2.932963019054812e-002, 3.718334766679827e-001, 5.376047509830185e-002, 2.437643435817174e-001
 1.710000000000000e+000, 4.471946912653072e-001,-4.538334793918963e-002, 2.361249418114792e-002, 3.789172170498310e-001, 4.651003361824883e-002, 2.483135925737889e-001
 1.720000000000000e+000, 4.338768385270559e-001,-5.529315448472727e-002, 1.973788191809054e-002, 3.834119359542353e-001, 3.705402640279278e-002, 2.509058572874817e-001
 1.730000000000000e+000, 4.189961885544478e-001,-6.424868843526599e-002, 1.765941155827982e-002, 3.853409989369260e-001, 2.590808292059963e-002, 2.514305456088948e-001
 1.740000000000000e+000, 4.025808016877622e-001,-7.223385865746845e-002, 1.719922247173567e-002, 3.847794822987593e-001, 1.358685610328857e-002, 2.498349495155732e-001
 1.750000000000000e+000, 3.846777640900879e-001,-7.924053913881535e-002, 1.807746171582599e-002, 3.818479718808346e-001, 5.863419169034847e-004, 2.461566209616349e-001
 1.760000000000000e+000, 3.653794589051354e-001,-8.527129568872072e-002, 1.994756298379758e-002, 3.767066511871430e-001,-1.263230398949476e-002, 2.405455221029299e-001
 1.770000000000000e+000, 3.448347146497270e-001,-9.034389428896317e-002, 2.243358086125136e-002, 3.695526768539779e-001,-2.566651596485713e-002, 2.332571581182006e-001
 1.780000000000000e+000, 3.232423217885034e-001,-9.449256474266732e-002, 2.516374900287144e-002, 3.606154883782785e-001,-3.819520982105720e-002, 2.246240197166641e-001
 1.790000000000000e+000, 3.008312203756475e-001,-9.776506146508068e-002, 2.779807783951364e-002, 3.501472306065427e-001,-4.999224992794942e-002, 2.150132362520164e-001
 1.800000000000000e+000, 2.778345389526234e-001,-1.002171800852845e-001, 3.005196674890898e-002, 3.384076607544623e-001,-6.092712775763533e-002, 2.047862705457598e-001
 1.810000000000000e+000, 2.544638460739405e-001,-1.019082132238280e-001, 3.171135499641851e-002, 3.256450954004516e-001,-7.095281177899687e-002, 1.942796140154278e-001
 1.820000000000000e+000, 2.308911852307379e-001,-1.028987365828566e-001, 3.263261865477902e-002, 3.120830925912206e-001,-8.008654546540010e-002, 1.838020188263721e-001
 1.830000000000000e+000, 2.072455912905258e-001,-1.032491647334612e-001, 3.273100190739733e-002, 2.979198734673241e-001,-8.839130296434976e-002, 1.736294696896405e-001
 1.840000000000000e+000, 1.836198973665572e-001,-1.030183163100429e-001, 3.196521920201165e-002, 2.833309494967964e-001,-9.595934112927679e-002, 1.639970951315281e-001
 1.850000000000000e+000, 1.600790384880718e-001,-1.022602614327905e-001, 3.032417577539564e-002, 2.684693794368495e-001,-1.028990869212203e-001, 1.550950031626662e-001
 1.860000000000000e+000, 1.366675720970143e-001,-1.010180955807964e-001, 2.782324976074791e-002, 2.534717319184573e-001,-1.093296002349197e-001, 1.470634202784771e-001
 1.870000000000000e+000, 1.134176810564140e-001,-9.931892670221965e-002, 2.451043665172176e-002, 2.384674924606643e-001,-1.153794065306849e-001, 1.399875252181524e-001
 1.880000000000000e+000, 9.036088312221979e-002,-9.717536476251443e-002, 2.047283575956196e-002, 2.235835804930756e-001,-1.211820075342101e-001, 1.338989779337947e-001
 1.890000000000000e+000, 6.754389724657323e-002,-9.459323587691837e-002, 1.583535952597861e-002, 2.089484152104905e-001,-1.268670995637675e-001, 1.287801323406284e-001
 1.900000000000000e+000, 4.504029922254005e-002,-9.158194802184561e-002, 1.074979347497788e-002, 1.946988801382793e-001,-1.325505973267114e-001, 1.245674183207597e-001
 1.910000000000000e+000, 2.295119141879359e-002,-8.816523409583676e-002, 5.377243785784251e-003, 1.809827874756053e-001,-1.383262762433956e-001, 1.211618631263325e-001
 1.920000000000000e+000, 1.397259200578622e-003,-8.439101825806228e-002,-1.303428684414497e-004, 1.679523414609229e-001,-1.442623432103992e-001, 1.184492028593654e-001
 1.930000000000000e+000,-1.949278791538040e-002,-8.033746541191156e-002,-5.645922700548363e-003, 1.557527173189947e-001,-1.504032756863757e-001, 1.163194177718190e-001
 1.940000000000000e+000,-3.959413720054882e-002,-7.611173394158888e-002,-1.107911882450294e-002, 1.445115972915998e-001,-1.567744852776632e-001, 1.146757046826433e-001
 1.950000000000000e+000,-5.879721923972745e-002,-7.184077678965450e-002,-1.637971799460810e-002, 1.343323484118895e-001,-1.633900048170227e-001, 1.134283087832337e-001
 1.960000000000000e+000,-7.701944522654883e-002,-6.765743747324660e-002,-2.153000124265692e-002, 1.252889952492209e-001,-1.702600896715897e-001, 1.124787154740111e-001
 1.970000000000000e+000,-9.421687758241887e-002,-6.368720035441600e-002,-2.653240038039109e-002, 1.174192623045499e-001,-1.773898904263266e-001, 1.117109350226726e-001
 1.980000000000000e+000,-1.103913330914158e-001,-6.003975551743235e-002,-3.139741512682298e-002, 1.107178689318047e-001,-1.847695466003332e-001, 1.109926063347764e-001
 1.990000000000000e+000,-1.255911539390949e-001,-5.680454104168042e-002,-3.612938782412359e-002, 1.051369478015683e-001,-1.923652755863373e-001, 1.101712417013805e-001
 2.000000000000000e+000,-1.399077496409389e-001,-5.405053032748741e-002,-4.071559817869039e-002, 1.005936719806783e-001,-2.001124864225869e-001, 1.090657374111810e-001
 2.010000000000000e+000,-1.534723115106634e-001,-5.182563713473010e-002,-4.512847271851714e-002, 9.698422131682669e-002,-2.079137549620602e-001, 1.074620163793011e-001
 2.020000000000000e+000,-1.664492305871037e-001,-5.015838083685953e-002,-4.933855609702115e-002, 9.420333842083498e-002,-2.156461855963912e-001, 1.051134552409271e-001
 2.030000000000000e+000,-1.790250673567563e-001,-4.906128613848559e-002,-5.332749908859829e-002, 9.216830134899350e-002,-2.231791386130080e-001, 1.017440778136214e-001
 2.040000000000000e+000,-1.913931355922072e-001,-4.853538754173004e-002,-5.709689344991631e-002, 9.083994497368560e-002,-2.303939452194687e-001, 9.705895489926673e-002
 2.050000000000000e+000,-2.037377744726075e-001,-4.857033924034004e-002,-6.067612532211411e-002, 9.023161343610991e-002,-2.371943537196643e-001, 9.077155427925962e-002
 2.060000000000000e+000,-2.162123336604949e-001,-4.913869628210077e-002,-6.412802976090186e-002, 9.040312194855506e-002,-2.435018506497922e-001, 8.265107264897717e-002
 2.070000000000000e+000,-2.289070065174188e-001,-5.017871165126020e-002,-6.754591523773634e-002, 9.144571322131277e-002,-2.492428651578509e-001, 7.257492570823028e-002
 2.080000000000000e+000,-2.418079717017116e-001,-5.156281514396754e-002,-7.103049421614492e-002, 9.346899296279020e-002,-2.543388417738636e-001, 6.055811964978616e-002
 2.090000000000000e+000,-2.547675918315372e-001,-5.305708481548277e-002,-7.464426658623212e-002, 9.659627381845067e-002,-2.587032300569810e-001, 4.673934648794051e-002
 2.100000000000000e+000,-2.675101900201640e-001,-5.429944548810028e-002,-7.836537321452451e-002, 1.009635972341951e-001,-2.622408822676297e-001, 3.133305223266172e-002
 2.110000000000000e+000,-2.796791311343519e-001,-5.483417601497598e-002,-8.207920144118770e-002, 1.067133575730463e-001,-2.648413196494034e-001, 1.458427632888322e-002
 2.120000000000000e+000,-2.909061119535209e-001,-5.420257332326139e-002,-8.562246956855713e-002, 1.139819125820338e-001,-2.663628048213952e-001,-3.244928850925752e-003
 2.130000000000000e+000,-3.008699942676820e-001,-5.203933718494658e-002,-8.884838383590406e-002, 1.228880277120991e-001,-2.666154718554770e-001,-2.186571293354835e-002
 2.140000000000000e+000,-3.093291036619749e-001,-4.812227484934195e-002,-9.167190102941537e-002, 1.335276564190212e-001,-2.653546557871324e-001,-4.095520791073445e-002
 2.150000000000000e+000,-3.161239122563057e-001,-4.237522020697915e-002,-9.408290283304051e-002, 1.459784404569569e-001,-2.622851018313890e-001,-6.016009230971084e-002
 2.160000000000000e+000,-3.211625916097384e-001,-3.485010042294956e-002,-9.614090600563498e-002, 1.603143791912791e-001,-2.570696734955070e-001,-7.910392508510317e-002
 2.170000000000000e+000,-3.243998171104361e-001,-2.570817153070149e-002,-9.796653179626044e-002, 1.766261741587042e-001,-2.493389141678213e-001,-9.739287922176081e-002
 2.180000000000000e+000,-3.258141026066298e-001,-1.520563428935251e-002,-9.973257012643691e-002, 1.950409449795077e-001,-2.387023494790088e-001,-1.146236794812700e-001
 2.190000000000000e+000,-3.253880303956814e-001,-3.680048506188305e-003,-1.016460523609752e-001, 2.157372928302290e-001,-2.247642989118688e-001,-1.304051215178729e-001
 2.200000000000000e+000,-3.230944471553133e-001, 8.468403226348453e-003,-1.039152974108748e-001, 2.389523738069014e-001,-2.071463138701368e-001,-1.443997032139393e-001
 2.210000000000000e+000,-3.188844687943886e-001, 2.080363858503631e-002,-1.067091885925896e-001, 2.649761716736785e-001,-1.855162559059808e-001,-1.563743693612057e-001
 2.220000000000000e+000,-3.126698269946505e-001, 3.288875239979006e-002,-1.101209888108263e-001, 2.941308474249298e-001,-1.596247138865207e-001,-1.662372628978582e-001
 2.230000000000000e+000,-3.043032537476277e-001, 4.433012978437412e-002,-1.141408256383607e-001, 3.267380313138971e-001,-1.293520033977837e-001,-1.740433272428161e-001
 2.240000000000000e+000,-2.935745638250374e-001, 5.482528605787240e-002,-1.186419455149083e-001, 3.630753094411985e-001,-9.476853812431804e-002,-1.799610063585083e-001
 2.250000000000000e+000,-2.802381799584016e-001, 6.419906503659956e-002,-1.233964111011796e-001, 4.033209998326825e-001,-5.620821384824496e-002,-1.841994544809998e-001
 2.260000000000000e+000,-2.640716755125547e-001, 7.241395938155382e-002,-1.281264604131460e-001, 4.474942011863862e-001,-1.434842120506532e-002,-1.869174822444616e-001
 2.270000000000000e+000,-2.449484140392637e-001, 7.954997927590135e-002,-1.325723238230711e-001, 4.954077346964742e-001, 2.972326461540955e-002,-1.881576167526727e-001
 2.280000000000000e+000,-2.228972997005626e-001, 8.575735391869399e-002,-1.365456379894393e-001, 5.466536898878471e-001, 7.449373131714770e-002,-1.878431740806554e-001
 2.290000000000000e+000,-1.981233035298865e-001, 9.119478372908607e-002,-1.399484773062725e-001, 6.006312173793930e-001, 1.181001378288889e-001,-1.858458750172505e-001
 2.300000000000000e+000,-1.709794408803108e-001, 9.597455684108036e-002,-1.427606662270438e-001, 6.566063671895325e-001, 1.585024624697964e-001,-1.820931498012834e-001
 2.310000000000000e+000,-1.419063710281955e-001, 1.001324566039994e-001,-1.450116777861938e-001, 7.137786764109743e-001, 1.937087395602494e-001,-1.766623389466277e-001
 2.320000000000000e+000,-1.113696972843779e-001, 1.036283217354077e-001,-1.467488907492931e-001, 7.713328753132358e-001, 2.219975504627791e-001,-1.698174364109994e-001
 2.330000000000000e+000,-7.981539453679151e-002, 1.063697134229307e-001,-1.480073082177526e-001, 8.284685904251417e-001, 2.421151070805195e-001,-1.619695871622834e-001
 2.340000000000000e+000,-4.764681204323503e-002, 1.082495834966781e-001,-1.487871760750520e-001, 8.844124836312279e-001, 2.534346995349792e-001,-1.535759203122458e-001
 2.350000000000000e+000,-1.521488079285200e-002, 1.091870047539754e-001,-1.490484525273144e-001, 9.384236978352961e-001, 2.560376126734250e-001,-1.450300943201826e-001
 2.360000000000000e+000, 1.718613962768682e-002, 1.091574415078198e-001,-1.487250442278365e-001, 9.898032401473788e-001, 2.506700273572236e-001,-1.366099119049311e-001
 2.370000000000000e+000, 4.931929456640445e-002, 1.082024407849338e-001,-1.477501675043692e-001, 1.037911270266540e+000, 2.385778652563413e-001,-1.285062346398533e-001
 2.380000000000000e+000, 8.100214999808211e-002, 1.064208529740682e-001,-1.460782747891441e-001, 1.082189548514708e+000, 2.212743445412239e-001,-1.208969430900890e-001
 2.390000000000000e+000, 1.120996008154744e-001, 1.039495867311064e-001,-1.436948517135414e-001, 1.122181287518674e+000, 2.003120814477217e-001,-1.140041656781380e-001
 2.400000000000000e+000, 1.425106900175480e-001, 1.009433666340143e-001,-1.406164383321195e-001, 1.157540028683514e+000, 1.771136749774205e-001,-1.081009879293825e-001
 2.410000000000000e+000, 1.721529230801996e-001, 9.755540637460758e-002,-1.368851442058444e-001, 1.188025706915702e+000, 1.528766180938114e-001,-1.034689706333418e-001
 2.420000000000000e+000, 2.009516809488766e-001, 9.392229545763553e-002,-1.325588350258158e-001, 1.213492875391662e+000, 1.285403385304047e-001,-1.003317612948898e-001
 2.430000000000000e+000, 2.288357289808630e-001, 9.015678160794938e-002,-1.276988366481160e-001, 1.233876706118386e+000, 1.047934409697016e-001,-9.878849762363910e-002
 2.440000000000000e+000, 2.557355783037028e-001, 8.634889502008503e-002,-1.223601553271523e-001, 1.249179738893307e+000, 8.210068623922556e-002,-9.876597302135208e-002
 2.450000000000000e+000, 2.815834889779538e-001, 8.257067228869719e-002,-1.165872069056471e-001, 1.259459663372194e+000, 6.073689966485588e-002,-1.000013341463262e-001
 2.460000000000000e+000, 3.063139251152480e-001, 7.887894794476469e-002,-1.104149329294075e-001, 1.264816942787488e+000, 4.082640183811654e-002,-1.020530648371541e-001
 2.470000000000000e+000, 3.298625175046653e-001, 7.531482814963342e-002,-1.038741074605658e-001, 1.265381868941211e+000, 2.239040425487770e-002,-1.043341834708171e-001
 2.480000000000000e+000, 3.521643794527755e-001, 7.190305080893422e-002,-9.699719248720838e-002, 1.261302556517628e+000, 5.396873944057689e-003,-1.061694403671426e-001
 2.490000000000000e+000, 3.731565027628870e-001, 6.865433352500072e-002,-8.982161256523311e-002, 1.252736344729605e+000,-1.020125199068351e-002,-1.068781344966106e-001
 2.500000000000000e+000, 3.927808165913815e-001, 6.556910512750336e-002,-8.238692409520310e-002, 1.239842820161257e+000,-2.444675954743869e-002,-1.058691487392902e-001
 2.510000000000000e+000, 4.110008543479985e-001, 6.264361489447201e-002,-7.473830940511528e-002, 1.222781815704243e+000,-3.737285124916539e-002,-1.027210261027754e-001
 2.520000000000000e+000, 4.278017246448192e-001, 5.987507658961477e-002,-6.692453214287054e-002, 1.201707000771568e+000,-4.900305219716614e-002,-9.722435405206124e-002
 2.530000000000000e+000, 4.431892643639159e-001, 5.726822785345642e-002,-5.900037724500155e-002, 1.176761479452126e+000,-5.935494445632549e-002,-8.938152052677825e-002
 2.540000000000000e+000, 4.571926569185649e-001, 5.484053101317721e-002,-5.103255322010458e-002, 1.148076459739946e+000,-6.844537016747848e-002,-7.937764169077817e-002
 2.550000000000000e+000, 4.698592527272369e-001, 5.262740774652275e-002,-4.309691527103868e-002, 1.115771337324526e+000,-7.629750562249806e-002,-6.755022571152201e-002
 2.560000000000000e+000, 4.812489920460088e-001, 5.068310801200227e-002,-3.527541953206690e-002, 1.079957222777666e+000,-8.295350193917074e-002,-5.435517669127698e-002
 2.570000000000000e+000, 4.914197707436797e-001, 4.907822291814568e-002,-2.764587085887449e-002, 1.040740778190608e+000,-8.848847257569020e-002,-4.032169376163610e-002
 2.580000000000000e+000, 5.004145443195086e-001, 4.789441844716857e-002,-2.027124333155089e-002, 9.982305216062152e-001,-9.301936518947436e-002,-2.599853215385482e-002
 2.590000000000000e+000, 5.082530453076896e-001, 4.721869682612878e-002,-1.318744814805149e-002, 9.525455683175996e-001,-9.670055378965406e-002,-1.190780815792606e-002
 2.600000000000000e+000, 5.149265955750167e-001, 4.713856126997240e-002,-6.390420976537241e-003, 9.038251921929659e-001,-9.970532209638025e-002, 1.481882408469875e-003
 2.610000000000000e+000, 5.203920583680247e-001, 4.773770851074133e-002, 1.729230175194368e-004, 8.522384555494412e-001,-1.022016666257709e-001, 1.375770834498801e-002
 2.620000000000000e+000, 5.245663430687331e-001, 4.909178803058634e-002, 6.609368892647819e-003, 7.979959685341992e-001,-1.043268067117369e-001, 2.454892492895585e-002
 2.630000000000000e+000, 5.273301317790241e-001, 5.126437720682753e-002, 1.308224817711945e-002, 7.413672825911069e-001,-1.061593948594596e-001, 3.351597325945070e-002
 2.640000000000000e+000, 5.285471942194148e-001, 5.430268253878734e-002, 1.981090339256695e-002, 6.827081116382966e-001,-1.076950461929890e-001, 4.034897748544206e-002
 2.650000000000000e+000, 5.280962170737362e-001, 5.823173149678240e-002, 2.706519337796683e-002, 6.225009209658196e-001,-1.088392829086445e-001, 4.476516190660792e-002
 2.660000000000000e+000, 5.259097996877679e-001, 6.304473590896653e-002, 3.515462249104352e-002, 5.614073530124770e-001,-1.094305001206199e-001, 4.649839061324111e-002
 2.670000000000000e+000, 5.220177955953428e-001, 6.868583945004736e-002, 4.440454757730614e-002, 5.003208135332838e-001,-1.092934055497017e-001, 4.529533516416194e-002
 2.680000000000000e+000, 5.165869985472577e-001, 7.502382982386835e-002, 5.510480018315288e-002, 4.403949757636614e-001,-1.083081271575757e-001, 4.094933494493579e-002
 2.690000000000000e+000, 5.099409312161708e-001, 8.182443142343265e-002, 6.741791046841526e-002, 3.830162362920925e-001,-1.064695682834252e-001, 3.340388141176205e-002
