Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.600000000000000e+00, -2.516897580813696e-02,  8.823362868199255e-01, -3.252247173571903e-01,  2.558099283051894e-02,  1.285704137675765e-01, -2.319028541063980e-02, -2.289677049387545e-04,  5.377651664300571e-17, -6.294237498417799e-03, -7.336510767387128e-04, -8.809094172040455e-03, -2.016779667330665e-02, -1.295545182440704e-03, -1.941673066935707e-02, -3.561405775711380e-02, -1.864037691003147e-03, -3.042689119045627e-02, -5.124170649437009e-02, -2.404552481639883e-03, -4.128840723937015e-02, -6.610025811666435e-02, -2.942550295925453e-03, -5.122215986891536e-02, -8.088961899025957e-02, -3.222348420447372e-03, -6.198685245429560e-02, -8.858116591745258e-02,  2.192521888719113e-02, -1.080915635631225e-02,  2.879810105246583e-02,  2.192521888719149e-02, -1.080915635631251e-02,  2.879810105246578e-02,  2.192521888719190e-02, -1.080915635631275e-02,  2.879810105246535e-02,  2.192521888719228e-02, -1.080915635631293e-02,  2.879810105246482e-02,  2.192521888719253e-02, -1.080915635631306e-02,  2.879810105246419e-02,  2.192521888719273e-02, -1.080915635631322e-02,  2.879810105246372e-02, -1.041472718241804e-01,  1.434387884052511e-02
  1.610000000000000e+00, -1.154167687137980e-02,  8.820483884297010e-01, -3.244392980533772e-01,  1.795568214345098e-02,  1.307382532880481e-01, -2.613080834323247e-02, -5.693974093498333e-06,  1.331402411416560e-16, -6.216174391359040e-03, -1.824445167022547e-05, -8.874692214192027e-03, -1.991766933521272e-02, -3.221764708044268e-05, -1.956131982824452e-02, -3.517236104577884e-02, -4.635493172337845e-05, -3.065346891251004e-02, -5.060619078323880e-02, -5.979646584014392e-05, -4.159586662458952e-02, -6.528046198930666e-02, -7.317540773029891e-05, -5.160359220878998e-02, -7.988640057202435e-02, -8.013343385575902e-05, -6.244844544908217e-02, -8.748255452245117e-02,  2.138013996345227e-02, -1.069960739446944e-02,  2.917492328916716e-02,  2.138013996345465e-02, -1.069960739446802e-02,  2.917492328917099e-02,  2.138013996345697e-02, -1.069960739446671e-02,  2.917492328917433e-02,  2.138013996345919e-02, -1.069960739446538e-02,  2.917492328917724e-02,  2.138013996346137e-02, -1.069960739446414e-02,  2.917492328917970e-02,  2.138013996346337e-02, -1.069960739446303e-02,  2.917492328918180e-02, -1.030005803040880e-01,  1.555624417442178e-02
  1.620000000000000e+00,  2.233549347328168e-03,  8.820997307539408e-01, -3.235148562521674e-01,  9.784107377370099e-03,  1.318785256075738e-01, -2.903317836323955e-02,  2.271566051983000e-04,  1.702200086980142e-16, -6.138478680010362e-03,  7.278480082346188e-04, -8.910262073195608e-03, -1.966871919482481e-02,  1.285297616962659e-03, -1.963972180224220e-02, -3.473274313302241e-02,  1.849293436187278e-03, -3.077632833578606e-02, -4.997366605918805e-02,  2.385532836982456e-03, -4.176258329208154e-02, -6.446452414520724e-02,  2.919275170327830e-03, -5.181041994485605e-02, -7.888790369455888e-02,  3.196860134213832e-03, -6.269873947010349e-02, -8.638911362514541e-02,  2.074694873390984e-02, -1.057429631353410e-02,  2.954258680462100e-02,  2.074694873391262e-02, -1.057429631353237e-02,  2.954258680462550e-02,  2.074694873391535e-02, -1.057429631353075e-02,  2.954258680462959e-02,  2.074694873391796e-02, -1.057429631352913e-02,  2.954258680463309e-02,  2.074694873392051e-02, -1.057429631352770e-02,  2.954258680463608e-02,  2.074694873392288e-02, -1.057429631352617e-02,  2.954258680463869e-02, -1.016605011016590e-01,  1.675833445795196e-02
  1.630000000000000e+00,  1.613418795441832e-02,  8.825015208829218e-01, -3.224616106298440e-01,  1.341927140066558e-03,  1.320280876650621e-01, -3.170028320402330e-02,  4.628091228707892e-04,  1.017525307700562e-16, -6.065400346187355e-03,  1.482918350459141e-03, -8.913904857451823e-03, -1.943456390943345e-02,  2.618666810150789e-03, -1.964775111370247e-02, -3.431925126808830e-02,  3.767752526469712e-03, -3.078891062836130e-02, -4.937873163960366e-02,  4.860287284667477e-03, -4.177965709750582e-02, -6.369707666175127e-02,  5.947734514833334e-03, -5.183160160938349e-02, -7.794874647640593e-02,  6.513286432402953e-03, -6.272437260851792e-02, -8.536065481420078e-02,  2.005268523906414e-02, -1.044214375891579e-02,  2.990008936262999e-02,  2.005268523906739e-02, -1.044214375891369e-02,  2.990008936263554e-02,  2.005268523907056e-02, -1.044214375891171e-02,  2.990008936264048e-02,  2.005268523907362e-02, -1.044214375890980e-02,  2.990008936264478e-02,  2.005268523907657e-02, -1.044214375890793e-02,  2.990008936264845e-02,  2.005268523907942e-02, -1.044214375890620e-02,  2.990008936265149e-02, -1.002163366642524e-01,  1.794000067800652e-02
  1.640000000000000e+00,  3.013055077165780e-02,  8.832553416639626e-01, -3.212937070801939e-01, -7.090726836318828e-03,  1.312796226729371e-01, -3.395602552719817e-02,  6.943957568926100e-04,  9.545059389214425e-17, -6.000805039353454e-03,  2.224960916915039e-03, -8.884684688643112e-03, -1.922758967075916e-02,  3.929030418436088e-03, -1.958334492882205e-02, -3.395375807070140e-02,  5.653111051875110e-03, -3.068798323678751e-02, -4.885285797269591e-02,  7.292343000560111e-03, -4.164270155976065e-02, -6.301871546932571e-02,  8.923941655724413e-03, -5.166169535921886e-02, -7.711860783615231e-02,  9.772492024452609e-03, -6.251875938004499e-02, -8.445158082491119e-02,  1.932618797042836e-02, -1.031360839017931e-02,  3.024961060231150e-02,  1.932618797043211e-02, -1.031360839017680e-02,  3.024961060231813e-02,  1.932618797043574e-02, -1.031360839017439e-02,  3.024961060232412e-02,  1.932618797043930e-02, -1.031360839017209e-02,  3.024961060232929e-02,  1.932618797044269e-02, -1.031360839016991e-02,  3.024961060233373e-02,  1.932618797044597e-02, -1.031360839016780e-02,  3.024961060233740e-02, -9.877285304594322e-02,  1.910026198554294e-02
  1.650000000000000e+00,  4.418596699863221e-02,  8.843510576520931e-01, -3.200284288253230e-01, -1.525869342829507e-02,  1.297770948573045e-01, -3.567509770649665e-02,  9.156483141615530e-04,  8.478473781429498e-17, -5.947568697845871e-03,  2.933891361559489e-03, -8.822726906821829e-03, -1.905701146944118e-02,  5.180921748477253e-03, -1.944677951823626e-02, -3.365253617659760e-02,  7.454339334658946e-03, -3.047397908958937e-02, -4.841945821823318e-02,  9.615873237245266e-03, -4.135230415027432e-02, -6.245964283889093e-02,  1.176734168036553e-02, -5.130143000802763e-02, -7.643444754158517e-02,  1.288626227700551e-02, -6.208278176360277e-02, -8.370236581655033e-02,  1.859415353832839e-02, -1.019989406617930e-02,  3.059582980861924e-02,  1.859415353833262e-02, -1.019989406617628e-02,  3.059582980862720e-02,  1.859415353833676e-02, -1.019989406617348e-02,  3.059582980863432e-02,  1.859415353834080e-02, -1.019989406617073e-02,  3.059582980864043e-02,  1.859415353834467e-02, -1.019989406616808e-02,  3.059582980864572e-02,  1.859415353834841e-02, -1.019989406616558e-02,  3.059582980865008e-02, -9.744097977542149e-02,  2.024618644618120e-02
  1.660000000000000e+00,  5.825760480172311e-02,  8.857657810237197e-01, -3.186849816900427e-01, -2.295744300349391e-02,  1.277016638654553e-01, -3.680399960641238e-02,  1.121511817859245e-03,  9.931306859899495e-17, -5.907148695042420e-03,  3.593512687586104e-03, -8.729047484644065e-03, -1.892749897515265e-02,  6.345738727916158e-03, -1.924029425719093e-02, -3.342383169655121e-02,  9.130284552334667e-03, -3.015040738860394e-02, -4.809039692675059e-02,  1.177779209312663e-02, -4.091322675397405e-02, -6.203516368330943e-02,  1.441297117596190e-02, -5.075671312278365e-02, -7.591499484740639e-02,  1.578345660466681e-02, -6.142358884238712e-02, -8.313351995147385e-02,  1.787784757197563e-02, -1.011200063869536e-02,  3.094479102926151e-02,  1.787784757198030e-02, -1.011200063869194e-02,  3.094479102927070e-02,  1.787784757198485e-02, -1.011200063868861e-02,  3.094479102927895e-02,  1.787784757198933e-02, -1.011200063868535e-02,  3.094479102928616e-02,  1.787784757199367e-02, -1.011200063868231e-02,  3.094479102929222e-02,  1.787784757199787e-02, -1.011200063867942e-02,  3.094479102929731e-02, -9.632736362935615e-02,  2.139029808036254e-02
  1.670000000000000e+00,  7.229840355481471e-02,  8.874644271764778e-01, -3.172835067714250e-01, -3.004950583068904e-02,  1.252516596466873e-01, -3.736564428390687e-02,  1.308584220067078e-03,  1.329233872857591e-16, -5.879472630731645e-03,  4.192924160678458e-03, -8.605256455567447e-03, -1.883882020542558e-02,  7.404231887520866e-03, -1.896743793122585e-02, -3.326723497564812e-02,  1.065325046036649e-02, -2.972282924055513e-02, -4.786508468445497e-02,  1.374237224688885e-02, -4.033301563109628e-02, -6.174451767653963e-02,  1.681710914215631e-02, -5.003690655040945e-02, -7.555931931120165e-02,  1.841619671062861e-02, -6.055250992046022e-02, -8.274402431433982e-02,  1.719066070336378e-02, -1.005968727800163e-02,  3.130266946313199e-02,  1.719066070336876e-02, -1.005968727799775e-02,  3.130266946314248e-02,  1.719066070337361e-02, -1.005968727799398e-02,  3.130266946315162e-02,  1.719066070337838e-02, -1.005968727799036e-02,  3.130266946315976e-02,  1.719066070338309e-02, -1.005968727798687e-02,  3.130266946316659e-02,  1.719066070338764e-02, -1.005968727798363e-02,  3.130266946317223e-02, -9.552364285098511e-02,  2.254743525636584e-02
  1.680000000000000e+00,  8.626018551883784e-02,  8.894022391419029e-01, -3.158445217269473e-01, -3.647045048561165e-02,  1.226186690272577e-01, -3.744705813571387e-02,  1.475351245168028e-03,  1.346581149135985e-16, -5.863150168883678e-03,  4.727273786808975e-03, -8.453193901843150e-03, -1.878652028953659e-02,  8.347833152239196e-03, -1.863226639225770e-02, -3.317487921386966e-02,  1.201090926420661e-02, -2.919760034800952e-02, -4.773220269525867e-02,  1.549371121484510e-02, -3.962029528534802e-02, -6.157310391252034e-02,  1.896029505212100e-02, -4.915270980045738e-02, -7.534955320050193e-02,  2.076317162597736e-02, -5.948249308360461e-02, -8.251431218454844e-02,  1.653658456307344e-02, -1.005046696349357e-02,  3.167461749813442e-02,  1.653658456307848e-02, -1.005046696348928e-02,  3.167461749814558e-02,  1.653658456308343e-02, -1.005046696348523e-02,  3.167461749815540e-02,  1.653658456308835e-02, -1.005046696348121e-02,  3.167461749816418e-02,  1.653658456309320e-02, -1.005046696347746e-02,  3.167461749817144e-02,  1.653658456309788e-02, -1.005046696347383e-02,  3.167461749817753e-02, -9.509657707673823e-02,  2.373160582791161e-02
  1.690000000000000e+00,  1.000979291005470e-01,  8.915291622725459e-01, -3.143886637113110e-01, -4.222287757125818e-02,  1.199637465729979e-01, -3.717249657164021e-02,  1.622138100034352e-03,  1.038667279209644e-16, -5.855954063021186e-03,  5.197603583549840e-03, -8.274470537876248e-03, -1.876346275478206e-02,  9.178382607758339e-03, -1.823832992674902e-02, -3.313416220408496e-02,  1.320590848948531e-02, -2.858028416970455e-02, -4.767361883270246e-02,  1.703522422532234e-02, -3.878261516857992e-02, -6.149753249420971e-02,  2.084670826197388e-02, -4.811348867934801e-02, -7.525707333116584e-02,  2.282895810904598e-02, -5.822487242749653e-02, -8.241303868676177e-02,  1.591022774923518e-02, -1.008891346611660e-02,  3.206378046365969e-02,  1.591022774923995e-02, -1.008891346611221e-02,  3.206378046367121e-02,  1.591022774924476e-02, -1.008891346610796e-02,  3.206378046368118e-02,  1.591022774924954e-02, -1.008891346610389e-02,  3.206378046368991e-02,  1.591022774925421e-02, -1.008891346609992e-02,  3.206378046369737e-02,  1.591022774925887e-02, -1.008891346609620e-02,  3.206378046370345e-02, -9.508183620786213e-02,  2.495303778744735e-02
