Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 1.540000000000000e+000,-1.153061126806059e-001, 8.906698499956517e-001,-3.262669535302397e-001, 4.829747457020908e-002, 8.998453846727728e-002,-1.319178682901085e-003,-1.307339303932237e-001,-5.716338405131474e-002,-1.870786081356432e-001,-3.017223735767749e-002,-1.165999434971791e-001, 1.695284618019633e-001
 1.550000000000000e+000,-1.023539873941265e-001, 8.893314612439244e-001,-3.261097881265269e-001, 4.616976439501577e-002, 9.631458408865434e-002,-1.926875947331816e-003,-1.290828376330455e-001,-5.148908782155794e-002,-1.909602735746425e-001,-3.356878770019489e-002,-1.174673626440333e-001, 1.702878343060223e-001
 1.560000000000000e+000,-8.914557694605067e-002, 8.880070438162314e-001,-3.259037219577913e-001, 4.325942066516230e-002, 1.025863042515853e-001,-2.958276053873353e-003,-1.269222724239588e-001,-4.479643730310719e-002,-1.948810644908544e-001,-3.703758859681484e-002,-1.178864373336709e-001, 1.708102958441054e-001
 1.570000000000000e+000,-7.566771169224329e-002, 8.867559180856036e-001,-3.256223476375159e-001, 3.943315097778908e-002, 1.085551046303852e-001,-4.489763594112704e-003,-1.241672104183928e-001,-3.694811804812765e-002,-1.987013461951823e-001,-4.059289335248274e-002,-1.177316196993286e-001, 1.709671914775143e-001
 1.580000000000000e+000,-6.198014046042137e-002, 8.856477070617091e-001,-3.252425252072602e-001, 3.462889490194473e-002, 1.139515510692313e-001,-6.535167083402507e-003,-1.208117033987542e-001,-2.791839738976254e-002,-2.022546056513275e-001,-4.421824601301071e-002,-1.169141907811734e-001, 1.706571884144408e-001
 1.590000000000000e+000,-4.814342522937706e-002, 8.847359091266109e-001,-3.247520214557624e-001, 2.887201103086200e-002, 1.185974294954602e-001,-9.033691856292126e-003,-1.169376936509165e-001,-1.778304181946975e-002,-2.054135169773382e-001,-4.787784860122662e-002,-1.154186165414015e-001, 1.698521927485268e-001
 1.600000000000000e+000,-3.419402024436710e-002, 8.840741024182703e-001,-3.241406994765345e-001, 2.223115701767529e-002, 1.223322126266901e-001,-1.188206905312810e-002,-1.126753199631456e-001,-6.663782246180666e-003,-2.080469170605625e-001,-5.153280197869689e-002,-1.132623892597092e-001, 1.685546179906853e-001
 1.610000000000000e+000,-2.015956969720166e-002, 8.837081848357137e-001,-3.234036744800831e-001, 1.484486469415864e-002, 1.250413066017402e-001,-1.493324505750313e-002,-1.082030853037487e-001, 5.235892646204112e-003,-2.100367632896619e-001,-5.514360763680273e-002,-1.105137171594265e-001, 1.668131134897671e-001
 1.620000000000000e+000,-6.062571613546855e-003, 8.836735569220017e-001,-3.225410626706580e-001, 6.917608597853105e-003, 1.266659790514242e-001,-1.800498258475770e-002,-1.037359607825009e-001, 1.763284276449546e-002,-2.112850600777785e-001,-5.867992732825737e-002,-1.072885182189536e-001, 1.647230643493697e-001
 1.630000000000000e+000, 8.076715399029502e-003, 8.839928522332392e-001,-3.215578440909616e-001,-1.298669433150731e-003, 1.272149777230354e-001,-2.089520043234382e-002,-9.950736341516643e-002, 3.018647401011885e-002,-2.117271377194542e-001,-6.212946370864599e-002,-1.037348848538699e-001, 1.624185451341588e-001
 1.640000000000000e+000, 2.223724429200724e-002, 8.846742070137866e-001,-3.204637235295175e-001,-9.532898941628147e-003, 1.267699234391044e-001,-2.341198577327405e-002,-9.573649526752412e-002, 4.253563796560766e-002,-2.113259802324258e-001,-6.550367934577561e-002,-1.000122407782641e-001, 1.600747466170364e-001
 1.650000000000000e+000, 3.639430744171014e-002, 8.857103175265829e-001,-3.192725718387042e-001,-1.752992177912368e-002, 1.254785688972371e-001,-2.540972155663339e-002,-9.259115310137914e-002, 5.434258581438353e-002,-2.100921448578823e-001,-6.883433244567147e-002,-9.626279959151118e-002, 1.578718226623679e-001
 1.660000000000000e+000, 5.051793183478007e-002, 8.870783200437945e-001,-3.180010417018842e-001,-2.508156899773837e-002, 1.235369161240028e-001,-2.681917736491408e-002,-9.015632943187012e-002, 6.533278789016878e-002,-2.080635281749506e-001,-7.216724720700291e-002,-9.259522350805043e-002, 1.559893620426550e-001
 1.670000000000000e+000, 6.457306234655119e-002, 8.887411625359619e-001,-3.166674253185149e-001,-3.204869506571312e-002, 1.211648371967757e-001,-2.765833316751650e-002,-8.842317271551485e-002, 7.532485434775210e-002,-2.052972969962073e-001,-7.555272206386421e-002,-8.907080805295127e-002, 1.545844276657270e-001
 1.680000000000000e+000, 7.852168976037538e-002, 8.906508584285651e-001,-3.152909742812482e-001,-3.837044751445388e-002, 1.185773917397943e-001,-2.802185976995009e-002,-8.729968926997277e-002, 8.424689353383162e-002,-2.018567187987260e-001,-7.903620390688235e-002,-8.569567111588688e-002, 1.537742411773408e-001
 1.690000000000000e+000, 9.232687184280242e-002, 8.927536233197539e-001,-3.138916368301024e-001,-4.405837842899545e-002, 1.159566078470986e-001,-2.805009534136520e-002,-8.664188440948982e-002, 9.213404282680084e-002,-1.977958830291206e-001,-8.264995923801519e-002,-8.242162264265268e-002, 1.536252187261197e-001
 1.700000000000000e+000, 1.059578859946440e-001, 8.949960521469906e-001,-3.124898174364650e-001,-4.917466578186176e-002, 1.134307709866778e-001,-2.788453690653993e-002,-8.629824306618182e-002, 9.910272045342805e-002,-1.931456415186726e-001,-8.640738449857392e-002,-7.915959753339222e-002, 1.541518043089420e-001
 1.710000000000000e+000, 1.193947900028400e-001, 8.973309073594081e-001,-3.111056328847273e-001,-5.380077158417885e-002, 1.110656315747030e-001,-2.762434704735070e-002,-8.615384285653298e-002, 1.053072899641436e-001,-1.879071303680851e-001,-9.030139127072538e-002,-7.580374199905311e-002, 1.553241198070786e-001
 1.720000000000000e+000, 1.326306256134693e-001, 8.997209115483259e-001,-3.097576120319838e-001,-5.800636625704717e-002, 1.088676364070045e-001,-2.730136920921863e-002,-8.615621032377094e-002, 1.108926923937344e-001,-1.820555590211325e-001,-9.430540938454185e-002,-7.225846599337479e-002, 1.570816453559709e-001
