Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.600000000000000e+00,  7.509059088537952e-02, -6.024136730444734e-01,  3.841635875096454e-01,  2.997963600740625e-01,  7.187274751894076e-01,  2.584564062842933e-01, -4.299974632033801e-01,  1.697261221110996e-01,  8.109596253729696e-02,  9.476777270698153e-01,  6.840970827020095e-01,  5.446942183121805e-02,  3.775045365167884e-02
  1.610000000000000e+00,  7.251224031980343e-02, -6.020563776304337e-01,  3.776875914621082e-01,  2.948229004909024e-01,  7.177672017833501e-01,  2.592176800781900e-01, -4.311849188938158e-01,  1.661704041219404e-01,  7.569418603795978e-02,  9.482293484600045e-01,  6.842748408879865e-01,  5.167913219887257e-02,  3.844724119698562e-02
  1.620000000000000e+00,  6.979002934999161e-02, -6.014320331021322e-01,  3.706861322076663e-01,  2.894945305896035e-01,  7.167731201768005e-01,  2.600158389187312e-01, -4.326537502063148e-01,  1.629948074432216e-01,  6.880183552182496e-02,  9.474013341854240e-01,  6.834671264430671e-01,  4.969038406745102e-02,  3.910587240742913e-02
  1.630000000000000e+00,  6.702922147765313e-02, -6.005253260925759e-01,  3.634059144627584e-01,  2.840077156347033e-01,  7.157882742377409e-01,  2.608185575601626e-01, -4.345424052079261e-01,  1.603309379199457e-01,  6.040273831718571e-02,  9.450199156267778e-01,  6.816277012297819e-01,  4.872749176764179e-02,  3.970718017755814e-02
  1.640000000000000e+00,  6.431989018137814e-02, -5.993298967201427e-01,  3.560734380191013e-01,  2.785352765756731e-01,  7.148483263937212e-01,  2.615986103346812e-01, -4.369544833412687e-01,  1.582742350456942e-01,  5.056494882968606e-02,  9.409087251773331e-01,  6.787105682070353e-01,  4.894837547034202e-02,  4.022360645489975e-02
  1.650000000000000e+00,  6.172705655124159e-02, -5.978488294701082e-01,  3.488668426729281e-01,  2.732068205706838e-01,  7.139779496108681e-01,  2.623366941440259e-01, -4.399347845104479e-01,  1.568741612729564e-01,  3.944795396787493e-02,  9.349042417236775e-01,  6.746835253161005e-01,  5.042058687408904e-02,  4.062011629929607e-02
  1.660000000000000e+00,  5.928696805428627e-02, -5.960970834121313e-01,  3.419007771826138e-01,  2.681008050157624e-01,  7.131897642186827e-01,  2.630223372790133e-01, -4.434604992823671e-01,  1.561298734380320e-01,  2.729400786701222e-02,  9.268691944335689e-01,  6.695432045449250e-01,  5.312345944509089e-02,  4.085873025276676e-02
  1.670000000000000e+00,  5.700877234248043e-02, -5.941047769134213e-01,  3.352246938138118e-01,  2.632470246884163e-01,  7.124853394190277e-01,  2.636532195036691e-01, -4.474475411040033e-01,  1.559934205815401e-01,  1.440496189599745e-02,  9.167054924104996e-01,  6.633313043918769e-01,  5.696642202730220e-02,  4.090486456462461e-02
  1.680000000000000e+00,  5.487880048976491e-02, -5.919198870703538e-01,  3.288288608775162e-01,  2.586342066079733e-01,  7.118571118302059e-01,  2.642337768779103e-01, -4.517644272955375e-01,  1.563795485689857e-01,  1.111256457631249e-03,  9.043661004791358e-01,  6.561593152745463e-01,  6.181223121763691e-02,  4.073285048453102e-02
  1.690000000000000e+00,  5.286636883417468e-02, -5.896062122363974e-01,  3.226552898735684e-01,  2.542199052905895e-01,  7.112909146847471e-01,  2.647734028817765e-01, -4.562489127243504e-01,  1.571822444415720e-01, -1.226143431167721e-02,  8.898620369024707e-01,  6.482484640121099e-01,  6.749673042557135e-02,  4.032983646900856e-02
