Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.600000000000000e+00,  1.099046009457724e-02, -3.420553203768536e-01,  1.697346998040768e-01,  1.044985392192892e-01,  8.307714367479381e-01,  1.354941578487106e-01, -2.248957719242557e-01,  5.597076659157412e-01, -3.862883255114896e-01,  5.358246877012436e-01,  7.269896107561753e-01, -2.658459752431317e-01,  1.730329067421193e-02
  1.610000000000000e+00,  1.142212882189100e-02, -3.407253577201504e-01,  1.717689049704415e-01,  1.052259450671268e-01,  8.307842028348688e-01,  1.354320549676068e-01, -2.233536421974514e-01,  5.624508899753720e-01, -3.831292710998194e-01,  5.288772845279265e-01,  7.296422367255566e-01, -2.705315077122454e-01,  1.688190264498777e-02
  1.620000000000000e+00,  1.198396849361077e-02, -3.391757528418047e-01,  1.744289148974337e-01,  1.061931870813910e-01,  8.307851007252294e-01,  1.353650192389955e-01, -2.222744306745406e-01,  5.652156443369919e-01, -3.795948890669737e-01,  5.217778880868438e-01,  7.330042198283164e-01, -2.752202219939475e-01,  1.645858045668939e-02
  1.630000000000000e+00,  1.267492186661421e-02, -3.374600453683730e-01,  1.776988051012240e-01,  1.074001802132679e-01,  8.307713411723028e-01,  1.352957669934437e-01, -2.217791950568598e-01,  5.679502079176141e-01, -3.756759638113868e-01,  5.147200272349554e-01,  7.369622653791762e-01, -2.798777390037324e-01,  1.603908585820332e-02
  1.640000000000000e+00,  1.348708542048084e-02, -3.356480597522561e-01,  1.815284152854432e-01,  1.088346143438150e-01,  8.307406444952546e-01,  1.352273579024533e-01, -2.219581798521346e-01,  5.705903258323564e-01, -3.713856457136027e-01,  5.079562622992222e-01,  7.413875697675526e-01, -2.844359011383972e-01,  1.563029112773283e-02
  1.650000000000000e+00,  1.440602153202142e-02, -3.338125271299766e-01,  1.858357806798499e-01,  1.104715958998863e-01,  8.306921335169623e-01,  1.351623536898413e-01, -2.228608634942224e-01,  5.730641929946123e-01, -3.667651326181219e-01,  5.017935782370461e-01,  7.461310655361446e-01, -2.887873008924120e-01,  1.524160945603188e-02
  1.660000000000000e+00,  1.541260614179832e-02, -3.320185337662434e-01,  1.905180433537682e-01,  1.122768481373721e-01,  8.306265044165189e-01,  1.351024320067201e-01, -2.244943037133447e-01,  5.752955121045016e-01, -3.618830528212272e-01,  4.965721815991503e-01,  7.510372574671285e-01, -2.927931553962775e-01,  1.488478190265017e-02
  1.670000000000000e+00,  1.648673762920775e-02, -3.303179040524648e-01,  1.954715150859218e-01,  1.142141358016586e-01,  8.305453582115681e-01,  1.350485240767771e-01, -2.268313635050423e-01,  5.772042869354902e-01, -3.568276546642180e-01,  4.926327994955634e-01,  7.559637246057699e-01, -2.962943180849162e-01,  1.457314126641354e-02
  1.680000000000000e+00,  1.761184871366787e-02, -3.287471866978001e-01,  2.006139467234390e-01,  1.162542132029425e-01,  8.304502650936492e-01,  1.350011078152485e-01, -2.298232242239553e-01,  5.787080052191796e-01, -3.516954040983667e-01,  4.902820500949145e-01,  7.607973147807294e-01, -2.991219592203966e-01,  1.432185079951189e-02
  1.690000000000000e+00,  1.877824202872169e-02, -3.273285707996647e-01,  2.058990122908542e-01,  1.183811666703228e-01,  8.303421227686255e-01,  1.349603958893648e-01, -2.334083344534164e-01,  5.797253890819092e-01, -3.465798598053916e-01,  4.897638382176024e-01,  7.654700711312751e-01, -3.011082716248885e-01,  1.414792690161313e-02
  1.700000000000000e+00,  1.998347330848283e-02, -3.260755336944831e-01,  2.113163438292961e-01,  1.205933064072985e-01,  8.302208641771029e-01,  1.349265582043609e-01, -2.375141121424016e-01,  5.801800018930776e-01, -3.415608608445260e-01,  4.912397542070714e-01,  7.699710243225426e-01, -3.021010616594115e-01,  1.406822132345398e-02
  1.710000000000000e+00,  2.122972496671766e-02, -3.250004987958798e-01,  2.168782310050045e-01,  1.228985607912431e-01,  8.300855658409273e-01,  1.348999316317017e-01, -2.420536182301852e-01,  5.800027340254765e-01, -3.366929308701576e-01,  4.947780640820791e-01,  7.743440214536369e-01, -3.019845587788352e-01,  1.409653162211263e-02
  1.720000000000000e+00,  2.251958740403323e-02, -3.241200511489382e-01,  2.225999299034244e-01,  1.253067171587819e-01,  8.299349344514126e-01,  1.348810788767142e-01, -2.469217898992271e-01,  5.791336616966646e-01, -3.319959182540537e-01,  5.003520264823935e-01,  7.786701278649891e-01, -3.007047727175527e-01,  1.424285036794040e-02
  1.730000000000000e+00,  2.385174586290244e-02, -3.234570548238778e-01,  2.284807757988405e-01,  1.278213959102650e-01,  8.297678695285965e-01,  1.348707914808320e-01, -2.519942236035943e-01,  5.775229389622096e-01, -3.274524563405044e-01,  5.078494922855842e-01,  7.830495456170159e-01, -2.982964106446817e-01,  1.451426250956837e-02
  1.740000000000000e+00,  2.521761411424948e-02, -3.230406120767600e-01,  2.344907675307968e-01,  1.304338420367439e-01,  8.295838339369723e-01,  1.348701535599769e-01, -2.571279445141157e-01,  5.751335761799382e-01, -3.230131557667876e-01,  5.170939768915798e-01,  7.876033726301006e-01, -2.948929492072496e-01,  1.491534743868189e-02
  1.750000000000000e+00,  2.660032648586454e-02, -3.229011002655404e-01,  2.405671498308261e-01,  1.331204412536802e-01,  8.293831676546309e-01,  1.348804075641592e-01, -2.621658346450159e-01,  5.719510597302786e-01, -3.186067517898630e-01,  5.278728559323626e-01,  7.924881945393533e-01, -2.906941610392695e-01,  1.544845067329155e-02
  1.760000000000000e+00,  2.797704825896914e-02, -3.230606543833257e-01,  2.466237266743533e-01,  1.358454782839245e-01,  8.291673320575391e-01,  1.349025334997113e-01, -2.669510850135612e-01,  5.679914766177001e-01, -3.141511053802781e-01,  5.399688778554446e-01,  7.978548712348175e-01, -2.858984930933659e-01,  1.611139837338706e-02
  1.770000000000000e+00,  2.932499144430855e-02, -3.235174106252220e-01,  2.525722696624534e-01,  1.385691156790837e-01,  8.289394108865031e-01,  1.349362342872437e-01, -2.713442225959544e-01,  5.633212418558633e-01, -3.095609692611213e-01,  5.531677478929983e-01,  8.038893570491152e-01, -2.806570632048351e-01,  1.690292725663709e-02
  1.780000000000000e+00,  3.062441898203327e-02, -3.242566507991941e-01,  2.583373678662915e-01,  1.412549353021359e-01,  8.287026427942878e-01,  1.349808360231387e-01, -2.752468661673469e-01,  5.580177923084109e-01, -3.047590873818248e-01,  5.672955230667176e-01,  8.105641211722171e-01, -2.750426278862808e-01,  1.781027372293966e-02
  1.790000000000000e+00,  3.186217975955686e-02, -3.252512989378741e-01,  2.638693548718360e-01,  1.438762226943897e-01,  8.284601301469418e-01,  1.350351455651486e-01, -2.786023002007283e-01,  5.521756475614268e-01, -2.996840192840373e-01,  5.822035255334508e-01,  8.177664594762168e-01, -2.690873429133711e-01,  1.881895080900809e-02
  1.800000000000000e+00,  3.303218725974977e-02, -3.264717073063387e-01,  2.691472238222163e-01,  1.464186219293923e-01,  8.282141287163602e-01,  1.350979510409684e-01, -2.813952298479042e-01,  5.458906353940466e-01, -2.942952050264596e-01,  5.977685085396088e-01,  8.253085239768040e-01, -2.628167511474637e-01,  1.990790010761453e-02
  1.810000000000000e+00,  3.413562532009784e-02, -3.278891522960579e-01,  2.741789463081291e-01,  1.488811496484200e-01,  8.279659800677543e-01,  1.351680172236019e-01, -2.836508987924432e-01,  5.392537542316419e-01, -2.885719297562589e-01,  6.138925717819601e-01,  8.329274664877050e-01, -2.562526685190880e-01,  2.104119638242380e-02
  1.820000000000000e+00,  3.518110864075543e-02, -3.294694965077639e-01,  2.789986870406109e-01,  1.512749437188770e-01,  8.277169471358162e-01,  1.352433758101517e-01, -2.854309623221382e-01,  5.323587146556334e-01, -2.825113265389901e-01,  6.305015052881672e-01,  8.402974046063778e-01, -2.493933961887917e-01,  2.216795814663379e-02
