Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.600000000000000e+00, -3.165391541721796e-02,  8.808337234951666e-01, -3.244357218902044e-01,  3.243592701304039e-02,  1.212133813627328e-01,  1.034523565494170e-01, -1.607207577850352e-04, -1.678911067273674e-14, -5.755535695858306e-03, -5.149763677703481e-04, -8.727673215949682e-03, -1.844170540146719e-02, -9.093902722431335e-04, -1.923726513697968e-02, -3.256597495314875e-02, -1.308435835682841e-03, -3.014566062085626e-02, -4.685610782226719e-02, -1.687842821523379e-03, -4.090678552805733e-02, -6.044296791081086e-02, -2.065483049687461e-03, -5.074872217497250e-02, -7.396655904238310e-02, -2.261883525885653e-03, -6.141391854110349e-02, -8.099981332442556e-02,  2.308508280062702e-02, -6.597572839404673e-03,  3.902930156662837e-03,  2.308508280132279e-02, -6.597572838270502e-03,  3.902930156837511e-03,  2.308508280198633e-02, -6.597572837192480e-03,  3.902930156973575e-03,  2.308508280261722e-02, -6.597572836171476e-03,  3.902930157072278e-03,  2.308508280321435e-02, -6.597572835207848e-03,  3.902930157136093e-03,  2.308508280377767e-02, -6.597572834302382e-03,  3.902930157164489e-03, -5.621771713639262e-02,  9.511725587426573e-03
  1.610000000000000e+00, -1.803390681300290e-02,  8.805642060393968e-01, -3.236022065044473e-01,  2.495309218362205e-02,  1.238164252597429e-01,  1.007799931194673e-01,  6.486966506166679e-05,  7.806266120426305e-17, -5.675522641669057e-03,  2.078533286167222e-04, -8.805182912506863e-03, -1.818533010245617e-02,  3.670455712225690e-04, -1.940810959306277e-02, -3.211324504566836e-02,  5.281072311047701e-04, -3.041338157574240e-02, -4.620471748640104e-02,  6.812424229663220e-04, -4.127007508474951e-02, -5.960269399680035e-02,  8.336645211955550e-04, -5.119941710363535e-02, -7.293828111354589e-02,  9.129351354790360e-04, -6.195933013896913e-02, -7.987375959605950e-02,  2.256209947988720e-02, -6.465625331927983e-03,  4.277933307021764e-03,  2.256209947989587e-02, -6.465625331922537e-03,  4.277933307023680e-03,  2.256209947990388e-02, -6.465625331917357e-03,  4.277933307025457e-03,  2.256209947991139e-02, -6.465625331912820e-03,  4.277933307026817e-03,  2.256209947991829e-02, -6.465625331908435e-03,  4.277933307028259e-03,  2.256209947992467e-02, -6.465625331904459e-03,  4.277933307029425e-03, -5.520795343911802e-02,  1.068478948132492e-02
  1.620000000000000e+00, -4.266679558845812e-03,  8.806351703186592e-01, -3.226348705953871e-01,  1.685362488188716e-02,  1.254711721128845e-01,  9.819892179136781e-02,  3.001731697115500e-04,  4.325972328734823e-17, -5.595874673450479e-03,  9.618053743547247e-04, -8.854378611884057e-03, -1.793012460236617e-02,  1.698439978750630e-03, -1.951654521950111e-02, -3.166258087211661e-02,  2.443724988678662e-03, -3.058330508464768e-02, -4.555629934022452e-02,  3.152331637030169e-03, -4.150065634891192e-02, -5.876625411682435e-02,  3.857638567766873e-03, -5.148547488995884e-02, -7.191469504705156e-02,  4.224449642444874e-03, -6.230550495548683e-02, -7.875284385532738e-02,  2.195809301269165e-02, -6.314547562356224e-03,  4.644370249447749e-03,  2.195809301270112e-02, -6.314547562349766e-03,  4.644370249450246e-03,  2.195809301271005e-02, -6.314547562343832e-03,  4.644370249452161e-03,  2.195809301271831e-02, -6.314547562338337e-03,  4.644370249453938e-03,  2.195809301272595e-02, -6.314547562333131e-03,  4.644370249455658e-03,  2.195809301273299e-02, -6.314547562328576e-03,  4.644370249456992e-03, -5.402783486626042e-02,  1.184335671829235e-02
  1.630000000000000e+00,  9.625817619716745e-03,  8.810563203597631e-01, -3.215462320110065e-01,  8.414616112709604e-03,  1.262050643104933e-01,  9.589008729565310e-02,  5.380684884596391e-04, -4.613286158846602e-17, -5.521057233101429e-03,  1.724062028833753e-03, -8.873543198399165e-03, -1.769039692686133e-02,  3.044499390103567e-03, -1.955878720346504e-02, -3.123924879376895e-02,  4.380442836190466e-03, -3.064950017545003e-02, -4.494720676626671e-02,  5.650639331636266e-03, -4.159048116371766e-02, -5.798054304063073e-02,  6.914920994414826e-03, -5.159691103709620e-02, -7.095318791529427e-02,  7.572439721662760e-03, -6.244036018276311e-02, -7.769990994571746e-02,  2.130094235853516e-02, -6.153692410972930e-03,  5.001151236328625e-03,  2.130094235854564e-02, -6.153692410965541e-03,  5.001151236331262e-03,  2.130094235855546e-02, -6.153692410958557e-03,  5.001151236333732e-03,  2.130094235856460e-02, -6.153692410952126e-03,  5.001151236335924e-03,  2.130094235857314e-02, -6.153692410946171e-03,  5.001151236337840e-03,  2.130094235858089e-02, -6.153692410940772e-03,  5.001151236339645e-03, -5.275500790993576e-02,  1.297877823212920e-02
  1.640000000000000e+00,  2.361431759510824e-02,  8.818274515013067e-01, -3.203525645069962e-01, -7.724631660299663e-05,  1.260956617734358e-01,  9.400908068234975e-02,  7.713970198944951e-04,  8.258624032026614e-17, -5.455058679243003e-03,  2.471685927874744e-03, -8.861649215960365e-03, -1.747892644846390e-02,  4.364719003200014e-03, -1.953257085827763e-02, -3.086581574336888e-02,  6.279982236720306e-03, -3.060841798215961e-02, -4.440990919421186e-02,  8.100987949349199e-03, -4.153473382113712e-02, -5.728744535462108e-02,  9.913513915641995e-03, -5.152775120544285e-02, -7.010501561851000e-02,  1.085615968955742e-02, -6.235666593223969e-02, -7.677108753454334e-02,  2.061921988639105e-02, -5.994427681527648e-03,  5.350152293940195e-03,  2.061921988640256e-02, -5.994427681519045e-03,  5.350152293943552e-03,  2.061921988641339e-02, -5.994427681511054e-03,  5.350152293946607e-03,  2.061921988642341e-02, -5.994427681503682e-03,  5.350152293949134e-03,  2.061921988643292e-02, -5.994427681496762e-03,  5.350152293951436e-03,  2.061921988644158e-02, -5.994427681490446e-03,  5.350152293953435e-03, -5.148553556756633e-02,  1.409088698387274e-02
  1.650000000000000e+00,  3.766221663616802e-02,  8.829365658347073e-01, -3.190728099433397e-01, -8.354793945366066e-03,  1.252670558531389e-01,  9.265834387913764e-02,  9.937142804543125e-04,  5.003599312949592e-17, -5.400749447510798e-03,  3.184027861121280e-03, -8.818567592718851e-03, -1.730491052623006e-02,  5.622634637932235e-03, -1.943761168779542e-02, -3.055852322126182e-02,  8.089878322957079e-03, -3.045961268651009e-02, -4.396777498605355e-02,  1.043569939143707e-02, -4.133280935873693e-02, -5.671710554197576e-02,  1.277059684365612e-02, -5.127724488209355e-02, -6.940706720718948e-02,  1.398491391098973e-02, -6.205351396551256e-02, -7.600677333949153e-02,  1.993796784224137e-02, -5.848987916060615e-03,  5.695615525931966e-03,  1.993796784225397e-02, -5.848987916050926e-03,  5.695615525935934e-03,  1.993796784226577e-02, -5.848987916041771e-03,  5.695615525939514e-03,  1.993796784227689e-02, -5.848987916033384e-03,  5.695615525942652e-03,  1.993796784228719e-02, -5.848987916025518e-03,  5.695615525945399e-03,  1.993796784229684e-02, -5.848987916018253e-03,  5.695615525947814e-03, -5.032385333386132e-02,  1.518702252550949e-02
  1.660000000000000e+00,  5.172631155239512e-02,  8.843590496775913e-01, -3.177270319559624e-01, -1.619754847004298e-02,  1.238788062044355e-01,  9.186840921856197e-02,  1.199941438010769e-03,  2.461142024738213e-17, -5.359446984548075e-03,  3.844814395337383e-03, -8.744921316853751e-03, -1.717257048101628e-02,  6.789509243815292e-03, -1.927528286313451e-02, -3.032482560470231e-02,  9.768784065126622e-03, -3.020523610946754e-02, -4.363152954168825e-02,  1.260143723475157e-02, -4.098762773504294e-02, -5.628335904554135e-02,  1.542089979208079e-02, -5.084901455075298e-02, -6.887627368481690e-02,  1.688722607583731e-02, -6.153528805639152e-02, -7.542550828148142e-02,  1.927576084907575e-02, -5.729365981994244e-03,  6.043229978847823e-03,  1.927576084908929e-02, -5.729365981983372e-03,  6.043229978852653e-03,  1.927576084910211e-02, -5.729365981973267e-03,  6.043229978856760e-03,  1.927576084911406e-02, -5.729365981963829e-03,  6.043229978860507e-03,  1.927576084912523e-02, -5.729365981955059e-03,  6.043229978863673e-03,  1.927576084913560e-02, -5.729365981946974e-03,  6.043229978866475e-03, -4.937289953691747e-02,  1.627985147720749e-02
  1.670000000000000e+00,  6.575883139400313e-02,  8.860584356488451e-01, -3.163352515698952e-01, -2.345067185621834e-02,  1.221094951615861e-01,  9.159608135091209e-02,  1.386805571023165e-03,  3.079138062542861e-17, -5.330841920919762e-03,  4.443558538861902e-03, -8.641849368520643e-03, -1.708091504106556e-02,  7.846823974553401e-03, -1.904809488883630e-02, -3.016297241939801e-02,  1.129005444308066e-02, -2.984922232468237e-02, -4.339865426886430e-02,  1.456383020577728e-02, -4.050452737368752e-02, -5.598295695716690e-02,  1.782236121232201e-02, -5.024968302898728e-02, -6.850865922815218e-02,  1.951703513125811e-02, -6.081000285354336e-02, -7.502293848838172e-02,  1.864284574060239e-02, -5.646124131872082e-03,  6.399081229531361e-03,  1.864284574061666e-02, -5.646124131860316e-03,  6.399081229536802e-03,  1.864284574063022e-02, -5.646124131849461e-03,  6.399081229541573e-03,  1.864284574064271e-02, -5.646124131839008e-03,  6.399081229545905e-03,  1.864284574065458e-02, -5.646124131829599e-03,  6.399081229549428e-03,  1.864284574066553e-02, -5.646124131820709e-03,  6.399081229552731e-03, -4.872354812775346e-02,  1.738460848693373e-02
  1.680000000000000e+00,  7.971079957991845e-02,  8.879891172236622e-01, -3.149168467159159e-01, -3.003437807030543e-02,  1.201355903132380e-01,  9.173958516168461e-02,  1.553049797558378e-03,  1.149255770189453e-16, -5.313279202417397e-03,  4.976233030366490e-03, -8.510707810121606e-03, -1.702464113404118e-02,  8.787467140165041e-03, -1.875903675535909e-02, -3.006359903679991e-02,  1.264345711729775e-02, -2.939625521478140e-02, -4.325567528738520e-02,  1.630967889470208e-02, -3.988986416729674e-02, -5.579851837719606e-02,  1.995882844082027e-02, -4.948713540052738e-02, -6.828295411161694e-02,  2.185665250622711e-02, -5.988720054579914e-02, -7.477577176134442e-02,  1.804019866880546e-02, -5.607282188401992e-03,  6.768558835539293e-03,  1.804019866881995e-02, -5.607282188389765e-03,  6.768558835545316e-03,  1.804019866883365e-02, -5.607282188378314e-03,  6.768558835550591e-03,  1.804019866884648e-02, -5.607282188367551e-03,  6.768558835555392e-03,  1.804019866885863e-02, -5.607282188357592e-03,  6.768558835559445e-03,  1.804019866886979e-02, -5.607282188348334e-03,  6.768558835562833e-03, -4.844473526176080e-02,  1.851605254699562e-02
  1.690000000000000e+00,  9.353661108922369e-02,  8.901008949687990e-01, -3.134903429148145e-01, -3.594191879656557e-02,  1.181085988904000e-01,  9.216783077640629e-02,  1.699353447911688e-03,  1.207802781417704e-16, -5.304324773142161e-03,  5.445014558492518e-03, -8.352653360784369e-03, -1.699594963503254e-02,  9.615282527666224e-03, -1.841065806693320e-02, -3.001293308060345e-02,  1.383452255014328e-02, -2.885033012438831e-02, -4.318277682480683e-02,  1.784611743141514e-02, -3.914905968243349e-02, -5.570448155597379e-02,  2.183903180730575e-02, -4.856809762957929e-02, -6.816787736522510e-02,  2.391563867087760e-02, -5.877502060544795e-02, -7.464975271844705e-02,  1.745996411022556e-02, -5.617594411609013e-03,  7.155323477949537e-03,  1.745996411023962e-02, -5.617594411596910e-03,  7.155323477955644e-03,  1.745996411025284e-02, -5.617594411585392e-03,  7.155323477961444e-03,  1.745996411026535e-02, -5.617594411574644e-03,  7.155323477966441e-03,  1.745996411027721e-02, -5.617594411564767e-03,  7.155323477970548e-03,  1.745996411028810e-02, -5.617594411555496e-03,  7.155323477974155e-03, -4.857697352194865e-02,  1.968540659676142e-02
  1.700000000000000e+00,  1.071991478508133e-01,  8.923444538939510e-01, -3.120733012765105e-01, -4.122368216688569e-02,  1.161365091210673e-01,  9.275749085375658e-02,  1.827881563198731e-03,  8.413419882496527e-17, -5.301489431452971e-03,  5.856840279491248e-03, -8.168208354038217e-03, -1.698686472288778e-02,  1.034252037377872e-02, -1.800411013483569e-02, -2.999689014884034e-02,  1.488087645107345e-02, -2.821325121011155e-02, -4.315969416440608e-02,  1.919588245027664e-02, -3.828456210719233e-02, -5.567470561924576e-02,  2.349079507136656e-02, -4.749560692417187e-02, -6.813143932027167e-02,  2.572446306115675e-02, -5.747713853087632e-02, -7.460984989104855e-02,  1.688784567719050e-02, -5.678415845918602e-03,  7.560585912763737e-03,  1.688784567720330e-02, -5.678415845907131e-03,  7.560585912770150e-03,  1.688784567721550e-02, -5.678415845896276e-03,  7.560585912775896e-03,  1.688784567722698e-02, -5.678415845886136e-03,  7.560585912780835e-03,  1.688784567723777e-02, -5.678415845876652e-03,  7.560585912785165e-03,  1.688784567724805e-02, -5.678415845867995e-03,  7.560585912788468e-03, -4.913106565122057e-02,  2.089799376291336e-02
  1.710000000000000e+00,  1.206739370144796e-01,  8.946763752946708e-01, -3.106819637487637e-01, -4.596057087183724e-02,  1.142743083430604e-01,  9.342663614668087e-02,  1.941537261503396e-03,  1.752073038826064e-16, -5.302900445735032e-03,  6.221012272486611e-03, -7.957053483715374e-03, -1.699138585021106e-02,  1.098560710269465e-02, -1.753868915436809e-02, -3.000487395055233e-02,  1.580615325155203e-02, -2.748391557830032e-02, -4.317118130318856e-02,  2.038946165606994e-02, -3.729487484693557e-02, -5.568952368231734e-02,  2.495142729796087e-02, -4.626780661763007e-02, -6.814957279676376e-02,  2.732398234711156e-02, -5.599130746401462e-02, -7.462970762448304e-02,  1.630703333201679e-02, -5.788106073618011e-03,  7.982897818139673e-03,  1.630703333202778e-02, -5.788106073607796e-03,  7.982897818145891e-03,  1.630703333203826e-02, -5.788106073598189e-03,  7.982897818151138e-03,  1.630703333204821e-02, -5.788106073589209e-03,  7.982897818155799e-03,  1.630703333205761e-02, -5.788106073580813e-03,  7.982897818159713e-03,  1.630703333206641e-02, -5.788106073572915e-03,  7.982897818163101e-03, -5.009163995678529e-02,  2.215221150372555e-02
