Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.540000000000000e+000,-5.890591467259300e-001, 3.904283036298970e-001,-3.488033206628599e-001, 5.047923707838349e-001,-4.937285321777112e-001, 5.757555432376371e-001, 2.708073516895322e-001,-1.981819299294159e-002, 2.560158241679181e-001, 8.671597436692989e-001, 5.536210704776597e-001, 8.965777308795930e-002, 2.379547523426526e-001
 1.550000000000000e+000,-5.889264492690955e-001, 3.890618176718816e-001,-3.488056735061960e-001, 5.051968180638652e-001,-4.934360340448158e-001, 5.742018890200791e-001, 2.670246566894470e-001,-2.182453737765975e-002, 2.527366664524300e-001, 8.710886769652390e-001, 5.617379839476450e-001, 8.401139123364243e-002, 2.405560634182726e-001
 1.560000000000000e+000,-5.886769540200241e-001, 3.874375915023425e-001,-3.488083256093014e-001, 5.056910875860995e-001,-4.930854842224028e-001, 5.723391269209919e-001, 2.625643352941898e-001,-2.372505082341123e-002, 2.491695455960171e-001, 8.749306503209490e-001, 5.694822282554534e-001, 7.824855337743442e-002, 2.432426478114681e-001
 1.570000000000000e+000,-5.882545778286159e-001, 3.853880774887208e-001,-3.488113898703680e-001, 5.063304482130904e-001,-4.926398975952622e-001, 5.699713544966593e-001, 2.570884441010999e-001,-2.541414956383763e-002, 2.451992583973598e-001, 8.785273788951307e-001, 5.765390671622392e-001, 7.242318958265948e-002, 2.460179693365331e-001
 1.580000000000000e+000,-5.876081257940798e-001, 3.827945218164894e-001,-3.488149000166833e-001, 5.071553662403793e-001,-4.920729552803906e-001, 5.669606155323295e-001, 2.503161906606790e-001,-2.678300255248998e-002, 2.407357093781485e-001, 8.816793731870415e-001, 5.825864488613227e-001, 6.668854064489427e-002, 2.488638808482005e-001
 1.590000000000000e+000,-5.866998489902285e-001, 3.796249549035347e-001,-3.488188362329655e-001, 5.081795573512391e-001,-4.913772733909561e-001, 5.632708011786206e-001, 2.421114145221872e-001,-2.775807644856004e-002, 2.357249651151054e-001, 8.842095610050137e-001, 5.874360711020000e-001, 6.122700275562543e-002, 2.517603739014669e-001
 1.600000000000000e+000,-5.854934710561240e-001, 3.758710562579590e-001,-3.488231812313787e-001, 5.094096068529254e-001,-4.905506707878464e-001, 5.588945666216338e-001, 2.323717496185362e-001,-2.827114974063183e-002, 2.301090043368735e-001, 8.859158578894911e-001, 5.909261509817294e-001, 5.625141897584318e-002, 2.546869804825744e-001
 1.610000000000000e+000,-5.839724128937290e-001, 3.715734492106531e-001,-3.488278976640150e-001, 5.108352683010012e-001,-4.896020215835613e-001, 5.538842194567526e-001, 2.210732005898703e-001,-2.827505434271427e-002, 2.238512915919222e-001, 8.865830015968963e-001, 5.929305325516269e-001, 5.200876109783770e-002, 2.576110517565343e-001
 1.620000000000000e+000,-5.821403774628138e-001, 3.668224393531794e-001,-3.488329344017948e-001, 5.124294417124302e-001,-4.885512589168197e-001, 5.483507677456577e-001, 2.082723802508477e-001,-2.774985697357652e-002, 2.169448652442344e-001, 8.859888354507877e-001, 5.933465663677009e-001, 4.876023492754622e-002, 2.604772607731287e-001
 1.630000000000000e+000,-5.800230352713749e-001, 3.617491634915959e-001,-3.488381952776652e-001, 5.141507147124536e-001,-4.874273711351673e-001, 5.424521734504323e-001, 1.940967472322268e-001,-2.669912295480366e-002, 2.094207169366743e-001, 8.839177033589581e-001, 5.920779335601480e-001, 4.674631706073562e-002, 2.631959103987589e-001
 1.640000000000000e+000,-5.776444479661899e-001, 3.565017045494587e-001,-3.488436170842830e-001, 5.159537745307743e-001,-4.862624488619893e-001, 5.363606682865370e-001, 1.787381132544339e-001,-2.515479509321571e-002, 2.013395722447476e-001, 8.801721888605434e-001, 5.890615986162157e-001, 4.613809702887917e-002, 2.656373920640764e-001
 1.650000000000000e+000,-5.750334046761962e-001, 3.512164352087266e-001,-3.488491347897898e-001, 5.177964581772088e-001,-4.850858938510059e-001, 5.302322841272811e-001, 1.624349374219343e-001,-2.316807539930018e-002, 1.927897831220664e-001, 8.745867009175141e-001, 5.842664548807222e-001, 4.702424621087853e-002, 2.676348089517680e-001
 1.660000000000000e+000,-5.722102183323645e-001, 3.459968221092711e-001,-3.488547293778616e-001, 5.196474603253344e-001,-4.839196508056718e-001, 5.241821318554384e-001, 1.454616125297716e-001,-2.081235464458529e-002, 1.838717749325430e-001, 8.670326667106748e-001, 5.777226045280529e-001, 4.940435985544345e-002, 2.690062715289280e-001
 1.670000000000000e+000,-5.692117519440000e-001, 3.409039119163089e-001,-3.488603977248451e-001, 5.214849704012315e-001,-4.827772568650515e-001, 5.182805753992807e-001, 1.281047629573300e-001,-1.816638852230327e-002, 1.746976782833092e-001, 8.574280089449607e-001, 5.695118698063175e-001, 5.321368697112372e-002, 2.695801487925754e-001
 1.680000000000000e+000,-5.660847877217403e-001, 3.359562929960414e-001,-3.488661890612002e-001, 5.232974296070003e-001,-4.816637843760256e-001, 5.125535674748157e-001, 1.106452709700723e-001,-1.530812824918879e-002, 1.653793692554084e-001, 8.457416688134397e-001, 5.598024689451699e-001, 5.833498954735661e-002, 2.692213674282074e-001
 1.690000000000000e+000,-5.628885605899979e-001, 3.311341075933587e-001,-3.488721948610915e-001, 5.250818387576387e-001,-4.805769118549241e-001, 5.069889044996273e-001, 9.333661952463412e-002,-1.229946503116913e-002, 1.560227216784594e-001, 8.319960457032218e-001, 5.488813568819813e-001, 6.461643206122547e-002, 2.678501313562851e-001
 1.700000000000000e+000,-5.596872077739408e-001, 3.263879916645067e-001,-3.488785327549797e-001, 5.268423021533085e-001,-4.795086115376286e-001, 5.015453630901899e-001, 7.638731736725779e-002,-9.175760906806933e-003, 1.467212625738985e-001, 8.162623275456511e-001, 5.371809250286443e-001, 7.188105658685440e-002, 2.654572686228000e-001
 1.710000000000000e+000,-5.565405666212319e-001, 3.216514591881396e-001,-3.488853222982514e-001, 5.285879695475260e-001,-4.784474217818593e-001, 4.961646302418165e-001, 5.994876937316263e-002,-5.943956537214469e-003, 1.375527435988042e-001, 7.986520769640495e-001, 5.252453710470948e-001, 7.993271685590653e-002, 2.621151009004184e-001
 1.720000000000000e+000,-5.534929597976551e-001, 3.168538244478703e-001,-3.488926584207018e-001, 5.303312216505399e-001,-4.773806985682012e-001, 4.907829283908422e-001, 4.410964270385676e-002,-2.591546750989838e-003, 1.285785821119360e-001, 7.793091091761580e-001, 5.136373722294381e-001, 8.856744645370163e-002, 2.579811994217245e-001
 1.730000000000000e+000,-5.505795079021084e-001, 3.119297089862980e-001,-3.489005778702402e-001, 5.320842013747675e-001,-4.762967382195833e-001, 4.853418948450561e-001, 2.889183884947921e-002, 9.053894968016009e-004, 1.198511734061915e-001, 7.584091849781564e-001, 5.028165176223002e-001, 9.760143455966475e-002, 2.532839908695883e-001
 1.740000000000000e+000,-5.478059849402341e-001, 3.068283898970834e-001,-3.489090715299694e-001, 5.338594026589667e-001,-4.751859180487656e-001, 4.797942276175957e-001, 1.425768767661140e-002, 4.561507621085642e-003, 1.114141455112081e-001, 7.361598500708638e-001, 4.930727618114461e-001, 1.068777228890749e-001, 2.482902285662832e-001
 1.750000000000000e+000,-5.451718739949741e-001, 3.015160460849105e-001,-3.489180934386759e-001, 5.356656680988725e-001,-4.740418924768211e-001, 4.741096686687119e-001, 1.158547719546377e-004, 8.376853188636086e-003, 1.033119388181918e-001, 7.128126380879561e-001, 4.844397310797188e-001, 1.162785636808597e-001, 2.432451610176172e-001
 1.760000000000000e+000,-5.426813771243704e-001, 2.959761474482932e-001,-3.489275923752608e-001, 5.375064869022235e-001,-4.728620000224444e-001, 4.682767363290002e-001,-1.366468589676662e-002, 1.232908291144808e-002, 9.559310518642723e-002, 6.886708212062084e-001, 4.766722127596025e-001, 1.257238512995680e-001, 2.383189797954200e-001
 1.770000000000000e+000,-5.403528942301226e-001, 2.902060627702783e-001,-3.489375411646111e-001, 5.393795229474235e-001,-4.716468704937431e-001, 4.623003483648487e-001,-2.723947143677497e-002, 1.637452235961255e-002, 8.831269598187035e-002, 6.640848408508727e-001, 4.693221736166192e-001, 1.351660995570654e-001, 2.335912622535207e-001
 1.780000000000000e+000,-5.382175852814073e-001, 2.842114801218068e-001,-3.489479555171935e-001, 5.412783554314656e-001,-4.703992343537156e-001, 4.561955242290018e-001,-4.077430133482918e-002, 2.045593367110004e-002, 8.153100627022071e-002, 6.394290290947199e-001, 4.619006712321043e-001, 1.445741127921514e-001, 2.290808056465692e-001
 1.790000000000000e+000,-5.363141294259189e-001, 2.780012255844142e-001,-3.489588885184549e-001, 5.431946740372752e-001,-4.691226960400545e-001, 4.499810907117077e-001,-5.443360571006517e-002, 2.451166395984597e-002, 7.530822136006679e-002, 6.150716988947554e-001, 4.540109672001527e-001, 1.539104345220292e-001, 2.247830635838053e-001
 1.800000000000000e+000,-5.346661386185969e-001, 2.715876644962130e-001,-3.489704170319662e-001, 5.451215963349269e-001,-4.678210029173759e-001, 4.436761604077111e-001,-6.836637106282550e-002, 2.847779413440843e-002, 6.969405288967644e-002, 5.913450796358959e-001, 4.454039291499472e-001, 1.631045967286995e-001, 2.206955751032587e-001
 1.810000000000000e+000,-5.332981407147123e-001, 2.649828141374866e-001,-3.489825924379396e-001, 5.470523102263729e-001,-4.664978272007252e-001, 4.372990152060526e-001,-8.270005267671210e-002, 3.229568440452752e-002, 6.472465584171018e-002, 5.685373407361658e-001, 4.359466035491459e-001, 1.720549473889736e-001, 2.168115689833252e-001
 1.820000000000000e+000,-5.322179508096480e-001, 2.582032544513435e-001,-3.489954235148042e-001, 5.489814411186637e-001,-4.651570854035998e-001, 4.308688530825426e-001,-9.752757653991040e-002, 3.591176185817775e-002, 6.041736689691286e-002, 5.468763722502735e-001, 4.256175945160342e-001, 1.806255562166634e-001, 2.131265242001455e-001
 1.830000000000000e+000,-5.314248759704043e-001, 2.512733505508804e-001,-3.490088585146775e-001, 5.509029830498103e-001,-4.638038135824996e-001, 4.244099587189149e-001,-1.129009386508146e-001, 3.928497695939037e-002, 5.677248141453327e-002, 5.265246245086114e-001, 4.144898532171468e-001, 1.886607166143661e-001, 2.096313689230401e-001
 1.840000000000000e+000,-5.309152578084122e-001, 2.442279949435462e-001,-3.490227927174185e-001, 5.528087548436871e-001,-4.624448451157264e-001, 4.179547596956174e-001,-1.288275713452891e-001, 4.239172361037925e-002, 5.377509739792386e-002, 5.075759564925345e-001, 4.027081992186112e-001, 1.960038559970201e-001, 2.063086538474049e-001
 1.850000000000000e+000,-5.306854289019904e-001, 2.371123637272909e-001,-3.490370948270978e-001, 5.546880182023661e-001,-4.610888214060851e-001, 4.115436171835447e-001,-1.452723557643039e-001, 4.522457308852190e-002, 5.139649613171159e-002, 4.900587551238331e-001, 3.904518697065995e-001, 2.025209405115827e-001, 2.031324862476506e-001
 1.860000000000000e+000,-5.307309414968504e-001, 2.299799393698003e-001,-3.490516325307868e-001, 5.565280955372470e-001,-4.597457488032495e-001, 4.052225287375578e-001,-1.621657369146703e-001, 4.778807852873186e-002, 4.959591270433582e-002, 4.739482330235297e-001, 3.778961068504638e-001, 2.081209173030172e-001, 2.000634500630096e-001
 1.870000000000000e+000,-5.310440823305253e-001, 2.228893834818062e-001,-3.490662827134197e-001, 5.583155312437550e-001,-4.584262923289804e-001, 3.990397232445542e-001,-1.794147385481826e-001, 5.009605291574287e-002, 4.832287624448124e-002, 4.591848458447654e-001, 3.651828037639865e-001, 2.127700864692645e-001, 1.970397061430852e-001
 1.880000000000000e+000,-5.316107032655811e-001, 2.159002760597470e-001,-3.490809326660369e-001, 5.600376331705447e-001,-4.571408547243561e-001, 3.930414197993782e-001,-1.969132257504596e-001, 5.217010205522803e-002, 4.751940792523948e-002, 4.456906053257926e-001, 3.524072754873986e-001, 2.165008716578669e-001, 1.939790526597655e-001
 1.890000000000000e+000,-5.324092941703454e-001, 2.090681233100016e-001,-3.490954836557183e-001, 5.616838562325999e-001,-4.558986262061540e-001, 3.872675752571946e-001,-2.145522841490877e-001, 5.403396852203374e-002, 4.712111853112478e-002, 4.333863893333565e-001, 3.396044640687385e-001, 2.194175411748729e-001, 1.907771396218171e-001
 1.900000000000000e+000,-5.334074367168856e-001, 2.024414054642478e-001,-3.491098509339987e-001, 5.632470365200288e-001,-4.547069487571660e-001, 3.817492912457977e-001,-2.322232306088945e-001, 5.571568975744105e-002, 4.705859484472483e-002, 4.221867875509061e-001, 3.267724354579953e-001, 2.216785398466561e-001, 1.873485656215654e-001
 1.910000000000000e+000,-5.345663928964207e-001, 1.960582886548590e-001,-3.491239656873690e-001, 5.647235182451071e-001,-4.535709180061409e-001, 3.765071948325032e-001,-2.498222605190841e-001, 5.724478028539005e-002, 4.725812140410320e-002, 4.120044669425470e-001, 3.138764875524551e-001, 2.234774386870149e-001, 1.836379307321224e-001
 1.920000000000000e+000,-5.358452579855374e-001, 1.899440625985793e-001,-3.491377724541290e-001, 5.661131781008373e-001,-4.524931137852999e-001, 3.715504075511217e-001,-2.672532872693532e-001, 5.865210780111026e-002, 4.764188011619098e-002, 4.027503133595290e-001, 3.008665922781166e-001, 2.250172131984296e-001, 1.796333000611899e-001
