Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.600000000000000e+00, -4.001321802090285e-01, -5.315248192862398e-02,  8.222209903024288e-03,  2.521869310665024e-01, -2.499169089329620e-01, -1.357578357965533e-01
  1.610000000000000e+00, -4.017916902701351e-01, -4.071869939142037e-02,  5.531994282122020e-03,  2.697507909641611e-01, -2.285334501048552e-01, -1.470679246529205e-01
  1.620000000000000e+00, -4.018797878523471e-01, -2.803261313255279e-02,  2.736996769271981e-03,  2.897935313555356e-01, -2.033062699406043e-01, -1.565877508363762e-01
  1.630000000000000e+00, -4.002739906381017e-01, -1.542563828101584e-02, -1.184661621353277e-04,  3.127642472591545e-01, -1.743180150843340e-01, -1.642557661499277e-01
  1.640000000000000e+00, -3.967886502045495e-01, -3.203761231178159e-03, -2.934262004424463e-03,  3.391399038416006e-01, -1.417978096859093e-01, -1.701264485721934e-01
  1.650000000000000e+00, -3.911705942571752e-01,  8.385154292840147e-03, -5.572042192903748e-03,  3.693889151013233e-01, -1.061611483928891e-01, -1.743335111600663e-01
  1.660000000000000e+00, -3.831115156639312e-01,  1.917506181859552e-02, -7.881529531796650e-03,  4.039216834622083e-01, -6.805523947483680e-02, -1.770311794183160e-01
  1.670000000000000e+00, -3.722905711512158e-01,  2.909298613844480e-02, -9.741158429581519e-03,  4.430272927275541e-01, -2.839622251023267e-02, -1.783183052862387e-01
  1.680000000000000e+00, -3.584348713679106e-01,  3.815154833917411e-02, -1.110327807489368e-02,  4.868071639406757e-01,  1.162189403449932e-02, -1.781720981234119e-01
  1.690000000000000e+00, -3.413844945309949e-01,  4.642223847194527e-02, -1.202407830028634e-02,  5.351207301362660e-01,  5.057115813434048e-02, -1.764253355942000e-01
  1.700000000000000e+00, -3.211452131040621e-01,  5.399514605400291e-02, -1.266096489411668e-02,  5.875582275106374e-01,  8.689990007313696e-02, -1.728064316536125e-01
  1.710000000000000e+00, -2.979110341041002e-01,  6.093936917295428e-02, -1.323185208327447e-02,  6.434521731989753e-01,  1.190887082390586e-01, -1.670320623213186e-01
  1.720000000000000e+00, -2.720448162262696e-01,  6.727709415263372e-02, -1.395144734756422e-02,  7.019298088627639e-01,  1.458057199908010e-01, -1.589093363722634e-01
  1.730000000000000e+00, -2.440209842047920e-01,  7.297543315810273e-02, -1.497244395577886e-02,  7.619942418451934e-01,  1.660292329060475e-01, -1.483974820029652e-01
  1.740000000000000e+00, -2.143498343505153e-01,  7.795568618435400e-02, -1.635186913952141e-02,  8.226108567323991e-01,  1.791392527717071e-01, -1.356103944843804e-01
  1.750000000000000e+00, -1.835097619607498e-01,  8.211928601609375e-02, -1.804724799618252e-02,  8.827755065265731e-01,  1.849858860184020e-01, -1.207811712994251e-01
  1.760000000000000e+00, -1.518996297260761e-01,  8.537694892591374e-02, -1.994010845953345e-02,  9.415547795726565e-01,  1.839176584327478e-01, -1.042243191283968e-01
  1.770000000000000e+00, -1.198248192954563e-01,  8.767207334764504e-02, -2.187388929658784e-02,  9.981031493059909e-01,  1.767355935469172e-01, -8.632454058593687e-02
  1.780000000000000e+00, -8.750638079777323e-02,  8.898715560909798e-02, -2.368885001721525e-02,  1.051670768408970e+00,  1.645646428204054e-01, -6.755639489191441e-02
  1.790000000000000e+00, -5.510406977480519e-02,  8.934108991999445e-02, -2.524007017940832e-02,  1.101610202084222e+00,  1.486783558848646e-01, -4.851216496940583e-02
  1.800000000000000e+00, -2.273532891089976e-02,  8.878572009491226e-02, -2.640758133697448e-02,  1.147385665659245e+00,  1.303308880736933e-01, -2.990283130664530e-02
  1.810000000000000e+00,  9.493324276715445e-03,  8.740150013318870e-02, -2.710055418098016e-02,  1.188573997917676e+00,  1.106339602489146e-01, -1.251303833664117e-02
  1.820000000000000e+00,  4.148886647366459e-02,  8.529171654395706e-02, -2.726668551463306e-02,  1.224864308440754e+00,  9.048923543014256e-02,  2.880013793052641e-03
  1.830000000000000e+00,  7.314815448104460e-02,  8.257266489346327e-02, -2.687847149308931e-02,  1.256039237671639e+00,  7.057608054749036e-02,  1.560470974093041e-02
  1.840000000000000e+00,  1.043553991191380e-01,  7.936632682308842e-02, -2.591943632335286e-02,  1.281955992294443e+00,  5.138028563153888e-02,  2.518495088057572e-02
  1.850000000000000e+00,  1.349716687739825e-01,  7.579348537308439e-02, -2.436920098633769e-02,  1.302524115499280e+00,  3.324196561265118e-02,  3.140218212900076e-02
  1.860000000000000e+00,  1.648735002516110e-01,  7.196580548870446e-02, -2.221247922483914e-02,  1.317697892886166e+00,  1.639946845601961e-02,  3.431854449372962e-02
  1.870000000000000e+00,  1.938965501161037e-01,  6.798013002405767e-02, -1.941516114422468e-02,  1.327450851619584e+00,  1.010802855580052e-03,  3.426836255536363e-02
  1.880000000000000e+00,  2.218838899059508e-01,  6.391673444028623e-02, -1.594354568224654e-02,  1.331780962027554e+00, -1.283660027168280e-02,  3.181624766072187e-02
  1.890000000000000e+00,  2.486935290462060e-01,  5.984112834415689e-02, -1.177102120127716e-02,  1.330707950145932e+00, -2.512083073277038e-02,  2.769313443789721e-02
  1.900000000000000e+00,  2.742085967662501e-01,  5.580806305419572e-02, -6.887515533154242e-03,  1.324272145425999e+00, -3.587734169236025e-02,  2.271616876572553e-02
  1.910000000000000e+00,  2.983377603961030e-01,  5.186759707435118e-02, -1.305729982414448e-03,  1.312532458315585e+00, -4.518659334848566e-02,  1.770407592754730e-02
  1.920000000000000e+00,  3.210211146079646e-01,  4.807256277004845e-02,  4.930269331966375e-03,  1.295565994489158e+00, -5.315499773385976e-02,  1.339872051831774e-02
