Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile6.WristAbduction
 1.540000000000000e+000,-6.709551445370441e-001, 3.508920928940809e-001,-3.489394905118830e-001, 3.217337457048521e-001,-1.626229878500463e-002, 2.845496142388582e-001, 8.618078746016545e-001, 5.646595218673899e-001, 8.258411694132728e-002, 2.150606173520370e-001
 1.550000000000000e+000,-6.708652984679573e-001, 3.494635805790762e-001,-3.489402610766013e-001, 3.181701681246818e-001,-1.834523081951941e-002, 2.810324114900460e-001, 8.659436756424672e-001, 5.728121276523081e-001, 7.695898627727527e-002, 2.177028174484652e-001
 1.560000000000000e+000,-6.706245870076389e-001, 3.477126064799387e-001,-3.489411959617191e-001, 3.139204538537415e-001,-2.032487464532593e-002, 2.770955765135288e-001, 8.699833914339802e-001, 5.806441920549020e-001, 7.119963314733924e-002, 2.204498355314686e-001
 1.570000000000000e+000,-6.701747352098753e-001, 3.454700239200075e-001,-3.489423562170489e-001, 3.086322433538300e-001,-2.210152914293870e-002, 2.725940150316392e-001, 8.737664436253937e-001, 5.878712176716884e-001, 6.534643323383604e-002, 2.233124919866427e-001
 1.580000000000000e+000,-6.694680563072353e-001, 3.426279688825429e-001,-3.489437357411670e-001, 3.020103119201458e-001,-2.357143971679560e-002, 2.674263877309247e-001, 8.770920212689422e-001, 5.941977662619220e-001, 5.954067862314783e-002, 2.262761812576040e-001
 1.590000000000000e+000,-6.684750783696708e-001, 3.391764224899099e-001,-3.489452936950708e-001, 2.939106858795584e-001,-2.466397827927504e-002, 2.615503962447591e-001, 8.797833633905854e-001, 5.994496280741315e-001, 5.395866886529821e-002, 2.293196199653537e-001
 1.600000000000000e+000,-6.671700564198940e-001, 3.351348860631920e-001,-3.489469904601751e-001, 2.842246743478500e-001,-2.531332152220953e-002, 2.549285186515991e-001, 8.816391241760155e-001, 6.034778040460873e-001, 4.880806825112427e-002, 2.324193385522684e-001
 1.610000000000000e+000,-6.655477279256267e-001, 3.305753272946896e-001,-3.489487755956956e-001, 2.729234851729485e-001,-2.547340038862450e-002, 2.475560074297266e-001, 8.824453604533113e-001, 6.061641453022415e-001, 4.433270403732337e-002, 2.355367946101018e-001
 1.620000000000000e+000,-6.636254837858494e-001, 3.256174561856686e-001,-3.489505867432973e-001, 2.600603981932630e-001,-2.512260390971913e-002, 2.394659039262044e-001, 8.819815826349573e-001, 6.074047676887141e-001, 4.079425871721609e-002, 2.386077054784650e-001
 1.630000000000000e+000,-6.614363219253076e-001, 3.204123606119969e-001,-3.489523589157779e-001, 2.457669045149435e-001,-2.426459115528955e-002, 2.307266617280895e-001, 8.800317320456814e-001, 6.071027417311937e-001, 3.843246492839225e-002, 2.415321067902616e-001
 1.640000000000000e+000,-6.590187453854984e-001, 3.151150066238644e-001,-3.489540413872793e-001, 2.302427785703751e-001,-2.292657824037994e-002, 2.214345981030379e-001, 8.763980162838783e-001, 6.051762628232960e-001, 3.742411465299611e-002, 2.441681864907569e-001
 1.650000000000000e+000,-6.564130711496943e-001, 3.098555771697458e-001,-3.489556087366624e-001, 2.137402003692919e-001,-2.115570408693892e-002, 2.117053979003757e-001, 8.709134218769393e-001, 6.015714587414335e-001, 3.786362323561998e-002, 2.463372998878167e-001
 1.660000000000000e+000,-6.536496825119516e-001, 3.047218936131200e-001,-3.489570893935939e-001, 1.965485133930409e-001,-1.902049374141755e-002, 2.016581544967595e-001, 8.634478901699950e-001, 5.962913533873941e-001, 3.975692890898075e-002, 2.478475394435896e-001
 1.670000000000000e+000,-6.507671364552442e-001, 2.997521232599150e-001,-3.489585451263214e-001, 1.789678590395631e-001,-1.659554592310105e-002, 1.914123288893062e-001, 8.539177955495316e-001, 5.893942713967711e-001, 4.304368595708485e-002, 2.485204794927393e-001
 1.680000000000000e+000,-6.478060569054078e-001, 2.949367695144372e-001,-3.489600930411442e-001, 1.612891102667609e-001,-1.395441609315319e-002, 1.810741818650504e-001, 8.422908728192277e-001, 5.810299420567217e-001, 4.760941421699672e-002, 2.482180813095100e-001
 1.690000000000000e+000,-6.448121313223970e-001, 2.902255254987651e-001,-3.489618925750921e-001, 1.437720101309770e-001,-1.115476754224551e-002, 1.707322481304230e-001, 8.285890961910825e-001, 5.714736406450172e-001, 5.330328730392142e-002, 2.468613757546662e-001
 1.700000000000000e+000,-6.418319480780993e-001, 2.855405811808871e-001,-3.489641246513280e-001, 1.266286370851160e-001,-8.228248417830477e-003, 1.604556428262238e-001, 8.128844498237198e-001, 5.611518833246256e-001, 5.994867469756038e-002, 2.444452534405828e-001
 1.710000000000000e+000,-6.389080534152626e-001, 2.807939959174437e-001,-3.489669627336293e-001, 1.100125127634166e-001,-5.178958811339388e-003, 1.502976916683692e-001, 7.952905507902777e-001, 5.506064441431479e-001, 6.735085267197460e-002, 2.410484812560759e-001
 1.720000000000000e+000,-6.360722238998202e-001, 2.759051965972832e-001,-3.489705418442074e-001, 9.401358965674111e-002,-1.992526666203411e-003, 1.403032047227993e-001, 7.759541343354305e-001, 5.403979555699655e-001, 7.531055071076453e-002, 2.368361438578893e-001
 1.730000000000000e+000,-6.333518399369460e-001, 2.708137918730331e-001,-3.489749250764780e-001, 7.865393239642460e-002, 1.354875025961701e-003, 1.305222651126850e-001, 7.550539191425100e-001, 5.309845069645182e-001, 8.365210041412974e-002, 2.320439225074603e-001
 1.740000000000000e+000,-6.307539392818051e-001, 2.654885201351984e-001,-3.489801108208382e-001, 6.389451642578270e-002, 4.877409381738063e-003, 1.210126264399272e-001, 7.328002973144100e-001, 5.226512208818853e-001, 9.223088857994521e-002, 2.269440812261469e-001
 1.750000000000000e+000,-6.282834428669643e-001, 2.599257537431401e-001,-3.489860449209866e-001, 4.964047362586732e-002, 8.573903455582997e-003, 1.118466063517382e-001, 7.094468827621331e-001, 5.154267218899140e-001, 1.009417287223362e-001, 2.217852236073722e-001
 1.760000000000000e+000,-6.259511250964093e-001, 2.541428297143731e-001,-3.489926548009800e-001, 3.575448526837555e-002, 1.242094200796193e-002, 1.031072903406248e-001, 6.852979453000342e-001, 5.090617029377540e-001, 1.097140782292438e-001, 2.167384466616122e-001
 1.770000000000000e+000,-6.237798125701460e-001, 2.481675004882680e-001,-3.489998823925436e-001, 2.207168934131154e-002, 1.637436051083236e-002, 9.488273168886136e-002, 6.607039494459051e-001, 5.031054494449097e-001, 1.185054922644153e-001, 2.118820730569544e-001
 1.780000000000000e+000,-6.218014784538601e-001, 2.420277163724549e-001,-3.490077046977912e-001, 8.415062207395074e-003, 2.037710652050008e-002, 8.725852450837758e-002, 6.360389318541513e-001, 4.970669017956582e-001, 1.272862350093835e-001, 2.072325981402858e-001
 1.790000000000000e+000,-6.200509042626340e-001, 2.357451566345967e-001,-3.490161311820010e-001,-5.390352023755707e-003, 2.436789540383407e-002, 8.030958807550448e-002, 6.116706756878996e-001, 4.905476271252969e-001, 1.360176002813023e-001, 2.027843103970467e-001
 1.800000000000000e+000,-6.185502998931356e-001, 2.293357170244721e-001,-3.490251866442032e-001,-1.950114611382436e-002, 2.828481352370428e-002, 7.409016301100260e-002, 5.879325489316541e-001, 4.832930657250664e-001, 1.446285610072784e-001, 1.985331131954719e-001
 1.810000000000000e+000,-6.173177449644924e-001, 2.228090519260029e-001,-3.490348796760815e-001,-3.404740912245896e-002, 3.206997298686173e-002, 6.863277758440582e-002, 5.651124829427811e-001, 4.751657400327450e-001, 1.530142220358037e-001, 1.944744980613766e-001
 1.820000000000000e+000,-6.163567048770776e-001, 2.161741052531609e-001,-3.490451856594863e-001,-4.912023841909097e-002, 3.567070660391486e-002, 6.394502234556646e-002, 5.434384495442214e-001, 4.661368020117582e-001, 1.610358612445726e-001, 1.906075329663379e-001
 1.830000000000000e+000,-6.156624051330901e-001, 2.094432180229706e-001,-3.490560360697610e-001,-6.476678811165137e-002, 3.904595003450286e-002, 6.001260394710405e-002, 5.230727697103025e-001, 4.562706310703558e-001, 1.685346272672028e-001, 1.869284776446843e-001
 1.840000000000000e+000,-6.152269670877623e-001, 2.026357024705323e-001,-3.490673248288934e-001,-8.098825452313663e-002, 4.217082546500067e-002, 5.680251384292216e-002, 5.041088869618835e-001, 4.457036815694568e-001, 1.753504176154310e-001, 1.834264088522000e-001
 1.850000000000000e+000,-6.150423206252015e-001, 1.957799850649635e-001,-3.490789273965482e-001,-9.774282589360328e-002, 4.503547971500316e-002, 5.426690874712532e-002, 4.865743660265310e-001, 4.346080689034687e-001, 1.813456951128956e-001, 1.800821634540420e-001
 1.860000000000000e+000,-6.150999234439267e-001, 1.889150964285578e-001,-3.490907190032082e-001,-1.149544539367267e-001, 4.764129423586581e-002, 5.234833436245003e-002, 4.704431888454378e-001, 4.231537077176643e-001, 1.864260847568200e-001, 1.768621215714448e-001
 1.870000000000000e+000,-6.153891551016264e-001, 1.820898590233964e-001,-3.491025823445623e-001,-1.325249228713847e-001, 4.999865888368345e-002, 5.098444266012599e-002, 4.556543601598805e-001, 4.114790764011332e-001, 1.905545120563446e-001, 1.737082866626768e-001
 1.880000000000000e+000,-6.158954969967695e-001, 1.753588957878014e-001,-3.491144094483220e-001,-1.503455538063581e-001, 5.212519087220369e-002, 5.011042263985505e-002, 4.421299575960928e-001, 3.996744271350995e-001, 1.937611159438191e-001, 1.705362634106312e-001
 1.890000000000000e+000,-6.165983095726808e-001, 1.687777267181645e-001,-3.491261038866105e-001,-1.683059085765970e-001, 5.404316293747152e-002, 4.965973273808633e-002, 4.297868222097455e-001, 3.877789024236988e-001, 1.961456751288115e-001, 1.672461576136885e-001
 1.900000000000000e+000,-6.174699331645094e-001, 1.623984296430447e-001,-3.491375832000725e-001,-1.862983473145441e-001, 5.577769639679280e-002, 4.956413161676333e-002, 4.185396959940913e-001, 3.757876146836904e-001, 1.978669394334176e-001, 1.637450579600187e-001
 1.910000000000000e+000,-6.184777374196363e-001, 1.562652678439072e-001,-3.491487810896904e-001,-2.042201181257379e-001, 5.735636791468760e-002, 4.975294255920173e-002, 4.083002588308093e-001, 3.636654187268662e-001, 1.991208232497046e-001, 1.599712168677699e-001
 1.920000000000000e+000,-6.195878956385447e-001, 1.504102387058344e-001,-3.491596473231818e-001,-2.219754559903833e-001, 5.880853199106503e-002, 5.015144651846316e-002, 3.989786302745765e-001, 3.513626985602365e-001, 2.001153795337929e-001, 1.559055406268900e-001
 1.930000000000000e+000,-6.207689373785679e-001, 1.448499689115419e-001,-3.491701441280347e-001,-2.394782376418363e-001, 6.016329864753693e-002, 5.068034132866995e-002, 3.904881971436693e-001, 3.388319979600369e-001, 2.010446332527835e-001, 1.515688702715744e-001
 1.940000000000000e+000,-6.219941343315883e-001, 1.395852542814293e-001,-3.491802451748117e-001,-2.566545033255578e-001, 6.144670563805667e-002, 5.125882756167814e-002, 3.827504444164305e-001, 3.260518974919810e-001, 2.020604322427129e-001, 1.470141340654142e-001
 1.950000000000000e+000,-6.232433667504219e-001, 1.346034331971648e-001,-3.491899400572653e-001,-2.734437242567749e-001, 6.267858032349134e-002, 5.181066609272290e-002, 3.756974042318282e-001, 3.130526426472729e-001, 2.032495919092878e-001, 1.423173005046165e-001
 1.960000000000000e+000,-6.245069633299218e-001, 1.298820979410358e-001,-3.491992365518206e-001,-2.897994927361725e-001, 6.386440341130259e-002, 5.226821366871645e-002, 3.692804491198466e-001, 2.998918656672986e-001, 2.046318126409867e-001, 1.375500762143295e-001
 1.970000000000000e+000,-6.257820719253388e-001, 1.253968569792099e-001,-3.492081529654210e-001,-3.056808102023239e-001, 6.501493380738278e-002, 5.257921019377664e-002, 3.634415557874223e-001, 2.867512256718551e-001, 2.061390420585521e-001, 1.328108880834253e-001
 1.980000000000000e+000,-6.270774778351876e-001, 1.211228232484831e-001,-3.492167106578831e-001,-3.210564876826949e-001, 6.612264548472839e-002, 5.269909415121860e-002, 3.581514685521136e-001, 2.737587756684667e-001, 2.076659068295572e-001, 1.281505721418781e-001
 1.990000000000000e+000,-6.284043387138171e-001, 1.170398706726465e-001,-3.492249264217988e-001,-3.358985266329149e-001, 6.718022067879395e-002, 5.259210029313727e-002, 3.533847577616348e-001, 2.610558925384152e-001, 2.090728107550042e-001, 1.236120791750065e-001
 2.000000000000000e+000,-6.297716578091367e-001, 1.131334231794268e-001,-3.492328098961916e-001,-3.501833474816309e-001, 6.817848682461468e-002, 5.222830894159498e-002, 3.491216269185170e-001, 2.487672132136207e-001, 2.102137986744563e-001, 1.192274062646869e-001
 2.010000000000000e+000,-6.311816925973175e-001, 1.093955480222373e-001,-3.492403648649348e-001,-3.638919425271787e-001, 6.911444125346039e-002, 5.158384706148490e-002, 3.453357207511623e-001, 2.370421573393739e-001, 2.109463792132085e-001, 1.150352267787290e-001
 2.020000000000000e+000,-6.326365306810312e-001, 1.058230965832321e-001,-3.492475885736402e-001,-3.770186473806954e-001, 6.996967387900259e-002, 5.063179285134324e-002, 3.420311902741922e-001, 2.259066904056071e-001, 2.111818960363794e-001, 1.110254305572836e-001
 2.030000000000000e+000,-6.341307887187595e-001, 1.024222342111014e-001,-3.492544787112626e-001,-3.895636601724724e-001, 7.074528901175219e-002, 4.935152640931491e-002, 3.391948382546374e-001, 2.154735986251384e-001, 2.108350871962439e-001, 1.072165971699965e-001
 2.040000000000000e+000,-6.356583658972993e-001, 9.920820941244224e-002,-3.492610342822961e-001,-4.015376097235877e-001, 7.144163326734521e-002, 4.772260406299512e-002, 3.368241171618462e-001, 2.058143010514464e-001, 2.098515249662483e-001, 1.036114623195476e-001
 2.050000000000000e+000,-6.372104184325481e-001, 9.620760937655337e-002,-3.492672658039348e-001,-4.129559990977936e-001, 7.206245170538023e-002, 4.572816242714733e-002, 3.349125892034880e-001, 1.969894611730576e-001, 2.081974086761753e-001, 1.002139821399539e-001
 2.060000000000000e+000,-6.387736760154906e-001, 9.345654046633212e-002,-3.492732029019350e-001,-4.238326484111636e-001, 7.261419547475584e-002, 4.336021748287935e-002, 3.334443726067395e-001, 1.890448117407640e-001, 2.058605847830874e-001, 9.703415916656361e-002
 2.070000000000000e+000,-6.403311660544726e-001, 9.099267200767125e-002,-3.492788863977436e-001,-4.341731406771543e-001, 7.309852303964809e-002, 4.062853460315469e-002, 3.324018777086658e-001, 1.819662737564469e-001, 2.028638146038528e-001, 9.407303308982880e-002
 2.080000000000000e+000,-6.418551734016312e-001, 8.884598035910929e-002,-3.492843468447811e-001,-4.439589343545491e-001, 7.353063256648720e-002, 3.758561891438927e-002, 3.317293374374820e-001, 1.758261354427622e-001, 1.992239216799905e-001, 9.137149533608589e-002
 2.090000000000000e+000,-6.433142319641543e-001, 8.702294239379782e-002,-3.492895729952133e-001,-4.531428381121418e-001, 7.390433326974917e-002, 3.433449942326951e-002, 3.313792998997884e-001, 1.705859807525962e-001, 1.950104753993482e-001, 8.892998483639461e-002
 2.100000000000000e+000,-6.446663518076072e-001, 8.549989522340318e-002,-3.492944867974188e-001,-4.616358522980200e-001, 7.420926187599812e-002, 3.104429000116423e-002, 3.312784417171736e-001, 1.662404268839491e-001, 1.903065522766827e-001, 8.675588579510300e-002
 2.110000000000000e+000,-6.458633961634438e-001, 8.422529364210418e-002,-3.492989357059012e-001,-4.693134437730560e-001, 7.442606320934449e-002, 2.793522364435225e-002, 3.313384613098894e-001, 1.627870030843840e-001, 1.852181448339283e-001, 8.484787348251721e-002
 2.120000000000000e+000,-6.468587869180985e-001, 8.313713880568452e-002,-3.493027226141497e-001,-4.760348258709370e-001, 7.453064858770166e-002, 2.524569612796625e-002, 3.314633943624113e-001, 1.602239690644253e-001, 1.798746628173338e-001, 8.319403471549246e-002
 2.130000000000000e+000,-6.476166568858854e-001, 8.218683526521486e-002,-3.493056603559175e-001,-4.816667845686748e-001, 7.450120248788482e-002, 2.319559148084174e-002, 3.315582014362934e-001, 1.585486857860196e-001, 1.744261418659663e-001, 8.177670447736218e-002
 2.140000000000000e+000,-6.481178822017994e-001, 8.135643816756710e-002,-3.493076183767629e-001,-4.861008636192197e-001, 7.432437560397356e-002, 2.195967301869267e-002, 3.315371091555782e-001, 1.577518202737913e-001, 1.690379072504207e-001, 8.057925891020862e-002
 2.150000000000000e+000,-6.483606730117975e-001, 8.066316098005566e-002,-3.493085456028666e-001,-4.892601116971918e-001, 7.399901884252723e-002, 2.165360003002340e-002, 3.313314722051712e-001, 1.578086868402168e-001, 1.638862098962617e-001, 7.958703312874615e-002
 2.160000000000000e+000,-6.483572299476353e-001, 8.015278495375311e-002,-3.493084691161048e-001,-4.910978822404821e-001, 7.353761846048883e-002, 2.232923442945966e-002, 3.308979022139253e-001, 1.586754927256592e-001, 1.591548114496668e-001, 7.878316365154157e-002
 2.170000000000000e+000,-6.481283229356361e-001, 7.988662690532355e-002,-3.493074731520646e-001,-4.915917086690178e-001, 7.296542153748949e-002, 2.397653037383193e-002, 3.302255157880258e-001, 1.602915098903973e-001, 1.550288001914608e-001, 7.814590422533083e-002
