Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_PlaneOfElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_Elevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_InternalAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.600000000000000e+00, -4.063236653126973e-01,  1.048286809777426e-01,  1.964495859996594e-02,  7.194882009158570e-01, -2.897908716586501e-01,  1.964495859982464e-02,  7.314249144779466e-01, -4.615707298180365e-01, -1.110063151207971e+00,  5.490689676346051e-01,  7.081409386925079e-01,  2.778668615540052e-01,  1.439208294116089e-02
  1.610000000000000e+00, -4.054745422616623e-01,  1.071189590955035e-01,  2.063537712945477e-02,  7.194318217048700e-01, -2.900415970565859e-01,  2.063537709962486e-02,  7.277297858240246e-01, -4.586756965886595e-01, -1.108956076814007e+00,  5.419966279411644e-01,  7.105381530850491e-01,  2.828591161872196e-01,  1.399805429094538e-02
  1.620000000000000e+00, -4.044900172768299e-01,  1.100351725087527e-01,  2.190876345768681e-02,  7.193514227331996e-01, -2.903675096214260e-01,  2.190876342991478e-02,  7.226557985556069e-01, -4.558820087380646e-01, -1.106501509232667e+00,  5.347464215880873e-01,  7.136331278069732e-01,  2.878702782730311e-01,  1.360619888271466e-02
  1.630000000000000e+00, -4.034224854407352e-01,  1.135470244487125e-01,  2.345930398868587e-02,  7.192449110486425e-01, -2.907681869396539e-01,  2.345930398826463e-02,  7.160173937830434e-01, -4.532577796838862e-01, -1.102467676458148e+00,  5.275101097765089e-01,  7.173421829118218e-01,  2.928632949817944e-01,  1.322349378395001e-02
  1.640000000000000e+00, -4.023357281982403e-01,  1.175896411151984e-01,  2.526665865071046e-02,  7.191113594114914e-01, -2.912393564750440e-01,  2.526665865036330e-02,  7.077162466639161e-01, -4.508706682215309e-01, -1.096685244864072e+00,  5.205536788613045e-01,  7.214558774711578e-01,  2.977556603260805e-01,  1.285002718682391e-02
  1.650000000000000e+00, -4.012851909643201e-01,  1.220646655560980e-01,  2.729445179322619e-02,  7.189529305655641e-01, -2.917716884557864e-01,  2.729445179292515e-02,  6.977765256574395e-01, -4.487765698166578e-01, -1.089119724740514e+00,  5.141843353917156e-01,  7.258772919691396e-01,  3.024285328197365e-01,  1.249727923286486e-02
  1.660000000000000e+00, -4.003174897791390e-01,  1.268546769940042e-01,  2.949595880004636e-02,  7.187736004802507e-01, -2.923526836386288e-01,  2.949595879977531e-02,  6.863426086843711e-01, -4.470255184834661e-01, -1.079845688754622e+00,  5.087491242579023e-01,  7.304625522993364e-01,  3.067296063323246e-01,  1.217561770268505e-02
  1.670000000000000e+00, -3.994651175671474e-01,  1.318438320783351e-01,  3.182275464079934e-02,  7.185782240427040e-01, -2.929690751543730e-01,  3.182275464053415e-02,  6.736549618826756e-01, -4.456603307731838e-01, -1.069029627987028e+00,  5.045962447531235e-01,  7.350806484928259e-01,  3.104874386265954e-01,  1.189669850740943e-02
  1.680000000000000e+00, -3.987474986994924e-01,  1.369405808852036e-01,  3.423540770444149e-02,  7.183710013925109e-01, -2.936099558448602e-01,  3.423540770417553e-02,  6.600112571507907e-01, -4.447173059483784e-01, -1.056892127338664e+00,  5.020392373410617e-01,  7.396283396289006e-01,  3.135231808754821e-01,  1.167391024015354e-02
  1.690000000000000e+00, -3.981745278418702e-01,  1.420924341670537e-01,  3.671129712775542e-02,  7.181544259131856e-01, -2.942690217440558e-01,  3.671129712751041e-02,  6.457313197114605e-01, -4.442248632985807e-01, -1.043676348970904e+00,  5.013274273865019e-01,  7.440453727165608e-01,  3.156614508675073e-01,  1.152262638089291e-02
  1.700000000000000e+00, -3.977533422096745e-01,  1.472863604163797e-01,  3.924616429661263e-02,  7.179288419650204e-01, -2.949451091379878e-01,  3.924616429640041e-02,  6.311328076887804e-01, -4.441969705703783e-01, -1.029626755914685e+00,  5.026258146786106e-01,  7.483259862423440e-01,  3.167445506633224e-01,  1.145842694278211e-02
  1.710000000000000e+00, -3.974955154730460e-01,  1.525357530134814e-01,  4.184911871761628e-02,  7.176926667868957e-01, -2.956409450467077e-01,  4.184911871744115e-02,  6.165117656823912e-01, -4.446214684535839e-01, -1.014971192186552e+00,  5.060039954653763e-01,  7.525166058502242e-01,  3.166529482593172e-01,  1.149440889366571e-02
  1.720000000000000e+00, -3.974207186320880e-01,  1.578605144289651e-01,  4.453358005746259e-02,  7.174432120727844e-01, -2.963607114562532e-01,  4.453358005733292e-02,  6.021250971807470e-01, -4.454485914398503e-01, -9.999042222953425e-01,  5.114347646519128e-01,  7.566983271602835e-01,  3.153304748137049e-01,  1.164051951837633e-02
  1.730000000000000e+00, -3.975565713936769e-01,  1.632673793533412e-01,  4.730743689344091e-02,  7.171776886311606e-01, -2.971073590997022e-01,  4.730743689335875e-02,  5.881793624893421e-01, -4.465855929211756e-01, -9.845762580488375e-01,  5.188042252028046e-01,  7.609689422401554e-01,  3.128111049065008e-01,  1.190442277419250e-02
  1.740000000000000e+00, -3.979370749388190e-01,  1.687354843255222e-01,  5.016510387254892e-02,  7.168938764291554e-01, -2.978805099985313e-01,  5.016510386594215e-02,  5.748288812212644e-01, -4.479000767149184e-01, -9.690893001667022e-01,  5.279383052836719e-01,  7.654060782502571e-01,  3.092255293039681e-01,  1.228925639104389e-02
