Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.600000000000000e+00,  3.719264409533052e-01,  7.632650817153297e-02,  1.565081884490711e-01,  2.117376063564098e-01, -2.855974533427804e-03,  2.061241259230072e-01
  1.610000000000000e+00,  3.734243227744988e-01,  6.651336366937111e-02,  1.467404501309854e-01,  2.287378837160007e-01,  1.027082826823191e-02,  2.240120330998224e-01
  1.620000000000000e+00,  3.749895152097913e-01,  5.535039782012463e-02,  1.357704778194508e-01,  2.479912953442845e-01,  2.453845783187025e-02,  2.406562885660558e-01
  1.630000000000000e+00,  3.761407828720308e-01,  4.311999197001781e-02,  1.239564906929791e-01,  2.685393259016143e-01,  3.891866489269642e-02,  2.553240030820882e-01
  1.640000000000000e+00,  3.763882795975798e-01,  3.014416742693826e-02,  1.116686035081130e-01,  2.895141763508266e-01,  5.229850835473228e-02,  2.678285234655258e-01
  1.650000000000000e+00,  3.752870071226267e-01,  1.676276385730047e-02,  9.929640795467176e-02,  3.101114529689740e-01,  6.367663646547674e-02,  2.784911620575290e-01
  1.660000000000000e+00,  3.724919635919865e-01,  3.311815664572171e-03,  8.723620169196446e-02,  3.296008757554257e-01,  7.229132574524393e-02,  2.879296186749236e-01
  1.670000000000000e+00,  3.677975178129002e-01, -9.896760853718156e-03,  7.588464127542172e-02,  3.473722326412397e-01,  7.768011496010102e-02,  2.967429828621555e-01
  1.680000000000000e+00,  3.611431743319522e-01, -2.259649788135798e-02,  6.562642973931082e-02,  3.629690953781595e-01,  7.967554343604948e-02,  3.052760298237818e-01
  1.690000000000000e+00,  3.525823936466590e-01, -3.458429044194933e-02,  5.681049026605959e-02,  3.760860462115884e-01,  7.835857687173026e-02,  3.135696128666683e-01
  1.700000000000000e+00,  3.422279644512287e-01, -4.572669564303022e-02,  4.971795917906920e-02,  3.865427698932659e-01,  7.399997715677729e-02,  3.214506152298791e-01
  1.710000000000000e+00,  3.301966177197945e-01, -5.595362895054934e-02,  4.452668186489748e-02,  3.942565053483505e-01,  6.700280333893631e-02,  3.286449311077897e-01
  1.720000000000000e+00,  3.165747504424856e-01, -6.524284461556684e-02,  4.128508985341529e-02,  3.992218011927288e-01,  5.784582654449338e-02,  3.348434791541721e-01
  1.730000000000000e+00,  3.014152082009618e-01, -7.359910146667170e-02,  3.990717190807111e-02,  4.014963157153249e-01,  4.703442874550298e-02,  3.397354441906024e-01
  1.740000000000000e+00,  2.847587075924775e-01, -8.103545245260735e-02,  4.018726077640695e-02,  4.011894935214638e-01,  3.506920790108472e-02,  3.430473779854070e-01
  1.750000000000000e+00,  2.666644707500913e-01, -8.756441970676598e-02,  4.182629825944415e-02,  3.984534846619834e-01,  2.242931076739539e-02,  3.445904286605906e-01
  1.760000000000000e+00,  2.472344504781703e-01, -9.319998018150644e-02,  4.446439383578724e-02,  3.934769894049911e-01,  9.557018303403183e-03,  3.442937721113281e-01
  1.770000000000000e+00,  2.266231992632327e-01, -9.796231333202687e-02,  4.771577010511259e-02,  3.864821877923544e-01, -3.163590383617083e-03,  3.422141383743244e-01
  1.780000000000000e+00,  2.050306954344877e-01, -1.018818113132247e-01,  5.120099812878277e-02,  3.777184508440581e-01, -1.542608636458151e-02,  3.385235544747194e-01
  1.790000000000000e+00,  1.826834935557215e-01, -1.049989017431492e-01,  5.457391427867694e-02,  3.674522224296278e-01, -2.701331564527408e-02,  3.334771531418622e-01
  1.800000000000000e+00,  1.598102112882332e-01, -1.073610761222616e-01,  5.754519313033024e-02,  3.559521141766004e-01, -3.779785135154334e-02,  3.273743558471914e-01
  1.810000000000000e+00,  1.366171764428946e-01, -1.090205738760162e-01,  5.989721189215076e-02,  3.434704794751774e-01, -4.773038480486785e-02,  3.205333946732506e-01
  1.820000000000000e+00,  1.132707860925154e-01, -1.100317556235946e-01,  6.148468076558158e-02,  3.302319414932282e-01, -5.682239121130472e-02,  3.132762499662150e-01
  1.830000000000000e+00,  8.989458721734607e-02, -1.104515633873815e-01,  6.222120402506309e-02,  3.164328906434539e-01, -6.512774118796434e-02,  3.059155861692626e-01
  1.840000000000000e+00,  6.657561652867794e-02, -1.103359743372856e-01,  6.206431662834554e-02,  3.022456351172445e-01, -7.272838008155558e-02,  2.987368813930251e-01
  1.850000000000000e+00,  4.337246144624126e-02, -1.097368084884667e-01,  6.100140906493125e-02,  2.878186790228418e-01, -7.972190586993246e-02,  2.919886823587954e-01
  1.860000000000000e+00,  2.032275912409594e-02, -1.086950764307300e-01,  5.904609289971707e-02,  2.732828469095195e-01, -8.621656033978344e-02,  2.858751391925352e-01
