Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
 1.540000000000000e+000, 4.955814472539666e-001, 1.155010816044024e-001, 1.232877101045851e-001, 1.557302900516137e-001,-7.791440413761945e-002, 1.015630031213029e-002
 1.550000000000000e+000, 4.928825206363492e-001, 1.141985167385737e-001, 1.215106297043625e-001, 1.603697689022318e-001,-7.776961851706069e-002, 2.348938367017665e-002
 1.560000000000000e+000, 4.907620278421984e-001, 1.118801676472083e-001, 1.193858385006799e-001, 1.662494346546364e-001,-7.600895226095734e-002, 3.856018556185094e-002
 1.570000000000000e+000, 4.894503846392063e-001, 1.082683753023421e-001, 1.165158051702989e-001, 1.741560601301635e-001,-7.193075389696738e-002, 5.583564263688502e-002
 1.580000000000000e+000, 4.890775015223915e-001, 1.031604936772614e-001, 1.126477825776684e-001, 1.846019981726619e-001,-6.506443746469570e-002, 7.525694220318123e-002
 1.590000000000000e+000, 4.895923666298602e-001, 9.649535688391797e-002, 1.078101433477101e-001, 1.975643006156906e-001,-5.533134079080823e-002, 9.621121439870327e-002
 1.600000000000000e+000, 4.908390981578074e-001, 8.825923939825264e-002, 1.020473439291404e-001, 2.128125253400426e-001,-4.289405016549223e-002, 1.179084608912649e-001
 1.610000000000000e+000, 4.925444251329444e-001, 7.852462367348956e-002, 9.537228060535014e-002, 2.299171116459065e-001,-2.832159267318202e-002, 1.394273346793827e-001
 1.620000000000000e+000, 4.943367110220745e-001, 6.744370692586288e-002, 8.776026828176299e-002, 2.483559357866258e-001,-1.257193048408302e-002, 1.598581373346033e-001
 1.630000000000000e+000, 4.957786807215773e-001, 5.523211530866679e-002, 7.923184163007459e-002, 2.675822684848848e-001, 3.168157400457156e-003, 1.784733501556266e-001
 1.640000000000000e+000, 4.964092895910748e-001, 4.215929666687068e-002, 6.992143758011619e-002, 2.870313787816211e-001, 1.769876993778335e-002, 1.948848764827119e-001
 1.650000000000000e+000, 4.957982364814860e-001, 2.852714333381479e-002, 6.007928690245902e-002, 3.061025244048050e-001, 2.998596935145248e-002, 2.091209871453298e-001
 1.660000000000000e+000, 4.936024247994210e-001, 1.465141647425372e-002, 5.004303002201241e-002, 3.241864682613525e-001, 3.927052228893323e-002, 2.215008245167566e-001
 1.670000000000000e+000, 4.896080044782574e-001, 8.380076009693038e-004, 4.021204199531751e-002, 3.407299286109275e-001, 4.511292939567137e-002, 2.323823012472355e-001
 1.680000000000000e+000, 4.837386389321048e-001,-1.263867025481424e-002, 3.101210684881066e-002, 3.552904972196398e-001, 4.737644775900555e-002, 2.419523805289028e-001
 1.690000000000000e+000, 4.760252342594947e-001,-2.555529123953759e-002, 2.285149524396276e-002, 3.675514444431441e-001, 4.617130667490738e-002, 2.501817750280822e-001
 1.700000000000000e+000, 4.665510620858834e-001,-3.774687972367885e-002, 1.607449857805764e-002, 3.773091551989085e-001, 4.179027438831548e-002, 2.569065821632932e-001
 1.710000000000000e+000, 4.553964490714731e-001,-4.910298221414644e-002, 1.091711003389715e-002, 3.844532354144442e-001, 3.465057774296688e-002, 2.619296545621656e-001
 1.720000000000000e+000, 4.426064445158306e-001,-5.955685210025785e-002, 7.476076970800062e-003, 3.889490491088323e-001, 2.524132164568937e-002, 2.650729591128975e-001
 1.730000000000000e+000, 4.281910795757801e-001,-6.907059942231397e-002, 5.702778737280538e-003, 3.908234991975557e-001, 1.408010812354679e-002, 2.661964162372503e-001
