Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 1.540000000000000e+000,-1.155605053237765e-001, 8.920535408019036e-001,-3.262460311119391e-001, 5.867453531937067e-002, 8.264109540991194e-002, 3.718999516748624e-004,-1.327571364480144e-001,-7.203671353623123e-002,-1.776951155090762e-001,-2.791271010352061e-002,-1.252810418768979e-001, 1.742899999879748e-001
 1.550000000000000e+000,-1.025859044468183e-001, 8.907224844781440e-001,-3.260696825309979e-001, 5.643792177678716e-002, 8.884730616598779e-002,-9.686625885424109e-005,-1.312263992902954e-001,-6.622482164590723e-002,-1.814536279169540e-001,-3.131405536509886e-002,-1.261257413319933e-001, 1.750389976343807e-001
 1.560000000000000e+000,-8.935446375992917e-002, 8.894026019737058e-001,-3.258407829963583e-001, 5.335681510112102e-002, 9.500617435416370e-002,-9.922635485133391e-004,-1.291819155768812e-001,-5.931712622008508e-002,-1.852572004974466e-001,-3.478857820069740e-002,-1.264973095140733e-001, 1.755504784337933e-001
 1.570000000000000e+000,-7.585305970517818e-002, 8.881524651236653e-001,-3.255331721406881e-001, 4.929376248234126e-002, 1.008804116326112e-001,-2.394563512387134e-003,-1.265333806749354e-001,-5.117103047090605e-002,-1.889738481410588e-001,-3.834924493146453e-002,-1.262669820565134e-001, 1.756950430520645e-001
 1.580000000000000e+000,-6.214181013336372e-002, 8.870409448123003e-001,-3.251243585509366e-001, 4.418499536880321e-002, 1.062088735481579e-001,-4.322467559198668e-003,-1.232692978651729e-001,-4.175832408172635e-002,-1.924456119899496e-001,-4.197896195839743e-002,-1.253430439239246e-001, 1.753712330662710e-001
 1.590000000000000e+000,-4.828191357604751e-002, 8.861209511928875e-001,-3.246027977030422e-001, 3.805592386142440e-002, 1.108200458980782e-001,-6.720481055940844e-003,-1.194665401102807e-001,-3.115481520274649e-002,-1.955526668318394e-001,-4.564182451297164e-002,-1.237081977070462e-001, 1.745507603207281e-001
 1.600000000000000e+000,-3.431084519976170e-002, 8.854453506642041e-001,-3.239589962465435e-001, 3.097431758628298e-002, 1.145611617377438e-001,-9.493256665046131e-003,-1.152480725692868e-001,-1.948175490621078e-002,-1.981726349665962e-001,-4.929901780931770e-002,-1.213787146512039e-001, 1.732357530264038e-001
 1.610000000000000e+000,-2.025756422333618e-002, 8.850593144014468e-001,-3.231885976879955e-001, 2.307673791417473e-002, 1.173256895069346e-001,-1.250340694259793e-002,-1.107842754239042e-001,-6.941513300756001e-003,-2.001967321188137e-001,-5.291151126311472e-002,-1.184224520269303e-001, 1.714745283671644e-001
 1.620000000000000e+000,-6.146080912914145e-003, 8.849975258040044e-001,-3.222921512391178e-001, 1.456541573175458e-002, 1.190625213045429e-001,-1.557966898527070e-002,-1.062812696097221e-001, 6.183919793289878e-003,-2.015333153105652e-001,-5.645005247127728e-002,-1.149563728346311e-001, 1.693647417281477e-001
 1.630000000000000e+000, 8.001551099437509e-003, 8.852816691997565e-001,-3.212747151732547e-001, 5.687660140471463e-003, 1.197883187106352e-001,-1.853452660897570e-002,-1.019600789700102e-001, 1.955659136517196e-002,-2.021279025056984e-001,-5.990254131893964e-002,-1.111308149174211e-001, 1.670390132339542e-001
 1.640000000000000e+000, 2.216250368739370e-002, 8.859189738297719e-001,-3.201462667124460e-001,-3.287173141839095e-003, 1.195890402388182e-001,-2.119091853908966e-002,-9.802695026787907e-002, 3.281547656214399e-002,-2.019527789981564e-001,-6.328049446323615e-002,-1.071068709074241e-001, 1.646683851236047e-001
 1.650000000000000e+000, 3.631036970111126e-002, 8.869011122013794e-001,-3.189207828607539e-001,-1.210536712554836e-002, 1.186137942327448e-001,-2.341986746648071e-002,-9.463387816088535e-002, 4.562321869724734e-002,-2.010203337064308e-001,-6.661522851075165e-002,-1.030296246307760e-001, 1.624331824055741e-001
 1.660000000000000e+000, 5.041402551093004e-002, 8.882045003716304e-001,-3.176151953080677e-001,-2.055698372805991e-002, 1.170548130807940e-001,-2.516492130307754e-002,-9.185271698845363e-002, 5.770415534741807e-002,-1.993582950275160e-001,-6.995255609125128e-002,-9.901020726703583e-002, 1.605199593673614e-001
 1.670000000000000e+000, 6.443822978703689e-002, 8.897920136495996e-001,-3.162483144234734e-001,-2.849805949058186e-002, 1.151229509589078e-001,-2.644806375488231e-002,-8.966975056579860e-002, 6.887361261030381e-002,-1.970177188133754e-001,-7.334205228794069e-002,-9.510945691478168e-002, 1.590831763213889e-001
 1.680000000000000e+000, 7.834614316790675e-002, 8.916166877917731e-001,-3.148402400397891e-001,-3.585606431968696e-002, 1.130178361776195e-001,-2.735413497051114e-002,-8.800143450090348e-002, 7.905024655161788e-002,-1.940464727756099e-001,-7.682944250299134e-002,-9.133257818880973e-002, 1.582404016449676e-001
 1.690000000000000e+000, 9.210334717613480e-002, 8.936270798823134e-001,-3.134119298751013e-001,-4.262389990679532e-002, 1.109005280111775e-001,-2.799853729291556e-002,-8.672737566145777e-002, 8.825206006642129e-002,-1.904779655885928e-001,-8.044815685641070e-002,-8.763103873351004e-002, 1.580582115339620e-001
 1.700000000000000e+000, 1.056826288542900e-001, 8.957733505425007e-001,-3.119846992067417e-001,-4.883960178496461e-002, 1.088751450309820e-001,-2.848569166614747e-002,-8.573221329667141e-002, 9.657097110935771e-002,-1.863193346294162e-001,-8.421346706186758e-002,-8.391766021743413e-002, 1.585510751358388e-001
 1.710000000000000e+000, 1.190678943774094e-001, 8.980125643099625e-001,-3.105792426541819e-001,-5.455831590320836e-002, 1.069838969490884e-001,-2.887233970474999e-002,-8.494299377504025e-002, 1.041323082635483e-001,-1.815485388114333e-001,-8.812033736257859e-002,-8.009167440773482e-002, 1.596891203461369e-001
 1.720000000000000e+000, 1.322556571948169e-001, 9.003117194465198e-001,-3.092142138825347e-001,-5.982536363611678e-002, 1.052144678928564e-001,-2.915107853912674e-002,-8.434609248011424e-002, 1.110520956720862e-001,-1.761190193834541e-001,-9.214393466438513e-002,-7.606603692370190e-002, 1.614149586689673e-001
 1.730000000000000e+000, 1.452536978111169e-001, 9.026477328576714e-001,-3.079048837501123e-001,-6.465742189520658e-002, 1.035154155602807e-001,-2.926040294814056e-002,-8.397751683902242e-002, 1.174037781060663e-001,-1.699867965229520e-001,-9.623960224384644e-002,-7.178544184324745e-002, 1.636460168400001e-001
 1.740000000000000e+000, 1.580775793409175e-001, 9.050047471540874e-001,-3.066619378742221e-001,-6.903496795665313e-002, 1.018142565062135e-001,-2.911462684462896e-002,-8.389208006896515e-002, 1.232017750644382e-001,-1.631084644074838e-001,-1.003472543999401e-001,-6.724006367900777e-002, 1.663046178714004e-001
 1.750000000000000e+000, 1.707462937602313e-001, 9.073703637349447e-001,-3.054909389431132e-001,-7.291030164866355e-002, 1.000339417810110e-001,-2.863744260531893e-002,-8.413322179518387e-002, 1.284066704480154e-001,-1.554719596643966e-001,-1.043972373039824e-001,-6.246127975680563e-002, 1.693083408005848e-001
 1.760000000000000e+000, 1.832782096786110e-001, 9.097322113738301e-001,-3.043922439989644e-001,-7.622462956451306e-002, 9.810507667116708e-002,-2.778648373372640e-002,-8.471368874648387e-002, 1.329456275360313e-001,-1.471069026231285e-001,-1.083204832597022e-001,-5.751114617753338e-002, 1.725731657619502e-001
 1.770000000000000e+000, 1.956884598840018e-001, 9.120757950657475e-001,-3.033616745686162e-001,-7.892527137880527e-002, 9.597208557563564e-002,-2.656274828957279e-002,-8.561143932778645e-002, 1.367368791108569e-001,-1.380875491624784e-001,-1.120583844030659e-001,-5.246679152483685e-002, 1.760142934342651e-001
 1.780000000000000e+000, 2.079884373216487e-001, 9.143838208554110e-001,-3.023918613299987e-001,-8.097608719538277e-002, 9.359087016235312e-002,-2.500651963301370e-002,-8.677571319459214e-002, 1.397092012612415e-001,-1.285194254298132e-001,-1.155694017380207e-001,-4.740550153056119e-002, 1.795510315462691e-001
 1.790000000000000e+000, 2.201869236651032e-001, 9.166366892904637e-001,-3.014738218907608e-001,-8.236139793172809e-002, 9.092159420452139e-002,-2.318496501685373e-002,-8.813814630805340e-002, 1.418142001238545e-001,-1.185205812887382e-001,-1.188307911453826e-001,-4.239218047588689e-002, 1.831098886727506e-001
 1.800000000000000e+000, 2.322912995680662e-001, 9.188137412994805e-001,-3.005983714946576e-001,-8.308554729526070e-002, 8.792938766801606e-002,-2.117559816877304e-002,-8.962800836458376e-002, 1.430299659007866e-001,-1.081987424700223e-001,-1.218401753860243e-001,-3.747925786324595e-002, 1.866386408628994e-001
 1.810000000000000e+000, 2.443081977169889e-001, 9.208944483803373e-001,-2.997574843680327e-001,-8.317474326297725e-002, 8.459387643879568e-002,-1.905359105026652e-002,-9.118548714481028e-002, 1.433676334075695e-001,-9.767146585823461e-002,-1.246135522156210e-001,-3.269532760831475e-002, 1.900868359913199e-001
 1.820000000000000e+000, 2.562436713885515e-001, 9.228597528416073e-001,-2.989449616413938e-001,-8.267297929855570e-002, 8.091730093813965e-002,-1.687883011317050e-002,-9.277563356003793e-002, 1.428659761957695e-001,-8.705450653073836e-002,-1.271875366855713e-001,-2.805633094223128e-002, 1.934168155475912e-001
