Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.600000000000000e+00,  1.171191325127303e-01, -5.491719610863558e-01,  4.653771673244060e-01,  3.620475893244008e-01,  7.359731205874531e-01,  2.455966898346154e-01, -5.245661802920233e-01,  2.487540357658666e-01, -4.032311481065461e-02,  9.724273133762128e-01,  6.974287802369361e-01,  5.892711602891843e-02,  3.924498836895030e-02
  1.610000000000000e+00,  1.135646797501318e-01, -5.486425685954465e-01,  4.581607791112537e-01,  3.556383851028218e-01,  7.345970233578674e-01,  2.466796709091207e-01, -5.252430876794711e-01,  2.444940617483894e-01, -4.320137508731751e-02,  9.725626587048933e-01,  6.975251888607470e-01,  5.632482383937993e-02,  3.992495688414976e-02
  1.620000000000000e+00,  1.097795024650230e-01, -5.478030335498449e-01,  4.503006262041670e-01,  3.487296657747491e-01,  7.331509170706612e-01,  2.478248979690573e-01, -5.260586471006996e-01,  2.405400069970220e-01, -4.735020942600434e-02,  9.712865861685963e-01,  6.965829400845346e-01,  5.457088865743803e-02,  4.055964607402718e-02
  1.630000000000000e+00,  1.059009956675690e-01, -5.466413712864675e-01,  4.420527536110483e-01,  3.415620708826121e-01,  7.316927848184728e-01,  2.489885528571200e-01, -5.271497904961074e-01,  2.370438643206629e-01, -5.285748072023911e-02,  9.684371098863406e-01,  6.945429225240259e-01,  5.389296283136364e-02,  4.112998885307029e-02
  1.640000000000000e+00,  1.020504896075062e-01, -5.451527595108829e-01,  4.336577148132180e-01,  3.343513972499005e-01,  7.302727682916043e-01,  2.501327479939904e-01, -5.286279919297335e-01,  2.341248055241403e-01, -5.972338089219423e-02,  9.638486620259804e-01,  6.913609322793089e-01,  5.444672270754774e-02,  4.160881069276812e-02
  1.650000000000000e+00,  9.832347770552126e-02, -5.433448716166949e-01,  4.253201639867537e-01,  3.272723689625674e-01,  7.289291359376604e-01,  2.512283781359743e-01, -5.305627027531717e-01,  2.318601163414825e-01, -6.786141997256145e-02,  9.573680501657622e-01,  6.870017190578587e-01,  5.629887593464808e-02,  4.196267208051285e-02
  1.660000000000000e+00,  9.477889818228448e-02, -5.412381668430055e-01,  4.171817855265165e-01,  3.204390172091239e-01,  7.276844384900492e-01,  2.522580253336703e-01, -5.329610460197011e-01,  2.302722801285288e-01, -7.708508976403158e-02,  9.488662763425891e-01,  6.814679810918615e-01,  5.942415046329216e-02,  4.215504355231747e-02
  1.670000000000000e+00,  9.144055056143657e-02, -5.388697874513526e-01,  4.093187202829049e-01,  3.139073570245152e-01,  7.265464470382949e-01,  2.532151485186205e-01, -5.357718822286750e-01,  2.293309751022568e-01, -8.713203118426180e-02,  9.382518288949481e-01,  6.748100725522694e-01,  6.372623636862798e-02,  4.215265178530814e-02
  1.680000000000000e+00,  8.830124098568927e-02, -5.362960548693552e-01,  4.017448610453947e-01,  3.076825759448079e-01,  7.255101785579221e-01,  2.541025189744601e-01, -5.388954675462281e-01,  2.289613244219966e-01, -9.769459799807152e-02,  9.254827185763735e-01,  6.671479797292890e-01,  6.906228720394403e-02,  4.193078511856285e-02
  1.690000000000000e+00,  8.532951760196508e-02, -5.335897746700489e-01,  3.944210110481405e-01,  3.017296868526529e-01,  7.245609630232361e-01,  2.549299909508565e-01, -5.421968979572976e-01,  2.290604564280292e-01, -1.084550264818777e-01,  9.105735833175425e-01,  6.587096828141137e-01,  7.526340482424132e-02,  4.147710952741157e-02
  1.700000000000000e+00,  8.247912080947144e-02, -5.308310427795812e-01,  3.872706529670439e-01,  2.959876898628776e-01,  7.236785835522779e-01,  2.557115812842746e-01, -5.455229232771950e-01,  2.295192289103826e-01, -1.191219263439253e-01,  8.935956607812920e-01,  6.498599723426808e-01,  8.214797027769331e-02,  4.079445447263730e-02
  1.710000000000000e+00,  7.969962104327463e-02, -5.280962076455484e-01,  3.802001971832756e-01,  2.903857305977968e-01,  7.228417391971323e-01,  2.564623066683325e-01, -5.487195947033746e-01,  2.302397569401862e-01, -1.294621076803603e-01,  8.746713996226344e-01,  6.410675687689830e-01,  8.953303394877153e-02,  3.990266785413787e-02
  1.720000000000000e+00,  7.694598402541249e-02, -5.254476324576584e-01,  3.731189215549047e-01,  2.848578088109859e-01,  7.220319159247041e-01,  2.571954200039509e-01, -5.516463918178267e-01,  2.311442433290503e-01, -1.393226420309595e-01,  8.539671458801662e-01,  6.328115941094619e-01,  9.725281588694418e-02,  3.883881941939204e-02
  1.730000000000000e+00,  7.418551803271237e-02, -5.229252876243283e-01,  3.659547784670966e-01,  2.793534741718689e-01,  7.212361231131927e-01,  2.579204547437129e-01, -5.541844001002514e-01,  2.321772888956748e-01, -1.486418414985114e-01,  8.316869072463727e-01,  6.254827922330140e-01,  1.051806496128823e-01,  3.765418092582173e-02
  1.740000000000000e+00,  7.140096855695477e-02, -5.205434358776276e-01,  3.586632522297967e-01,  2.738430391839526e-01,  7.204480012891737e-01,  2.586424014850559e-01, -5.562391264632734e-01,  2.333026610027320e-01, -1.574468125153134e-01,  8.080687722017447e-01,  6.193072256435792e-01,  1.132366403391279e-01,  3.640657783514278e-02
  1.750000000000000e+00,  6.858891605985447e-02, -5.183052407441984e-01,  3.512289852759957e-01,  2.683185375907478e-01,  7.196664445155031e-01,  2.593623502355264e-01, -5.577392982017697e-01,  2.344848197653861e-01, -1.658389707649170e-01,  7.833855200586957e-01,  6.142629108796205e-01,  1.213829551941773e-01,  3.514828212829002e-02
  1.760000000000000e+00,  6.575577043112184e-02, -5.162070390409913e-01,  3.436590417978568e-01,  2.627878406340053e-01,  7.188938598715698e-01,  2.600787116274720e-01, -5.586336243264549e-01,  2.356802361665382e-01, -1.739664598529131e-01,  7.579426132299562e-01,  6.100729490677913e-01,  1.296037998517516e-01,  3.391600379677495e-02
  1.770000000000000e+00,  6.291145747688411e-02, -5.142563786028935e-01,  3.359721881347885e-01,  2.572674512991577e-01,  7.181330274959151e-01,  2.607891849739515e-01, -5.588816597703604e-01,  2.368201685022044e-01, -1.819993554707501e-01,  7.320744128701381e-01,  6.062598644873464e-01,  1.378996573146549e-01,  3.272783564837400e-02
  1.780000000000000e+00,  6.006438179361497e-02, -5.124718547106561e-01,  3.281863112336912e-01,  2.517732395055088e-01,  7.173853739983417e-01,  2.614921558356481e-01, -5.584442699221950e-01,  2.378135400754160e-01, -1.901077778393134e-01,  7.061298944887505e-01,  6.023056594673176e-01,  1.462733335273968e-01,  3.158978242202259e-02
  1.790000000000000e+00,  5.721910305847309e-02, -5.108776595470013e-01,  3.203107441920234e-01,  2.463148746826270e-01,  7.166505506631045e-01,  2.621872368284416e-01, -5.572804904629602e-01,  2.385580486683347e-01, -1.984473963466413e-01,  6.804526497267829e-01,  5.977820728900533e-01,  1.547115354815981e-01,  3.050369597146485e-02
  1.800000000000000e+00,  5.437691818736354e-02, -5.094968982040686e-01,  3.123456261101342e-01,  2.408953310126661e-01,  7.159270851767036e-01,  2.628749830998643e-01, -5.553524533425120e-01,  2.389537135154014e-01, -2.071503331341669e-01,  6.553621058135343e-01,  5.923898345924513e-01,  1.631669290171723e-01,  2.947096190565013e-02
  1.810000000000000e+00,  5.153786385881981e-02, -5.083468859735660e-01,  3.042857518001789e-01,  2.355135319939949e-01,  7.152133696297479e-01,  2.635562566217406e-01, -5.526331673217616e-01,  2.389145248102620e-01, -2.163191907598119e-01,  6.311392036362997e-01,  5.859453248325031e-01,  1.715500833332796e-01,  2.849335184289181e-02
  1.820000000000000e+00,  4.870269989417098e-02, -5.074401825216529e-01,  2.961260414120214e-01,  2.301682298069867e-01,  7.145082412403474e-01,  2.642317091602946e-01, -5.491133703389016e-01,  2.383723629813027e-01, -2.260248635955192e-01,  6.080167253814367e-01,  5.783536340869875e-01,  1.797342031271086e-01,  2.757205579037603e-02
  1.830000000000000e+00,  4.587676094644417e-02, -5.067730966144217e-01,  2.878708862269624e-01,  2.248630986140956e-01,  7.138128035382059e-01,  2.649005999812845e-01, -5.448085511326152e-01,  2.373104495050702e-01, -2.363028222178039e-01,  5.861647188261578e-01,  5.696691847768972e-01,  1.875565304111110e-01,  2.671103205431713e-02
  1.840000000000000e+00,  4.306761420043735e-02, -5.063535788027260e-01,  2.795336319776901e-01,  2.196079677976973e-01,  7.131278656606229e-01,  2.655619304047108e-01, -5.397591411545728e-01,  2.357139530819576e-01, -2.471614650612895e-01,  5.656954770336570e-01,  5.599538446343271e-01,  1.948516311944943e-01,  2.590715557341738e-02
  1.850000000000000e+00,  4.028853877922309e-02, -5.061764941469257e-01,  2.711435980694457e-01,  2.144209035378919e-01,  7.124563727702470e-01,  2.662131573014064e-01, -5.340326201011240e-01,  2.336179436088163e-01, -2.585764807094036e-01,  5.466519663000539e-01,  5.493742145062600e-01,  2.014613075237702e-01,  2.515878780749326e-02
  1.860000000000000e+00,  3.755649550932422e-02, -5.062354887993482e-01,  2.627441606013710e-01,  2.093271598334692e-01,  7.118019302832906e-01,  2.668509540106580e-01, -5.277191590439696e-01,  2.310744919486844e-01, -2.705009432555348e-01,  5.290219808216301e-01,  5.380986366185012e-01,  2.072650061302929e-01,  2.445990044308122e-02
  1.870000000000000e+00,  3.489140405985050e-02, -5.065189542528115e-01,  2.543916164478509e-01,  2.043576100873137e-01,  7.111687805462893e-01,  2.674713172946508e-01, -5.209265169641317e-01,  2.281520833751919e-01, -2.828729633058120e-01,  5.127516980745234e-01,  5.262778918709285e-01,  2.121931021583028e-01,  2.379874617960187e-02
  1.880000000000000e+00,  3.231404987312419e-02, -5.070088874656629e-01,  2.461500010421552e-01,  1.995451614144489e-01,  7.105613262665206e-01,  2.680700205359070e-01, -5.137728777903948e-01,  2.249298237507659e-01, -2.956223146696281e-01,  4.977618528040589e-01,  5.140255981651569e-01,  2.162384572551495e-01,  2.315724250061191e-02
  1.890000000000000e+00,  2.984387589231358e-02, -5.076797654830951e-01,  2.380846758389887e-01,  1.949208273247396e-01,  7.099837414031440e-01,  2.686430518716234e-01, -5.063800037614538e-01,  2.214920118256068e-01, -3.086746768164249e-01,  4.839607773896272e-01,  5.014133772211746e-01,  2.194623740825007e-01,  2.251313127421906e-02
  1.900000000000000e+00,  2.749724237968098e-02, -5.084987991927864e-01,  2.302566394013266e-01,  1.905107017818785e-01,  7.094396869577999e-01,  2.691869480945948e-01, -4.988677051383903e-01,  2.179238654152533e-01, -3.219536596971833e-01,  4.712517848321759e-01,  4.884771630992536e-01,  2.219890281536380e-01,  2.184479812946805e-02
