Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.600000000000000e+00,  2.216014009243982e-03, -4.275699825725315e-01,  1.419543267998384e-01,  9.756814533333082e-02,  8.234353142465494e-01,  1.407479450323694e-01, -1.683122577488182e-01,  4.854394233291112e-01, -3.209296908462218e-01,  5.220760265600989e-01,  7.525775307229623e-01, -2.428247985584104e-01,  1.667213753504504e-02
  1.610000000000000e+00,  2.529694439484682e-03, -4.262853195218793e-01,  1.439001599237758e-01,  9.825572589418481e-02,  8.234395040809260e-01,  1.406967540520144e-01, -1.668247620754747e-01,  4.880807730076469e-01, -3.172963806848468e-01,  5.149786667772843e-01,  7.552524863373835e-01, -2.475725156298569e-01,  1.623759653796427e-02
  1.620000000000000e+00,  2.944970676545372e-03, -4.247777739235214e-01,  1.464857973221193e-01,  9.918426150675318e-02,  8.234293799678046e-01,  1.406423120222962e-01, -1.658323124075192e-01,  4.907522214447305e-01, -3.132568164549426e-01,  5.077230385691762e-01,  7.586538610516994e-01, -2.523438086931542e-01,  1.580203127244876e-02
  1.630000000000000e+00,  3.460907871283374e-03, -4.231036235828782e-01,  1.496883048093466e-01,  1.003506626117994e-01,  8.234026269378498e-01,  1.405869980510196e-01, -1.654520930438854e-01,  4.934031218805668e-01, -3.088142033864379e-01,  5.005031126949346e-01,  7.626883598090383e-01, -2.571073637336789e-01,  1.537207200834650e-02
  1.640000000000000e+00,  4.071479389879490e-03, -4.213320895993238e-01,  1.534501710496797e-01,  1.017394200118275e-01,  8.233578620799444e-01,  1.405331770910080e-01, -1.657722876102091e-01,  4.959640467174731e-01, -3.039939931264598e-01,  4.935816688421180e-01,  7.671703218576088e-01, -2.617868643189342e-01,  1.495018368263208e-02
  1.650000000000000e+00,  4.765901087141402e-03, -4.195304452365843e-01,  1.576831139557818e-01,  1.033227741492879e-01,  8.232954948689180e-01,  1.404823862028106e-01, -1.668338757106305e-01,  4.983717474365459e-01, -2.988467140112265e-01,  4.872645640410604e-01,  7.719820234886929e-01, -2.662719848930006e-01,  1.454839987158895e-02
  1.660000000000000e+00,  5.529649908679375e-03, -4.177583014859180e-01,  1.622786032386261e-01,  1.050640454539047e-01,  8.232174216253276e-01,  1.404353885476677e-01, -1.686355354579907e-01,  5.005552958313362e-01, -2.934495773186545e-01,  4.818947000904089e-01,  7.769707873080977e-01, -2.704176195203608e-01,  1.417918117021629e-02
  1.670000000000000e+00,  6.347299893476736e-03, -4.160616476791931e-01,  1.671283437680189e-01,  1.069250772214379e-01,  8.231263087148001e-01,  1.403923287478627e-01, -1.711413982952788e-01,  5.024405427585692e-01, -2.878977343034665e-01,  4.778157295451848e-01,  7.819960679134447e-01, -2.740578703329296e-01,  1.385676494628871e-02
  1.680000000000000e+00,  7.205999292040173e-03, -4.144719056718521e-01,  1.721466905956705e-01,  1.088751268043324e-01,  8.230245266017336e-01,  1.403531139645885e-01, -1.742943417466406e-01,  5.039503236427739e-01, -2.822922965800752e-01,  4.753375053714994e-01,  7.869449830463008e-01, -2.770177596959081e-01,  1.359727884457303e-02
  1.690000000000000e+00,  8.098181446244256e-03, -4.130079206282740e-01,  1.772855230036901e-01,  1.108972946554480e-01,  8.229133969036799e-01,  1.403176732409995e-01, -1.780257195783979e-01,  5.050068417564731e-01, -2.767288748456603e-01,  4.747075004782513e-01,  7.917476707191654e-01, -2.791248804100548e-01,  1.341864699592436e-02
