Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.600000000000000e+00, -3.039209543342000e-02,  8.781859950014710e-01, -3.242645681595325e-01,  2.308657771998201e-02,  1.199376934073343e-01,  2.059370126439883e-01, -6.938893903907228e-18,  1.647987302177967e-17,  2.775557561562891e-17,  9.479537677718116e-06, -3.411055210242128e-02, -8.634649697124083e-02,  1.469328336781251e-05, -3.700614984260883e-02, -8.843974538263180e-02,  1.635220246664649e-05, -3.616416752100296e-02, -8.477656066231440e-02,  1.477227957840710e-05, -3.478824519057020e-02, -7.797350332449181e-02,  1.311336059617296e-05, -3.343285901431452e-02, -6.541401285522891e-02,  1.050648786456169e-05, -2.983903203180922e-02, -4.605146504908693e-02,  2.301090121960545e-02, -1.867413840543374e-02,  5.531055238815016e-03,  2.555198233663618e-02, -3.444974642206453e-02,  8.582671918085207e-03,  2.682252289533782e-02, -3.701565856925445e-02,  1.063297687574182e-02,  2.526963999098298e-02, -3.444974642191577e-02,  1.048993234351115e-02,  2.315207239318651e-02, -2.238045595112370e-02,  8.344264362661266e-03,  1.736405429452782e-02, -1.143573191528993e-02,  4.100609913999622e-03,  5.908935723511642e-02,  2.542060599459098e-02
  1.610000000000000e+00, -1.672080520053384e-02,  8.779179530508822e-01, -3.234831304660432e-01,  1.541736692100723e-02,  1.230473246190729e-01,  2.033056711656313e-01, -3.469446951953614e-18, -2.818925648462312e-18,  0.000000000000000e+00,  1.453773813286194e-03, -3.447714931038368e-02, -8.557952902238421e-02,  2.253349410612704e-03, -3.740386698212609e-02, -8.765418427138910e-02,  2.507759827945171e-03, -3.655283560240079e-02, -8.402353758555044e-02,  2.265464192392290e-03, -3.516212578675224e-02, -7.728090802616792e-02,  2.011053775065736e-03, -3.379217283402362e-02, -6.483297653195939e-02,  1.611265976412224e-03, -3.015972182299621e-02, -4.564241547843403e-02,  2.268668197040026e-02, -1.830401161013435e-02,  5.843891648272544e-03,  2.519195973404065e-02, -3.376694253777645e-02,  9.068107729996826e-03,  2.644459861586729e-02, -3.628199756817453e-02,  1.123437790995504e-02,  2.491359553810843e-02, -3.376694253777458e-02,  1.108324278112366e-02,  2.282586406841222e-02, -2.193686887626495e-02,  8.816215848606581e-03,  1.711939805129505e-02, -1.120907241943731e-02,  4.332540359861236e-03,  5.795397095318518e-02,  2.666202790558574e-02
  1.620000000000000e+00, -2.897832236533893e-03,  8.779898412296598e-01, -3.225671538392345e-01,  7.129498424030319e-03,  1.252058936651791e-01,  2.007482901288446e-01,  0.000000000000000e+00,  6.830473686658676e-18,  0.000000000000000e+00,  2.955370060874918e-03, -3.472879006099137e-02, -8.481056978806815e-02,  4.580823594378881e-03, -3.767686916911915e-02, -8.686658360108573e-02,  5.098013355039895e-03, -3.681962630789239e-02, -8.326855942821083e-02,  4.605451678219857e-03, -3.541876602247281e-02, -7.658651453576538e-02,  4.088261917564146e-03, -3.403881409952186e-02, -6.425043165744791e-02,  3.275535150823848e-03, -3.037985066744908e-02, -4.523230388676433e-02,  2.228774406063493e-02, -1.787833505292032e-02,  6.152140650132751e-03,  2.474896733117996e-02, -3.298166135716454e-02,  9.546425146649419e-03,  2.597957896646048e-02, -3.543822647893709e-02,  1.182696004280986e-02,  2.447549807893126e-02, -3.298166135716203e-02,  1.166785295703429e-02,  2.242447868681434e-02, -2.142670689548043e-02,  9.281246670347120e-03,  1.681835901509373e-02, -1.094839517235580e-02,  4.561069792250967e-03,  5.664047089087635e-02,  2.787256818107522e-02
  1.630000000000000e+00,  1.105382648019884e-02,  8.784122794704124e-01, -3.215283049789696e-01, -1.476070675968296e-03,  1.264258962703952e-01,  1.984540441014465e-01,  0.000000000000000e+00,  6.667843360785851e-18,  0.000000000000000e+00,  4.466693369196966e-03, -3.485759052147994e-02, -8.408422796534808e-02,  6.923374722281841e-03, -3.781660332312351e-02, -8.612263349175002e-02,  7.705046061899365e-03, -3.695618116094612e-02, -8.255542382043653e-02,  6.960597167022577e-03, -3.555012543250941e-02, -7.593060585946752e-02,  6.178925827408884e-03, -3.416505561046679e-02, -6.370017270080751e-02,  4.950585150880087e-03, -3.049252199140689e-02, -4.484492158127319e-02,  2.183652878811627e-02, -1.742330415215473e-02,  6.451079775916657e-03,  2.424792460526322e-02, -3.214222776160356e-02,  1.001029620386894e-02,  2.545362251384634e-02, -3.453626955349910e-02,  1.240164474147866e-02,  2.397999173673249e-02, -3.214222776160011e-02,  1.223480647141607e-02,  2.197049522244752e-02, -2.088136451822566e-02,  9.732232420415458e-03,  1.647787141681490e-02, -1.066974181327711e-02,  4.782697075131944e-03,  5.523101927381587e-02,  2.903802741958843e-02
  1.640000000000000e+00,  2.510439214338603e-02,  8.791871587966804e-01, -3.203823184734347e-01, -1.009263367707478e-02,  1.267722973837737e-01,  1.966018923029318e-01, -1.734723475976807e-18,  6.505213034913026e-19,  0.000000000000000e+00,  5.940883511013528e-03, -3.485878115559708e-02, -8.344390948388905e-02,  9.208369442101183e-03, -3.781789502852972e-02, -8.546679213800841e-02,  1.024802405653622e-02, -3.695744347682949e-02, -8.192674749317143e-02,  9.257876804686167e-03, -3.555133972161113e-02, -7.535237886709314e-02,  8.218222190252407e-03, -3.416622258960429e-02, -6.321508294208732e-02,  6.584479224724026e-03, -3.049356352745549e-02, -4.450341839111588e-02,  2.135604188683241e-02, -1.697068888300442e-02,  6.738655010515768e-03,  2.371437780078006e-02, -3.130725048390769e-02,  1.045653363683177e-02,  2.489354575776547e-02, -3.363910086477430e-02,  1.295448333898499e-02,  2.345234047705722e-02, -3.130725048390331e-02,  1.278020777837334e-02,  2.148706054877178e-02, -2.033891721092173e-02,  1.016607436912197e-02,  1.611529541155413e-02, -1.039256774684168e-02,  4.995899404199314e-03,  5.382566672861010e-02,  3.015565365294357e-02
  1.650000000000000e+00,  3.921721624126297e-02,  8.803052048376270e-01, -3.191477947091514e-01, -1.843770018140786e-02,  1.263595659017351e-01,  1.953258135058399e-01,  0.000000000000000e+00, -6.505213034913027e-19,  0.000000000000000e+00,  7.336440331082324e-03, -3.473134267695340e-02, -8.292407684441469e-02,  1.137148251321105e-02, -3.767963847313235e-02, -8.493435749514776e-02,  1.265535957115708e-02, -3.682233260332605e-02, -8.141636635621749e-02,  1.143261951595771e-02, -3.542136935266566e-02, -7.488295424111496e-02,  1.014874245800918e-02, -3.404131600126795e-02, -6.282127033638263e-02,  8.131221366961702e-03, -3.038208363012601e-02, -4.422617431667958e-02,  2.086664096665308e-02, -1.655468522420440e-02,  7.015451599055490e-03,  2.317093260721760e-02, -3.053981370876678e-02,  1.088604558452655e-02,  2.432307842751295e-02, -3.281450328155281e-02,  1.348660091863240e-02,  2.291490020276794e-02, -3.053981370876139e-02,  1.330516682555877e-02,  2.099465716896888e-02, -1.984034794044985e-02,  1.058365542937265e-02,  1.574599287669761e-02, -1.013781402194372e-02,  5.201110668081771e-03,  5.253231618123860e-02,  3.123328375344954e-02
  1.660000000000000e+00,  5.334924138729670e-02,  8.817443162905323e-01, -3.178445788869439e-01, -2.627976999032434e-02,  1.253407467137070e-01,  1.946850055006925e-01,  0.000000000000000e+00,  5.637851296924623e-18,  0.000000000000000e+00,  8.621135062262289e-03, -3.447741710789164e-02, -8.254357617090012e-02,  1.336275934654250e-02, -3.740415751259754e-02, -8.454463256287639e-02,  1.487145798244330e-02, -3.655311952258235e-02, -8.104278387675161e-02,  1.343460213870899e-02, -3.516239890475090e-02, -7.453935060257944e-02,  1.192590350280083e-02, -3.379243531106506e-02, -6.253301225034461e-02,  9.555091360678614e-03, -3.015995608536905e-02, -4.402324062408886e-02,  2.038369601195783e-02, -1.620868970777763e-02,  7.284153439779348e-03,  2.263465630784276e-02, -2.990152681459435e-02,  1.130299671664451e-02,  2.376013645579965e-02, -3.212867501871031e-02,  1.400315704342575e-02,  2.238454960836547e-02, -2.990152681458792e-02,  1.381477376481699e-02,  2.050874936179994e-02, -1.942568155816586e-02,  1.098902458558953e-02,  1.538156202131687e-02, -9.925932119602040e-03,  5.400320653409903e-03,  5.145641810194244e-02,  3.228654903756022e-02
  1.670000000000000e+00,  6.745267410407944e-02,  8.834695009310709e-01, -3.164925427726438e-01, -3.345737320921079e-02,  1.238918380945634e-01,  1.946516428415616e-01,  0.000000000000000e+00, -4.336808689942017e-18,  0.000000000000000e+00,  9.774700954003020e-03, -3.410152518262589e-02, -8.230262794085851e-02,  1.515078647874215e-02, -3.699635664003411e-02, -8.429784316361756e-02,  1.686135914569537e-02, -3.615459713824123e-02, -8.080621652360691e-02,  1.523224231999944e-02, -3.477903892799221e-02, -7.432176704936595e-02,  1.352166965303338e-02, -3.342401143729774e-02, -6.235047571239766e-02,  1.083362689068198e-02, -2.983113551498601e-02, -4.389473490135654e-02,  1.991597421975698e-02, -1.596189764258037e-02,  7.548722197317164e-03,  2.211528425638948e-02, -2.944624883172356e-02,  1.171353444382284e-02,  2.321493927472087e-02, -3.163948667573516e-02,  1.451176767209928e-02,  2.187091647461325e-02, -2.944624883171626e-02,  1.431654209803719e-02,  2.003815811075892e-02, -1.912990786170679e-02,  1.138815848700412e-02,  1.502861858303243e-02, -9.774800761609330e-03,  5.596466456379259e-03,  5.069012399013503e-02,  3.333506261055393e-02
  1.680000000000000e+00,  8.147806536860683e-02,  8.854350759061211e-01, -3.151109966119204e-01, -3.988950260894194e-02,  1.221919974490104e-01,  1.951204588778189e-01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.079023687464652e-02, -3.360962916140728e-02, -8.218437269800019e-02,  1.672486715573977e-02, -3.646270424374554e-02, -8.417672112699055e-02,  1.861315860880326e-02, -3.563308666661921e-02, -8.069011137606535e-02,  1.681478579632944e-02, -3.427737013814191e-02, -7.421497898155691e-02,  1.492649434324789e-02, -3.294188818471493e-02, -6.226088840717812e-02,  1.195917920271902e-02, -2.940083755061098e-02, -4.383166543847036e-02,  1.946461271751485e-02, -1.583618102074832e-02,  7.813473572836370e-03,  2.161407915267805e-02, -2.921432885506087e-02,  1.212435554374077e-02,  2.268881237027488e-02, -3.139029265943097e-02,  1.502072936810996e-02,  2.137524954884639e-02, -2.921432885505312e-02,  1.481865677571559e-02,  1.958402751955022e-02, -1.897923984928104e-02,  1.178756788969425e-02,  1.468802063962395e-02, -9.697813992344513e-03,  5.792747648549651e-03,  5.030234363944588e-02,  3.439831291514472e-02
  1.690000000000000e+00,  9.537877571191139e-02,  8.875891816595571e-01, -3.137185440088811e-01, -4.557473300453870e-02,  1.204015910963163e-01,  1.959392895214929e-01,  0.000000000000000e+00, -8.673617379884035e-19,  0.000000000000000e+00,  1.167381578510943e-02, -3.300764896169749e-02, -8.216071909965748e-02,  1.809441446695596e-02, -3.580962277482534e-02, -8.415249410808207e-02,  2.013733222934833e-02, -3.499486443200875e-02, -8.066688784314649e-02,  1.819169626512843e-02, -3.366343006691565e-02, -7.419361906547539e-02,  1.614877850271397e-02, -3.235186785652373e-02, -6.224296901448996e-02,  1.293847916180722e-02, -2.887424078349687e-02, -4.381905018601495e-02,  1.902320971506908e-02, -1.584410489812411e-02,  8.082164511866064e-03,  2.112393226039173e-02, -2.922894669500382e-02,  1.254128975946639e-02,  2.217429353306744e-02, -3.140599927641800e-02,  1.553726453536956e-02,  2.089051864431949e-02, -2.922894669499599e-02,  1.532824303937960e-02,  1.913991652322413e-02, -1.898873640460924e-02,  1.219292059942177e-02,  1.435493739237927e-02, -9.702666443120870e-03,  5.991949551611776e-03,  5.033242545560129e-02,  3.549180156288467e-02
